table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_total,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
2835,r026,"Cumulative debt -> Graduate debt -> $20,001&#8211;$30,000",Cumulative debt,Graduate debt,"$20,001&#8211;$30,000",3,"['1,573', '3.1']","['342', '2.9']","['122', '2.0']","['63', '1.6']","['327', '4.0']","['201', '2.1']","['213', '5.1']","['193', '4.3']","['112', '4.3']"
2835,r027,"Cumulative debt -> Graduate debt -> $30,001&#8211;$40,000",Cumulative debt,Graduate debt,"$30,001&#8211;$40,000",3,"['1,128', '2.2']","['231', '1.9']","['73', '1.2']","['48', '1.2']","['273', '3.4']","['113', '1.2']","['157', '3.7']","['146', '3.2']","['87', '3.3']"
2835,r028,"Cumulative debt -> Graduate debt -> $40,001&#8211;$50,000",Cumulative debt,Graduate debt,"$40,001&#8211;$50,000",3,"['921', '1.8']","['212', '1.8']","['54', '0.9']","['36', '0.9']","['187', '2.3']","['102', '1.1']","['161', '3.8']","['111', '2.5']","['58', '2.2']"
2835,r029,"Cumulative debt -> Graduate debt -> $50,001&#8211;$60,000",Cumulative debt,Graduate debt,"$50,001&#8211;$60,000",3,"['863', '1.7']","['189', '1.6']","['42', '0.7']","['35', '0.9']","['199', '2.5']","['79', '0.8']","['144', '3.4']","['106', '2.4']","['69', '2.6']"
2835,r030,"Cumulative debt -> Graduate debt -> $60,001&#8211;$70,000",Cumulative debt,Graduate debt,"$60,001&#8211;$70,000",3,"['765', '1.5']","['161', '1.4']","['37', '0.6']","['23', '0.6']","['182', '2.3']","['51', '0.5']","['160', '3.8']","['102', '2.3']","['49', '1.9']"
2835,r031,"Cumulative debt -> Graduate debt -> $70,001&#8211;$80,000",Cumulative debt,Graduate debt,"$70,001&#8211;$80,000",3,"['619', '1.2']","['120', '1.0']","['23', '0.4']","['14', '0.4']","['170', '2.1']","['45', '0.5']","['116', '2.8']","['74', '1.6']","['57', '2.2']"
2835,r032,"Cumulative debt -> Graduate debt -> $80,001&#8211;$90,000",Cumulative debt,Graduate debt,"$80,001&#8211;$90,000",3,"['541', '1.1']","['115', '1.0']","['24', '0.4']","['18', '0.5']","['142', '1.8']","['27', '0.3']","['103', '2.5']","['66', '1.5']","['46', '1.8']"
2835,r033,"Cumulative debt -> Graduate debt -> $90,001&#8211;$100,000",Cumulative debt,Graduate debt,"$90,001&#8211;$100,000",3,"['720', '1.4']","['132', '1.1']","['28', '0.5']","['14', '0.4']","['226', '2.8']","['53', '0.6']","['126', '3.0']","['80', '1.8']","['61', '2.3']"
2835,r034,"Cumulative debt -> Graduate debt -> $100,001&#8211;$120,000",Cumulative debt,Graduate debt,"$100,001&#8211;$120,000",3,"['782', '1.5']","['151', '1.3']","['37', '0.6']","['17', '0.4']","['217', '2.7']","['32', '0.3']","['159', '3.8']","['100', '2.2']","['69', '2.6']"
2835,r035,"Cumulative debt -> Graduate debt -> $120,001&#8211;$140,000",Cumulative debt,Graduate debt,"$120,001&#8211;$140,000",3,"['516', '1.0']","['95', '0.8']","['15', '0.2']","['11', '0.3']","['163', '2.0']","['21', '0.2']","['103', '2.5']","['66', '1.5']","['42', '1.6']"
2835,r036,"Cumulative debt -> Graduate debt -> $140,001&#8211;$160,000",Cumulative debt,Graduate debt,"$140,001&#8211;$160,000",3,"['439', '0.9']","['62', '0.5']","['12', '0.2']","['14', '0.4']","['151', '1.9']","['23', '0.2']","['73', '1.7']","['70', '1.6']","['34', '1.3']"
2835,r037,"Cumulative debt -> Graduate debt -> $160,001 or more",Cumulative debt,Graduate debt,"$160,001 or more",3,"['1,468', '2.9']","['255', '2.1']","['44', '0.7']","['30', '0.8']","['540', '6.7']","['95', '1.0']","['235', '5.6']","['145', '3.2']","['124', '4.7']"
2835,r038,Cumulative debt -> Graduate debt -> Total,Cumulative debt,Graduate debt,Total,3,"['50,784', '100.0']","['11,921', '100.0']","['6,128', '100.0']","['3,894', '100.0']","['8,083', '100.0']","['9,433', '100.0']","['4,202', '100.0']","['4,505', '100.0']","['2,618', '100.0']"
2835,r039,Cumulative debt -> Undergraduate debt,Cumulative debt,Undergraduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
2835,r040,Cumulative debt -> Undergraduate debt -> Mean,Cumulative debt,Undergraduate debt,Mean,3,"['$8,505', '']","['$9,480', '']","['$8,501', '']","['$4,191', '']","['$10,910', '']","['$5,037', '']","['$11,574', '']","['$10,018', '']","['$8,039', '']"
2835,r041,Cumulative debt -> Undergraduate debt -> ,Cumulative debt,Undergraduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
2835,r042,Cumulative debt -> Undergraduate debt -> No debt,Cumulative debt,Undergraduate debt,No debt,3,"['36,772', '72.4']","['8,265', '69.3']","['4,419', '72.0']","['3,271', '83.9']","['5,363', '66.4']","['7,751', '82.2']","['2,739', '65.2']","['2,996', '66.5']","['1,968', '75.2']"
2835,r043,"Cumulative debt -> Undergraduate debt -> $10,000 or less",Cumulative debt,Undergraduate debt,"$10,000 or less",3,"['3,268', '6.4']","['828', '6.9']","['377', '6.1']","['177', '4.5']","['550', '6.8']","['499', '5.3']","['322', '7.7']","['356', '7.9']","['159', '6.1']"
2835,r044,"Cumulative debt -> Undergraduate debt -> $10,001&#8211;$20,000",Cumulative debt,Undergraduate debt,"$10,001&#8211;$20,000",3,"['2,878', '5.7']","['748', '6.3']","['361', '5.9']","['148', '3.8']","['566', '7.0']","['333', '3.5']","['287', '6.8']","['311', '6.9']","['124', '4.7']"
2835,r045,"Cumulative debt -> Undergraduate debt -> $20,001&#8211;$30,000",Cumulative debt,Undergraduate debt,"$20,001&#8211;$30,000",3,"['2,338', '4.6']","['622', '5.2']","['305', '5.0']","['108', '2.8']","['464', '5.7']","['252', '2.7']","['222', '5.3']","['267', '5.9']","['98', '3.7']"
2835,r046,"Cumulative debt -> Undergraduate debt -> $30,001&#8211;$40,000",Cumulative debt,Undergraduate debt,"$30,001&#8211;$40,000",3,"['1,715', '3.4']","['471', '3.9']","['220', '3.6']","['75', '1.9']","['329', '4.1']","['191', '2.0']","['175', '4.2']","['186', '4.1']","['68', '2.6']"
2835,r047,"Cumulative debt -> Undergraduate debt -> $40,001&#8211;$50,000",Cumulative debt,Undergraduate debt,"$40,001&#8211;$50,000",3,"['1,051', '2.1']","['298', '2.5']","['123', '2.0']","['28', '0.7']","['226', '2.8']","['119', '1.3']","['107', '2.5']","['105', '2.3']","['45', '1.7']"
2835,r048,"Cumulative debt -> Undergraduate debt -> $50,001&#8211;$60,000",Cumulative debt,Undergraduate debt,"$50,001&#8211;$60,000",3,"['815', '1.6']","['194', '1.6']","['103', '1.7']","['30', '0.8']","['165', '2.0']","['87', '0.9']","['99', '2.4']","['90', '2.0']","['47', '1.8']"
2835,r049,"Cumulative debt -> Undergraduate debt -> $60,001&#8211;$70,000",Cumulative debt,Undergraduate debt,"$60,001&#8211;$70,000",3,"['502', '1.0']","['133', '1.1']","['67', '1.1']","['18', '0.5']","['109', '1.3']","['39', '0.4']","['66', '1.6']","['48', '1.1']","['22', '0.8']"
2835,r050,"Cumulative debt -> Undergraduate debt -> $70,001&#8211;$80,000",Cumulative debt,Undergraduate debt,"$70,001&#8211;$80,000",3,"['364', '0.7']","['83', '0.7']","['51', '0.8']","['13', '0.3']","['76', '0.9']","['44', '0.5']","['43', '1.0']","['34', '0.8']","['20', '0.8']"
2835,r051,"Cumulative debt -> Undergraduate debt -> $80,001&#8211;$90,000",Cumulative debt,Undergraduate debt,"$80,001&#8211;$90,000",3,"['272', '0.5']","['78', '0.7']","['29', '0.5']","['9', '0.2']","['44', '0.5']","['33', '0.3']","['39', '0.9']","['23', '0.5']","['17', '0.6']"
2835,r052,"Cumulative debt -> Undergraduate debt -> $90,001 or more",Cumulative debt,Undergraduate debt,"$90,001 or more",3,"['831', '1.6']","['212', '1.8']","['81', '1.3']","['22', '0.6']","['190', '2.4']","['87', '0.9']","['105', '2.5']","['86', '1.9']","['48', '1.8']"
2835,r053,Cumulative debt -> Undergraduate debt -> Total,Cumulative debt,Undergraduate debt,Total,3,"['50,806', '100.0']","['11,932', '100.0']","['6,136', '100.0']","['3,899', '100.0']","['8,082', '100.0']","['9,435', '100.0']","['4,204', '100.0']","['4,502', '100.0']","['2,616', '100.0']"
