table_id,row_id,broad_and_major_fields_cycle_2023_data_tables_,trend_broad_and_major_fields_cycle_2023_data_tables_,historical_broad_and_major_fields_cycles_2021_22_data_tables_
11754,r028,"['All fields -> na -> Engineering -> Electrical and computer engineering', 'Major']","['Electrical and computer engineering', 'Major']","['Electrical, electronics, and communications engineering', 'Major']"
11754,r029,"['All fields -> na -> Engineering -> Engineering technologies', 'Major']","['NA', '-']","['NA', '-']"
11754,r030,"['All fields -> na -> Engineering -> Industrial engineering and operations research', 'Major']","['Industrial engineering and operations research', 'Major']","['Industrial and manufacturing engineering', 'Major']"
11754,r031,"['All fields -> na -> Engineering -> Materials and mining engineering', 'Major']","['Materials and mining engineering', 'Major']","['Materials science engineering', 'Major']"
11754,r032,"['All fields -> na -> Engineering -> Mechanical engineering', 'Major']","['Mechanical engineering', 'Major']","['Mechanical engineering', 'Major']"
11754,r033,"['All fields -> na -> Engineering -> Engineering, other', 'Major']","['Engineering, other', 'Major']","['Other engineering', 'Major']"
11754,r034,"['All fields -> na -> Geosciences, atmospheric, and ocean sciences', 'Broad']","['Geosciences, atmospheric, and ocean sciences', 'Broad']","['Geosciences, atmospheric, and ocean sciences', 'Major']"
11754,r035,"['All fields -> na -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences', 'Major']","['Geological sciences', 'Major']","['na', '-']"
11754,r036,"['All fields -> na -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences', 'Major']","['Ocean, marine, and atmospheric sciences', 'Major']","['na', '-']"
11754,r037,"['All fields -> na -> Health sciences', 'Broad']","['Health sciences<sup>a</sup>', 'Broad']","['Health sciences', 'Major']"
11754,r038,"['All fields -> na -> Health sciences -> Nursing and nursing science', 'Major']","['Nursing science ', 'Major']","['na', '-']"
11754,r039,"['All fields -> na -> Health sciences -> Pharmacy and pharmaceutical sciences', 'Major']","['Pharmaceutical sciences', 'Major']","['na', '-']"
11754,r040,"['All fields -> na -> Health sciences -> Public health', 'Major']","['Public health', 'Major']","['na', '-']"
11754,r041,"['All fields -> na -> Health sciences -> Health sciences, other', 'Major']","['Health sciences, other ', 'Major']","['na', '-']"
11754,r042,"['All fields -> na -> na', '-']","['na', '-']","['Mathematics and computer sciences', 'Broad']"
11754,r043,"['All fields -> na -> Mathematics and statistics', 'Broad']","['Mathematics and statistics', 'Broad']","['Mathematics and statistics', 'Major']"
11754,r044,"['All fields -> na -> Mathematics and statistics -> Applied mathematics', 'Major']","['Applied mathematics', 'Major']","['na', '-']"
11754,r045,"['All fields -> na -> Mathematics and statistics -> Mathematics', 'Major']","['Mathematics ', 'Major']","['na', '-']"
11754,r046,"['All fields -> na -> Mathematics and statistics -> Statistics', 'Major']","['Statistics', 'Major']","['na', '-']"
11754,r047,"['All fields -> na -> Mathematics and statistics -> na', '-']","['Mathematics and statistics, other', 'Major']","['na', '-']"
11754,r048,"['All fields -> na -> Multidisciplinary/ interdisciplinary sciences', 'Broad']","['NA', '-']","['NA', '-']"
11754,r049,"['All fields -> na -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences', 'Major']","['NA', '-']","['NA', '-']"
11754,r050,"['All fields -> na -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other', 'Major']","['NA', '-']","['NA', '-']"
11754,r051,"['All fields -> na -> Multidisciplinary/ interdisciplinary sciences -> na', '-']","['na', '-']","['Physical sciences and earth sciences', 'Broad']"
11754,r052,"['All fields -> na -> Physical sciences', 'Broad']","['Physical sciences', 'Broad']","['na', '-']"
11754,r053,"['All fields -> na -> Physical sciences -> Astronomy and astrophysics', 'Major']","['Astronomy and astrophysics', 'Major']","['na', '-']"
11754,r054,"['All fields -> na -> Physical sciences -> Chemistry', 'Major']","['Chemistry', 'Major']","['Chemistry', 'Major']"
11754,r055,"['All fields -> na -> Physical sciences -> Materials sciences', 'Major']","['NA', '-']","['NA', '-']"
11754,r056,"['All fields -> na -> Physical sciences -> Physics', 'Major']","['Physics', 'Major']","['Physics and astronomy', 'Major']"
11754,r057,"['All fields -> na -> Physical sciences -> na', '-']","['na', '-']","['Psychology and social sciences', 'Broad']"
11754,r058,"['All fields -> na -> Psychology', 'Broad']","['Psychology', 'Broad']","['Psychology', 'Major']"
11754,r059,"['All fields -> na -> Psychology -> Clinical psychology', 'Major']","['Clinical psychology', 'Major']","['na', '-']"
11754,r060,"['All fields -> na -> Psychology -> Counseling and applied psychology', 'Major']","['Counseling and applied psychology', 'Major']","['na', '-']"
11754,r061,"['All fields -> na -> Psychology -> Research and experimental psychology', 'Major']","['Research and experimental psychology', 'Major']","['na', '-']"
11754,r062,"['All fields -> na -> Psychology -> Psychology, other', 'Major']","['Psychology, other ', 'Major']","['na', '-']"
11754,r063,"['All fields -> na -> Social sciences', 'Broad']","['Social sciences', 'Broad']","['na', '-']"
11754,r064,"['All fields -> na -> Social sciences -> Anthropology', 'Major']","['Anthropology', 'Major']","['Anthropology', 'Major']"
11754,r065,"['All fields -> na -> Social sciences -> Area, ethnic, cultural, gender, and group studies', 'Major']","['na', '-']","['na', '-']"
11754,r066,"['All fields -> na -> Social sciences -> Economics', 'Major']","['Economics', 'Major']","['Economics', 'Major']"
11754,r067,"['All fields -> na -> Social sciences -> Political science and government', 'Major']","['Political science and government', 'Major']","['Political science and government', 'Major']"
11754,r068,"['All fields -> na -> Social sciences -> Public policy analysis', 'Major']","['Public policy analysis', 'Major']","['na', '-']"
11754,r069,"['All fields -> na -> Social sciences -> Sociology, demography, and population studies', 'Major']","['Sociology, demography, and population studies', 'Major']","['Sociology', 'Major']"
11754,r070,"['All fields -> na -> Social sciences -> Social sciences, other', 'Major']","['Social sciences, other  ', 'Major']","['Other social sciences', 'Major']"
11754,r071,"['All fields -> Non-science and engineering', 'Area']","['Non-science and engineering', 'Area']","['na', '-']"
11754,r072,"['All fields -> Non-science and engineering -> Business', 'Broad']","['Business ', 'Broad']","['Business management and administration', 'Major']"
11754,r073,"['All fields -> Non-science and engineering -> Business -> Business administration and management', 'Major']","['na', '-']","['na', '-']"
11754,r074,"['All fields -> Non-science and engineering -> Business -> Business, other', 'Major']","['na', '-']","['na', '-']"
11754,r075,"['All fields -> Non-science and engineering -> Business -> na', '-']","['Business ', 'Major']","['na', '-']"
11754,r076,"['All fields -> Non-science and engineering -> Education', 'Broad']","['Education', 'Broad']","['Education', 'Broad']"
11754,r077,"['All fields -> Non-science and engineering -> Education -> Education leadership and administration', 'Major']","['Education leadership and administration', 'Major']","['Education administration', 'Major']"
11754,r078,"['All fields -> Non-science and engineering -> Education -> Education research', 'Major']","['Education research', 'Major']","['Education research', 'Major']"
11754,r079,"['All fields -> Non-science and engineering -> Education -> Teacher education and teaching fields', 'Major']","['Teacher education and teaching fields', 'Major']","['Teacher education', 'Major']"
11754,r080,"['All fields -> Non-science and engineering -> Education -> na', '-']","['na', '-']","['Teaching fields', 'Major']"
11754,r081,"['All fields -> Non-science and engineering -> Education -> Education, other', 'Major']","['Education, other ', 'Major']","['Other education', 'Major']"
11754,r082,"['All fields -> Non-science and engineering -> Humanities', 'Broad']","['Humanities and arts', 'Broad']","['Humanities and arts', 'Broad']"
11754,r083,"['All fields -> Non-science and engineering -> Humanities -> English language and literature, letters', 'Major']","['Letters', 'Major']","['Letters', 'Major']"
11754,r084,"['All fields -> Non-science and engineering -> Humanities -> Foreign languages, literatures, and linguistics', 'Major']","['Foreign languages and literature', 'Major']","['Foreign languages and literature', 'Major']"
11754,r085,"['All fields -> Non-science and engineering -> Humanities -> History', 'Major']","['History', 'Major']","['History', 'Major']"
11754,r086,"['All fields -> Non-science and engineering -> Humanities -> Philosophy and religious studies', 'Major']","['Philosophy and religious studies', 'Major']","['na', '-']"
11754,r087,"['All fields -> Non-science and engineering -> Humanities -> na', 'Major']","['Humanities and arts, other', 'Major']","['Other humanities and arts', 'Major']"
11754,r088,"['All fields -> Non-science and engineering -> Humanities -> Humanities, other', 'Major']","['na', '-']","['na', '-']"
11754,r089,"['All fields -> Non-science and engineering -> Visual and performing arts', 'Broad']","['na', '-']","['na', '-']"
11754,r090,"['All fields -> Non-science and engineering -> Visual and performing arts -> Performing arts', 'Major']","['Music and performing arts', 'Major']","['na', '-']"
11754,r091,"['All fields -> Non-science and engineering -> Visual and performing arts -> Visual arts, media studies, and design', 'Major']","['NA', '-']","['NA', '-']"
11754,r092,"['All fields -> Non-science and engineering -> Other non-science and engineering', 'Broad']","['Other non-science and engineering', 'Broad']","['Other', 'Broad']"
11754,r093,"['All fields -> Non-science and engineering -> Other non-science and engineering -> Communications and journalism', 'Major']","['Communication', 'Major']","['Communication', 'Major']"
11754,r094,"['All fields -> Non-science and engineering -> Other non-science and engineering -> Multidisciplinary/ interdisciplinary studies', 'Major']","['NA', '-']","['NA', '-']"
11754,r095,"['All fields -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services', 'Major']","['Public administration and social services', 'Major']","['na', '-']"
11754,r096,"['All fields -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other', 'Major']","['Non-science and engineering, other', 'Major']","['Non-science and engineering fields nec', 'Major']"
