table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
2781,r016,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['120,009', '']","['107,320', '']","['118,631', '']","['125,796', '']","['117,021', '']","['105,151', '']","['115,929', '']","['123,795', '']"
2781,r017,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['6,128,058', ' ']","['6,413,612', ' ']","['6,617,274', ' ']","['7,033,162', ' ']","['6,019,726', ' ']","['6,297,166', ' ']","['6,490,564', ' ']","['6,891,730', ' ']"
2781,r018,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['909,868', '']","['942,704', '']","['1,020,827', '']","['1,065,989', '']","['905,468', '']","['939,793', '']","['1,018,425', '']","['1,062,804', '']"
2781,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['44,616', '']","['42,723', '']","['39,738', '']","['37,956', '']","['44,616', '']","['42,723', '']","['39,738', '']","['37,956', '']"
2781,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['579,087', '']","['556,875', '']","['552,640', '']","['590,470', '']","['563,400', '']","['539,075', '']","['525,170', '']","['561,030', '']"
2781,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['156,644', '']","['168,169', '']","['177,530', '']","['174,123', '']","['137,578', '']","['148,610', '']","['156,437', '']","['152,539', '']"
2781,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['61,625', '']","['66,692', '']","['68,237', '']","['68,371', '']","['61,625', '']","['66,692', '']","['68,237', '']","['68,371', '']"
2781,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['146,436', '']","['154,933', '']","['162,690', '']","['174,712', '']","['146,432', '']","['154,829', '']","['161,448', '']","['173,127', '']"
2781,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['84,232', '']","['90,401', '']","['95,198', '']","['96,697', '']","['84,232', '']","['90,401', '']","['95,198', '']","['96,697', '']"
2781,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['8,600', '']","['6,312', '']","['5,054', '']","['6,987', '']","['7,583', '']","['5,207', '']","['4,647', '']","['6,340', '']"
2781,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['141,860', '']","['169,013', '']","['175,030', '']","['213,369', '']","['141,860', '']","['169,013', '']","['175,030', '']","['213,369', '']"
2781,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['na', '']","['8,622', '']","['46,321', '']","['54,751', '']","['na', '']","['8,622', '']","['46,321', '']","['54,751', '']"
2781,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Studies and Analysis Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Studies and Analysis Institute,3,"['22,038', '']","['na', '']","['na', '']","['na', '']","['22,038', '']","['na', '']","['na', '']","['na', '']"
2781,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['101,628', '']","['104,414', '']","['104,689', '']","['115,813', '']","['101,628', '']","['104,414', '']","['104,689', '']","['115,813', '']"
2781,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center,3,"['9,289', '']","['8,030', '']","['6,697', '']","['7,331', '']","['9,289', '']","['8,030', '']","['6,697', '']","['7,331', '']"
2781,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['32,902', '']","['34,991', '']","['37,598', '']","['39,003', '']","['32,902', '']","['34,991', '']","['37,598', '']","['39,003', '']"
2781,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['13,076', '']","['13,436', '']","['19,556', '']","['22,205', '']","['13,076', '']","['13,436', '']","['19,556', '']","['22,205', '']"
2781,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['62,848', '']","['69,013', '']","['57,743', '']","['67,647', '']","['62,848', '']","['69,013', '']","['57,743', '']","['67,647', '']"
2781,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['362,087', '']","['357,916', '']","['388,500', '']","['455,016', '']","['337,017', '']","['328,197', '']","['349,410', '']","['405,923', '']"
2781,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['966,542', '']","['1,012,155', '']","['1,078,610', '']","['1,124,861', '']","['966,404', '']","['1,009,971', '']","['1,077,697', '']","['1,123,616', '']"
2781,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['1,283,729', '']","['1,403,204', '']","['1,399,445', '']","['1,470,372', '']","['1,251,237', '']","['1,373,042', '']","['1,378,398', '']","['1,454,122', '']"
2781,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['914,747', '']","['983,962', '']","['956,193', '']","['1,012,136', '']","['904,289', '']","['971,060', '']","['943,147', '']","['993,733', '']"
2781,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['49,165', '']","['48,521', '']","['48,858', '']","['48,325', '']","['49,165', '']","['48,521', '']","['48,858', '']","['48,325', '']"
2781,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['7,459', '']","['8,401', '']","['8,086', '']","['9,080', '']","['7,459', '']","['8,401', '']","['8,086', '']","['9,080', '']"
2781,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['169,580', '']","['163,125', '']","['168,034', '']","['177,948', '']","['169,580', '']","['163,125', '']","['168,034', '']","['177,948', '']"
2781,r041,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['7,421,736', ' ']","['7,469,443', ' ']","['7,838,917', ' ']","['8,758,076', ' ']","['7,306,629', ' ']","['7,357,635', ' ']","['7,719,730', ' ']","['8,650,429', ' ']"
2781,r042,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['642,165', '']","['704,223', '']","['748,500', '']","['751,452', '']","['642,165', '']","['704,223', '']","['748,500', '']","['751,452', '']"
2781,r043,All FFRDCs -> Industry-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Industry-administered FFRDCs,Idaho National Laboratory,3,"['521,618', '']","['482,840', '']","['395,112', '']","['478,324', '']","['504,245', '']","['462,659', '']","['376,053', '']","['463,588', '']"
2781,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['1,363,525', '']","['1,290,134', '']","['1,386,687', '']","['1,517,429', '']","['1,326,375', '']","['1,259,015', '']","['1,353,502', '']","['1,480,978', '']"
2781,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['1,987,000', '']","['1,972,769', '']","['2,145,232', '']","['2,461,275', '']","['1,962,000', '']","['1,950,268', '']","['2,120,857', '']","['2,440,514', '']"
2781,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['2,781,547', '']","['2,878,000', '']","['3,009,105', '']","['3,373,217', '']","['2,745,963', '']","['2,839,993', '']","['2,967,822', '']","['3,340,658', '']"
2781,r047,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory,3,"['125,881', '']","['141,477', '']","['154,281', '']","['176,379', '']","['125,881', '']","['141,477', '']","['152,996', '']","['173,239', '']"
