table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total_2019,field_total_2020,field_total_2021,field_total_2022,field_federally_financed_2019,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022
9327,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center<sup>b</sup>,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center<sup>b</sup>,3,"['7,331', '']","['6,765', '']","['5,493', '']","['na', '']","['7,331', '']","['6,708', '']","['5,493', '']","['na', '']"
9327,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['39,003', '']","['42,330', '']","['44,968', '']","['45,870', '']","['39,003', '']","['42,330', '']","['44,968', '']","['45,869', '']"
9327,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['22,205', '']","['23,557', '']","['33,671', '']","['27,955', '']","['22,205', '']","['23,557', '']","['33,671', '']","['27,955', '']"
9327,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['67,647', '']","['64,134', '']","['66,170', '']","['61,097', '']","['67,647', '']","['64,134', '']","['66,170', '']","['61,097', '']"
9327,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['455,016', '']","['511,585', '']","['559,151', '']","['603,356', '']","['405,923', '']","['456,336', '']","['497,047', '']","['536,683', '']"
9327,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['1,124,861', '']","['1,143,701', '']","['1,468,298', '']","['1,286,520', '']","['1,123,616', '']","['1,142,013', '']","['1,463,965', '']","['1,282,762', '']"
9327,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['1,470,372', '']","['1,632,684', '']","['1,760,578', '']","['1,803,543', '']","['1,454,122', '']","['1,616,580', '']","['1,746,756', '']","['1,789,100', '']"
9327,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['1,012,136', '']","['1,071,249', '']","['1,168,268', '']","['1,294,614', '']","['993,733', '']","['1,053,982', '']","['1,142,925', '']","['1,266,328', '']"
9327,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['48,325', '']","['46,936', '']","['47,966', '']","['46,517', '']","['48,325', '']","['46,936', '']","['47,966', '']","['46,517', '']"
9327,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Savannah River National Laboratory<sup>c</sup>,All FFRDCs,Nonprofit-administered FFRDCs,Savannah River National Laboratory<sup>c</sup>,3,"['na', '']","['na', '']","['191,803', '']","['182,654', '']","['na', '']","['na', '']","['189,428', '']","['179,848', '']"
9327,r041,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['9,080', '']","['9,256', '']","['9,784', '']","['10,593', '']","['9,080', '']","['9,256', '']","['9,784', '']","['10,593', '']"
9327,r042,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['177,948', '']","['171,335', '']","['173,792', '']","['201,338', '']","['177,948', '']","['170,949', '']","['173,320', '']","['200,679', '']"
9327,r043,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['8,279,752', ' ']","['8,597,506', ' ']","['8,992,198', ' ']","['10,187,121', ' ']","['8,186,841', ' ']","['8,505,548', ' ']","['8,899,855', ' ']","['9,947,548', ' ']"
9327,r044,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['751,452', '']","['745,726', '']","['861,605', '']","['904,182', '']","['751,452', '']","['745,726', '']","['861,605', '']","['904,182', '']"
9327,r045,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['1,517,429', '']","['1,558,071', '']","['1,613,673', '']","['1,659,808', '']","['1,480,978', '']","['1,526,467', '']","['1,580,263', '']","['1,633,185', '']"
9327,r046,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['2,461,275', '']","['2,722,375', '']","['2,974,164', '']","['3,811,602', '']","['2,440,514', '']","['2,701,388', '']","['2,950,380', '']","['3,629,955', '']"
9327,r047,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['3,373,217', '']","['3,395,241', '']","['3,542,756', '']","['3,811,529', '']","['3,340,658', '']","['3,358,481', '']","['3,507,607', '']","['3,780,226', '']"
9327,r048,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory<sup>c</sup>,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory<sup>c</sup>,3,"['176,379', '']","['176,093', '']","['na', '']","['na', '']","['173,239', '']","['173,486', '']","['na', '']","['na', '']"
