table_id,row_id,sex_and_field_of_highest_degree_full_path,sex_and_field_of_highest_degree_level_1,sex_and_field_of_highest_degree_level_2,sex_and_field_of_highest_degree_level_3,sex_and_field_of_highest_degree_level_4,sex_and_field_of_highest_degree_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_type_of_disability_hearing,field_type_of_disability_seeing,field_type_of_disability_walking,field_type_of_disability_lifting,field_type_of_disability_cognitive
7765,r013,"Both sexes, all fields -> Female -> S&E fields -> Computer and mathematical sciences","Both sexes, all fields",Female,S&E fields,Computer and mathematical sciences,4,391000,28000,,169000,24000,,164000,5000,356000,35000,6000,13000,S,4000,17000
7765,r014,"Both sexes, all fields -> Female -> S&E fields -> Physical and related sciences","Both sexes, all fields",Female,S&E fields,Physical and related sciences,4,131000,10000,,28000,2000,,87000,3000,115000,16000,2000,6000,,S,9000
7765,r015,"Both sexes, all fields -> Female -> S&E fields -> Social and related sciences","Both sexes, all fields",Female,S&E fields,Social and related sciences,4,391000,44000,1000,36000,24000,,275000,10000,346000,45000,14000,14000,6000,7000,16000
7765,r016,"Both sexes, all fields -> Female -> S&E fields -> Engineering","Both sexes, all fields",Female,S&E fields,Engineering,4,366000,41000,,126000,12000,,178000,7000,333000,33000,7000,20000,0.05,4000,9000
7765,r017,"Both sexes, all fields -> Female -> S&E-related fields","Both sexes, all fields",Female,S&E-related fields,,3,164000,14000,,32000,19000,,97000,3000,153000,11000,2000,5000,S,S,5000
7765,r018,"Both sexes, all fields -> Female -> Non-S&E fields","Both sexes, all fields",Female,Non-S&E fields,,3,505000,39000,,50000,46000,,361000,9000,431000,75000,18000,27000,S,S,26000
7765,r019,"Both sexes, all fields -> Male","Both sexes, all fields",Male,,,2,5594000,485000,7000,1154000,255000,11000,3557000,124000,4957000,637000,228000,234000,59000,65000,232000
7765,r020,"Both sexes, all fields -> Male -> S&E fields","Both sexes, all fields",Male,S&E fields,,3,4427000,386000,4000,980000,196000,10000,2755000,98000,3948000,479000,176000,184000,44000,49000,177000
7765,r021,"Both sexes, all fields -> Male -> S&E fields -> Biological, agricultural, and environmental life sciences","Both sexes, all fields",Male,S&E fields,"Biological, agricultural, and environmental life sciences",4,416000,39000,0.05,63000,15000,,291000,7000,366000,50000,14000,15000,5000,9000,24000
7765,r022,"Both sexes, all fields -> Male -> S&E fields -> Computer and mathematical sciences","Both sexes, all fields",Male,S&E fields,Computer and mathematical sciences,4,1404000,107000,S,370000,86000,S,796000,41000,1243000,160000,50000,67000,18000,20000,65000
7765,r023,"Both sexes, all fields -> Male -> S&E fields -> Physical and related sciences","Both sexes, all fields",Male,S&E fields,Physical and related sciences,4,330000,26000,,60000,8000,,229000,8000,278000,52000,19000,23000,2000,1000,13000
7765,r024,"Both sexes, all fields -> Male -> S&E fields -> Social and related sciences","Both sexes, all fields",Male,S&E fields,Social and related sciences,4,367000,41000,S,22000,18000,S,277000,7000,317000,51000,17000,13000,6000,3000,23000
7765,r025,"Both sexes, all fields -> Male -> S&E fields -> Engineering","Both sexes, all fields",Male,S&E fields,Engineering,4,1911000,173000,1000,465000,69000,5000,1162000,35000,1744000,167000,75000,66000,14000,15000,52000
7765,r026,"Both sexes, all fields -> Male -> S&E-related fields","Both sexes, all fields",Male,S&E-related fields,,3,275000,21000,,71000,12000,,165000,2000,238000,37000,13000,13000,2000,3000,13000
7765,r027,"Both sexes, all fields -> Male -> Non-S&E fields","Both sexes, all fields",Male,Non-S&E fields,,3,891000,78000,S,103000,47000,S,637000,24000,771000,120000,39000,37000,13000,14000,41000
