table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_company,field_paid_for_by_others,field_research_basic_and_applied_total,field_research_basic_and_applied_paid_for_by_company,field_research_basic_and_applied_paid_for_by_others,field_development_total,field_development_paid_for_by_company,field_development_paid_for_by_others
746,r013,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,4,other 51,"['25,784', '&nbsp;']","['25,733', '&nbsp;']","['51', '&nbsp;']","['1,996', '&nbsp;']","['1,964', '&nbsp;']","['32', '&nbsp;']","['23,788', '&nbsp;']","['23,769', '&nbsp;']","['19', '&nbsp;']"
746,r014,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,3,54,"['17,300', '&nbsp;']","['9,398', '&nbsp;']","['7,902', '&nbsp;']","['3,684', '&nbsp;']","['1,658', '&nbsp;']","['2,026', '&nbsp;']","['13,616', 'i']","['7,740', '&nbsp;']","['5,876', 'i']"
746,r015,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific R&D services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific R&D services,4,5417,"['7,306', '&nbsp;']","['351', '&nbsp;']","['6,956', '&nbsp;']","['1,375', 'i']","['140', '&nbsp;']","['1,235', 'i']","['5,932', 'i']","['211', '&nbsp;']","['5,721', 'i']"
746,r016,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",4,other 54,"['9,994', '&nbsp;']","['9,048', '&nbsp;']","['946', '&nbsp;']","['2,310', '&nbsp;']","['1,518', '&nbsp;']","['791', '&nbsp;']","['7,684', '&nbsp;']","['7,529', '&nbsp;']","['155', 'i']"
746,r017,Foreign R&D performance,Foreign R&D performance,,,,1,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
746,r018,All industries,All industries,,,,1,"21–23, 31–33, 42–81","['73,691', '&nbsp;']","['67,822', '&nbsp;']","['5,868', '&nbsp;']","['18,496', '&nbsp;']","['17,552', '&nbsp;']","['944', 'i']","['55,195', '&nbsp;']","['50,270', '&nbsp;']","['4,925', 'i']"
746,r019,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,2,31–33,"['51,919', '&nbsp;']","['50,616', '&nbsp;']","['1,304', '&nbsp;']","['13,300', '&nbsp;']","['13,056', '&nbsp;']","['243', '&nbsp;']","['38,620', '&nbsp;']","['37,559', '&nbsp;']","['1,060', 'i']"
746,r020,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,3,325,"['13,146', '&nbsp;']","['12,919', '&nbsp;']","['227', '&nbsp;']","['3,498', '&nbsp;']","['3,431', '&nbsp;']","['67', '&nbsp;']","['9,648', '&nbsp;']","['9,488', '&nbsp;']","['159', '&nbsp;']"
746,r021,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['10,591', '&nbsp;']","['10,387', '&nbsp;']","['205', '&nbsp;']","['2,464', '&nbsp;']","['2,415', '&nbsp;']","['49', '&nbsp;']","['8,127', '&nbsp;']","['7,972', '&nbsp;']","['156', '&nbsp;']"
746,r022,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,4,other 325,"['2,555', '&nbsp;']","['2,532', '&nbsp;']","['22', '&nbsp;']","['1,034', '&nbsp;']","['1,016', '&nbsp;']","['19', '&nbsp;']","['1,521', '&nbsp;']","['1,517', '&nbsp;']","['4', '&nbsp;']"
746,r023,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,3,334,"['20,674', '&nbsp;']","['20,362', '&nbsp;']","['312', '&nbsp;']","['6,540', '&nbsp;']","['6,480', '&nbsp;']","['60', 'i']","['14,134', 'i']","['13,882', 'i']","['252', 'i']"
746,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,4,3344,"['9,896', '&nbsp;']","['9,818', '&nbsp;']","['78', '&nbsp;']","['1,813', 'i']","['1,807', 'i']","['5', '&nbsp;']","['8,084', 'i']","['8,011', 'i']","['73', '&nbsp;']"
746,r025,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['10,778', '&nbsp;']","['10,543', '&nbsp;']","['234', '&nbsp;']","['4,728', '&nbsp;']","['4,673', '&nbsp;']","['55', 'i']","['6,050', '&nbsp;']","['5,870', '&nbsp;']","['180', 'i']"
746,r026,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,2,"21–23, 42–81","['21,771', '&nbsp;']","['17,207', '&nbsp;']","['4,565', '&nbsp;']","['5,196', '&nbsp;']","['4,496', '&nbsp;']","['700', 'i']","['16,575', '&nbsp;']","['12,711', '&nbsp;']","['3,864', 'i']"
746,r027,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,3,51,"['12,523', '&nbsp;']","['12,507', '&nbsp;']","['15', '&nbsp;']","['1,728', '&nbsp;']","['1,726', '&nbsp;']","['2', '&nbsp;']","['10,794', '&nbsp;']","['10,781', '&nbsp;']","['13', '&nbsp;']"
746,r028,All industries -> Nonmanufacturing industries -> Information -> Software publishers,All industries,Nonmanufacturing industries,Information,Software publishers,4,5112,"['8,832', '&nbsp;']","['8,823', '&nbsp;']","['9', '&nbsp;']","['1,310', '&nbsp;']","['1,310', '&nbsp;']","['*', 'i']","['7,522', '&nbsp;']","['7,513', '&nbsp;']","['9', '&nbsp;']"
746,r029,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,4,other 51,"['3,691', '&nbsp;']","['3,684', '&nbsp;']","['7', '&nbsp;']","['418', '&nbsp;']","['416', '&nbsp;']","['2', '&nbsp;']","['3,272', 'i']","['3,267', 'i']","['5', '&nbsp;']"
746,r030,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,3,54,"['7,650', '&nbsp;']","['3,139', '&nbsp;']","['4,511', '&nbsp;']","['3,278', '&nbsp;']","['2,580', '&nbsp;']","['698', 'i']","['4,373', 'i']","['560', '&nbsp;']","['3,813', 'i']"
746,r031,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific R&D services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific R&D services,4,5417,"['4,378', '&nbsp;']","['77', '&nbsp;']","['4,300', '&nbsp;']","['543', 'i']","['24', '&nbsp;']","['519', 'i']","['3,835', 'i']","['54', '&nbsp;']","['3,782', 'i']"
746,r032,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",4,other 54,"['3,273', '&nbsp;']","['3,062', '&nbsp;']","['211', '&nbsp;']","['2,735', '&nbsp;']","['2,556', '&nbsp;']","['179', '&nbsp;']","['538', '&nbsp;']","['506', '&nbsp;']","['32', '&nbsp;']"
