table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
3508,r029,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,30403,4.4,21399,5.2,9004,3.2,961,1.5,na,na
3508,r030,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,
3508,r031,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,1246,0.2,795,0.2,451,0.2,41,0.1,na,na
3508,r032,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,23391,3.4,14986,3.7,8405,3.0,2613,3.9,na,na
3508,r033,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,23323,3.4,17005,4.2,6318,2.2,655,1.0,na,na
3508,r034,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,400,0.1,288,0.1,112,0.05,26,0.05,na,na
3508,r035,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,138318,20.0,86803,21.3,51515,18.3,7992,12.1,na,na
3508,r036,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,8495,1.2,5380,1.3,3115,1.1,276,0.4,na,na
3508,r037,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,12591,1.8,9028,2.2,3563,1.3,1318,2.0,na,na
3508,r038,All individuals -> Female -> Temporary visa holders,All individuals,Female,Temporary visa holders,,,3,86955,12.6,46776,11.5,40179,14.3,13192,19.9,na,na
