table_id,row_id,field_and_sex_full_path,field_and_sex_level_1,field_and_sex_level_2,field_and_sex_level_3,field_and_sex_hierarchy_depth,field_1989_number,field_1989_percent,field_1994_number,field_1994_percent,field_1999_number,field_1999_percent,field_2004_number,field_2004_percent,field_2009_number,field_2009_percent,field_2014_number,field_2014_percent,field_2019_number,field_2019_percent
2812,r014,All fields<sup>a</sup> -> Psychology and social sciences -> Male,All fields<sup>a</sup>,Psychology and social sciences,Male,3,3375,54.2,3444,49.9,3332,45.3,3191,44.6,3297,41.5,3507,40.2,3672,40.5
2812,r015,All fields<sup>a</sup> -> Psychology and social sciences -> Female,All fields<sup>a</sup>,Psychology and social sciences,Female,3,2850,45.8,3451,50.1,4029,54.7,3967,55.4,4646,58.5,5217,59.8,5399,59.5
2812,r016,All fields<sup>a</sup> -> Engineering,All fields<sup>a</sup>,Engineering,,2,4543,100.0,5784,100.0,5292,100.0,5776,100.0,7637,100.0,9585,100.0,10301,100.0
2812,r017,All fields<sup>a</sup> -> Engineering -> Male,All fields<sup>a</sup>,Engineering,Male,3,4168,91.7,5149,89.0,4504,85.1,4755,82.3,6006,78.6,7401,77.2,7833,76.0
2812,r018,All fields<sup>a</sup> -> Engineering -> Female,All fields<sup>a</sup>,Engineering,Female,3,375,8.3,635,11.0,788,14.9,1021,17.7,1631,21.4,2184,22.8,2468,24.0
2812,r019,All fields<sup>a</sup> -> Education,All fields<sup>a</sup>,Education,,2,6280,100.0,6702,100.0,6538,100.0,6634,100.0,6527,100.0,4779,100.0,4635,100.0
2812,r020,All fields<sup>a</sup> -> Education -> Male,All fields<sup>a</sup>,Education,Male,3,2670,42.5,2612,39.0,2339,35.8,2264,34.1,2161,33.1,1468,30.7,1422,30.7
2812,r021,All fields<sup>a</sup> -> Education -> Female,All fields<sup>a</sup>,Education,Female,3,3610,57.5,4090,61.0,4199,64.2,4370,65.9,4366,66.9,3311,69.3,3213,69.3
2812,r022,All fields<sup>a</sup> -> Humanities and arts,All fields<sup>a</sup>,Humanities and arts,,2,3520,100.0,4684,100.0,5247,100.0,5245,100.0,4903,100.0,5520,100.0,5052,100.0
2812,r023,All fields<sup>a</sup> -> Humanities and arts -> Male,All fields<sup>a</sup>,Humanities and arts,Male,3,2023,57.5,2554,54.5,2760,52.6,2574,49.1,2404,49.0,2760,50.0,2479,49.1
2812,r024,All fields<sup>a</sup> -> Humanities and arts -> Female,All fields<sup>a</sup>,Humanities and arts,Female,3,1497,42.5,2130,45.5,2487,47.4,2671,50.9,2499,51.0,2760,50.0,2573,50.9
2812,r025,All fields<sup>a</sup> -> Other<sup>c</sup>,All fields<sup>a</sup>,Other<sup>c</sup>,,2,1960,100.0,2317,100.0,2116,100.0,2448,100.0,2805,100.0,3031,100.0,3034,100.0
2812,r026,All fields<sup>a</sup> -> Other<sup>c</sup> -> Male,All fields<sup>a</sup>,Other<sup>c</sup>,Male,3,1233,62.9,1406,60.7,1221,57.7,1291,52.7,1420,50.6,1478,48.8,1414,46.6
2812,r027,All fields<sup>a</sup> -> Other<sup>c</sup> -> Female,All fields<sup>a</sup>,Other<sup>c</sup>,Female,3,727,37.1,911,39.3,895,42.3,1157,47.3,1385,49.4,1553,51.2,1620,53.4
