table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
4499,r018,All fields -> Science -> Physical sciences -> Chemistry,All fields,Science,Physical sciences,Chemistry,4,66.0,70.9,65.0,64.5,62.5,60.2,69.5,72.7,68.5,58.8,51.3,56.0,54.6,57.4,45.3,56.2
4499,r019,All fields -> Science -> Physical sciences -> Materials science,All fields,Science,Physical sciences,Materials science,4,na,na,na,na,na,na,na,na,na,na,na,na,45.3,63.5,56.7,60.9
4499,r020,All fields -> Science -> Physical sciences -> Physics,All fields,Science,Physical sciences,Physics,4,71.4,73.1,73.0,76.2,78.8,66.1,81.6,81.6,80.9,77.7,79.8,78.0,73.6,79.0,73.0,72.5
4499,r021,All fields -> Science -> Physical sciences -> Physical sciences nec,All fields,Science,Physical sciences,Physical sciences nec,4,52.6,39.2,40.1,37.2,47.6,64.4,74.4,69.7,75.8,70.5,60.2,60.9,62.3,49.6,28.7,39.4
4499,r022,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,71.7,63.1,68.5,61.1,58.6,60.4,70.6,73.5,69.1,38.6,46.8,57.1,51.3,39.3,50.6,48.1
4499,r023,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,41.1,35.3,34.1,54.5,57.9,66.9,45.8,48.9,46.2,41.6,29.7,25.4,23.7,16.2,16.4,24.0
4499,r024,All fields -> Science -> Social sciences -> Anthropology,All fields,Science,Social sciences,Anthropology,4,na,na,na,na,na,na,na,na,na,na,na,na,44.0,25.9,33.3,18.0
4499,r025,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,34.5,39.7,29.7,39.9,37.7,22.5,44.9,31.7,49.6,71.7,28.9,7.7,8.4,6.7,5.3,7.7
4499,r026,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,71.8,56.9,54.2,49.2,30.9,41.3,50.9,41.2,46.7,41.2,38.0,24.1,13.0,11.8,26.1,29.1
4499,r027,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,48.2,37.7,29.1,52.7,58.1,75.2,56.1,56.6,42.8,28.7,25.8,37.9,27.9,17.1,21.0,29.9
4499,r028,All fields -> Science -> Social sciences -> Social sciences nec,All fields,Science,Social sciences,Social sciences nec,4,34.7,31.0,34.0,56.7,62.8,70.2,43.6,52.2,46.3,34.0,30.8,26.5,31.4,19.0,14.9,25.8
4499,r029,All fields -> Science -> Sciences nec,All fields,Science,Sciences nec,,3,20.1,25.6,32.5,25.9,30.3,24.6,20.2,28.3,27.2,32.2,33.3,18.9,25.8,25.2,21.1,21.9
4499,r030,All fields -> Science -> Engineering,All fields,Science,Engineering,,3,56.4,57.6,57.7,57.5,56.5,55.2,58.0,56.1,52.8,45.7,36.5,43.7,41.3,41.2,44.5,39.6
4499,r031,"All fields -> Science -> Engineering -> Aerospace, aeronautical, and astronautical",All fields,Science,Engineering,"Aerospace, aeronautical, and astronautical",4,71.9,67.5,62.7,65.9,72.1,62.3,53.2,56.6,56.3,40.3,40.4,48.1,60.2,61.7,53.8,55.6
4499,r032,All fields -> Science -> Engineering -> Bioengineering and biomedical,All fields,Science,Engineering,Bioengineering and biomedical,4,53.0,43.5,46.1,50.2,53.1,53.7,61.0,53.7,43.5,41.9,50.2,43.9,41.8,47.2,41.2,45.0
4499,r033,All fields -> Science -> Engineering -> Chemical,All fields,Science,Engineering,Chemical,4,32.4,53.9,57.7,50.9,46.6,44.6,50.0,55.0,45.8,31.1,41.3,45.8,44.7,33.8,37.8,36.4
4499,r034,All fields -> Science -> Engineering -> Civil,All fields,Science,Engineering,Civil,4,60.9,58.0,46.1,47.7,49.5,40.8,43.2,39.0,37.1,29.4,36.1,41.3,35.4,35.0,33.9,35.4
4499,r035,"All fields -> Science -> Engineering -> Electrical, electronic, and communications",All fields,Science,Engineering,"Electrical, electronic, and communications",4,69.1,66.7,66.5,66.4,63.4,59.3,67.1,63.8,64.5,57.9,61.6,62.5,59.2,57.9,59.0,58.7
4499,r036,All fields -> Science -> Engineering -> Industrial and manufacturing,All fields,Science,Engineering,Industrial and manufacturing,4,na,na,na,na,na,na,na,na,na,na,na,na,69.2,49.8,67.6,71.1
4499,r037,All fields -> Science -> Engineering -> Mechanical,All fields,Science,Engineering,Mechanical,4,65.9,69.7,77.8,72.3,61.9,64.8,55.9,61.5,58.1,53.5,51.6,53.5,45.2,47.7,49.1,52.7
4499,r038,All fields -> Science -> Engineering -> Metallurgical and materials,All fields,Science,Engineering,Metallurgical and materials,4,65.1,66.1,58.3,65.2,61.7,54.8,58.8,55.7,52.1,45.1,13.8,20.1,49.0,52.5,59.4,56.1
4499,r039,All fields -> Science -> Engineering -> Engineering nec,All fields,Science,Engineering,Engineering nec,4,45.2,40.3,36.9,37.7,43.5,52.8,60.2,51.3,46.4,41.6,45.5,38.8,22.2,18.4,22.7,14.5
4499,r040,All fields -> Science -> Non-S&E,All fields,Science,Non-S&E,,3,na,na,na,na,na,na,28.6,27.2,24.4,26.2,23.0,16.2,19.2,18.9,17.6,11.8
4499,r041,All fields -> Science -> Non-S&E -> Business management and business administration,All fields,Science,Non-S&E,Business management and business administration,4,na,na,na,na,na,na,14.8,37.2,18.4,8.8,9.7,2.9,2.7,4.8,7.1,2.8
4499,r042,All fields -> Science -> Non-S&E -> Communication and communications technologies,All fields,Science,Non-S&E,Communication and communications technologies,4,na,na,na,na,na,na,12.1,3.2,6.1,40.4,20.1,17.9,14.4,28.1,6.6,3.5
4499,r043,All fields -> Science -> Non-S&E -> Education,All fields,Science,Non-S&E,Education,4,na,na,na,na,na,na,65.7,70.1,46.8,60.4,63.8,33.6,25.7,34.9,20.5,26.9
4499,r044,All fields -> Science -> Non-S&E -> Humanities,All fields,Science,Non-S&E,Humanities,4,na,na,na,na,na,na,10.4,11.1,18.5,21.3,6.2,7.1,1.6,1.4,30.2,0.6
4499,r045,All fields -> Science -> Non-S&E -> Law,All fields,Science,Non-S&E,Law,4,na,na,na,na,na,na,4.0,82.4,18.9,42.3,9.3,14.8,38.1,33.9,10.1,34.6
4499,r046,All fields -> Science -> Non-S&E -> Social work,All fields,Science,Non-S&E,Social work,4,na,na,na,na,na,na,19.6,75.2,56.6,55.5,45.2,14.5,50.4,35.8,32.7,8.1
4499,r047,All fields -> Science -> Non-S&E -> Visual and performing arts,All fields,Science,Non-S&E,Visual and performing arts,4,na,na,na,na,na,na,1.6,10.1,57.7,9.4,19.9,14.7,11.2,9.9,15.1,9.5
4499,r048,All fields -> Science -> Non-S&E -> Non-S&E nec,All fields,Science,Non-S&E,Non-S&E nec,4,na,na,na,na,na,na,34.4,16.8,26.3,23.3,16.5,19.5,25.4,19.5,18.3,15.5
