table_id,row_id,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
3409,r016,All occupations -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,Male,Native Hawaiian or Other Pacific Islander,,,,3,150,S,50,,,
3409,r017,All occupations -> Male -> More than one race<sup>b</sup>,All occupations,Male,More than one race<sup>b</sup>,,,,3,2100,500,550,400,150,450
3409,r018,All occupations -> S&E occupations<sup>c</sup>,All occupations,S&E occupations<sup>c</sup>,,,,,2,266300,86950,59550,55200,19050,45550
3409,r019,All occupations -> S&E occupations<sup>c</sup> -> Female,All occupations,S&E occupations<sup>c</sup>,Female,,,,3,94050,21800,21550,22650,8500,19500
3409,r020,All occupations -> S&E occupations<sup>c</sup> -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Female,White,,,4,65050,16900,15600,15450,6250,10850
3409,r021,All occupations -> S&E occupations<sup>c</sup> -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Female,Asian,,,4,17850,2900,3550,3900,1300,6200
3409,r022,All occupations -> S&E occupations<sup>c</sup> -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Female,Black or African American,,,4,3800,600,1050,1050,250,800
3409,r023,All occupations -> S&E occupations<sup>c</sup> -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Female,Hispanic or Latino<sup>a</sup>,,,4,5400,1100,1000,1550,550,1200
3409,r024,All occupations -> S&E occupations<sup>c</sup> -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Female,American Indian or Alaska Native,,,4,150,50,50,50,,
3409,r025,All occupations -> S&E occupations<sup>c</sup> -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Female,Native Hawaiian or Other Pacific Islander,,,4,150,,,50,,
3409,r026,All occupations -> S&E occupations<sup>c</sup> -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Female,More than one race<sup>b</sup>,,,4,1650,250,300,600,150,400
3409,r027,All occupations -> S&E occupations<sup>c</sup> -> Male,All occupations,S&E occupations<sup>c</sup>,Male,,,,3,172250,65150,38000,32550,10550,26050
3409,r028,All occupations -> S&E occupations<sup>c</sup> -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Male,White,,,4,118500,48450,26550,20250,7400,15850
3409,r029,All occupations -> S&E occupations<sup>c</sup> -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Male,Asian,,,4,38650,12250,7400,8850,1900,8300
3409,r030,All occupations -> S&E occupations<sup>c</sup> -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Male,Black or African American,,,4,5550,1650,1550,1350,500,500
3409,r031,All occupations -> S&E occupations<sup>c</sup> -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Male,Hispanic or Latino<sup>a</sup>,,,4,7600,2350,1900,1700,600,1100
3409,r032,All occupations -> S&E occupations<sup>c</sup> -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Male,American Indian or Alaska Native,,,4,200,50,S,0.05,,
3409,r033,All occupations -> S&E occupations<sup>c</sup> -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Male,Native Hawaiian or Other Pacific Islander,,,4,100,,,,,
3409,r034,All occupations -> S&E occupations<sup>c</sup> -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Male,More than one race<sup>b</sup>,,,4,1700,350,500,400,150,300
3409,r035,All occupations -> S&E occupations<sup>c</sup> -> Science occupations,All occupations,S&E occupations<sup>c</sup>,Science occupations,,,,3,230400,73200,51550,47350,16950,41300
3409,r036,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Female,All occupations,S&E occupations<sup>c</sup>,Science occupations,Female,,,4,88050,20200,20200,21000,7900,18700
3409,r037,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Female,White,,5,61550,16100,14650,14400,5850,10500
3409,r038,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Female,Asian,,5,16050,2300,3200,3400,1150,5900
3409,r039,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Female,Black or African American,,5,3550,550,1000,1000,250,750
3409,r040,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Female,Hispanic or Latino<sup>a</sup>,,5,5100,950,950,1500,500,1150
3409,r041,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Female,American Indian or Alaska Native,,5,150,50,50,50,,
3409,r042,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Female,Native Hawaiian or Other Pacific Islander,,5,150,,,50,,
3409,r043,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Female,More than one race<sup>b</sup>,,5,1600,200,300,550,150,400
3409,r044,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Male,All occupations,S&E occupations<sup>c</sup>,Science occupations,Male,,,4,142300,53000,31350,26350,9000,22600
3409,r045,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Male,White,,5,101900,41500,22700,17250,6500,13950
3409,r046,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Male,Asian,,5,27800,7900,5250,6200,1450,7000
3409,r047,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Male,Black or African American,,5,4650,1350,1350,1150,450,400
3409,r048,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Male,Hispanic or Latino<sup>a</sup>,,5,6300,1850,1550,1450,500,950
3409,r049,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Male,American Indian or Alaska Native,,5,150,S,S,0.05,,
3409,r050,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Male,Native Hawaiian or Other Pacific Islander,,5,50,,,,,
3409,r051,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Male,More than one race<sup>b</sup>,,5,1400,350,400,300,100,250
3409,r052,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,,,4,76650,19850,13900,14800,4900,23300
3409,r053,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,,5,31550,5300,5450,6900,2300,11550
3409,r054,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,White,6,20650,4200,3800,4850,1800,6050
3409,r055,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,Asian,6,7450,700,1150,1150,250,4200
3409,r056,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,Black or African American,6,900,50,150,250,100,350
3409,r057,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,Hispanic or Latino<sup>a</sup>,6,1850,250,200,500,150,700
3409,r058,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,American Indian or Alaska Native,6,,,,,,
3409,r059,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,Native Hawaiian or Other Pacific Islander,6,50,,,,,
3409,r060,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Female,More than one race<sup>b</sup>,6,550,50,100,150,50,200
3409,r061,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,,5,45100,14500,8450,7850,2600,11700
3409,r062,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,White,6,31750,12000,5950,5000,1800,7000
3409,r063,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,Asian,6,9750,1750,1650,2000,550,3850
3409,r064,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,Black or African American,6,1000,300,200,250,50,200
3409,r065,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,Hispanic or Latino<sup>a</sup>,6,2100,400,450,550,150,550
3409,r066,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,American Indian or Alaska Native,6,0.05,,,,,
3409,r067,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,Native Hawaiian or Other Pacific Islander,6,50,,,,,
3409,r068,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Biological/ agricultural/ other life scientist,Male,More than one race<sup>b</sup>,6,450,50,150,100,,100
3409,r069,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,,,4,14050,4200,2900,3500,750,2750
3409,r070,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Female,,5,2700,800,450,700,200,550
3409,r071,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Female,White,6,1450,450,250,400,100,300
3409,r072,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Female,Asian,6,1000,300,150,250,50,250
3409,r073,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Female,Black or African American,6,100,,50,S,,
3409,r074,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Female,Hispanic or Latino<sup>a</sup>,6,100,,,,,
3409,r075,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Female,American Indian or Alaska Native,6,,,,,,
3409,r076,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Female,Native Hawaiian or Other Pacific Islander,6,,,,,,
3409,r077,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Female,More than one race<sup>b</sup>,6,0.05,,,,,
3409,r078,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Male,,5,11350,3400,2400,2800,550,2200
3409,r079,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Male,White,6,6550,2050,1400,1600,250,1300
3409,r080,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Male,Asian,6,4100,1200,850,1050,S,750
3409,r081,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Male,Black or African American,6,250,50,50,100,,
3409,r082,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Male,Hispanic or Latino<sup>a</sup>,6,300,50,50,50,50,100
3409,r083,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Male,American Indian or Alaska Native,6,,,,,,
3409,r084,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Male,Native Hawaiian or Other Pacific Islander,6,,,,,,
3409,r085,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Computer/ information scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Computer/ information scientist,Male,More than one race<sup>b</sup>,6,S,,,,,
3409,r086,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,,,4,21600,7950,5550,4400,2000,1700
3409,r087,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Female,,5,6100,1400,1800,1450,850,650
3409,r088,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Female,White,6,4000,1150,1100,900,550,300
3409,r089,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Female,Asian,6,1700,200,550,400,300,300
3409,r090,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Female,Black or African American,6,200,,100,S,,
3409,r091,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Female,Hispanic or Latino<sup>a</sup>,6,150,50,0.05,50,50,
3409,r092,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Female,American Indian or Alaska Native,6,,,,,,
3409,r093,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Female,Native Hawaiian or Other Pacific Islander,6,,,,,,
3409,r094,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Female,More than one race<sup>b</sup>,6,50,,,50,,
3409,r095,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Male,,5,15450,6550,3750,2950,1150,1000
3409,r096,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Male,White,6,10050,4400,2600,1650,850,550
3409,r097,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Male,Asian,6,4150,1650,950,1000,250,350
3409,r098,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Male,Black or African American,6,400,100,100,150,,50
3409,r099,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Male,Hispanic or Latino<sup>a</sup>,6,800,400,100,150,50,100
3409,r100,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Male,American Indian or Alaska Native,6,,,,,,
3409,r101,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Male,Native Hawaiian or Other Pacific Islander,6,,,,,,
3409,r102,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Mathematical scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Mathematical scientist,Male,More than one race<sup>b</sup>,6,50,,,,,
3409,r103,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,,,4,42000,14350,8500,8200,3700,7250
3409,r104,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Female,,5,10900,2600,2450,2600,1400,1800
3409,r105,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Female,White,6,7850,2200,1900,1800,1000,1050
3409,r106,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Female,Asian,6,2000,300,400,500,300,550
3409,r107,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Female,Black or African American,6,200,,50,100,,
3409,r108,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Female,Hispanic or Latino<sup>a</sup>,6,550,100,100,150,100,100
3409,r109,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Female,American Indian or Alaska Native,6,,,,,,
3409,r110,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Female,Native Hawaiian or Other Pacific Islander,6,,,,,,
3409,r111,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Female,More than one race<sup>b</sup>,6,200,S,50,100,,S
3409,r112,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Male,,5,31100,11750,6050,5600,2300,5450
3409,r113,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Male,White,6,22900,9250,4750,3900,1700,3250
3409,r114,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Male,Asian,6,6100,1850,750,1200,400,1900
3409,r115,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Male,Black or African American,6,800,200,250,200,100,100
3409,r116,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Male,Hispanic or Latino<sup>a</sup>,6,1000,350,250,250,50,100
3409,r117,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Male,American Indian or Alaska Native,6,,,,,,
3409,r118,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Male,Native Hawaiian or Other Pacific Islander,6,,,,,,
3409,r119,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Physical scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Science occupations,Physical scientist,Male,More than one race<sup>b</sup>,6,300,S,50,50,50,100
3409,r120,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Psychologist,All occupations,S&E occupations<sup>c</sup>,Science occupations,Psychologist,,,4,25900,8550,6150,5900,1950,3350
3409,r121,All occupations -> S&E occupations<sup>c</sup> -> Science occupations -> Psychologist -> Female,All occupations,S&E occupations<sup>c</sup>,Science occupations,Psychologist,Female,,5,15300,4100,3700,3850,1350,2250
