table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_hierarchy_depth,field_1990_number,field_1990_percent,field_1995_number,field_1995_percent,field_2000_number,field_2000_percent,field_2005_number,field_2005_percent,field_2010_number,field_2010_percent,field_2015_number,field_2015_percent,field_2020_number,field_2020_percent
4649,r018,All fields -> Psychology and social sciences -> Sociology,All fields,Psychology and social sciences,Sociology,3,428,1.2,540,1.3,617,1.5,536,1.2,639,1.3,741,1.4,607,1.1
4649,r019,All fields -> Psychology and social sciences -> Other social sciences,All fields,Psychology and social sciences,Other social sciences,3,974,2.7,1008,2.4,1156,2.8,1156,2.7,1515,3.2,1950,3.6,2159,3.9
4649,r020,All fields -> Engineering,All fields,Engineering,,2,4894,13.6,6008,14.4,5323,12.9,6426,14.8,7578,15.8,9875,18.0,10476,18.9
4649,r021,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,192,0.5,252,0.6,214,0.5,219,0.5,252,0.5,361,0.7,399,0.7
4649,r022,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,129,0.4,189,0.5,251,0.6,417,1.0,824,1.7,1125,2.0,1083,2.0
4649,r023,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,561,1.6,602,1.4,619,1.5,774,1.8,822,1.7,1002,1.8,994,1.8
4649,r024,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,505,1.4,572,1.4,480,1.2,622,1.4,643,1.3,632,1.2,796,1.4
4649,r025,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,1110,3.1,1513,3.6,1330,3.2,1547,3.6,1778,3.7,1997,3.6,1973,3.6
4649,r026,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,151,0.4,284,0.7,176,0.4,221,0.5,215,0.4,243,0.4,304,0.5
4649,r027,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,3,307,0.9,476,1.1,404,1.0,493,1.1,670,1.4,871,1.6,880,1.6
4649,r028,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,773,2.1,917,2.2,807,2.0,892,2.1,983,2.0,1466,2.7,1634,3.0
4649,r029,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1166,3.2,1203,2.9,1042,2.5,1241,2.9,1391,2.9,2178,4.0,2413,4.4
4649,r030,All fields -> Education,All fields,Education,,2,6509,18.0,6648,15.9,6442,15.6,6227,14.4,5287,11.0,5098,9.3,4716,8.5
4649,r031,All fields -> Education -> Education administration,All fields,Education,Education administration,3,1664,4.6,1974,4.7,2036,4.9,2167,5.0,1439,3.0,920,1.7,927,1.7
4649,r032,All fields -> Education -> Education research,All fields,Education,Education research,3,2439,6.8,2576,6.2,2667,6.4,2674,6.2,2443,5.1,2772,5.1,2312,4.2
4649,r033,All fields -> Education -> Teacher education,All fields,Education,Teacher education,3,419,1.2,390,0.9,261,0.6,263,0.6,245,0.5,156,0.3,113,0.2
4649,r034,All fields -> Education -> Teaching fields,All fields,Education,Teaching fields,3,922,2.6,924,2.2,824,2.0,663,1.5,799,1.7,953,1.7,940,1.7
4649,r035,All fields -> Education -> Other education,All fields,Education,Other education,3,1065,3.0,784,1.9,654,1.6,460,1.1,361,0.8,297,0.5,424,0.8
4649,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,3854,10.7,5040,12.1,5462,13.2,5187,12.0,5015,10.4,5594,10.2,4939,8.9
4649,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,512,1.4,639,1.5,642,1.6,607,1.4,601,1.3,656,1.2,564,1.0
4649,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,612,1.7,889,2.1,1061,2.6,924,2.1,1005,2.1,1146,2.1,887,1.6
4649,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,1060,2.9,1548,3.7,1612,3.9,1389,3.2,1516,3.2,1583,2.9,1392,2.5
4649,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1670,4.6,1964,4.7,2147,5.2,2267,5.2,1893,3.9,2209,4.0,2096,3.8
4649,r041,All fields -> Other<sup>a</sup>,All fields,Other<sup>a</sup>,,2,2013,5.6,2396,5.7,2087,5.0,2393,5.5,2729,5.7,3019,5.5,3006,5.4
4649,r042,All fields -> Other<sup>a</sup> -> Business management and administration,All fields,Other<sup>a</sup>,Business management and administration,3,1036,2.9,1330,3.2,1065,2.6,1171,2.7,1366,2.8,1582,2.9,1466,2.7
4649,r043,All fields -> Other<sup>a</sup> -> Communication,All fields,Other<sup>a</sup>,Communication,3,323,0.9,381,0.9,389,0.9,488,1.1,638,1.3,667,1.2,593,1.1
4649,r044,All fields -> Other<sup>a</sup> -> Non-S&E fields nec,All fields,Other<sup>a</sup>,Non-S&E fields nec,3,654,1.8,685,1.6,633,1.5,734,1.7,725,1.5,770,1.4,947,1.7
