table_id,row_id,selected_characteristic_and_company_size_full_path,selected_characteristic_and_company_size_level_1,selected_characteristic_and_company_size_level_2,selected_characteristic_and_company_size_level_3,selected_characteristic_and_company_size_level_4,selected_characteristic_and_company_size_hierarchy_depth,field_2017,field_2018,field_2019
5191,r012,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Applied research,Domestic R&D performance<sup>a</sup>,Paid for by others,Applied research,,3,"['12,984', '&#160;']","['11,993', '&#160;']","['14,333', '&#160;']"
5191,r013,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Development,Domestic R&D performance<sup>a</sup>,Paid for by others,Development,,3,"['41,984', '&#160;']","['44,570', '&#160;']","['43,332', '&#160;']"
5191,r014,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,,3,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
5191,r015,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Federal,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Federal,4,"['24,277', 'i']","['24,685', '&#160;']","['21,941', '&#160;']"
5191,r016,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Other<sup>d</sup>,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Other<sup>d</sup>,4,"['36,788', '&#160;']","['38,545', '&#160;']","['42,048', '&#160;']"
5191,r017,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
5191,r018,Size of company (number of domestic employees) -> Small companies<sup>e</sup>,Size of company (number of domestic employees),Small companies<sup>e</sup>,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
5191,r019,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 10&#8211;19,Size of company (number of domestic employees),Small companies<sup>e</sup>,10&#8211;19,,3,"['3,311', '  ']","['4,390', '  ']","['5,501', '  ']"
5191,r020,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>e</sup>,20&#8211;49,,3,"['9,435', '  ']","['11,252', '  ']","['12,418', '  ']"
5191,r021,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&#160;']"
5191,r022,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,"['10,141', '  ']","['12,321', '  ']","['14,021', '  ']"
5191,r023,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,"['17,216', '  ']","['18,547', '  ']","['19,793', '  ']"
5191,r024,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&#160;']"
5191,r025,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,"['14,103', '  ']","['19,645', '  ']","['18,883', '  ']"
5191,r026,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,"['17,871', '  ']","['17,657', '  ']","['23,969', '  ']"
5191,r027,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,"['65,112', '  ']","['68,578', '  ']","['75,671', '  ']"
5191,r028,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,"['40,198', '  ']","['45,337', '  ']","['50,811', '  ']"
5191,r029,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,"['73,485', '  ']","['84,420', '  ']","['88,263', '  ']"
5191,r030,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,"['149,227', '  ']","['158,889', '  ']","['183,626', '  ']"
