table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_total_fy_2022_r_d_expenditures,field_total_fy_2023_r_d_expenditures,field__change_in_current_dollars_fys_2022_23,field_source_of_funds_fy_2023_federal_government,field_source_of_funds_fy_2023_state_and_local_government,field_source_of_funds_fy_2023_institution_funds,field_source_of_funds_fy_2023_business,field_source_of_funds_fy_2023_nonprofit_organizations,field_source_of_funds_fy_2023_all_other_sources
12605,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,2466,2612,5.9,1143,223,703,301,73,168
12605,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,5862,6905,17.8,1725,477,3614,175,678,236
12605,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,1081,1218,12.7,110,46,895,45,61,61
12605,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,214,254,18.7,58,17,126,7,37,9
12605,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,1741,2042,17.3,891,199,630,48,237,38
12605,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,713,847,18.7,65,21,595,15,112,39
12605,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,359,431,20.1,35,27,251,13,83,21
12605,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,363,417,14.8,206,61,107,4,35,4
12605,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,228,284,24.3,21,14,220,2,16,12
12605,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,1164,1413,21.4,340,92,790,43,96,52
