table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
8317,r015,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",3,952,81,8.5,17,1.8,695,73.0,18,1.9,3,0.3,61,6.4,9,0.9,68,7.1
8317,r016,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,521,72,13.8,166,31.9,92,17.7,10,1.9,4,0.8,122,23.4,3,0.6,52,10.0
8317,r017,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,371,48,12.9,72,19.4,22,5.9,10,2.7,12,3.2,104,28.0,7,1.9,96,25.9
8317,r018,"All surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Engineering,"Electrical, electronics, communications and computer engineering",3,720,304,42.2,95,13.2,85,11.8,2,0.3,5,0.7,174,24.2,5,0.7,50,6.9
8317,r019,"All surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,41,14,34.1,10,24.4,2,4.9,1,2.4,1,2.4,6,14.6,1,2.4,6,14.6
8317,r020,All surveyed fields -> Engineering -> Mechanical engineering,All surveyed fields,Engineering,Mechanical engineering,3,615,162,26.3,121,19.7,105,17.1,4,0.7,30,4.9,130,21.1,3,0.5,60,9.8
8317,r021,"All surveyed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,298,83,27.9,90,30.2,9,3.0,7,2.3,3,1.0,76,25.5,1,0.3,29,9.7
8317,r022,All surveyed fields -> Engineering -> Other engineering,All surveyed fields,Engineering,Other engineering,3,595,120,20.2,136,22.9,76,12.8,8,1.3,18,3.0,125,21.0,28,4.7,84,14.1
8317,r023,All surveyed fields -> Health,All surveyed fields,Health,,2,8588,305,3.6,10,0.1,7401,86.2,285,3.3,4,0.05,60,0.7,7,0.1,516,6.0
8317,r024,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,7529,260,3.5,9,0.1,6522,86.6,234,3.1,3,0.05,38,0.5,2,0.05,461,6.1
8317,r025,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,1059,45,4.2,1,0.1,879,83.0,51,4.8,1,0.1,22,2.1,5,0.5,55,5.2
