table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total_number_,field_yes_filed_form_6765_in_2018_,field_no_did_not_file_form_6765_in_2018_,field_did_not_answer_
7902,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['77', '&nbsp;']","['40.3', '&nbsp;']","['59.7', '&nbsp;']","['0.0', '&nbsp;']"
7902,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['48', '&nbsp;']","['37.5', '&nbsp;']","['62.5', '&nbsp;']","['0.0', '&nbsp;']"
7902,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['30', '&nbsp;']","['46.7', 'r']","['53.3', 'r']","['0.0', '&nbsp;']"
7902,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['2', '&nbsp;']","['0.0', '&nbsp;']","['100.0', '&nbsp;']","['0.0', '&nbsp;']"
7902,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['144', '&nbsp;']","['34.0', '&nbsp;']","['66.0', '&nbsp;']","['0.0', '&nbsp;']"
7902,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['13,895', '&nbsp;']","['22.4', '&nbsp;']","['77.5', '&nbsp;']","['0.2', 'r']"
7902,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['891', '&nbsp;']","['23.5', '&nbsp;']","['75.3', '&nbsp;']","['1.2', 'r']"
7902,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['2,599', '&nbsp;']","['25.3', '&nbsp;']","['74.7', '&nbsp;']","['0.0', '&nbsp;']"
7902,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,768', '&nbsp;']","['28.8', '&nbsp;']","['71.2', '&nbsp;']","['0.0', '&nbsp;']"
7902,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['832', '&nbsp;']","['17.7', '&nbsp;']","['82.3', '&nbsp;']","['0.0', '&nbsp;']"
7902,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,681', '&nbsp;']","['15.2', '&nbsp;']","['84.7', '&nbsp;']","['0.1', '&nbsp;']"
7902,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['5,285', '&nbsp;']","['17.0', '&nbsp;']","['83.0', '&nbsp;']","['0.0', '&nbsp;']"
7902,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['3,439', '&nbsp;']","['31.5', '&nbsp;']","['68.2', '&nbsp;']","['0.3', 'r']"
7902,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['344', '&nbsp;']","['29.9', '&nbsp;']","['68.9', '&nbsp;']","['1.2', 'r']"
7902,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['1,142', '&nbsp;']","['40.4', '&nbsp;']","['59.6', '&nbsp;']","['0.0', '&nbsp;']"
7902,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['1,903', '&nbsp;']","['27.1', '&nbsp;']","['72.6', '&nbsp;']","['0.3', 'r']"
7902,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['51', '&nbsp;']","['7.8', 'r']","['92.2', '&nbsp;']","['0.0', '&nbsp;']"
