table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_tenured_median_salary,field_tenured_se,field_not_tenured_on_tenure_track_median_salary,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_median_salary,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_median_salary,field_tenure_not_applicable_se
3735,r034,All fields -> Science -> Mathematics and statistics -> Hispanic or Latino<sup>a</sup>,All fields,Science,Mathematics and statistics,Hispanic or Latino<sup>a</sup>,,4,95000,8000,120000,19500,82000,3500,76000,6500,62000,3000
3735,r035,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3735,r036,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,
3735,r037,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Asian,5,89000,3000,100000,4000,78000,4500,59000,6500,66000,6500
3735,r038,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,79000,5500,85000,5500,66000,3000,S,S,,
3735,r039,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,White,5,90000,1000,100000,1500,74000,5000,67000,3500,74000,4000
3735,r040,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,101000,16500,S,S,,,S,S,,
3735,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,90000,500,109000,2000,79000,2000,68000,2500,74000,2500
3735,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Hispanic or Latino<sup>a</sup>,,4,80000,2500,90000,5000,81000,5000,60000,11500,64000,8000
3735,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3735,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,
3735,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,80000,3000,119000,8500,80000,5000,65000,7000,62000,4000
3735,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,80000,6500,94000,5000,74000,6000,60000,6500,56000,5000
3735,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,White,5,93000,2000,108000,2000,78000,3000,70000,3500,80000,3500
3735,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,79000,2500,120000,7500,77000,6000,56000,3500,70000,7000
3735,r049,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,92000,2000,103000,2500,75000,1000,85000,3500,86000,3000
3735,r050,All fields -> Science -> Psychology -> Hispanic or Latino<sup>a</sup>,All fields,Science,Psychology,Hispanic or Latino<sup>a</sup>,,4,86000,4000,99000,3500,74000,3500,87000,9000,81000,3500
3735,r051,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3735,r052,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,
3735,r053,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Asian,5,85000,3000,98000,10000,73000,4000,73000,16000,80000,3000
3735,r054,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,88000,2500,100000,8000,78000,5500,73000,12500,87000,8500
3735,r055,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,White,5,95000,2000,105000,2500,75000,1500,87000,5000,89000,3500
3735,r056,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,88000,4000,107000,5500,73000,9000,S,S,78000,9500
3735,r057,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,95000,500,105000,1500,80000,1000,70000,3000,84000,3000
3735,r058,All fields -> Science -> Social sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Social sciences,Hispanic or Latino<sup>a</sup>,,4,89000,1500,103000,4500,80000,3000,59000,4000,67000,6000
3735,r059,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3735,r060,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,73000,11000,88000,16500,,,S,S,,
3735,r061,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,95000,2000,100000,2500,86000,4500,77000,6000,70000,8500
3735,r062,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,88000,3000,98000,5000,74000,3500,66000,10500,79000,2000
3735,r063,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,White,5,97000,2000,105000,1000,78000,3500,69000,3500,89000,5500
3735,r064,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,91000,7500,105000,4000,81000,3000,70000,7500,84000,6000
3735,r065,All fields -> Engineering,All fields,Engineering,,,,2,108000,2000,129000,1500,90000,1500,80000,1500,89000,4000
3735,r066,All fields -> Engineering -> Hispanic or Latino<sup>a</sup>,All fields,Engineering,Hispanic or Latino<sup>a</sup>,,,3,95000,4000,110000,7500,95000,5000,74000,9500,79000,8500
3735,r067,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,
3735,r068,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,,,S,S,,,,,,
3735,r069,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Asian,,4,100000,3500,129000,1500,90000,2000,70000,2000,70000,3500
3735,r070,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,100000,4500,126000,12000,89000,7000,87000,7500,78000,13500
3735,r071,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,White,,4,111000,2500,129000,2500,90000,1500,88000,3500,101000,6500
3735,r072,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,90000,9500,120000,17000,100000,12500,81000,6000,82000,7000
3735,r073,All fields -> Health,All fields,Health,,,,2,97000,3000,114000,4000,85000,3000,88000,3000,90000,2500
3735,r074,All fields -> Health -> Hispanic or Latino<sup>a</sup>,All fields,Health,Hispanic or Latino<sup>a</sup>,,,3,83000,4000,98000,21500,79000,3000,89000,12000,80000,14500
3735,r075,All fields -> Health -> Not Hispanic or Latino<sup>b</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,
3735,r076,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Health,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,,,,,,,,,,
3735,r077,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Asian,,4,89000,5000,119000,12000,88000,2500,75000,3500,68000,4500
3735,r078,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,90000,4000,104000,8500,86000,6500,78000,6000,88000,7000
3735,r079,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Health,Not Hispanic or Latino<sup>b</sup>,White,,4,100000,3000,112000,4000,83000,3500,94000,7500,100000,6000
3735,r080,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,92000,9500,154000,41000,69000,8000,80000,5500,S,S
