table_id,row_id,field_of_s_e_highest_degree_full_path,field_of_s_e_highest_degree_level_1,field_of_s_e_highest_degree_level_2,field_of_s_e_highest_degree_level_3,field_of_s_e_highest_degree_level_4,field_of_s_e_highest_degree_hierarchy_depth,field_total,field_female_number,field_female_percent,field_male_number,field_male_percent
4397,r013,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Statistics,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,Statistics,4,98,50,51.3,48,48.7
4397,r014,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Other mathematics,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,Other mathematics,4,21,s,s,16,79.4
4397,r015,"All S&E highest degree -> Biological, agricultural, and environmental life sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",,,2,2437,1218,50.0,1219,50.0
4397,r016,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,3,266,129,48.4,137,51.6
4397,r017,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Animal sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Animal sciences,4,115,63,54.6,52,45.4
4397,r018,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Food sciences and technology",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Food sciences and technology,4,37,21,55.7,17,44.3
4397,r019,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Plant sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Plant sciences,4,79,28,35.5,51,64.5
4397,r020,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Other agricultural sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Other agricultural sciences,4,36,18,49.3,18,50.7
4397,r021,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,,3,1867,984,52.7,883,47.3
4397,r022,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Biochemistry and biophysics",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Biochemistry and biophysics,4,169,77,45.6,92,54.4
4397,r023,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Biology, general",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Biology, general",4,870,462,53.1,408,46.9
4397,r024,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Botany",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Botany,4,16,7,46.7,9,53.3
4397,r025,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Cell and molecular biology",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Cell and molecular biology,4,119,58,48.7,61,51.3
4397,r026,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Ecology",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Ecology,4,102,46,44.9,56,55.1
4397,r027,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Genetics, animal and plant",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Genetics, animal and plant",4,25,11,43.8,14,56.2
4397,r028,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Microbiological sciences and immunology",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Microbiological sciences and immunology,4,127,74,58.3,53,41.7
4397,r029,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Nutritional sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Nutritional sciences,4,89,81,91.8,7,8.2
4397,r030,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Pharmacology, human and animal",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Pharmacology, human and animal",4,20,13,64.2,7,35.8
4397,r031,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Physiology and pathology, human and animal",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Physiology and pathology, human and animal",4,78,44,55.9,35,44.1
4397,r032,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Zoology, general",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,"Zoology, general",4,81,29,35.8,52,64.2
4397,r033,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Biological sciences -> Other biological sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Biological sciences,Other biological sciences,4,172,82,47.7,90,52.3
4397,r034,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Environmental life sciences,,3,303,105,34.6,198,65.4
4397,r035,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Environmental life sciences -> Environmental science or studies",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Environmental life sciences,Environmental science or studies,4,243,93,38.3,150,61.7
4397,r036,"All S&E highest degree -> Biological, agricultural, and environmental life sciences -> Environmental life sciences -> Forestry sciences",All S&E highest degree,"Biological, agricultural, and environmental life sciences",Environmental life sciences,Forestry sciences,4,60,12,19.6,48,80.4
4397,r037,All S&E highest degree -> Physical and related sciences,All S&E highest degree,Physical and related sciences,,,2,889,271,30.5,618,69.5
4397,r038,"All S&E highest degree -> Physical and related sciences -> Chemistry, except biochemistry",All S&E highest degree,Physical and related sciences,"Chemistry, except biochemistry",,3,400,137,34.2,263,65.8
4397,r039,"All S&E highest degree -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All S&E highest degree,Physical and related sciences,"Earth, atmospheric, and ocean sciences",,3,249,90,36.3,159,63.7
4397,r040,"All S&E highest degree -> Physical and related sciences -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences and meteorology",All S&E highest degree,Physical and related sciences,"Earth, atmospheric, and ocean sciences",Atmospheric sciences and meteorology,4,21,5,24.1,16,75.9
4397,r041,"All S&E highest degree -> Physical and related sciences -> Earth, atmospheric, and ocean sciences -> Earth sciences",All S&E highest degree,Physical and related sciences,"Earth, atmospheric, and ocean sciences",Earth sciences,4,61,27,43.9,34,56.1
4397,r042,"All S&E highest degree -> Physical and related sciences -> Earth, atmospheric, and ocean sciences -> Geology",All S&E highest degree,Physical and related sciences,"Earth, atmospheric, and ocean sciences",Geology,4,111,33,29.9,78,70.1
4397,r043,"All S&E highest degree -> Physical and related sciences -> Earth, atmospheric, and ocean sciences -> Geological sciences, other",All S&E highest degree,Physical and related sciences,"Earth, atmospheric, and ocean sciences","Geological sciences, other",4,56,25,45.1,31,54.9
4397,r044,All S&E highest degree -> Physical and related sciences -> Physics and astronomy,All S&E highest degree,Physical and related sciences,Physics and astronomy,,3,220,37,16.6,184,83.4
4397,r045,All S&E highest degree -> Physical and related sciences -> Physics and astronomy -> Astronomy and astrophysics,All S&E highest degree,Physical and related sciences,Physics and astronomy,Astronomy and astrophysics,4,18,4,22.0,14,78.0
4397,r046,All S&E highest degree -> Physical and related sciences -> Physics and astronomy -> Physics,All S&E highest degree,Physical and related sciences,Physics and astronomy,Physics,4,202,33,16.1,170,83.9
4397,r047,All S&E highest degree -> Physical and related sciences -> Other physical sciences,All S&E highest degree,Physical and related sciences,Other physical sciences,,3,20,8,38.1,12,61.9
4397,r048,All S&E highest degree -> Social and related sciences,All S&E highest degree,Social and related sciences,,,2,5474,3213,58.7,2261,41.3
4397,r049,All S&E highest degree -> Social and related sciences -> Economics,All S&E highest degree,Social and related sciences,Economics,,3,856,234,27.3,622,72.7
4397,r050,All S&E highest degree -> Social and related sciences -> Economics -> Agricultural economics,All S&E highest degree,Social and related sciences,Economics,Agricultural economics,4,50,8,16.9,41,83.1
4397,r051,All S&E highest degree -> Social and related sciences -> Economics -> Economics,All S&E highest degree,Social and related sciences,Economics,Economics,4,806,225,27.9,581,72.1
4397,r052,All S&E highest degree -> Social and related sciences -> Political and related sciences,All S&E highest degree,Social and related sciences,Political and related sciences,,3,971,437,45.0,534,55.0
4397,r053,All S&E highest degree -> Social and related sciences -> Political and related sciences -> Public policy studies,All S&E highest degree,Social and related sciences,Political and related sciences,Public policy studies,4,75,43,57.2,32,42.8
4397,r054,All S&E highest degree -> Social and related sciences -> Political and related sciences -> International relations,All S&E highest degree,Social and related sciences,Political and related sciences,International relations,4,173,106,61.3,67,38.7
4397,r055,All S&E highest degree -> Social and related sciences -> Political and related sciences -> Political science and government,All S&E highest degree,Social and related sciences,Political and related sciences,Political science and government,4,722,288,39.9,434,60.1
4397,r056,All S&E highest degree -> Social and related sciences -> Psychology,All S&E highest degree,Social and related sciences,Psychology,,3,2221,1658,74.6,564,25.4
4397,r057,All S&E highest degree -> Social and related sciences -> Psychology -> Educational psychology,All S&E highest degree,Social and related sciences,Psychology,Educational psychology,4,142,125,88.4,17,11.6
4397,r058,All S&E highest degree -> Social and related sciences -> Psychology -> Clinical psychology,All S&E highest degree,Social and related sciences,Psychology,Clinical psychology,4,261,188,72.0,73,28.0
4397,r059,All S&E highest degree -> Social and related sciences -> Psychology -> Counseling psychology,All S&E highest degree,Social and related sciences,Psychology,Counseling psychology,4,358,279,77.8,80,22.2
4397,r060,All S&E highest degree -> Social and related sciences -> Psychology -> Experimental psychology,All S&E highest degree,Social and related sciences,Psychology,Experimental psychology,4,43,25,59.0,18,41.0
4397,r061,All S&E highest degree -> Social and related sciences -> Psychology -> General psychology,All S&E highest degree,Social and related sciences,Psychology,General psychology,4,993,735,74.0,259,26.0
4397,r062,All S&E highest degree -> Social and related sciences -> Psychology -> Industrial/ organizational psychology,All S&E highest degree,Social and related sciences,Psychology,Industrial/ organizational psychology,4,91,53,58.7,38,41.3
4397,r063,All S&E highest degree -> Social and related sciences -> Psychology -> Social psychology,All S&E highest degree,Social and related sciences,Psychology,Social psychology,4,99,72,72.7,27,27.3
4397,r064,All S&E highest degree -> Social and related sciences -> Psychology -> Other psychology,All S&E highest degree,Social and related sciences,Psychology,Other psychology,4,234,181,77.3,53,22.7
4397,r065,All S&E highest degree -> Social and related sciences -> Sociology and anthropology,All S&E highest degree,Social and related sciences,Sociology and anthropology,,3,829,508,61.4,320,38.6
4397,r066,All S&E highest degree -> Social and related sciences -> Sociology and anthropology -> Anthropology and archaeology,All S&E highest degree,Social and related sciences,Sociology and anthropology,Anthropology and archaeology,4,177,100,56.4,77,43.6
4397,r067,All S&E highest degree -> Social and related sciences -> Sociology and anthropology -> Criminology,All S&E highest degree,Social and related sciences,Sociology and anthropology,Criminology,4,71,36,50.4,35,49.6
4397,r068,All S&E highest degree -> Social and related sciences -> Sociology and anthropology -> Sociology,All S&E highest degree,Social and related sciences,Sociology and anthropology,Sociology,4,581,373,64.2,208,35.8
4397,r069,All S&E highest degree -> Social and related sciences -> Other social sciences,All S&E highest degree,Social and related sciences,Other social sciences,,3,598,376,62.9,222,37.1
4397,r070,All S&E highest degree -> Social and related sciences -> Other social sciences -> Area and ethnic studies,All S&E highest degree,Social and related sciences,Other social sciences,Area and ethnic studies,4,125,88,70.5,37,29.5
4397,r071,All S&E highest degree -> Social and related sciences -> Other social sciences -> Linguistics,All S&E highest degree,Social and related sciences,Other social sciences,Linguistics,4,84,61,73.0,23,27.0
4397,r072,All S&E highest degree -> Social and related sciences -> Other social sciences -> Philosophy of science,All S&E highest degree,Social and related sciences,Other social sciences,Philosophy of science,4,51,s,s,s,s
4397,r073,All S&E highest degree -> Social and related sciences -> Other social sciences -> Geography,All S&E highest degree,Social and related sciences,Other social sciences,Geography,4,128,41,32.2,87,67.8
4397,r074,All S&E highest degree -> Social and related sciences -> Other social sciences -> Other social sciences,All S&E highest degree,Social and related sciences,Other social sciences,Other social sciences,4,210,139,66.2,71,33.8
4397,r075,All S&E highest degree -> Engineering,All S&E highest degree,Engineering,,,2,3725,621,16.7,3103,83.3
4397,r076,"All S&E highest degree -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E highest degree,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,142,17,11.9,125,88.1
4397,r077,All S&E highest degree -> Engineering -> Chemical engineering,All S&E highest degree,Engineering,Chemical engineering,,3,246,62,25.3,183,74.7
4397,r078,All S&E highest degree -> Engineering -> Civil and architectural engineering,All S&E highest degree,Engineering,Civil and architectural engineering,,3,544,92,16.8,452,83.2
4397,r079,All S&E highest degree -> Engineering -> Civil and architectural engineering -> Architectural engineering,All S&E highest degree,Engineering,Civil and architectural engineering,Architectural engineering,4,20,6,30.5,14,69.5
4397,r080,All S&E highest degree -> Engineering -> Civil and architectural engineering -> Civil engineering,All S&E highest degree,Engineering,Civil and architectural engineering,Civil engineering,4,524,86,16.3,438,83.7
4397,r081,All S&E highest degree -> Engineering -> Electrical and computer engineering,All S&E highest degree,Engineering,Electrical and computer engineering,,3,1289,187,14.5,1102,85.5
4397,r082,All S&E highest degree -> Engineering -> Electrical and computer engineering -> Computer and systems engineering,All S&E highest degree,Engineering,Electrical and computer engineering,Computer and systems engineering,4,390,76,19.6,314,80.4
4397,r083,"All S&E highest degree -> Engineering -> Electrical and computer engineering -> Electrical, electronics, and communications engineering",All S&E highest degree,Engineering,Electrical and computer engineering,"Electrical, electronics, and communications engineering",4,899,111,12.3,788,87.7
4397,r084,All S&E highest degree -> Engineering -> Industrial and manufacturing engineering,All S&E highest degree,Engineering,Industrial and manufacturing engineering,,3,214,44,20.5,170,79.5
4397,r085,All S&E highest degree -> Engineering -> Mechanical engineering,All S&E highest degree,Engineering,Mechanical engineering,,3,739,77,10.4,662,89.6
4397,r086,All S&E highest degree -> Engineering -> Other engineering,All S&E highest degree,Engineering,Other engineering,,3,552,143,25.9,409,74.1
4397,r087,All S&E highest degree -> Engineering -> Other engineering -> Agricultural engineering,All S&E highest degree,Engineering,Other engineering,Agricultural engineering,4,25,s,s,20,81.2
4397,r088,All S&E highest degree -> Engineering -> Other engineering -> Bioengineering and biomedical engineering,All S&E highest degree,Engineering,Other engineering,Bioengineering and biomedical engineering,4,83,36,43.4,47,56.6
4397,r089,"All S&E highest degree -> Engineering -> Other engineering -> Engineering sciences, mechanics, and physics",All S&E highest degree,Engineering,Other engineering,"Engineering sciences, mechanics, and physics",4,33,4,11.0,29,89.0
4397,r090,All S&E highest degree -> Engineering -> Other engineering -> Environmental engineering,All S&E highest degree,Engineering,Other engineering,Environmental engineering,4,71,29,41.3,42,58.7
4397,r091,"All S&E highest degree -> Engineering -> Other engineering -> Engineering, general",All S&E highest degree,Engineering,Other engineering,"Engineering, general",4,43,8,19.4,35,80.6
4397,r092,"All S&E highest degree -> Engineering -> Other engineering -> Materials engineering, including ceramics and textiles",All S&E highest degree,Engineering,Other engineering,"Materials engineering, including ceramics and textiles",4,70,16,23.1,54,76.9
4397,r093,All S&E highest degree -> Engineering -> Other engineering -> Metallurgical engineering,All S&E highest degree,Engineering,Other engineering,Metallurgical engineering,4,16,s,s,12,76.3
4397,r094,All S&E highest degree -> Engineering -> Other engineering -> Nuclear engineering,All S&E highest degree,Engineering,Other engineering,Nuclear engineering,4,21,4,17.4,17,82.6
4397,r095,All S&E highest degree -> Engineering -> Other engineering -> Other engineering,All S&E highest degree,Engineering,Other engineering,Other engineering,4,191,38,19.7,153,80.3
