table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_nebraska,field_nevada,field_new_hampshire,field_new_jersey,field_new_mexico,field_new_york,field_north_carolina,field_north_dakota,field_ohio,field_oklahoma,field_oregon,field_pennsylvania,field_rhode_island,field_south_carolina,field_south_dakota,field_tennessee,field_texas,field_utah,field_vermont,field_virginia,field_washington,field_west_virginia,field_wisconsin,field_wyoming,field_undistributedb
8821,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['1,000', '']","['11,012', '']","['27', '']","['5', '']","['157', '']","['212', '']","['0 - 7', '']","['321', '']","['155', '']","['1', 'e']","['367', '']","['35', '']","['142', '']","['300', '']","['15', '']","['54', '']","['29', '']","['30', '']","['922', '']","['133', 'i']","['0 - 8', '']","['60', '']","['297', '']","['1', 'e']","['70', '']","['1', 'e']","['0 - 165', '']"
8821,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['180', '']","['2,606', '']","['*', 'e']","['0 - 4', '']","['59', '']","['17', '']","['0', '']","['43', '']","['13', '']","['0', '']","['61', '']","['1', '']","['2', '']","['134', '']","['*', 'e']","['5', '']","['*', 'e']","['21', '']","['11', '']","['97', 'i']","['*', 'e']","['5', '']","['55', '']","['0', '']","['13', '']","['0', '']","['0 - 20', 'i']"
8821,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['130', '']","['3,561', '']","['10', '']","['2', '']","['76', '']","['0 - 196', 'i']","['1', '']","['100', '']","['39', '']","['0', '']","['67', '']","['23', '']","['65', '']","['52', '']","['13', '']","['0 - 50', '']","['0', '']","['1', '']","['312 - 912', '']","['1', 'e']","['*', '']","['29', '']","['84', '']","['0', '']","['3', '']","['1', 'e']","['0', '']"
8821,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['700', '']","['4,844', '']","['17', '']","['0 - 4', 'e']","['21', '']","['0 - 196', '']","['0 - 6', '']","['178', '']","['103', '']","['1', 'e']","['238', 'i']","['11', '']","['75', '']","['114', '']","['2', 'e']","['0 - 50', '']","['29', '']","['8', '']","['0 - 598', '']","['36', '']","['0 - 8', '']","['25', '']","['158', '']","['1', 'e']","['53', '']","['*', 'e']","['0 - 165', '']"
8821,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['210', '']","['25,585', '']","['1', '']","['14', '']","['27', '']","['24', '']","['0 - 6', '']","['493', 'i']","['223', '']","['*', 'e']","['46', 'i']","['0 - 9', '']","['181', '']","['105', '']","['*', '']","['0 - 32', '']","['*', 'i']","['4', '']","['4,913', 'i']","['55', '']","['0 - 8', '']","['20', '']","['386', '']","['1', '']","['15', '']","['0 - 232', '']","['0 - 165', '']"
8821,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['640', '']","['4,492', '']","['1', 'e']","['2', 'e']","['10', '']","['197', '']","['1', '']","['84', '']","['189', '']","['*', 'e']","['154', '']","['14', 'i']","['75', '']","['366', '']","['13', '']","['37', '']","['50', '']","['29', '']","['147', '']","['2', 'i']","['2', 'e']","['24', '']","['54', '']","['1', 'e']","['128', '']","['0 - 41', 'i']","['0 - 41', '']"
8821,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['900', '']","['30,232', '']","['29', '']","['9', '']","['9', '']","['110', '']","['5', '']","['278', '']","['222', 'i']","['2', '']","['931', '']","['24', '']","['338', '']","['233', '']","['6', '']","['117', '']","['5', '']","['136', '']","['1,159', '']","['212', '']","['7', '']","['410', '']","['1,849', '']","['11', '']","['271', '']","['0 - 25', 'e']","['6 - 34', '']"
8821,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['470', '']","['19,522', '']","['5', '']","['1', '']","['4', '']","['16', '']","['*', '']","['124', '']","['185', 'i']","['*', '']","['454', '']","['8', '']","['300', '']","['70', '']","['*', 'e']","['93', '']","['1', '']","['103', '']","['140', '']","['40', '']","['*', '']","['12', '']","['115', '']","['1', 'e']","['82', '']","['*', 'e']","['4', '']"
8821,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['310', '']","['9,111', '']","['23', '']","['9', '']","['5', '']","['90', '']","['5', '']","['149', '']","['16', '']","['1', '']","['447', '']","['13', '']","['37', '']","['119', '']","['5', '']","['6', '']","['*', '']","['20', '']","['997', '']","['169', '']","['6', '']","['139', '']","['1,730', '']","['10', '']","['17', '']","['0 - 25', 'e']","['0 - 25', '']"
8821,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['280', '']","['8,281', '']","['23', '']","['9', '']","['5', '']","['89', '']","['2', '']","['145', '']","['16', '']","['1', '']","['441', '']","['13', '']","['34', '']","['118', '']","['5', '']","['5', '']","['*', '']","['16', '']","['934', '']","['169', '']","['6', '']","['128', '']","['1,724', '']","['10', '']","['17', '']","['0 - 25', 'e']","['0 - 25', '']"
8821,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['40', '']","['831', '']","['0', '']","['*', '']","['0', '']","['*', '']","['2', '']","['4', '']","['1', 'i']","['0', '']","['6', '']","['1', '']","['3', '']","['1', '']","['0', '']","['1', '']","['0', '']","['5', '']","['63', '']","['0', '']","['0', '']","['11', '']","['7', '']","['0', '']","['*', '']","['0', '']","['0', '']"
8821,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['10', '']","['4', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']","['0', '']","['1', 'i']","['0', '']","['0', '']","['*', 'e']","['0', '']","['*', 'e']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']"
8821,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['130', '']","['1,594', '']","['1', '']","['0', '']","['*', 'e']","['5', '']","['0', '']","['5', '']","['20', '']","['*', '']","['29', '']","['2', 'i']","['1', 'e']","['45', 'i']","['*', 'e']","['18', '']","['3', '']","['12', '']","['22', '']","['3', '']","['*', 'e']","['259', '']","['3', 'e']","['*', 'e']","['173', '']","['0', '']","['3', '']"
8821,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['240', '']","['492', '']","['*', 'e']","['*', 'e']","['1', 'e']","['3', '']","['*', 'e']","['5', 'e']","['39', '']","['*', 'e']","['11', '']","['1', 'e']","['5', '']","['22', '']","['*', 'e']","['*', 'e']","['*', 'e']","['11', '']","['16', '']","['13', '']","['3', '']","['14', '']","['4', 'e']","['1', '']","['14', '']","['*', 'e']","['14', '']"
8821,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,420', '']","['18,576', '']","['7', '']","['239', '']","['85', '']","['338', 'i']","['3', 'e']","['303 - 451', '']","['276', '']","['1', 'e']","['337', '']","['6 - 64', '']","['301', '']","['594', '']","['340', 'i']","['9', 'e']","['3', 'e']","['170', '']","['328', '']","['282', '']","['11', '']","['49', '']","['387', '']","['2', 'e']","['367', 'i']","['0 - 147', '']","['48 - 197', '']"
8821,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['830', '']","['15,944', '']","['4', '']","['5', 'e']","['46', '']","['297', 'i']","['1', 'e']","['259', '']","['243', '']","['1', 'e']","['302', '']","['7', '']","['85', '']","['548', '']","['27', '']","['5', 'e']","['1', 'e']","['159', '']","['283', '']","['264', '']","['7', '']","['36', '']","['255', '']","['1', 'e']","['332', 'i']","['0', '']","['49', '']"
8821,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['600', '']","['2,632', '']","['4', '']","['235', '']","['39', '']","['41', '']","['1', 'e']","['44 - 191', 'i']","['33', '']","['*', 'e']","['35', '']","['0 - 58', 'e']","['215', '']","['47', '']","['313', 'i']","['5', 'e']","['2', 'e']","['11', '']","['45', '']","['18', '']","['4', '']","['12', '']","['132', 'i']","['1', 'e']","['34', '']","['0 - 147', '']","['0 - 147', '']"
8821,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['13,310', '']","['201,566', '']","['535', '']","['334', 'i']","['392', '']","['3,843', '']","['575', '']","['12,113', '']","['3,608', '']","['167', '']","['1,453', '']","['333', '']","['1,547', '']","['3,021', '']","['63', '']","['346', '']","['52', '']","['579', '']","['7,775', '']","['1,534', '']","['124', '']","['3,707', '']","['35,515', '']","['33', '']","['2,020', '']","['25', '']","['282', '']"
8821,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['280', '']","['1,121', '']","['*', 'e']","['1', 'e']","['*', 'e']","['*', 'e']","['10', '']","['*', 'e']","['2', '']","['7', 'i']","['1', 'e']","['57', 'i']","['*', 'e']","['14', 'i']","['*', 'e']","['*', 'e']","['*', 'i']","['2', 'i']","['749', '']","['10', 'i']","['*', 'e']","['*', 'e']","['1', 'i']","['1', 'e']","['9', 'i']","['2', 'i']","['3', '']"
8821,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['50', '']","['224', '']","['5', '']","['0', '']","['0', '']","['3', '']","['0', '']","['9', '']","['*', '']","['7', '']","['16', '']","['*', '']","['*', '']","['5', '']","['0', '']","['0', '']","['7', '']","['0', '']","['5', '']","['1', '']","['0', '']","['0', '']","['16', '']","['4', '']","['*', '']","['7', '']","['1', 'i']"
8821,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,100', '']","['1,001', '']","['7', '']","['2', 'e']","['3', 'e']","['31', '']","['1', 'e']","['56', '']","['71', 'i']","['4', 'i']","['35', '']","['3', 'e']","['16', '']","['18', 'e']","['1', 'e']","['13', '']","['3', '']","['10', 'e']","['58', '']","['11', 'i']","['*', 'e']","['0 - 71', 'e']","['20', 'i']","['1', 'e']","['50', 'i']","['*', 'e']","['0 - 71', '']"
