table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
8325,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,3591,1.2,152,0.7,3,0.4,446,2.3,80,0.7,3,1.5,1084,1.0,93,1.3,121,1.5,1609,1.4
8325,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,128,0.05,11,0.1,0,0.0,8,0.05,7,0.1,1,0.5,57,0.1,3,0.05,3,0.05,38,0.05
8325,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1269,0.4,112,0.5,2,0.3,59,0.3,33,0.3,2,1.0,586,0.5,40,0.6,35,0.4,400,0.3
8325,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,5290,1.8,602,2.9,19,2.5,538,2.7,192,1.6,6,3.1,2365,2.2,149,2.1,136,1.7,1283,1.1
8325,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,2790,1.0,260,1.3,7,0.9,126,0.6,87,0.7,4,2.1,1562,1.4,92,1.3,94,1.2,558,0.5
8325,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,2162,0.7,151,0.7,7,0.9,239,1.2,173,1.4,3,1.5,835,0.8,65,0.9,75,0.9,614,0.5
8325,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,2449,0.8,227,1.1,8,1.1,224,1.1,93,0.8,1,0.5,1208,1.1,73,1.0,49,0.6,566,0.5
8325,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,4371,1.5,465,2.3,11,1.5,434,2.2,200,1.6,2,1.0,2206,2.0,138,1.9,118,1.5,797,0.7
8325,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,1265,0.4,150,0.7,3,0.4,139,0.7,40,0.3,1,0.5,534,0.5,32,0.4,35,0.4,331,0.3
8325,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,5758,2.0,686,3.3,13,1.7,557,2.8,277,2.3,4,2.1,2788,2.5,233,3.2,164,2.1,1036,0.9
8325,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,993,0.3,69,0.3,1,0.1,72,0.4,56,0.5,0,0.0,435,0.4,27,0.4,16,0.2,317,0.3
8325,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,849,0.3,76,0.4,3,0.4,74,0.4,40,0.3,1,0.5,387,0.4,18,0.3,49,0.6,201,0.2
8325,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,2374,0.8,238,1.2,5,0.7,265,1.4,158,1.3,1,0.5,1002,0.9,79,1.1,86,1.1,540,0.5
8325,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,3041,1.0,245,1.2,10,1.3,287,1.5,138,1.1,4,2.1,1406,1.3,75,1.0,83,1.0,793,0.7
8325,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,1213,0.4,93,0.5,2,0.3,35,0.2,31,0.3,0,0.0,685,0.6,36,0.5,42,0.5,289,0.2
8325,r026,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,2585,0.9,237,1.2,10,1.3,219,1.1,130,1.1,6,3.1,1151,1.1,72,1.0,80,1.0,680,0.6
8325,r027,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,3,19531,6.7,497,2.4,21,2.8,1409,7.2,532,4.4,11,5.6,4060,3.7,317,4.4,522,6.5,12162,10.5
8325,r028,"All detailed fields -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All detailed fields,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",4,687,0.2,22,0.1,2,0.3,47,0.2,28,0.2,0,0.0,142,0.1,14,0.2,24,0.3,408,0.4
8325,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,4,6168,2.1,134,0.7,4,0.5,344,1.8,120,1.0,4,2.1,1264,1.2,70,1.0,108,1.4,4120,3.6
8325,r030,All detailed fields -> Science -> Computer and information sciences -> Computer and information systems security ,All detailed fields,Science,Computer and information sciences,Computer and information systems security ,4,342,0.1,28,0.1,4,0.5,36,0.2,85,0.7,2,1.0,117,0.1,7,0.1,12,0.2,51,0.05
8325,r031,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,4,10356,3.5,216,1.1,6,0.8,811,4.1,140,1.2,4,2.1,2002,1.8,176,2.5,324,4.1,6677,5.8
8325,r032,All detailed fields -> Science -> Computer and information sciences -> Information science and studies,All detailed fields,Science,Computer and information sciences,Information science and studies,4,1351,0.5,70,0.3,5,0.7,120,0.6,107,0.9,1,0.5,393,0.4,32,0.4,33,0.4,590,0.5
8325,r033,All detailed fields -> Science -> Computer and information sciences -> Information technology,All detailed fields,Science,Computer and information sciences,Information technology,4,467,0.2,18,0.1,0,0.0,37,0.2,30,0.2,0,0.0,92,0.1,14,0.2,13,0.2,263,0.2
8325,r034,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec ,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec ,4,160,0.1,9,0.05,0,0.0,14,0.1,22,0.2,0,0.0,50,0.05,4,0.1,8,0.1,53,0.05
8325,r035,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,6770,2.3,497,2.4,14,1.9,250,1.3,144,1.2,2,1.0,3370,3.1,217,3.0,223,2.8,2053,1.8
8325,r036,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,4,902,0.3,46,0.2,0,0.0,26,0.1,24,0.2,0,0.0,435,0.4,22,0.3,29,0.4,320,0.3
8325,r037,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,4337,1.5,336,1.6,12,1.6,173,0.9,90,0.7,0,0.0,2105,1.9,122,1.7,116,1.5,1383,1.2
8325,r038,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,4,1531,0.5,115,0.6,2,0.3,51,0.3,30,0.2,2,1.0,830,0.8,73,1.0,78,1.0,350,0.3
8325,r039,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne
8325,r040,All detailed fields -> Science -> Mathematics and statistics,All detailed fields,Science,Mathematics and statistics,,3,13619,4.6,669,3.3,13,1.7,891,4.5,207,1.7,5,2.6,4383,4.0,249,3.5,357,4.5,6845,5.9
8325,r041,All detailed fields -> Science -> Mathematics and statistics -> Applied mathematics,All detailed fields,Science,Mathematics and statistics,Applied mathematics,4,2255,0.8,123,0.6,1,0.1,132,0.7,50,0.4,0,0.0,777,0.7,50,0.7,55,0.7,1067,0.9
8325,r042,All detailed fields -> Science -> Mathematics and statistics -> Mathematics,All detailed fields,Science,Mathematics and statistics,Mathematics,4,7964,2.7,453,2.2,6,0.8,519,2.6,118,1.0,2,1.0,2924,2.7,160,2.2,229,2.9,3553,3.1
8325,r043,All detailed fields -> Science -> Mathematics and statistics -> Statistics,All detailed fields,Science,Mathematics and statistics,Statistics,4,3400,1.2,93,0.5,6,0.8,240,1.2,39,0.3,3,1.5,682,0.6,39,0.5,73,0.9,2225,1.9
8325,r044,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,,3,3774,1.3,291,1.4,10,1.3,252,1.3,227,1.9,7,3.6,1616,1.5,97,1.4,113,1.4,1161,1.0
8325,r045,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Biological and physical sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Biological and physical sciences,4,887,0.3,58,0.3,3,0.4,71,0.4,34,0.3,5,2.6,367,0.3,16,0.2,31,0.4,302,0.3
8325,r046,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Computational science,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Computational science,4,347,0.1,25,0.1,1,0.1,21,0.1,15,0.1,0,0.0,105,0.1,11,0.2,10,0.1,159,0.1
8325,r047,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Data science and data analytics,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Data science and data analytics,4,46,0.05,0,0.0,0,0.0,1,0.05,3,0.05,0,0.0,5,0.05,1,0.05,1,0.05,35,0.05
8325,r048,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> International and global studies,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,International and global studies,4,183,0.1,40,0.2,0,0.0,7,0.05,19,0.2,0,0.0,52,0.05,2,0.05,4,0.1,59,0.1
8325,r049,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Multidisciplinary and interdisciplinary studies nec,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Multidisciplinary and interdisciplinary studies nec,4,2311,0.8,168,0.8,6,0.8,152,0.8,156,1.3,2,1.0,1087,1.0,67,0.9,67,0.8,606,0.5
8325,r050,All detailed fields -> Science -> Natural resources and conservation,All detailed fields,Science,Natural resources and conservation,,3,3910,1.3,276,1.3,48,6.4,128,0.7,184,1.5,2,1.0,2008,1.8,93,1.3,154,1.9,1017,0.9
8325,r051,All detailed fields -> Science -> Natural resources and conservation -> Environmental science and studies,All detailed fields,Science,Natural resources and conservation,Environmental science and studies,4,1956,0.7,166,0.8,19,2.5,86,0.4,110,0.9,2,1.0,933,0.9,46,0.6,93,1.2,501,0.4
8325,r052,"All detailed fields -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All detailed fields,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",4,1954,0.7,110,0.5,29,3.9,42,0.2,74,0.6,0,0.0,1075,1.0,47,0.7,61,0.8,516,0.4
8325,r053,All detailed fields -> Science -> Physical sciences,All detailed fields,Science,Physical sciences,,3,37732,12.9,2505,12.2,48,6.4,2257,11.5,811,6.7,13,6.7,15140,13.8,859,12.0,862,10.8,15237,13.2
8325,r054,All detailed fields -> Science -> Physical sciences -> Astronomy and astrophysics,All detailed fields,Science,Physical sciences,Astronomy and astrophysics,4,1539,0.5,134,0.7,3,0.4,109,0.6,37,0.3,0,0.0,779,0.7,80,1.1,45,0.6,352,0.3
8325,r055,All detailed fields -> Science -> Physical sciences -> Chemistry,All detailed fields,Science,Physical sciences,Chemistry,4,20149,6.9,1475,7.2,28,3.7,1297,6.6,473,3.9,12,6.2,8148,7.4,455,6.3,457,5.7,7804,6.8
8325,r056,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,4,1002,0.3,46,0.2,1,0.1,78,0.4,33,0.3,1,0.5,328,0.3,13,0.2,27,0.3,475,0.4
8325,r057,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,4,14501,4.9,834,4.1,16,2.1,755,3.9,211,1.7,0,0.0,5732,5.2,304,4.2,322,4.0,6327,5.5
8325,r058,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,4,541,0.2,16,0.1,0,0.0,18,0.1,57,0.5,0,0.0,153,0.1,7,0.1,11,0.1,279,0.2
8325,r059,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,3,21447,7.3,2907,14.2,100,13.4,1344,6.9,1831,15.0,17,8.7,11074,10.1,943,13.2,841,10.5,2390,2.1
8325,r060,All detailed fields -> Science -> Psychology -> Applied psychology,All detailed fields,Science,Psychology,Applied psychology,4,4910,1.7,755,3.7,32,4.3,277,1.4,535,4.4,3,1.5,2487,2.3,181,2.5,143,1.8,497,0.4
8325,r061,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,4,3389,1.2,634,3.1,10,1.3,208,1.1,206,1.7,2,1.0,1752,1.6,247,3.4,176,2.2,154,0.1
8325,r062,All detailed fields -> Science -> Psychology -> Counseling psychology,All detailed fields,Science,Psychology,Counseling psychology,4,1461,0.5,200,1.0,6,0.8,107,0.5,245,2.0,1,0.5,683,0.6,57,0.8,59,0.7,103,0.1
8325,r063,All detailed fields -> Science -> Psychology -> Human development,All detailed fields,Science,Psychology,Human development,4,797,0.3,66,0.3,2,0.3,36,0.2,101,0.8,1,0.5,395,0.4,41,0.6,13,0.2,142,0.1
8325,r064,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",4,6554,2.2,855,4.2,36,4.8,370,1.9,518,4.3,10,5.1,3572,3.3,262,3.7,357,4.5,574,0.5
8325,r065,All detailed fields -> Science -> Psychology -> Research and experimental psychology,All detailed fields,Science,Psychology,Research and experimental psychology,4,4336,1.5,397,1.9,14,1.9,346,1.8,226,1.9,0,0.0,2185,2.0,155,2.2,93,1.2,920,0.8
8325,r066,All detailed fields -> Science -> Social sciences,All detailed fields,Science,Social sciences,,3,34607,11.8,2617,12.8,183,24.4,1709,8.7,2207,18.1,39,20.0,13129,12.0,839,11.7,1314,16.5,12570,10.9
8325,r067,All detailed fields -> Science -> Social sciences -> Agricultural and natural resource economics,All detailed fields,Science,Social sciences,Agricultural and natural resource economics,4,522,0.2,13,0.1,0,0.0,15,0.1,15,0.1,0,0.0,95,0.1,4,0.1,6,0.1,374,0.3
8325,r068,All detailed fields -> Science -> Social sciences -> Anthropology,All detailed fields,Science,Social sciences,Anthropology,4,4129,1.4,418,2.0,43,5.7,158,0.8,151,1.2,8,4.1,2096,1.9,144,2.0,201,2.5,910,0.8
8325,r069,"All detailed fields -> Science -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All detailed fields,Science,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,2326,0.8,391,1.9,64,8.5,132,0.7,336,2.8,5,2.6,708,0.6,79,1.1,92,1.2,519,0.4
8325,r070,All detailed fields -> Science -> Social sciences -> Criminal justice and safety studies,All detailed fields,Science,Social sciences,Criminal justice and safety studies,4,1227,0.4,112,0.5,5,0.7,24,0.1,196,1.6,2,1.0,623,0.6,37,0.5,165,2.1,63,0.1
8325,r071,All detailed fields -> Science -> Social sciences -> Criminology,All detailed fields,Science,Social sciences,Criminology,4,308,0.1,40,0.2,0,0.0,8,0.05,22,0.2,0,0.0,187,0.2,8,0.1,6,0.1,37,0.05
8325,r072,All detailed fields -> Science -> Social sciences -> Economics (except agricultural and natural resource),All detailed fields,Science,Social sciences,Economics (except agricultural and natural resource),4,8266,2.8,234,1.1,3,0.4,470,2.4,119,1.0,3,1.5,1807,1.6,72,1.0,164,2.1,5394,4.7
8325,r073,All detailed fields -> Science -> Social sciences -> Geography and cartography,All detailed fields,Science,Social sciences,Geography and cartography,4,1729,0.6,130,0.6,8,1.1,65,0.3,62,0.5,1,0.5,722,0.7,34,0.5,49,0.6,658,0.6
8325,r074,All detailed fields -> Science -> Social sciences -> International relations and national security studies,All detailed fields,Science,Social sciences,International relations and national security studies,4,474,0.2,45,0.2,1,0.1,27,0.1,29,0.2,1,0.5,184,0.2,11,0.2,12,0.2,164,0.1
8325,r075,All detailed fields -> Science -> Social sciences -> Linguistics,All detailed fields,Science,Social sciences,Linguistics,4,1652,0.6,83,0.4,16,2.1,92,0.5,28,0.2,0,0.0,618,0.6,44,0.6,45,0.6,726,0.6
8325,r076,All detailed fields -> Science -> Social sciences -> Political science and government,All detailed fields,Science,Social sciences,Political science and government,4,5332,1.8,335,1.6,14,1.9,232,1.2,252,2.1,4,2.1,2417,2.2,136,1.9,196,2.5,1746,1.5
8325,r077,All detailed fields -> Science -> Social sciences -> Public policy analysis,All detailed fields,Science,Social sciences,Public policy analysis,4,2740,0.9,188,0.9,13,1.7,176,0.9,391,3.2,4,2.1,1047,1.0,86,1.2,198,2.5,637,0.6
8325,r078,All detailed fields -> Science -> Social sciences -> Sociology and population studies,All detailed fields,Science,Social sciences,Sociology and population studies,4,4875,1.7,574,2.8,13,1.7,268,1.4,522,4.3,5,2.6,2134,1.9,159,2.2,144,1.8,1056,0.9
8325,r079,All detailed fields -> Science -> Social sciences -> Urban studies and affairs ,All detailed fields,Science,Social sciences,Urban studies and affairs ,4,391,0.1,23,0.1,1,0.1,17,0.1,54,0.4,0,0.0,166,0.2,9,0.1,6,0.1,115,0.1
8325,r080,"All detailed fields -> Science -> Social sciences -> Social sciences, other",All detailed fields,Science,Social sciences,"Social sciences, other",4,636,0.2,31,0.2,2,0.3,25,0.1,30,0.2,6,3.1,325,0.3,16,0.2,30,0.4,171,0.1
8325,r081,All detailed fields -> Engineering,All detailed fields,Engineering,,,2,72924,24.8,3209,15.7,81,10.8,4727,24.1,1706,14.0,28,14.4,19181,17.5,1323,18.5,1377,17.3,41292,35.7
8325,r082,"All detailed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All detailed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,2773,0.9,143,0.7,5,0.7,208,1.1,56,0.5,3,1.5,1121,1.0,87,1.2,49,0.6,1101,1.0
8325,r083,"All detailed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All detailed fields,Engineering,"Biological, biomedical, and biosystems engineering",,3,8867,3.0,645,3.1,11,1.5,1083,5.5,314,2.6,8,4.1,3286,3.0,265,3.7,261,3.3,2994,2.6
8325,r084,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,7713,2.6,324,1.6,11,1.5,596,3.0,138,1.1,3,1.5,2322,2.1,141,2.0,120,1.5,4058,3.5
8325,r085,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Chemical engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Chemical engineering,4,7115,2.4,317,1.5,11,1.5,582,3.0,126,1.0,3,1.5,2267,2.1,138,1.9,109,1.4,3562,3.1
8325,r086,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Petroleum engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Petroleum engineering,4,598,0.2,7,0.05,0,0.0,14,0.1,12,0.1,0,0.0,55,0.1,3,0.05,11,0.1,496,0.4
8325,r087,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",,3,7878,2.7,304,1.5,14,1.9,253,1.3,168,1.4,5,2.6,1609,1.5,100,1.4,122,1.5,5303,4.6
8325,r088,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Civil engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",Civil engineering,4,6760,2.3,236,1.2,12,1.6,210,1.1,133,1.1,4,2.1,1309,1.2,78,1.1,100,1.3,4678,4.0
8325,r089,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Architectural, environmental, construction and surveying engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields","Architectural, environmental, construction and surveying engineering",4,1118,0.4,68,0.3,2,0.3,43,0.2,35,0.3,1,0.5,300,0.3,22,0.3,22,0.3,625,0.5
8325,r090,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",,3,17570,6.0,485,2.4,7,0.9,976,5.0,299,2.5,2,1.0,3064,2.8,188,2.6,297,3.7,12252,10.6
8325,r091,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Electrical, electronics, and communications engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering","Electrical, electronics, and communications engineering",4,14767,5.0,428,2.1,5,0.7,837,4.3,243,2.0,1,0.5,2561,2.3,156,2.2,243,3.0,10293,8.9
8325,r092,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",Computer engineering,4,2803,1.0,57,0.3,2,0.3,139,0.7,56,0.5,1,0.5,503,0.5,32,0.4,54,0.7,1959,1.7
8325,r093,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,3921,1.3,113,0.6,6,0.8,193,1.0,136,1.1,1,0.5,900,0.8,56,0.8,94,1.2,2422,2.1
