table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_employees_total,field_employees_r_d
6665,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['168', '&nbsp;']","['12', '&nbsp;']"
6665,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['989', '&nbsp;']","['85', '&nbsp;']"
6665,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['48', '&nbsp;']","['2', '&nbsp;']"
6665,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['893', '&nbsp;']","['196', '&nbsp;']"
6665,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['86', '&nbsp;']","['1', '&nbsp;']"
6665,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['215', '&nbsp;']","['21', '&nbsp;']"
6665,r020,Total -> Asia and Pacific -> Malaysia,Total,Asia and Pacific,Malaysia,3,"['101', '&nbsp;']","['7', '&nbsp;']"
6665,r021,Total -> Asia and Pacific -> New Zealand,Total,Asia and Pacific,New Zealand,3,"['15', '&nbsp;']","['2', '&nbsp;']"
6665,r022,Total -> Asia and Pacific -> Singapore,Total,Asia and Pacific,Singapore,3,"['133', '&nbsp;']","['11', '&nbsp;']"
6665,r023,Total -> Asia and Pacific -> South Korea,Total,Asia and Pacific,South Korea,3,"['90', '&nbsp;']","['11', '&nbsp;']"
6665,r024,Total -> Asia and Pacific -> Taiwan,Total,Asia and Pacific,Taiwan,3,"['72', '&nbsp;']","['14', '&nbsp;']"
6665,r025,Total -> Asia and Pacific -> Thailand,Total,Asia and Pacific,Thailand,3,"['118', '&nbsp;']","['4', '&nbsp;']"
6665,r026,Total -> Asia and Pacific -> Other Asian or Pacific locations,Total,Asia and Pacific,Other Asian or Pacific locations,3,"['255', '&nbsp;']","['12', '&nbsp;']"
6665,r027,Total -> Europe,Total,Europe,,2,"['3,075', '&nbsp;']","['281', '&nbsp;']"
6665,r028,Total -> Europe -> Austria,Total,Europe,Austria,3,"['26', '&nbsp;']","['3', '&nbsp;']"
6665,r029,Total -> Europe -> Belgium,Total,Europe,Belgium,3,"['111', '&nbsp;']","['12', '&nbsp;']"
6665,r030,Total -> Europe -> Czechia,Total,Europe,Czechia,3,"['68', '&nbsp;']","['6', '&nbsp;']"
6665,r031,Total -> Europe -> Denmark,Total,Europe,Denmark,3,"['25', '&nbsp;']","['3', '&nbsp;']"
6665,r032,Total -> Europe -> Finland,Total,Europe,Finland,3,"['16', '&nbsp;']","['3', '&nbsp;']"
6665,r033,Total -> Europe -> France,Total,Europe,France,3,"['284', '&nbsp;']","['20', '&nbsp;']"
6665,r034,Total -> Europe -> Germany,Total,Europe,Germany,3,"['475', '&nbsp;']","['55', '&nbsp;']"
6665,r035,Total -> Europe -> Hungary,Total,Europe,Hungary,3,"['53', '&nbsp;']","['3', '&nbsp;']"
6665,r036,Total -> Europe -> Ireland,Total,Europe,Ireland,3,"['113', '&nbsp;']","['14', '&nbsp;']"
6665,r037,Total -> Europe -> Italy,Total,Europe,Italy,3,"['158', '&nbsp;']","['15', '&nbsp;']"
6665,r038,Total -> Europe -> Luxembourg,Total,Europe,Luxembourg,3,"['11', '&nbsp;']","['2', '&nbsp;']"
6665,r039,Total -> Europe -> Netherlands,Total,Europe,Netherlands,3,"['119', '&nbsp;']","['11', '&nbsp;']"
6665,r040,Total -> Europe -> Norway,Total,Europe,Norway,3,"['29', '&nbsp;']","['2', '&nbsp;']"
6665,r041,Total -> Europe -> Poland,Total,Europe,Poland,3,"['199', '&nbsp;']","['10', '&nbsp;']"
6665,r042,Total -> Europe -> Russia,Total,Europe,Russia,3,"['103', '&nbsp;']","['6', '&nbsp;']"
6665,r043,Total -> Europe -> Spain,Total,Europe,Spain,3,"['114', '&nbsp;']","['9', '&nbsp;']"
6665,r044,Total -> Europe -> Sweden,Total,Europe,Sweden,3,"['42', '&nbsp;']","['7', '&nbsp;']"
6665,r045,Total -> Europe -> Switzerland,Total,Europe,Switzerland,3,"['71', '&nbsp;']","['11', '&nbsp;']"
6665,r046,Total -> Europe -> Turkey,Total,Europe,Turkey,3,"['45', '&nbsp;']","['1', '&nbsp;']"
6665,r047,Total -> Europe -> United Kingdom,Total,Europe,United Kingdom,3,"['736', '&nbsp;']","['67', '&nbsp;']"
6665,r048,Total -> Europe -> Other European locations,Total,Europe,Other European locations,3,"['276', '&nbsp;']","['20', '&nbsp;']"
6665,r049,Total -> Middle East,Total,Middle East,,2,"['184', '&nbsp;']","['29', '&nbsp;']"
6665,r050,Total -> Middle East -> Israel,Total,Middle East,Israel,3,"['59', '&nbsp;']","['23', '&nbsp;']"
6665,r051,Total -> Middle East -> Other Middle Eastern locations,Total,Middle East,Other Middle Eastern locations,3,"['125', '&nbsp;']","['5', '&nbsp;']"
6665,r052,Total -> Undistributed<sup>b</sup>,Total,Undistributed<sup>b</sup>,,2,"['2,231', 'i']","['70', 'i']"
