table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_r_d_expenditures,field_federal_government,field_state_and_local_government,field_business,field_nonprofit_organizations,field_all_other_sources
11316,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['1,370,949', '']","['1,367,998', '']","['0', '']","['531', '']","['0', '']","['2,420', '']"
11316,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['2,019,259', '']","['2,000,646', '']","['424', '']","['9,172', '']","['2,658', '']","['6,359', '']"
11316,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['1,449,496', '']","['1,424,969', '']","['4,921', '']","['8,723', '']","['8,488', '']","['2,395', '']"
11316,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['48,729', '']","['48,729', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Savannah River National Laboratory,3,"['244,736', '']","['241,518', '']","['0', '']","['3,218', '']","['0', '']","['0', '']"
11316,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['9,977', '']","['9,977', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r041,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['224,574', '']","['224,112', '']","['0', '']","['0', '']","['0', '']","['462', '']"
11316,r042,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['11,084,499', ' ']","['10,990,133', ' ']","['830', ' ']","['56,130', ' ']","['652', ' ']","['36,754', ' ']"
11316,r043,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['929,754', '']","['929,754', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['2,110,938', '']","['2,079,762', '']","['148', '']","['12,693', '']","['652', '']","['17,683', '']"
11316,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['3,768,323', '']","['3,742,718', '']","['0', '']","['25,605', '']","['0', '']","['0', '']"
11316,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['4,275,484', '']","['4,237,899', '']","['682', '']","['17,832', '']","['0', '']","['19,071', '']"
