table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_dhs,field_dot,field_nasa,field_nsf,field_other
9273,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['91,913', '']","['407', '']","['0', '']","['0', '']","['0', '']","['0', '']","['168', '']","['91,338', '']","['0', '']"
9273,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['33,800', '']","['46', '']","['0', '']","['0', '']","['0', '']","['0', '']","['868', '']","['32,886', '']","['0', '']"
9273,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,"['79,193', '']","['79', '']","['3,684', '']","['0', '']","['0', '']","['0', '']","['400', '']","['75,030', '']","['0', '']"
9273,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['119,828', '']","['137', '']","['118,758', '']","['0', '']","['0', '']","['0', '']","['862', '']","['71', '']","['0', '']"
9273,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['419,094', '']","['3,822', '']","['403,644', '']","['7,753', '']","['920', '']","['0', '']","['748', '']","['1,488', '']","['719', '']"
9273,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['129,316', '']","['84,520', '']","['1,306', '']","['1,450', '']","['34,323', '']","['264', '']","['0', '']","['0', '']","['7,453', '']"
9273,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['150,374', '']","['0', '']","['150,374', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9273,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['8,998,910', ' ']","['2,949,887', ' ']","['4,285,051', ' ']","['322,251', ' ']","['437,387', ' ']","['173,138', ' ']","['130,648', ' ']","['6,630', ' ']","['693,918', ' ']"
9273,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['1,147,041', '']","['1,003,373', '']","['20,974', '']","['0', '']","['612', '']","['3,697', '']","['85,201', '']","['163', '']","['33,021', '']"
9273,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['40,856', '']","['40,856', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9273,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['639,527', '']","['1,184', '']","['610,346', '']","['3,092', '']","['1,459', '']","['0', '']","['8,783', '']","['0', '']","['14,663', '']"
9273,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['164,992', '']","['0', '']","['0', '']","['0', '']","['0', '']","['164,750', '']","['242', '']","['0', '']","['0', '']"
9273,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['74,759', '']","['74,759', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9273,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['235,317', '']","['0', '']","['17', '']","['0', '']","['0', '']","['0', '']","['885', '']","['0', '']","['234,415', '']"
9273,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['93,567', '']","['93,567', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9273,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['3,595', '']","['36', '']","['138', '']","['0', '']","['0', '']","['102', '']","['0', '']","['0', '']","['3,319', '']"
9273,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['286,693', '']","['0', '']","['0', '']","['286,693', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9273,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['52,984', '']","['0', '']","['0', '']","['0', '']","['52,456', '']","['0', '']","['0', '']","['0', '']","['528', '']"
9273,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['181,702', '']","['0', '']","['0', '']","['0', '']","['179,618', '']","['0', '']","['0', '']","['0', '']","['2,084', '']"
9273,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Idaho National Laboratory,3,"['630,446', '']","['96,483', '']","['449,996', '']","['0', '']","['62,565', '']","['835', '']","['4,606', '']","['0', '']","['15,961', '']"
9273,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['45,869', '']","['1,119', '']","['0', '']","['1,119', '']","['29,510', '']","['0', '']","['0', '']","['0', '']","['14,121', '']"
9273,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['27,955', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['27,955', '']"
9273,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['61,097', '']","['59,151', '']","['0', '']","['0', '']","['0', '']","['212', '']","['0', '']","['0', '']","['1,734', '']"
9273,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['536,683', '']","['11,882', '']","['505,161', '']","['145', '']","['4,652', '']","['780', '']","['953', '']","['0', '']","['13,110', '']"
9273,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['1,282,762', '']","['1,091,302', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['191,460', '']"
9273,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['1,789,100', '']","['54,508', '']","['1,574,496', '']","['6,379', '']","['11,040', '']","['2,762', '']","['27,561', '']","['244', '']","['112,110', '']"
9273,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['1,266,328', '']","['172,623', '']","['969,783', '']","['24,010', '']","['80,943', '']","['0', '']","['1,811', '']","['632', '']","['16,526', '']"
9273,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['46,517', '']","['46,517', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9273,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Savannah River National Laboratory,3,"['179,848', '']","['23,503', '']","['151,107', '']","['0', '']","['2,108', '']","['0', '']","['0', '']","['0', '']","['3,130', '']"
9273,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['10,593', '']","['66', '']","['292', '']","['813', '']","['650', '']","['0', '']","['414', '']","['5,591', '']","['2,767', '']"
9273,r041,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['200,679', '']","['178,958', '']","['2,741', '']","['0', '']","['11,774', '']","['0', '']","['192', '']","['0', '']","['7,014', '']"
9273,r042,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['9,947,548', ' ']","['1,297,824', ' ']","['7,354,391', ' ']","['917,447', ' ']","['93,562', ' ']","['1,285', ' ']","['70,986', ' ']","['0', ' ']","['212,053', ' ']"
9273,r043,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['904,182', '']","['154', '']","['0', '']","['904,027', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']"
9273,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['1,633,185', '']","['307,749', '']","['1,278,991', '']","['6,652', '']","['26,985', '']","['0', '']","['5,227', '']","['0', '']","['7,581', '']"
9273,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['3,629,955', '']","['73,607', '']","['3,395,021', '']","['5,056', '']","['3,843', '']","['0', '']","['64,508', '']","['0', '']","['87,920', '']"
9273,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['3,780,226', '']","['916,314', '']","['2,680,379', '']","['1,712', '']","['62,734', '']","['1,285', '']","['1,251', '']","['0', '']","['116,551', '']"
