table_id,row_id,_b_field_and_primary_source_of_support_b_full_path,_b_field_and_primary_source_of_support_b_level_1,_b_field_and_primary_source_of_support_b_level_2,_b_field_and_primary_source_of_support_b_level_3,_b_field_and_primary_source_of_support_b_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
4672,r012,All fields (number) -> Life sciences (number)<sup>c</sup> -> Own resources,All fields (number),Life sciences (number)<sup>c</sup>,Own resources,3,12.0,9.8,13.8,15.1,4.2,14.3,33.3,10.2,33.8,14.4,9.9,19.6,22.7
4672,r013,All fields (number) -> Life sciences (number)<sup>c</sup> -> Employer,All fields (number),Life sciences (number)<sup>c</sup>,Employer,3,2.7,2.5,2.8,3.3,0.9,1.5,0.0,2.4,3.9,3.7,1.6,5.4,9.1
4672,r014,All fields (number) -> Life sciences (number)<sup>c</sup> -> Other,All fields (number),Life sciences (number)<sup>c</sup>,Other,3,3.1,3.7,2.7,0.6,9.6,0.7,0.0,0.2,0.4,0.7,0.0,3.6,0.0
4672,r015,All fields (number) -> Physical sciences and earth sciences (number),All fields (number),Physical sciences and earth sciences (number),,2,5650,3761,1889,3484,2150,226,,292,70,2726,130,,10
4672,r016,All fields (number) -> Physical sciences and earth sciences (number) -> Teaching assistantships,All fields (number),Physical sciences and earth sciences (number),Teaching assistantships,3,25.3,25.2,25.5,22.7,29.5,19.9,,25.0,30.0,22.6,,23.1,30.0
4672,r017,All fields (number) -> Physical sciences and earth sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Physical sciences and earth sciences (number),Research assistantships or traineeships<sup>b</sup>,3,50.5,53.1,45.4,48.0,54.6,32.3,,45.9,,50.0,45.4,61.5,30.0
4672,r018,"All fields (number) -> Physical sciences and earth sciences (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Physical sciences and earth sciences (number),"Fellowships, scholarships, or dissertation grants",3,19.3,16.7,24.5,23.7,12.2,41.6,,26.7,34.3,21.5,28.5,,30.0
4672,r019,All fields (number) -> Physical sciences and earth sciences (number) -> Own resources,All fields (number),Physical sciences and earth sciences (number),Own resources,3,2.9,3.0,2.7,4.1,0.8,3.5,0.0,,,4.4,3.8,3.8,10.0
4672,r020,All fields (number) -> Physical sciences and earth sciences (number) -> Employer,All fields (number),Physical sciences and earth sciences (number),Employer,3,0.9,1.1,0.6,1.3,0.3,,0.0,,,,,0.0,0.0
4672,r021,All fields (number) -> Physical sciences and earth sciences (number) -> Other,All fields (number),Physical sciences and earth sciences (number),Other,3,1.1,1.0,1.4,0.2,2.6,,0.0,0.0,0.0,,0.0,0.0,0.0
4672,r022,All fields (number) -> Mathematics and computer sciences (number),All fields (number),Mathematics and computer sciences (number),,2,3938,2933,1005,1624,2283,95,,246,53,1126,76,,10
4672,r023,All fields (number) -> Mathematics and computer sciences (number) -> Teaching assistantships,All fields (number),Mathematics and computer sciences (number),Teaching assistantships,3,37.3,36.2,40.5,37.3,37.5,35.8,0.0,32.9,34.0,38.9,38.2,17.6,20.0
4672,r024,All fields (number) -> Mathematics and computer sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Mathematics and computer sciences (number),Research assistantships or traineeships<sup>b</sup>,3,37.6,39.5,32.2,28.5,44.2,21.1,0.0,35.8,13.2,28.5,26.3,11.8,50.0
4672,r025,"All fields (number) -> Mathematics and computer sciences (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Mathematics and computer sciences (number),"Fellowships, scholarships, or dissertation grants",3,14.9,14.1,17.2,18.7,12.1,26.3,0.0,17.9,26.4,17.7,19.7,35.3,10.0
4672,r026,All fields (number) -> Mathematics and computer sciences (number) -> Own resources,All fields (number),Mathematics and computer sciences (number),Own resources,3,5.9,5.8,6.3,11.1,2.1,9.5,,10.6,,11.1,,5.9,20.0
4672,r027,All fields (number) -> Mathematics and computer sciences (number) -> Employer,All fields (number),Mathematics and computer sciences (number),Employer,3,1.9,1.9,1.9,4.0,0.4,7.4,0.0,2.4,,3.5,,,0.0
4672,r028,All fields (number) -> Mathematics and computer sciences (number) -> Other,All fields (number),Mathematics and computer sciences (number),Other,3,2.4,2.6,1.9,0.4,3.7,0.0,,0.4,3.8,0.4,0.0,,0.0
4672,r029,All fields (number) -> Psychology and social sciences (number),All fields (number),Psychology and social sciences (number),,2,7726,3133,4593,6010,1687,576,20,406,481,4237,223,43,24
4672,r030,All fields (number) -> Psychology and social sciences (number) -> Teaching assistantships,All fields (number),Psychology and social sciences (number),Teaching assistantships,3,28.8,32.3,26.4,26.9,35.6,22.6,,29.3,15.2,28.9,,25.6,8.3
4672,r031,All fields (number) -> Psychology and social sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Psychology and social sciences (number),Research assistantships or traineeships<sup>b</sup>,3,16.9,15.1,18.2,16.8,17.2,12.2,,14.0,10.2,18.7,,14.0,16.7
4672,r032,"All fields (number) -> Psychology and social sciences (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Psychology and social sciences (number),"Fellowships, scholarships, or dissertation grants",3,27.0,29.5,25.3,24.7,35.1,30.2,30.0,35.5,22.5,23.1,27.4,20.9,20.8
4672,r033,All fields (number) -> Psychology and social sciences (number) -> Own resources,All fields (number),Psychology and social sciences (number),Own resources,3,24.0,18.9,27.5,28.6,7.6,32.1,30.0,18.5,48.0,26.5,32.3,32.6,54.2
4672,r034,All fields (number) -> Psychology and social sciences (number) -> Employer,All fields (number),Psychology and social sciences (number),Employer,3,1.9,2.5,1.5,2.4,0.4,1.7,,1.7,3.5,2.4,,4.7,0.0
4672,r035,All fields (number) -> Psychology and social sciences (number) -> Other,All fields (number),Psychology and social sciences (number),Other,3,1.4,1.8,1.1,0.6,4.1,1.2,0.0,1.0,0.6,0.5,0.4,2.3,0.0
4672,r036,All fields (number) -> Engineering (number),All fields (number),Engineering (number),,2,9369,7054,2315,3850,5480,267,,617,163,2635,124,,13
4672,r037,All fields (number) -> Engineering (number) -> Teaching assistantships,All fields (number),Engineering (number),Teaching assistantships,3,11.7,11.6,12.1,8.3,14.1,7.1,0.0,9.6,9.2,8.0,9.7,0.0,23.1
4672,r038,All fields (number) -> Engineering (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Engineering (number),Research assistantships or traineeships<sup>b</sup>,3,58.7,60.0,54.6,48.1,66.1,34.8,,55.1,29.4,49.1,,51.9,23.1
4672,r039,"All fields (number) -> Engineering (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Engineering (number),"Fellowships, scholarships, or dissertation grants",3,19.2,17.5,24.6,29.8,11.8,44.2,,25.8,35.6,28.8,34.7,,15.4
4672,r040,All fields (number) -> Engineering (number) -> Own resources,All fields (number),Engineering (number),Own resources,3,4.6,4.7,4.3,8.1,2.2,7.5,0.0,5.8,14.7,8.3,5.6,7.4,15.4
4672,r041,All fields (number) -> Engineering (number) -> Employer,All fields (number),Engineering (number),Employer,3,2.2,2.5,1.4,5.0,0.2,4.5,0.0,3.1,8.6,5.4,,,23.1
4672,r042,All fields (number) -> Engineering (number) -> Other,All fields (number),Engineering (number),Other,3,3.5,3.7,3.0,0.6,5.6,1.9,0.0,0.6,2.5,0.3,0.8,3.7,0.0
4672,r043,All fields (number) -> Education (number),All fields (number),Education (number),,2,4123,1253,2870,3533,581,339,13,184,545,2298,98,35,21
4672,r044,All fields (number) -> Education (number) -> Teaching assistantships,All fields (number),Education (number),Teaching assistantships,3,12.1,12.1,12.1,10.7,20.7,8.8,0.0,17.9,7.0,11.3,12.2,11.4,14.3
4672,r045,All fields (number) -> Education (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Education (number),Research assistantships or traineeships<sup>b</sup>,3,17.0,15.3,17.7,15.2,27.7,18.0,,,13.0,14.2,17.3,14.3,9.5
4672,r046,"All fields (number) -> Education (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Education (number),"Fellowships, scholarships, or dissertation grants",3,13.3,13.7,13.1,12.0,21.0,16.5,,,16.3,9.8,12.2,20.0,14.3
4672,r047,All fields (number) -> Education (number) -> Own resources,All fields (number),Education (number),Own resources,3,45.2,44.3,45.6,50.2,15.1,44.0,,,54.3,51.8,48.0,45.7,57.1
4672,r048,All fields (number) -> Education (number) -> Employer,All fields (number),Education (number),Employer,3,9.8,10.9,9.3,,,,,,8.8,12.3,10.2,8.6,4.8
4672,r049,All fields (number) -> Education (number) -> Other,All fields (number),Education (number),Other,3,2.7,3.6,2.3,,,,15.4,0.0,0.6,0.6,0.0,0.0,0.0
4672,r050,All fields (number) -> Humanities and arts (number),All fields (number),Humanities and arts (number),,2,4251,2156,2095,3570,671,315,14,191,158,2740,105,36,11
4672,r051,All fields (number) -> Humanities and arts (number) -> Teaching assistantships,All fields (number),Humanities and arts (number),Teaching assistantships,3,39.7,37.5,41.9,40.0,37.7,34.0,,35.1,32.3,41.6,,38.9,45.5
4672,r052,All fields (number) -> Humanities and arts (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Humanities and arts (number),Research assistantships or traineeships<sup>b</sup>,3,1.5,1.4,1.7,1.6,1.0,1.9,,,,1.6,0.0,0.0,0.0
4672,r053,"All fields (number) -> Humanities and arts (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Humanities and arts (number),"Fellowships, scholarships, or dissertation grants",3,36.7,36.6,36.7,34.2,49.8,41.6,,,40.5,32.2,41.9,38.9,27.3
4672,r054,All fields (number) -> Humanities and arts (number) -> Own resources,All fields (number),Humanities and arts (number),Own resources,3,19.5,21.0,18.0,22.0,6.7,20.0,42.9,20.4,24.7,22.2,16.2,22.2,27.3
4672,r055,All fields (number) -> Humanities and arts (number) -> Employer,All fields (number),Humanities and arts (number),Employer,3,1.7,2.5,0.9,,,1.9,,,,,,0.0,0.0
4672,r056,All fields (number) -> Humanities and arts (number) -> Other,All fields (number),Humanities and arts (number),Other,3,0.9,1.0,0.8,,,0.6,0.0,0.5,0.0,,1.0,0.0,0.0
4672,r057,All fields (number) -> Other (number)<sup>d</sup>,All fields (number),Other (number)<sup>d</sup>,,2,2484,1152,1332,1507,967,115,9,147,202,978,37,10,9
4672,r058,All fields (number) -> Other (number)<sup>d</sup> -> Teaching assistantships,All fields (number),Other (number)<sup>d</sup>,Teaching assistantships,3,22.3,23.1,21.5,20.2,25.2,13.9,0.0,24.5,10.4,22.8,13.5,30.0,11.1
4672,r059,All fields (number) -> Other (number)<sup>d</sup> -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Other (number)<sup>d</sup>,Research assistantships or traineeships<sup>b</sup>,3,18.0,18.3,17.6,13.8,24.4,14.8,,,6.9,14.8,16.2,10.0,11.1
4672,r060,"All fields (number) -> Other (number)<sup>d</sup> -> Fellowships, scholarships, or dissertation grants",All fields (number),Other (number)<sup>d</sup>,"Fellowships, scholarships, or dissertation grants",3,24.4,25.9,23.2,19.6,32.0,26.1,,,16.3,17.3,16.2,10.0,11.1
4672,r061,All fields (number) -> Other (number)<sup>d</sup> -> Own resources,All fields (number),Other (number)<sup>d</sup>,Own resources,3,28.1,25.2,30.7,39.1,11.2,39.1,,20.4,57.4,37.6,,50.0,66.7
4672,r062,All fields (number) -> Other (number)<sup>d</sup> -> Employer,All fields (number),Other (number)<sup>d</sup>,Employer,3,4.1,3.7,4.5,6.3,0.8,5.2,,,6.9,6.9,,0.0,0.0
4672,r063,All fields (number) -> Other (number)<sup>d</sup> -> Other,All fields (number),Other (number)<sup>d</sup>,Other,3,3.1,3.8,2.4,0.9,6.4,0.9,0.0,0.7,2.0,0.6,5.4,0.0,0.0
