table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_all_employed_10_number,field_all_employed_10_se,field_full_professor_number,field_full_professor_se,field_full_professor_10_number,field_full_professor_10_se,field_associate_professor_number,field_associate_professor_se,field_associate_professor_10_number,field_associate_professor_10_se,field_assistant_professor_number,field_assistant_professor_se,field_assistant_professor_10_number,field_assistant_professor_10_se,field_instructor_or_lecturer_number,field_instructor_or_lecturer_se,field_instructor_or_lecturer_10_number,field_instructor_or_lecturer_10_se,field_all_other_faculty_number,field_all_other_faculty_se,field_all_other_faculty_10_number,field_all_other_faculty_10_se,field_rank_not_applicable_number,field_rank_not_applicable_se,field_rank_not_applicable_10_number,field_rank_not_applicable_10_se
8197,r012,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,4,1350,150,1550,175,,,750,150,200,100,550,125,800,100,S,S,150,50,100,50,,,,,200,75,100,50
8197,r013,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,6000,350,14250,525,,,8100,375,850,125,3750,350,3600,300,1000,175,750,125,800,150,,,,,700,150,550,125
8197,r014,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,4,4350,300,10850,450,,,6550,350,550,125,2750,325,2750,300,550,125,600,125,550,125,,,,,350,100,400,125
8197,r015,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,4,1650,175,3400,250,,,1550,175,300,75,1000,125,850,125,450,150,150,50,250,75,,,,,350,100,150,75
8197,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,13050,625,32800,850,,,15450,600,1050,200,7950,425,4550,325,2600,275,950,175,2000,225,S,S,150,75,6400,400,4700,325
8197,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,4,8500,525,24750,725,,,12350,525,750,175,5750,400,2950,300,1800,250,450,100,1300,200,,,150,75,4300,325,3450,300
8197,r018,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,4,4550,325,8050,400,,,3100,275,300,75,2200,200,1600,150,800,125,500,150,700,100,,,,,2100,250,1250,150
8197,r019,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,10300,425,28400,725,150,50,13250,600,1600,175,7450,450,5400,375,2350,275,800,125,1450,200,,,150,75,2300,225,3750,325
8197,r020,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,4,3100,275,12150,550,S,S,6800,450,600,100,3100,300,1550,225,650,125,200,75,400,100,,,,,750,125,1200,200
8197,r021,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,4,7200,350,16300,575,100,50,6450,450,1050,150,4350,325,3850,325,1750,250,600,125,1050,175,,,100,75,1600,175,2550,250
8197,r022,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,18100,525,42150,850,350,125,21250,625,3400,300,12500,500,9650,400,2200,250,2150,225,2400,250,50,50,200,75,2450,250,3500,325
8197,r023,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,4,8800,400,25650,750,250,100,14200,525,1800,225,6800,425,4850,325,1400,225,850,150,1250,175,,,150,75,1050,175,1900,250
8197,r024,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,4,9300,400,16500,525,S,S,7100,375,1600,175,5700,375,4800,275,800,125,1300,175,1200,175,,,100,50,1400,175,1600,175
8197,r025,All fields -> Engineering,All fields,Engineering,,,2,15450,625,31400,900,250,100,17000,750,1600,225,8650,500,7500,450,2150,275,900,150,900,175,,,S,S,5200,350,2700,300
8197,r026,All fields -> Engineering -> Male,All fields,Engineering,Male,,3,11400,550,25100,850,S,S,14300,700,1150,175,6750,450,5750,425,1500,250,600,150,550,150,,,,,3700,300,2000,275
8197,r027,All fields -> Engineering -> Female,All fields,Engineering,Female,,3,4050,275,6300,375,50,25,2700,275,450,125,1900,225,1750,200,600,150,300,75,350,75,,,,,1500,175,700,125
8197,r028,All fields -> Health,All fields,Health,,,2,9050,375,12550,475,300,100,5500,350,1650,225,4400,325,4950,275,1350,175,450,125,300,75,,,,,1700,175,1000,125
8197,r029,All fields -> Health -> Male,All fields,Health,Male,,3,2850,225,4450,300,S,S,2300,225,400,75,1450,225,1550,200,300,75,200,100,100,75,,,,,600,125,300,100
8197,r030,All fields -> Health -> Female,All fields,Health,Female,,3,6200,350,8100,325,200,75,3250,275,1250,200,2950,250,3400,250,1050,175,250,75,200,50,,,,,1100,125,700,100
