table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_full_professor_median_salary,field_full_professor_se,field_associate_professor_median_salary,field_associate_professor_se,field_assistant_professor_median_salary,field_assistant_professor_se,field_instructor_or_lecturer_median_salary,field_instructor_or_lecturer_se,field_all_other_faculty_median_salary,field_all_other_faculty_se,field_rank_not_applicable_median_salary,field_rank_not_applicable_se
3732,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Hispanic or Latino<sup>a</sup>,,4,81000,3000,138000,25000,101000,9500,84000,2500,62000,8000,,,57000,1500
3732,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
3732,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,91000,5000,,,,,S,S,,,,,,
3732,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,80000,2000,149000,9000,117000,3500,90000,2000,63000,3000,,,55000,1500
3732,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,86000,3000,120000,13000,100000,5500,84000,4000,59000,5500,,,57000,2500
3732,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,White,5,93000,2000,139000,3500,98000,2000,83000,1500,65000,2500,73000,7500,63000,2000
3732,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,80000,3500,141000,13500,97000,17000,87000,11500,85000,35000,,,53000,2500
3732,r025,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,109000,3500,138000,7500,104000,6000,99000,3000,82000,12000,,,104000,12000
3732,r026,All fields -> Science -> Computer and information sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Computer and information sciences,Hispanic or Latino<sup>a</sup>,,4,100000,15500,178000,47500,116000,13500,77000,2000,,,,,S,S
3732,r027,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
3732,r028,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
3732,r029,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,100000,5500,144000,8500,97000,4500,99000,5000,,,,,75000,21000
3732,r030,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,91000,14000,,,106000,8000,81000,6000,,,,,,
3732,r031,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,White,5,111000,3000,129000,7000,104000,7500,99000,2000,82000,12500,,,117000,9500
3732,r032,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,141000,44000,,,,,0.05,0.05,,,,,,
3732,r033,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,90000,1000,110000,3000,85000,2500,72000,3000,59000,2500,,,77000,9000
3732,r034,All fields -> Science -> Mathematics and statistics -> Hispanic or Latino<sup>a</sup>,All fields,Science,Mathematics and statistics,Hispanic or Latino<sup>a</sup>,,4,95000,8000,134000,14000,84000,6000,73000,9500,,,,,,
3732,r035,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
3732,r036,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
3732,r037,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Asian,5,89000,3000,106000,3500,90000,5000,75000,4000,55000,3000,,,61000,5000
3732,r038,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,79000,5500,116000,19500,79000,10000,67000,7000,,,,,,
3732,r039,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,White,5,90000,1000,111000,4000,80000,3000,70000,2500,61000,4000,,,82000,10000
3732,r040,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,101000,16500,0.05,0.05,S,S,,,,,,,,
3732,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,90000,500,126000,3000,87000,2500,76000,2500,60000,2000,59000,17500,70000,2000
3732,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Hispanic or Latino<sup>a</sup>,,4,80000,2500,101000,20000,79000,3500,75000,4500,51000,11000,,,66000,8000
3732,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
3732,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
3732,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,80000,3000,139000,9500,97000,9500,81000,4000,56000,2500,,,60000,1500
3732,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,80000,6500,104000,19000,85000,6500,66000,3000,52000,7000,,,58000,6000
3732,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,White,5,93000,2000,125000,3000,86000,3000,75000,1500,62000,2500,70000,5000,84000,5000
3732,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,79000,2500,122000,7000,98000,18500,77000,4500,,,,,62000,7000
3732,r049,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,92000,2000,125000,2500,89000,1500,76000,2500,64000,4500,,,81000,2000
3732,r050,All fields -> Science -> Psychology -> Hispanic or Latino<sup>a</sup>,All fields,Science,Psychology,Hispanic or Latino<sup>a</sup>,,4,86000,4000,108000,4500,85000,5000,76000,6000,79000,7000,,,75000,11000
3732,r051,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
3732,r052,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
3732,r053,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Asian,5,85000,3000,138000,34500,83000,4000,77000,7000,49000,5500,,,75000,7500
3732,r054,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,88000,2500,123000,11500,89000,6000,76000,3500,S,S,,,87000,15000
3732,r055,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,White,5,95000,2000,125000,3500,90000,2000,75000,2500,64000,4500,,,81000,3500
3732,r056,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,88000,4000,109000,7000,94000,10000,85000,17500,,,,,80000,10000
3732,r057,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,95000,500,124000,4500,90000,2000,78000,2000,60000,1500,,,79000,3000
3732,r058,All fields -> Science -> Social sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Social sciences,Hispanic or Latino<sup>a</sup>,,4,89000,1500,119000,7500,90000,3000,79000,2000,54000,3500,,,67000,4500
3732,r059,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
3732,r060,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,73000,11000,S,S,87000,20000,68000,3500,,,,,,
3732,r061,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,95000,2000,114000,10500,94000,5000,83000,3000,69000,9500,,,82000,13000
3732,r062,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,88000,3000,108000,10000,92000,3500,73000,3000,59000,5500,,,79000,1000
3732,r063,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,White,5,97000,2000,127000,3500,88000,2500,75000,2500,60000,2000,,,80000,5000
3732,r064,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,91000,7500,120000,25000,86000,7000,83000,2500,,,,,81000,19000
3732,r065,All fields -> Engineering,All fields,Engineering,,,,2,108000,2000,144000,3500,107000,2000,89000,500,76000,3500,S,S,71000,4500
3732,r066,All fields -> Engineering -> Hispanic or Latino<sup>a</sup>,All fields,Engineering,Hispanic or Latino<sup>a</sup>,,,3,95000,4000,108000,9000,102000,6500,87000,3000,47000,13000,,,75000,9500
3732,r067,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
3732,r068,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,,,S,S,,,,,,,,,,
3732,r069,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Asian,,4,100000,3500,140000,3500,107000,3500,88000,3500,73000,7000,,,62000,3500
3732,r070,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,100000,4500,139000,15500,109000,6500,88000,3500,72000,13000,,,60000,12500
3732,r071,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,White,,4,111000,2500,150000,3000,106000,2000,90000,1000,78000,4500,S,S,95000,7500
3732,r072,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,90000,9500,130000,21000,115000,21000,89000,3500,,,,,79000,5000
3732,r073,All fields -> Health,All fields,Health,,,,2,97000,3000,139000,4500,99000,1500,84000,2500,59000,9500,S,S,70000,2000
3732,r074,All fields -> Health -> Hispanic or Latino<sup>a</sup>,All fields,Health,Hispanic or Latino<sup>a</sup>,,,3,83000,4000,112000,19000,97000,14500,80000,2000,,,,,50000,1500
3732,r075,All fields -> Health -> Not Hispanic or Latino<sup>b</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
3732,r076,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Health,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,,,,,,,,,,,,,,
3732,r077,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Asian,,4,89000,5000,163000,33000,100000,3000,85000,5000,,,,,61000,9500
3732,r078,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,90000,4000,125000,9000,97000,8000,76000,11500,,,,,79000,9500
3732,r079,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Health,Not Hispanic or Latino<sup>b</sup>,White,,4,100000,3000,138000,6000,100000,5000,84000,2500,55000,8500,S,S,82000,9000
3732,r080,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,92000,9500,S,S,92000,18000,76000,5500,,,,,S,S
