table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
2097,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['12,419', '&nbsp;']","['8,728', '&nbsp;']","['9,394', '&nbsp;']","['13,503', '&nbsp;']","['11,985', '&nbsp;']","['11,882', '&nbsp;']","['14,588', '&nbsp;']","['15,589', '  ']","['14,752', '  ']","['20,192', 'i ']"
2097,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['5,126', '&nbsp;']","['9,629', '&nbsp;']","['11,268', '&nbsp;']","['7,329', '&nbsp;']","['10,300', '&nbsp;']","['13,337', '&nbsp;']","['12,013', '&nbsp;']","['9,882', 'i ']","['11,779', '  ']","['12,213', 'i ']"
2097,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['20,381', '&nbsp;']","['35,476', '&nbsp;']","['37,663', '&nbsp;']","['34,616', '&nbsp;']","['40,865', '&nbsp;']","['44,169', '&nbsp;']","['46,955', '&nbsp;']","['39,940', '  ']","['39,568', '  ']","['31,651', '  ']"
2097,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['47,654', '&nbsp;']","['43,416', '&nbsp;']","['54,549', '&nbsp;']","['58,580', '&nbsp;']","['54,904', '&nbsp;']","['49,253', '&nbsp;']","['56,905', '&nbsp;']","['51,633', '  ']","['73,973', '  ']","['65,533', '  ']"
2097,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['174,950', '&nbsp;']","['124,140', '&nbsp;']","['146,852', '&nbsp;']","['166,401', '&nbsp;']","['166,616', '&nbsp;']","['155,415', '&nbsp;']","['153,493', '&nbsp;']","['119,588', '  ']","['132,355', '  ']","['118,700', '  ']"
2097,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['D', '&nbsp;']","['504', '&nbsp;']","['937', '&nbsp;']","['903', '&nbsp;']","['2,302', '&nbsp;']","['187', '&nbsp;']","['573', '&nbsp;']","['145', '  ']","['384', '  ']","['706', '  ']"
2097,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['66,559', '&nbsp;']","['49,109', '&nbsp;']","['95,944', '&nbsp;']","['98,857', '&nbsp;']","['98,046', '&nbsp;']","['113,842', '&nbsp;']","['134,544', '&nbsp;']","['101,485', '  ']","['89,740', '  ']","['89,102', '  ']"
2097,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['S', '&nbsp;']","['6,959', '&nbsp;']","['7,569', '&nbsp;']","['9,732', 'i']","['5,939', '&nbsp;']","['8,600', 'i']","['7,452', '&nbsp;']","['9,077', '  ']","['5,821', '  ']","['6,948', '  ']"
2097,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['7,773', '&nbsp;']","['12,349', '&nbsp;']","['9,361', '&nbsp;']","['15,023', '&nbsp;']","['13,670', '&nbsp;']","['7,406', '&nbsp;']","['7,083', 'i']","['D', '  ']","['1,316', '  ']","['1,773', '  ']"
2097,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['9,178', '&nbsp;']","['9,959', '&nbsp;']","['10,547', '&nbsp;']","['12,611', '&nbsp;']","['10,015', '&nbsp;']","['12,933', '&nbsp;']","['16,421', '&nbsp;']","['19,962', '  ']","['17,048', '  ']","['19,905', '  ']"
