table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_full_time_employed_total_median_salary,field_all_full_time_employed_total_se,field_all_full_time_employed_male_median_salary,field_all_full_time_employed_male_se,field_all_full_time_employed_female_median_salary,field_all_full_time_employed_female_se,field_hispanic_or_latinoa_total_median_salary,field_hispanic_or_latinoa_total_se,field_hispanic_or_latinoa_male_median_salary,field_hispanic_or_latinoa_male_se,field_hispanic_or_latinoa_female_median_salary,field_hispanic_or_latinoa_female_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_se,field_not_hispanic_or_latinob_asian_total_median_salary,field_not_hispanic_or_latinob_asian_total_se,field_not_hispanic_or_latinob_asian_male_median_salary,field_not_hispanic_or_latinob_asian_male_se,field_not_hispanic_or_latinob_asian_female_median_salary,field_not_hispanic_or_latinob_asian_female_se,field_not_hispanic_or_latinob_black_or_african_american_total_median_salary,field_not_hispanic_or_latinob_black_or_african_american_total_se,field_not_hispanic_or_latinob_black_or_african_american_male_median_salary,field_not_hispanic_or_latinob_black_or_african_american_male_se,field_not_hispanic_or_latinob_black_or_african_american_female_median_salary,field_not_hispanic_or_latinob_black_or_african_american_female_se,field_not_hispanic_or_latinob_white_total_median_salary,field_not_hispanic_or_latinob_white_total_se,field_not_hispanic_or_latinob_white_male_median_salary,field_not_hispanic_or_latinob_white_male_se,field_not_hispanic_or_latinob_white_female_median_salary,field_not_hispanic_or_latinob_white_female_se,field_not_hispanic_or_latinob_other_racec_total_median_salary,field_not_hispanic_or_latinob_other_racec_total_se,field_not_hispanic_or_latinob_other_racec_male_median_salary,field_not_hispanic_or_latinob_other_racec_male_se,field_not_hispanic_or_latinob_other_racec_female_median_salary,field_not_hispanic_or_latinob_other_racec_female_se
9244,r018,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,101000,1500,115000,3000,98000,1000,99000,3000,106000,6500,92000,5500,100000,8000,106000,34500,99000,3000,98000,3000,127000,18500,95000,3500,93000,4000,104000,13500,89000,1000,103000,1500,115000,3500,99000,1000,101000,7000,115000,4500,93000,3000
9244,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,101000,2000,110000,1500,92000,2500,95000,4000,100000,8000,88000,3500,83000,10000,94000,13000,74000,7500,110000,3000,115000,7000,104000,4500,92000,2000,94000,5500,89000,3500,103000,2500,114000,5000,90000,2000,96000,7000,100000,8000,86000,7500
9244,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,135000,4000,140000,5000,124000,6000,135000,11000,139000,12000,102000,15000,,,,,,,129000,2000,137000,13000,120000,10000,103000,7500,100000,6000,124000,10500,140000,2500,144000,7500,125000,5000,165000,16000,182000,74500,164000,10500
9244,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,103000,4000,105000,3000,96000,4500,95000,9000,95000,10000,89000,17500,,,,,,,95000,6000,78000,9000,108000,10500,83000,7000,79000,9000,89000,7500,105000,2500,110000,5000,94000,6000,104000,28000,109000,42500,87000,8000
9244,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,90000,2000,99000,3000,88000,2500,90000,11000,87000,1500,104000,7500,,,,,,,90000,3500,107000,21500,85000,4000,93000,3500,107000,18500,88000,4500,91000,3500,100000,4500,87000,3000,78000,2500,77000,3500,80000,4500
9244,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,90000,500,95000,500,85000,1500,80000,3000,83000,6000,79000,5000,71000,12000,69000,25000,74000,11000,94000,2500,95000,6000,89000,6000,87000,4000,95000,5000,81000,3500,90000,1000,95000,1500,85000,2000,80000,6500,95000,13000,79000,4000
9244,r024,All fields -> Engineering,All fields,Engineering,,,2,137000,2000,140000,500,120000,2000,120000,4500,125000,4500,109000,4000,140000,13500,146000,12500,,,139000,2500,139000,500,125000,3000,116000,5500,112000,6000,129000,6000,140000,2000,141000,2500,119000,1500,137000,9500,139000,12000,129000,12000
9244,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,137000,4500,139000,7000,128000,3000,112000,10500,118000,17500,108000,10500,,,,,,,130000,8500,130000,8500,129000,15500,115000,17500,105000,28500,0.05,0.05,145000,5500,148000,4500,128000,2500,151000,26000,,,,
9244,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,139000,4000,140000,1500,127000,4500,124000,5500,127000,13500,112000,10500,,,,,,,139000,6000,139000,3500,128000,8000,137000,15000,127000,34500,137000,16000,137000,3000,140000,3000,123000,7000,162000,16000,168000,23000,,
9244,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,119000,4500,120000,2000,105000,5500,108000,8000,108000,8500,102000,19500,,,,,,,110000,11000,119000,10500,93000,11500,99000,15000,97000,16500,110000,10500,120000,3500,128000,7000,109000,5000,90000,13500,89000,13000,,
9244,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,150000,2000,153000,4500,140000,1000,139000,5000,139000,4500,125000,17000,,,S,S,,,150000,4500,155000,6500,140000,6500,144000,7500,143000,7500,188000,64500,150000,3500,155000,6000,130000,7000,130000,27500,129000,25500,,
9244,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,130000,2000,130000,1500,113000,5000,120000,12000,122000,14000,,,S,S,,,,,130000,3000,130000,5000,113000,6000,103000,7500,98000,13000,,,128000,4000,130000,3500,113000,3500,144000,24500,142000,28500,,
9244,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,134000,3500,138000,3500,119000,3500,123000,6500,125000,8500,120000,9500,,,,,,,129000,6000,138000,7500,110000,10000,122000,18500,124000,19500,,,138000,3000,140000,4000,126000,10000,119000,6500,117000,9500,,
9244,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,130000,500,133000,3500,119000,3500,109000,7000,119000,7000,99000,4000,156000,16500,0.05,0.05,,,129000,2000,130000,1000,120000,4000,111000,6000,111000,4000,116000,13000,133000,3500,139000,3500,119000,5500,129000,9000,142000,13500,110000,14500
9244,r032,All fields -> Health,All fields,Health,,,2,110000,1500,125000,4000,103000,2500,99000,5000,113000,8000,90000,9000,93000,10000,,,S,S,110000,5000,121000,6000,100000,3000,100000,2000,109000,9500,99000,2500,113000,3500,130000,5500,106000,3000,100000,19000,120000,26500,95000,13500
