table_id,row_id,broad_field,gss_code_collected_,detailed_field_collected_,gss_code_reported_,gss_field_name_in_data_and_tables_,exclusions
10645,r035,,405,Mathematics,405,Mathematics,
10645,r036,,403,Statistics,403,Statistics ,
10645,r037,Multidisciplinary and interdisciplinary studies,982,Biological and physical sciences,982,Biological and physical sciences,
10645,r038,,981,Computational science,981,Computational science,
10645,r039,,984,Data science and data analytics,984,Data science and data analytics,
10645,r040,,983,International and global studies,983,International and global studies,
10645,r041,,980,Multidisciplinary and interdisciplinary studies nec,980,Multidisciplinary and interdisciplinary studies nec,
10645,r042,Natural resources and conservation,510,Environmental science and studies,510,Environmental science and studies,
10645,r043,,511,"Forestry, natural resources and conservation",511,"Forestry, natural resources and conservation",
10645,r044,Physical sciences,201,Astronomy and astrophysics,201,Astronomy and astrophysics,
10645,r045,,202,Chemistry,202,Chemistry,
10645,r046,,205,Materials sciences,205,Materials sciences,
10645,r047,,203,Physics,203,Physics,
10645,r048,,204,Physical sciences nec,204,Physical sciences nec,
10645,r049,Psychology,804,Applied psychology,804,Applied psychology,
10645,r050,,803,Clinical psychology,803,Clinical psychology,
10645,r051,,806,Counseling psychology,806,Counseling psychology,
10645,r052,,915,Human development,815,Human development,
10645,r053,,801,"Psychology, general",801,"Psychology, general",
10645,r054,,805,Research and experimental psychology,805,Research and experimental psychology,
10645,r055,Social sciences,901,Agricultural and natural resource economics,901,Agricultural and natural resource economics,
10645,r056,,902,Anthropology,902,Anthropology,
10645,r057,,916,"Area, ethnic, cultural, gender, and group studies",916,"Area, ethnic, cultural, gender, and group studies",
10645,r058,,911,Criminal justice and safety studies,911,Criminal justice and safety studies,
10645,r059,,917,Criminology,917,Criminology,
10645,r060,,903,Economics (except agricultural and natural resource),903,Economics (except agricultural and natural resource),
10645,r061,,904,Geography and cartography,904,Geography and cartography,
10645,r062,,912,International relations and national security studies,912,International relations and national security studies,
10645,r063,,906,Linguistics,906,Linguistics,
10645,r064,,907,Political science and government,907,Political science and government,
10645,r065,,914,Public policy analysis,914,Public policy analysis,
10645,r066,,908,Sociology and population studies,908,Sociology and population studies,
10645,r067,,918,Urban studies and affairs ,918,Urban studies and affairs ,
10645,r068,,910,Social sciences nec,919,"Social sciences, other",
10645,r069,,905,History and philosophy of science and technology,919,"Social sciences, other",
10645,r070,"Aerospace, aeronautical, and astronautical engineering",101,"Aerospace, aeronautical, and astronautical engineering",101,"Aerospace, aeronautical, and astronautical engineering",
10645,r071,"Biological, biomedical, and biosystems engineering",103,Bioengineering and biomedical engineering,120,"Biological, biomedical, and biosystems engineering",
10645,r072,,115,Biological and biosystems engineering,120,"Biological, biomedical, and biosystems engineering",
10645,r073,"Chemical, petroleum, and chemical-related engineering",104,Chemical engineering,104,Chemical engineering,
10645,r074,,113,Petroleum engineering,113,Petroleum engineering,
10645,r075,"Civil, environmental, transportation and related engineering fields",105,Civil engineering,105,Civil engineering,
10645,r076,,117,"Architectural, environmental, construction and surveying engineering",117,"Architectural, environmental, construction and surveying engineering",
10645,r077,"Electrical, electronics, communications and computer engineering",118,Computer engineering,118,Computer engineering,
10645,r078,,106,"Electrical, electronics, and communications engineering",106,"Electrical, electronics, and communications engineering",
10645,r079,"Industrial, manufacturing, systems engineering and operations research",108,Industrial and manufacturing engineering,108,Industrial and manufacturing engineering,
10645,r080,,119,Systems engineering and operations research,119,Systems engineering and operations research,
10645,r081,Mechanical engineering,109,Mechanical engineering,109,Mechanical engineering,
10645,r082,"Metallurgical, mining, materials and related engineering fields",110,Metallurgical and materials engineering,121,"Metallurgical, mining, materials and related engineering fields",
10645,r083,,111,Mining engineering,121,"Metallurgical, mining, materials and related engineering fields",
10645,r084,"Engineering, other",102,Agricultural engineering,102,Agricultural engineering,
10645,r085,,107,"Engineering mechanics, physics, and science",107,"Engineering mechanics, physics, and science",
10645,r086,,112,Nuclear engineering,112,Nuclear engineering,
10645,r087,,114,Engineering nec,122,"Engineering, other",
10645,r088,,116,Nanotechnology,122,"Engineering, other",
10645,r089,Clinical medicine,701,Anesthesiology,701,Anesthesiology,Postdocs and NFRs only
10645,r090,,702,Cardiology and cardiovascular disease,702,Cardiology and cardiovascular disease,Postdocs and NFRs only
10645,r091,,704,"Endocrinology, diabetes, and metabolism",704,"Endocrinology, diabetes, and metabolism",Postdocs and NFRs only
10645,r092,,705,Gastroenterology,705,Gastroenterology,Postdocs and NFRs only
10645,r093,,706,Hematology,706,Hematology,Postdocs and NFRs only
10645,r094,,725,Clinical and medical laboratory science,729,Medical clinical sciences and clinical and medical laboratory sciences ,
10645,r095,,730,Medical clinical sciences ,729,Medical clinical sciences and clinical and medical laboratory sciences ,
10645,r096,,707,Neurology and neurosurgery,707,Neurology and neurosurgery,Postdocs and NFRs only
10645,r097,,708,Obstetrics and gynecology,708,Obstetrics and gynecology,Postdocs and NFRs only
10645,r098,,703,Oncology and cancer research,703,Oncology and cancer research,Postdocs and NFRs only
10645,r099,,709,Ophthalmology,709,Ophthalmology,Postdocs and NFRs only
10645,r100,,710,Otorhinolaryngology,710,Otorhinolaryngology,Postdocs and NFRs only
10645,r101,,711,Pediatrics,711,Pediatrics,Postdocs and NFRs only
10645,r102,,712,Public health,712,Public health,
10645,r103,,713,Psychiatry,713,Psychiatry,Postdocs and NFRs only
10645,r104,,714,Pulmonary disease,714,Pulmonary disease,Postdocs and NFRs only
10645,r105,,715,Radiological sciences,715,Radiological sciences,Postdocs and NFRs only
10645,r106,,716,Surgery,716,Surgery,Postdocs and NFRs only
10645,r107,,717,Clinical medicine nec,717,Clinical medicine nec,Postdocs and NFRs only
10645,r108,Other health,723,Communication disorders sciences,723,Communication disorders sciences,Exclude AuD
10645,r109,,718,Dental sciences,718,Dental sciences,Exclude DDS
10645,r110,,724,Kinesiology and exercise science,724,Kinesiology and exercise science,"Exclude DPT, DScPT, and OTD"
10645,r111,,719,Nursing science,719,Nursing science,"PhD, postdocs, and NFRs only"
10645,r112,,720,Pharmaceutical sciences,720,Pharmaceutical sciences,Exclude PharmD
10645,r113,,722,Other health nec,722,"Health-related, not elsewhere classified","Exclude DPT, DScPT and OTD"
