table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_structures,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
765,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['15,931', '&nbsp;']","['2,949', '&nbsp;']","['771', '&nbsp;']","['1,546', '&nbsp;']","['398', '&nbsp;']","['234', '&nbsp;']"
765,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['4,180', '&nbsp;']","['87', 'i']","['14', 'i']","['70', 'i']","['1', 'i']","['2', 'i']"
765,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals ",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals ",,4,"3255, 3259","['2,192', '&nbsp;']","['51', '&nbsp;']","['6', '&nbsp;']","['31', '&nbsp;']","['*', '&nbsp;']","['14', '&nbsp;']"
765,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['10,656', '&nbsp;']","['455', '&nbsp;']","['34', '&nbsp;']","['369', '&nbsp;']","['10', '&nbsp;']","['43', '&nbsp;']"
765,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['3,609', '&nbsp;']","['312', 'i']","['123', 'i']","['76', 'i']","['1', '&nbsp;']","['111', '&nbsp;']"
765,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['4,515', '&nbsp;']","['70', 'i']","['13', 'i']","['36', 'i']","['7', 'i']","['13', 'i']"
765,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['5,383', 'i']","['197', 'i']","['1', 'i']","['165', 'i']","['6', 'i']","['25', 'i']"
765,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['12,295', '&nbsp;']","['725', 'i']","['66', '&nbsp;']","['487', 'i']","['43', 'i']","['129', 'i']"
765,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['992', '&nbsp;']","['66', '&nbsp;']","['33', '&nbsp;']","['19', '&nbsp;']","['*', '&nbsp;']","['14', '&nbsp;']"
765,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['617', 'i']","['196', 'i']","['3', 'i']","['134', 'i']","['5', 'i']","['54', 'i']"
765,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['1,569', 'i']","['39', 'i']","['1', 'i']","['25', 'i']","['4', 'i']","['10', 'i']"
765,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['9,116', '&nbsp;']","['424', '&nbsp;']","['30', '&nbsp;']","['309', 'i']","['34', '&nbsp;']","['51', '&nbsp;']"
765,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['25,473', 'i']","['7,192', 'i']","['1,100', 'i']","['3,945', 'i']","['642', 'i']","['1,505', 'i']"
765,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['8,944', 'i']","['2,469', 'i']","['644', 'i']","['1,475', 'i']","['228', 'i']","['122', 'i']"
765,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['9,369', 'i']","['2,866', 'i']","['41', 'i']","['1,594', 'i']","['250', 'i']","['980', 'i']"
765,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['4,418', '&nbsp;']","['792', 'i']","['78', 'i']","['470', '&nbsp;']","['103', '&nbsp;']","['141', 'i']"
765,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['801', '&nbsp;']","['329', 'i']","['58', 'i']","['232', 'i']","['14', 'i']","['24', 'i']"
765,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['1,774', '&nbsp;']","['205', '&nbsp;']","['D', '&nbsp;']","['160', '&nbsp;']","['34', '&nbsp;']","['D', '&nbsp;']"
765,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,"['1,842', '&nbsp;']","['258', 'i']","['D', '&nbsp;']","['78', 'i']","['54', 'i']","['D', '&nbsp;']"
765,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['2,742', '&nbsp;']","['1,065', '&nbsp;']","['337', 'i']","['404', 'i']","['61', 'i']","['262', 'i']"
765,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,414', '&nbsp;']","['351', 'i']","['16', 'i']","['157', 'i']","['46', 'i']","['131', 'i']"
765,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['63,080', '&nbsp;']","['2,039', '&nbsp;']","['412', '&nbsp;']","['1,089', '&nbsp;']","['178', '&nbsp;']","['360', '&nbsp;']"
765,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['42,378', '&nbsp;']","['1,307', '&nbsp;']","['122', '&nbsp;']","['774', '&nbsp;']","['129', '&nbsp;']","['282', '&nbsp;']"
765,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['17,348', '&nbsp;']","['621', '&nbsp;']","['269', '&nbsp;']","['261', '&nbsp;']","['48', '&nbsp;']","['43', '&nbsp;']"
765,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,"['17,082', '&nbsp;']","['620', '&nbsp;']","['269', '&nbsp;']","['261', '&nbsp;']","['48', '&nbsp;']","['43', '&nbsp;']"
765,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419","['266', '&nbsp;']","['1', '&nbsp;']","['*', 'i']","['1', '&nbsp;']","['*', 'i']","['*', 'i']"
765,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components ",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components ",,4,336992,"['25', 'i']","['5', 'i']","['0', '&nbsp;']","['5', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
765,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['3,329', '&nbsp;']","['107', '&nbsp;']","['21', '&nbsp;']","['49', 'i']","['2', '&nbsp;']","['34', '&nbsp;']"
765,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['1,047', '&nbsp;']","['64', 'i']","['11', 'i']","['40', 'i']","['8', 'i']","['4', '&nbsp;']"
765,r043,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['8,249', '&nbsp;']","['722', '&nbsp;']","['D', '&nbsp;']","['328', '&nbsp;']","['269', '&nbsp;']","['D', '&nbsp;']"
765,r044,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['5,928', '&nbsp;']","['622', '&nbsp;']","['32', '&nbsp;']","['279', '&nbsp;']","['249', '&nbsp;']","['62', '&nbsp;']"
765,r045,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['2,321', 'i']","['100', 'i']","['D', '&nbsp;']","['48', 'i']","['20', 'i']","['D', '&nbsp;']"
765,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['329,670', '&nbsp;']","['11,577', '&nbsp;']","['885', '&nbsp;']","['4,464', 'i']","['5,231', '&nbsp;']","['998', '&nbsp;']"
765,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['56,955', '&nbsp;']","['485', '&nbsp;']","['157', '&nbsp;']","['197', '&nbsp;']","['103', '&nbsp;']","['28', '&nbsp;']"
765,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['88,658', '&nbsp;']","['113', '&nbsp;']","['16', '&nbsp;']","['50', '&nbsp;']","['*', '&nbsp;']","['47', '&nbsp;']"
765,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['4,436', 'i']","['87', 'i']","['19', 'i']","['53', 'i']","['10', 'i']","['5', 'i']"
765,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['8,126', 'i']","['168', 'i']","['20', 'i']","['82', 'i']","['56', 'i']","['10', 'i']"
765,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['17,513', '&nbsp;']","['50', '&nbsp;']","['4', '&nbsp;']","['21', '&nbsp;']","['18', '&nbsp;']","['7', '&nbsp;']"
765,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['103,200', '&nbsp;']","['4,291', '&nbsp;']","['416', '&nbsp;']","['2,500', 'i']","['1,100', 'i']","['274', '&nbsp;']"
765,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['10,992', '&nbsp;']","['1,381', '&nbsp;']","['295', '&nbsp;']","['784', '&nbsp;']","['121', '&nbsp;']","['181', '&nbsp;']"
765,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['222', 'i']","['10', 'i']","['1', 'i']","['4', 'i']","['1', 'i']","['3', '&nbsp;']"
765,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['10,771', '&nbsp;']","['1,371', '&nbsp;']","['294', '&nbsp;']","['780', '&nbsp;']","['120', '&nbsp;']","['178', '&nbsp;']"
765,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['74,818', '&nbsp;']","['1,402', '&nbsp;']","['2', '&nbsp;']","['952', 'i']","['434', 'i']","['14', 'i']"
765,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['4,765', '&nbsp;']","['758', '&nbsp;']","['15', '&nbsp;']","['263', '&nbsp;']","['446', '&nbsp;']","['33', '&nbsp;']"
765,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['12,624', '&nbsp;']","['751', '&nbsp;']","['104', '&nbsp;']","['502', '&nbsp;']","['99', '&nbsp;']","['46', '&nbsp;']"
765,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['12,950', '&nbsp;']","['2,394', '&nbsp;']","['24', '&nbsp;']","['201', '&nbsp;']","['1,958', '&nbsp;']","['211', '&nbsp;']"
765,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['834', 'i']","['35', '&nbsp;']","['*', 'i']","['2', '&nbsp;']","['31', '&nbsp;']","['2', '&nbsp;']"
765,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['13', 'i']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
765,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['821', 'i']","['34', '&nbsp;']","['*', 'i']","['1', 'i']","['31', '&nbsp;']","['1', '&nbsp;']"
765,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['18,456', '&nbsp;']","['3,389', '&nbsp;']","['219', '&nbsp;']","['1,116', '&nbsp;']","['1,747', '&nbsp;']","['306', '&nbsp;']"
765,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,132', 'i']","['64', '&nbsp;']","['*', '&nbsp;']","['32', '&nbsp;']","['16', '&nbsp;']","['16', '&nbsp;']"
765,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['6,997', '&nbsp;']","['2,183', '&nbsp;']","['145', '&nbsp;']","['579', '&nbsp;']","['1,407', '&nbsp;']","['52', '&nbsp;']"
765,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,663', '&nbsp;']","['737', '&nbsp;']","['73', '&nbsp;']","['357', 'i']","['74', '&nbsp;']","['232', 'i']"
765,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['759', '&nbsp;']","['267', 'i']","['14', 'i']","['152', 'i']","['2', 'i']","['98', 'i']"
765,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['895', '&nbsp;']","['462', '&nbsp;']","['58', '&nbsp;']","['201', '&nbsp;']","['70', '&nbsp;']","['132', '&nbsp;']"
765,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['9', '&nbsp;']","['9', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']"
765,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['8,664', '&nbsp;']","['405', 'i']","['1', '&nbsp;']","['149', '&nbsp;']","['250', 'i']","['5', '&nbsp;']"
765,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['3,346', 'i']","['90', 'i']","['2', 'i']","['75', 'i']","['1', 'i']","['12', 'i']"
765,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['15,198', 'i']","['476', 'i']","['7', 'i']","['165', 'i']","['207', 'i']","['97', 'i']"
765,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['558,899', '&nbsp;']","['28,203', '&nbsp;']","['3,674', '&nbsp;']","['13,704', '&nbsp;']","['6,970', '&nbsp;']","['3,856', '&nbsp;']"
765,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
765,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['1,235', 'i']","['213', 'i']","['10', 'i']","['63', 'i']","['47', 'i']","['94', '&nbsp;']"
765,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
765,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['3,682', 'i']","['444', 'i']","['44', 'i']","['251', 'i']","['74', 'i']","['75', 'i']"
765,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['5,939', 'i']","['749', 'i']","['65', 'i']","['356', 'i']","['212', 'i']","['116', '&nbsp;']"
765,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
765,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['6,206', 'i']","['767', 'i']","['70', '&nbsp;']","['454', '&nbsp;']","['160', 'i']","['84', 'i']"
765,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['11,986', 'i']","['1,094', '&nbsp;']","['172', '&nbsp;']","['573', '&nbsp;']","['202', 'i']","['147', 'i']"
765,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
765,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['10,363', 'i']","['1,022', '&nbsp;']","['108', '&nbsp;']","['523', '&nbsp;']","['233', '&nbsp;']","['158', '&nbsp;']"
765,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['22,997', 'i']","['1,119', '&nbsp;']","['93', '&nbsp;']","['637', '&nbsp;']","['253', '&nbsp;']","['135', '&nbsp;']"
765,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['61,319', '&nbsp;']","['4,197', '&nbsp;']","['602', '&nbsp;']","['2,191', '&nbsp;']","['872', '&nbsp;']","['533', '&nbsp;']"
765,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['70,879', '&nbsp;']","['3,630', '&nbsp;']","['640', '&nbsp;']","['1,714', '&nbsp;']","['637', '&nbsp;']","['639', '&nbsp;']"
765,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['113,859', '&nbsp;']","['4,304', '&nbsp;']","['535', '&nbsp;']","['1,544', '&nbsp;']","['1,340', '&nbsp;']","['884', '&nbsp;']"
765,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['250,432', '&nbsp;']","['10,664', 'i']","['1,335', 'i']","['5,399', 'i']","['2,941', 'i']","['990', 'i']"
