table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10397,r017,"All states and outlying areas -> Alabama -> U. Alabama, The, Tuscaloosa",All states and outlying areas,Alabama,"U. Alabama, The, Tuscaloosa",3,31815,29619,0,0,1971,225
10397,r018,All states and outlying areas -> Alabama -> U. South Alabama,All states and outlying areas,Alabama,U. South Alabama,3,24146,16712,0,0,5685,1749
10397,r019,"All states and outlying areas -> Alabama -> U. West Alabama, The",All states and outlying areas,Alabama,"U. West Alabama, The",3,2244,524,0,0,1497,223
10397,r020,"All states and outlying areas -> Alabama -> Wallace State Community C., Hanceville",All states and outlying areas,Alabama,"Wallace State Community C., Hanceville",3,279,56,0,0,223,0
10397,r021,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,123875,114149,679,0,5723,3323
10397,r022,All states and outlying areas -> Alaska -> Alaska Pacific U.,All states and outlying areas,Alaska,Alaska Pacific U.,3,480,480,0,0,0,0
10397,r023,All states and outlying areas -> Alaska -> U. Alaska System of Higher Education,All states and outlying areas,Alaska,U. Alaska System of Higher Education,3,8089,8089,0,0,0,0
10397,r024,"All states and outlying areas -> Alaska -> U. Alaska, Anchorage",All states and outlying areas,Alaska,"U. Alaska, Anchorage",3,13152,9622,0,0,3519,10
10397,r025,"All states and outlying areas -> Alaska -> U. Alaska, Fairbanks",All states and outlying areas,Alaska,"U. Alaska, Fairbanks",3,98159,92529,679,0,1806,3145
10397,r026,"All states and outlying areas -> Alaska -> U. Alaska, Southeast",All states and outlying areas,Alaska,"U. Alaska, Southeast",3,3996,3430,0,0,398,168
10397,r027,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,603521,558327,10737,246,20841,13371
10397,r028,All states and outlying areas -> Arizona -> Arizona Board of Regents,All states and outlying areas,Arizona,Arizona Board of Regents,3,73151,73151,0,0,0,0
10397,r029,All states and outlying areas -> Arizona -> Arizona State U.,All states and outlying areas,Arizona,Arizona State U.,3,203312,188284,7144,0,5108,2776
10397,r030,All states and outlying areas -> Arizona -> Dine C.,All states and outlying areas,Arizona,Dine C.,3,4809,2606,0,0,1237,966
10397,r031,All states and outlying areas -> Arizona -> Maricopa Community Colleges,All states and outlying areas,Arizona,Maricopa Community Colleges,3,1423,547,0,0,713,163
10397,r032,"All states and outlying areas -> Arizona -> Midwestern U., Glendale",All states and outlying areas,Arizona,"Midwestern U., Glendale",3,1035,1035,0,0,0,0
10397,r033,All states and outlying areas -> Arizona -> Mohave Community C.,All states and outlying areas,Arizona,Mohave Community C.,3,10,3,0,0,8,0
10397,r034,All states and outlying areas -> Arizona -> Northern Arizona U.,All states and outlying areas,Arizona,Northern Arizona U.,3,57505,55442,0,0,1799,264
10397,r035,All states and outlying areas -> Arizona -> Prescott C.,All states and outlying areas,Arizona,Prescott C.,3,400,120,0,0,160,120
10397,r036,All states and outlying areas -> Arizona -> Tohono O'odham Community C.,All states and outlying areas,Arizona,Tohono O'odham Community C.,3,500,250,0,0,250,0
10397,r037,All states and outlying areas -> Arizona -> U. Arizona,All states and outlying areas,Arizona,U. Arizona,3,261376,236890,3593,246,11566,9081
10397,r038,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,154659,131562,2714,0,12039,8345
10397,r039,"All states and outlying areas -> Arkansas -> Arkansas State U., Jonesboro",All states and outlying areas,Arkansas,"Arkansas State U., Jonesboro",3,1729,1368,346,0,15,0
10397,r040,All states and outlying areas -> Arkansas -> Harding U.,All states and outlying areas,Arkansas,Harding U.,3,371,371,0,0,0,0
10397,r041,All states and outlying areas -> Arkansas -> North Arkansas C.,All states and outlying areas,Arkansas,North Arkansas C.,3,540,497,0,0,43,0
10397,r042,All states and outlying areas -> Arkansas -> U. Arkansas for Medical Sciences,All states and outlying areas,Arkansas,U. Arkansas for Medical Sciences,3,61605,60810,0,0,795,0
10397,r043,"All states and outlying areas -> Arkansas -> U. Arkansas, Fayetteville",All states and outlying areas,Arkansas,"U. Arkansas, Fayetteville",3,58254,53422,2368,0,2463,0
10397,r044,"All states and outlying areas -> Arkansas -> U. Arkansas, Little Rock",All states and outlying areas,Arkansas,"U. Arkansas, Little Rock",3,410,410,0,0,0,0
10397,r045,"All states and outlying areas -> Arkansas -> U. Arkansas, Pine Bluff",All states and outlying areas,Arkansas,"U. Arkansas, Pine Bluff",3,2493,167,0,0,2326,0
10397,r046,"All states and outlying areas -> Arkansas -> U. Arkansas, System Office",All states and outlying areas,Arkansas,"U. Arkansas, System Office",3,29219,14479,0,0,6396,8345
10397,r047,All states and outlying areas -> Arkansas -> U. Central Arkansas,All states and outlying areas,Arkansas,U. Central Arkansas,3,38,38,0,0,0,0
10397,r048,All states and outlying areas -> California,All states and outlying areas,California,,2,5802921,5416776,54566,1000,203320,127259
10397,r049,All states and outlying areas -> California -> Allan Hancock C.,All states and outlying areas,California,Allan Hancock C.,3,1060,135,0,0,925,0
10397,r050,All states and outlying areas -> California -> Azusa Pacific U.,All states and outlying areas,California,Azusa Pacific U.,3,1333,162,0,0,1170,0
10397,r051,All states and outlying areas -> California -> C. Canyons,All states and outlying areas,California,C. Canyons,3,1568,448,0,0,1120,0
10397,r052,All states and outlying areas -> California -> California Institute of Technology,All states and outlying areas,California,California Institute of Technology,3,196422,188896,5429,0,1720,376
10397,r053,All states and outlying areas -> California -> California Lutheran U.,All states and outlying areas,California,California Lutheran U.,3,133,133,0,0,0,0
10397,r054,"All states and outlying areas -> California -> California Polytechnic State U., San Luis Obispo",All states and outlying areas,California,"California Polytechnic State U., San Luis Obispo",3,5504,1972,0,0,3331,201
10397,r055,"All states and outlying areas -> California -> California State Polytechnic U., Pomona",All states and outlying areas,California,"California State Polytechnic U., Pomona",3,4462,4321,0,0,141,0
10397,r056,All states and outlying areas -> California -> California State U. Maritime Academy,All states and outlying areas,California,California State U. Maritime Academy,3,1480,44,0,1000,436,0
10397,r057,"All states and outlying areas -> California -> California State U., Bakersfield",All states and outlying areas,California,"California State U., Bakersfield",3,1244,428,0,0,756,60
10397,r058,"All states and outlying areas -> California -> California State U., Channel Islands",All states and outlying areas,California,"California State U., Channel Islands",3,1269,1091,0,0,178,0
10397,r059,"All states and outlying areas -> California -> California State U., Chico",All states and outlying areas,California,"California State U., Chico",3,1721,1022,0,0,631,69
10397,r060,"All states and outlying areas -> California -> California State U., Dominguez Hills",All states and outlying areas,California,"California State U., Dominguez Hills",3,2250,2250,0,0,0,0
10397,r061,"All states and outlying areas -> California -> California State U., East Bay",All states and outlying areas,California,"California State U., East Bay",3,5310,5051,259,0,0,0
10397,r062,"All states and outlying areas -> California -> California State U., Fresno",All states and outlying areas,California,"California State U., Fresno",3,4742,3164,0,0,1016,562
10397,r063,"All states and outlying areas -> California -> California State U., Fullerton",All states and outlying areas,California,"California State U., Fullerton",3,6264,4822,0,0,1442,0
10397,r064,"All states and outlying areas -> California -> California State U., Long Beach",All states and outlying areas,California,"California State U., Long Beach",3,11806,10472,355,0,979,0
10397,r065,"All states and outlying areas -> California -> California State U., Los Angeles",All states and outlying areas,California,"California State U., Los Angeles",3,8208,6245,452,0,1511,0
10397,r066,"All states and outlying areas -> California -> California State U., Monterey Bay",All states and outlying areas,California,"California State U., Monterey Bay",3,2408,1067,145,0,1195,0
10397,r067,"All states and outlying areas -> California -> California State U., Northridge",All states and outlying areas,California,"California State U., Northridge",3,15868,11230,1255,0,3382,0
10397,r068,"All states and outlying areas -> California -> California State U., Sacramento",All states and outlying areas,California,"California State U., Sacramento",3,6124,5035,0,0,1089,0
10397,r069,"All states and outlying areas -> California -> California State U., San Bernardino",All states and outlying areas,California,"California State U., San Bernardino",3,5877,3643,0,0,2035,200
10397,r070,"All states and outlying areas -> California -> California State U., San Marcos",All states and outlying areas,California,"California State U., San Marcos",3,6846,5543,0,0,1303,0
10397,r071,"All states and outlying areas -> California -> California State U., Stanislaus",All states and outlying areas,California,"California State U., Stanislaus",3,1015,337,0,0,651,28
10397,r072,All states and outlying areas -> California -> Cerritos C.,All states and outlying areas,California,Cerritos C.,3,129,129,0,0,0,0
10397,r073,All states and outlying areas -> California -> Chapman U.,All states and outlying areas,California,Chapman U.,3,6759,6425,0,0,252,82
10397,r074,All states and outlying areas -> California -> Charles R. Drew U. Medicine and Science,All states and outlying areas,California,Charles R. Drew U. Medicine and Science,3,8641,7609,0,0,1032,0
10397,r075,All states and outlying areas -> California -> City C. San Francisco,All states and outlying areas,California,City C. San Francisco,3,709,142,0,0,567,0
10397,r076,All states and outlying areas -> California -> Claremont Graduate U.,All states and outlying areas,California,Claremont Graduate U.,3,50,50,0,0,0,0
10397,r077,All states and outlying areas -> California -> Claremont McKenna C.,All states and outlying areas,California,Claremont McKenna C.,3,712,712,0,0,0,0
10397,r078,All states and outlying areas -> California -> Contra Costa Community C. District,All states and outlying areas,California,Contra Costa Community C. District,3,1196,272,0,0,924,0
10397,r079,All states and outlying areas -> California -> Dominican U. California,All states and outlying areas,California,Dominican U. California,3,22,22,0,0,0,0
10397,r080,"All states and outlying areas -> California -> El Camino C., Compton Center",All states and outlying areas,California,"El Camino C., Compton Center",3,300,60,0,0,240,0
10397,r081,All states and outlying areas -> California -> Fielding Graduate U.,All states and outlying areas,California,Fielding Graduate U.,3,1067,519,0,0,548,0
10397,r082,All states and outlying areas -> California -> Harvey Mudd C.,All states and outlying areas,California,Harvey Mudd C.,3,1301,1200,0,0,101,0
10397,r083,All states and outlying areas -> California -> Humboldt State U.,All states and outlying areas,California,Humboldt State U.,3,1701,1264,0,0,437,0
10397,r084,All states and outlying areas -> California -> Imperial Valley C.,All states and outlying areas,California,Imperial Valley C.,3,300,60,0,0,240,0
10397,r085,All states and outlying areas -> California -> Keck Graduate Institute,All states and outlying areas,California,Keck Graduate Institute,3,2873,2873,0,0,0,0
10397,r086,All states and outlying areas -> California -> Loma Linda U.,All states and outlying areas,California,Loma Linda U.,3,9824,7044,0,0,2780,0
10397,r087,"All states and outlying areas -> California -> Los Angeles Community C. District, Los Angeles Mission C.",All states and outlying areas,California,"Los Angeles Community C. District, Los Angeles Mission C.",3,509,102,0,0,408,0
10397,r088,"All states and outlying areas -> California -> Los Angeles Community C. District, Los Angeles Valley C.",All states and outlying areas,California,"Los Angeles Community C. District, Los Angeles Valley C.",3,1000,920,0,0,80,0
10397,r089,"All states and outlying areas -> California -> Los Angeles Community C. District, Pierce C.",All states and outlying areas,California,"Los Angeles Community C. District, Pierce C.",3,520,104,0,0,416,0
10397,r090,"All states and outlying areas -> California -> Los Angeles Community C. District, West Los Angeles C.",All states and outlying areas,California,"Los Angeles Community C. District, West Los Angeles C.",3,200,184,0,0,16,0
10397,r091,All states and outlying areas -> California -> Loyola Marymount U.,All states and outlying areas,California,Loyola Marymount U.,3,1212,1212,0,0,0,0
10397,r092,All states and outlying areas -> California -> Mills C.,All states and outlying areas,California,Mills C.,3,39,39,0,0,0,0
10397,r093,All states and outlying areas -> California -> Mt. San Antonio C.,All states and outlying areas,California,Mt. San Antonio C.,3,68,62,0,0,5,0
10397,r094,All states and outlying areas -> California -> National Physical Science Consortium,All states and outlying areas,California,National Physical Science Consortium,3,330,211,0,0,0,119
10397,r095,All states and outlying areas -> California -> National U.,All states and outlying areas,California,National U.,3,367,67,0,0,300,0
10397,r096,All states and outlying areas -> California -> Naval Postgraduate School,All states and outlying areas,California,Naval Postgraduate School,3,29671,29671,0,0,0,0
10397,r097,All states and outlying areas -> California -> North Orange County Community C. District,All states and outlying areas,California,North Orange County Community C. District,3,42,0,0,0,42,0
10397,r098,All states and outlying areas -> California -> Occidental C.,All states and outlying areas,California,Occidental C.,3,1588,1434,154,0,0,0
10397,r099,All states and outlying areas -> California -> Ohlone C.,All states and outlying areas,California,Ohlone C.,3,179,36,0,0,143,0
10397,r100,All states and outlying areas -> California -> Pasadena City C.,All states and outlying areas,California,Pasadena City C.,3,1542,308,0,0,1233,0
10397,r101,"All states and outlying areas -> California -> Pepperdine U., Malibu",All states and outlying areas,California,"Pepperdine U., Malibu",3,342,342,0,0,0,0
10397,r102,"All states and outlying areas -> California -> Peralta Community C., C. Alameda",All states and outlying areas,California,"Peralta Community C., C. Alameda",3,399,367,0,0,32,0
10397,r103,All states and outlying areas -> California -> Pomona C.,All states and outlying areas,California,Pomona C.,3,1238,1238,0,0,0,0
10397,r104,All states and outlying areas -> California -> Riverside Community C. District,All states and outlying areas,California,Riverside Community C. District,3,319,184,0,0,135,0
10397,r105,"All states and outlying areas -> California -> Riverside Community C. District, Riverside",All states and outlying areas,California,"Riverside Community C. District, Riverside",3,2000,1170,0,0,830,0
10397,r106,All states and outlying areas -> California -> Saint Mary's C. California,All states and outlying areas,California,Saint Mary's C. California,3,436,51,385,0,0,0
10397,r107,All states and outlying areas -> California -> Samuel Merritt U.,All states and outlying areas,California,Samuel Merritt U.,3,547,0,0,0,547,0
10397,r108,"All states and outlying areas -> California -> San Diego State U., San Diego",All states and outlying areas,California,"San Diego State U., San Diego",3,52122,49193,0,0,2929,0
10397,r109,All states and outlying areas -> California -> San Francisco State U.,All states and outlying areas,California,San Francisco State U.,3,11361,9097,0,0,2034,230
10397,r110,All states and outlying areas -> California -> San Jose State U.,All states and outlying areas,California,San Jose State U.,3,17631,15134,772,0,1277,448
10397,r111,All states and outlying areas -> California -> San Mateo County Community C. District,All states and outlying areas,California,San Mateo County Community C. District,3,450,450,0,0,0,0
10397,r112,All states and outlying areas -> California -> Santa Barbara City C.,All states and outlying areas,California,Santa Barbara City C.,3,300,60,0,0,240,0
10397,r113,All states and outlying areas -> California -> Santa Clara U.,All states and outlying areas,California,Santa Clara U.,3,2060,1961,0,0,100,0
10397,r114,All states and outlying areas -> California -> Scripps C.,All states and outlying areas,California,Scripps C.,3,2131,2131,0,0,0,0
10397,r115,"All states and outlying areas -> California -> Scripps Research Institute, The",All states and outlying areas,California,"Scripps Research Institute, The",3,245127,245127,0,0,0,0
10397,r116,All states and outlying areas -> California -> Sonoma State U.,All states and outlying areas,California,Sonoma State U.,3,793,780,0,0,12,0
10397,r117,All states and outlying areas -> California -> Stanford U.,All states and outlying areas,California,Stanford U.,3,727830,696510,0,0,15393,15928
10397,r118,"All states and outlying areas -> California -> State Center Community C. District, Fresno City C.",All states and outlying areas,California,"State Center Community C. District, Fresno City C.",3,50,12,0,0,37,0
10397,r119,"All states and outlying areas -> California -> U. California, Berkeley",All states and outlying areas,California,"U. California, Berkeley",3,320625,304630,750,0,13633,1611
10397,r120,"All states and outlying areas -> California -> U. California, Cooperative Extension",All states and outlying areas,California,"U. California, Cooperative Extension",3,21840,9531,0,0,0,12309
10397,r121,"All states and outlying areas -> California -> U. California, Davis",All states and outlying areas,California,"U. California, Davis",3,410039,385616,2473,0,11902,10048
10397,r122,"All states and outlying areas -> California -> U. California, Irvine",All states and outlying areas,California,"U. California, Irvine",3,258585,242999,3179,0,8219,4188
10397,r123,"All states and outlying areas -> California -> U. California, Los Angeles",All states and outlying areas,California,"U. California, Los Angeles",3,730449,686615,293,0,23655,19887
10397,r124,"All states and outlying areas -> California -> U. California, Merced",All states and outlying areas,California,"U. California, Merced",3,28887,20922,102,0,5349,2515
10397,r125,"All states and outlying areas -> California -> U. California, Office of the President",All states and outlying areas,California,"U. California, Office of the President",3,16748,14891,0,0,723,1134
10397,r126,"All states and outlying areas -> California -> U. California, Riverside",All states and outlying areas,California,"U. California, Riverside",3,108245,101555,0,0,2862,3828
10397,r127,"All states and outlying areas -> California -> U. California, San Diego",All states and outlying areas,California,"U. California, San Diego",3,858385,792907,33796,0,20847,10835
10397,r128,"All states and outlying areas -> California -> U. California, San Francisco",All states and outlying areas,California,"U. California, San Francisco",3,782571,714877,0,0,39930,27763
10397,r129,"All states and outlying areas -> California -> U. California, Santa Barbara",All states and outlying areas,California,"U. California, Santa Barbara",3,243269,231982,4462,0,4636,2189
10397,r130,"All states and outlying areas -> California -> U. California, Santa Cruz",All states and outlying areas,California,"U. California, Santa Cruz",3,75189,71365,0,0,1296,2529
10397,r131,All states and outlying areas -> California -> U. La Verne,All states and outlying areas,California,U. La Verne,3,466,466,0,0,0,0
10397,r132,All states and outlying areas -> California -> U. Pacific,All states and outlying areas,California,U. Pacific,3,610,550,0,0,59,0
10397,r133,All states and outlying areas -> California -> U. San Diego,All states and outlying areas,California,U. San Diego,3,4166,3696,0,0,471,0
10397,r134,All states and outlying areas -> California -> U. San Francisco,All states and outlying areas,California,U. San Francisco,3,1102,405,0,0,696,0
10397,r135,All states and outlying areas -> California -> U. Southern California,All states and outlying areas,California,U. Southern California,3,502370,484727,305,0,7216,10122
10397,r136,"All states and outlying areas -> California -> Ventura County Community C. District, District Office",All states and outlying areas,California,"Ventura County Community C. District, District Office",3,500,500,0,0,0,0
10397,r137,"All states and outlying areas -> California -> West Hills Community C. District, Coalinga",All states and outlying areas,California,"West Hills Community C. District, Coalinga",3,497,458,0,0,40,0
10397,r138,All states and outlying areas -> California -> Western U. Health Sciences,All states and outlying areas,California,Western U. Health Sciences,3,7475,4032,0,0,3443,0
10397,r139,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,,2,960172,888796,12939,709,38738,18990
10397,r140,All states and outlying areas -> Colorado -> Adams State U.,All states and outlying areas,Colorado,Adams State U.,3,275,27,0,0,220,27
10397,r141,All states and outlying areas -> Colorado -> Arapahoe Community C.,All states and outlying areas,Colorado,Arapahoe Community C.,3,300,60,0,0,240,0
10397,r142,All states and outlying areas -> Colorado -> Colorado C.,All states and outlying areas,Colorado,Colorado C.,3,630,452,178,0,0,0
10397,r143,All states and outlying areas -> Colorado -> Colorado Mesa U.,All states and outlying areas,Colorado,Colorado Mesa U.,3,945,247,0,0,698,0
10397,r144,All states and outlying areas -> Colorado -> Colorado School of Mines,All states and outlying areas,Colorado,Colorado School of Mines,3,47031,43868,0,0,3162,0
10397,r145,"All states and outlying areas -> Colorado -> Colorado State U., Fort Collins",All states and outlying areas,Colorado,"Colorado State U., Fort Collins",3,123989,102277,11616,0,3906,6190
10397,r146,"All states and outlying areas -> Colorado -> Colorado State U., Pueblo",All states and outlying areas,Colorado,"Colorado State U., Pueblo",3,8936,8880,0,0,56,0
10397,r147,"All states and outlying areas -> Colorado -> Colorado State U., system office",All states and outlying areas,Colorado,"Colorado State U., system office",3,11193,10793,0,0,400,0
10397,r148,All states and outlying areas -> Colorado -> Colorado Theological Seminary,All states and outlying areas,Colorado,Colorado Theological Seminary,3,592,296,0,0,0,296
10397,r149,All states and outlying areas -> Colorado -> Community C. Denver,All states and outlying areas,Colorado,Community C. Denver,3,650,163,0,0,487,0
10397,r150,All states and outlying areas -> Colorado -> Fort Lewis C.,All states and outlying areas,Colorado,Fort Lewis C.,3,1331,799,0,0,532,0
10397,r151,All states and outlying areas -> Colorado -> Front Range Community C.,All states and outlying areas,Colorado,Front Range Community C.,3,135,0,0,0,135,0
10397,r152,All states and outlying areas -> Colorado -> Metropolitan State U. Denver,All states and outlying areas,Colorado,Metropolitan State U. Denver,3,1078,430,0,0,647,0
10397,r153,All states and outlying areas -> Colorado -> Regis U.,All states and outlying areas,Colorado,Regis U.,3,499,0,0,0,499,0
10397,r154,All states and outlying areas -> Colorado -> U. Colorado Boulder,All states and outlying areas,Colorado,U. Colorado Boulder,3,696843,657760,1146,709,25397,11831
10397,r155,All states and outlying areas -> Colorado -> U. Corp. for Atmospheric Research,All states and outlying areas,Colorado,U. Corp. for Atmospheric Research,3,35390,35390,0,0,0,0
10397,r156,All states and outlying areas -> Colorado -> U. Denver,All states and outlying areas,Colorado,U. Denver,3,12500,11468,0,0,387,645
10397,r157,All states and outlying areas -> Colorado -> U. Northern Colorado,All states and outlying areas,Colorado,U. Northern Colorado,3,658,658,0,0,0,0
10397,r158,All states and outlying areas -> Colorado -> U.S. Air Force Academy,All states and outlying areas,Colorado,U.S. Air Force Academy,3,227,227,0,0,0,0
10397,r159,All states and outlying areas -> Colorado -> UNAVCO Inc.,All states and outlying areas,Colorado,UNAVCO Inc.,3,14809,14809,0,0,0,0
10397,r160,All states and outlying areas -> Colorado -> Western Colorado U.,All states and outlying areas,Colorado,Western Colorado U.,3,2161,192,0,0,1970,0
10397,r161,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,,2,858540,765695,20048,0,40433,32363
10397,r162,All states and outlying areas -> Connecticut -> Connecticut Board of Regents for Higher Education,All states and outlying areas,Connecticut,Connecticut Board of Regents for Higher Education,3,11204,4541,0,0,6637,25
10397,r163,All states and outlying areas -> Connecticut -> Connecticut C.,All states and outlying areas,Connecticut,Connecticut C.,3,212,212,0,0,0,0
10397,r164,All states and outlying areas -> Connecticut -> Eastern Connecticut State U.,All states and outlying areas,Connecticut,Eastern Connecticut State U.,3,43,43,0,0,0,0
10397,r165,All states and outlying areas -> Connecticut -> Fairfield U.,All states and outlying areas,Connecticut,Fairfield U.,3,1242,214,0,0,1028,0
10397,r166,All states and outlying areas -> Connecticut -> Goodwin U.,All states and outlying areas,Connecticut,Goodwin U.,3,88,88,0,0,0,0
10397,r167,All states and outlying areas -> Connecticut -> Quinnipiac U.,All states and outlying areas,Connecticut,Quinnipiac U.,3,256,256,0,0,0,0
10397,r168,All states and outlying areas -> Connecticut -> Sacred Heart U.,All states and outlying areas,Connecticut,Sacred Heart U.,3,2113,21,0,0,2092,0
10397,r169,All states and outlying areas -> Connecticut -> Southern Connecticut State U.,All states and outlying areas,Connecticut,Southern Connecticut State U.,3,1072,392,0,0,680,0
10397,r170,"All states and outlying areas -> Connecticut -> Trinity C., Hartford",All states and outlying areas,Connecticut,"Trinity C., Hartford",3,1060,1060,0,0,0,0
10397,r171,All states and outlying areas -> Connecticut -> U. Bridgeport,All states and outlying areas,Connecticut,U. Bridgeport,3,216,19,0,0,197,0
10397,r172,All states and outlying areas -> Connecticut -> U. Connecticut,All states and outlying areas,Connecticut,U. Connecticut,3,191701,158097,20048,0,7220,6334
10397,r173,All states and outlying areas -> Connecticut -> U. Hartford,All states and outlying areas,Connecticut,U. Hartford,3,4,4,0,0,0,0
10397,r174,All states and outlying areas -> Connecticut -> U. New Haven,All states and outlying areas,Connecticut,U. New Haven,3,1737,774,0,0,963,0
10397,r175,All states and outlying areas -> Connecticut -> Wesleyan U.,All states and outlying areas,Connecticut,Wesleyan U.,3,3921,3845,0,0,77,0
10397,r176,All states and outlying areas -> Connecticut -> Western Connecticut State U.,All states and outlying areas,Connecticut,Western Connecticut State U.,3,478,0,0,0,478,0
10397,r177,All states and outlying areas -> Connecticut -> Yale U.,All states and outlying areas,Connecticut,Yale U.,3,643194,596130,0,0,21060,26004
10397,r178,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,,2,254296,236411,1012,0,6959,9913
10397,r179,All states and outlying areas -> Delaware -> Delaware State U.,All states and outlying areas,Delaware,Delaware State U.,3,29335,22594,0,0,3068,3673
10397,r180,"All states and outlying areas -> Delaware -> Delaware Technical Community C., Dover",All states and outlying areas,Delaware,"Delaware Technical Community C., Dover",3,707,0,0,0,0,707
10397,r181,All states and outlying areas -> Delaware -> U. Delaware,All states and outlying areas,Delaware,U. Delaware,3,224254,213817,1012,0,3891,5533
10397,r182,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,,2,469641,394755,53861,0,16141,4884
10397,r183,All states and outlying areas -> District of Columbia -> American U.,All states and outlying areas,District of Columbia,American U.,3,17678,15600,755,0,808,515
10397,r184,All states and outlying areas -> District of Columbia -> Association of Universities for Research in Astronomy,All states and outlying areas,District of Columbia,Association of Universities for Research in Astronomy,3,180040,127634,52406,0,0,0
10397,r185,"All states and outlying areas -> District of Columbia -> Catholic U. America, The",All states and outlying areas,District of Columbia,"Catholic U. America, The",3,22085,21813,0,0,43,229
10397,r186,All states and outlying areas -> District of Columbia -> Consortium for Ocean Leadership,All states and outlying areas,District of Columbia,Consortium for Ocean Leadership,3,1261,1261,0,0,0,0
10397,r187,All states and outlying areas -> District of Columbia -> Consortium of Universities of the Washington Metropolitan Area,All states and outlying areas,District of Columbia,Consortium of Universities of the Washington Metropolitan Area,3,11122,11122,0,0,0,0
10397,r188,All states and outlying areas -> District of Columbia -> Gallaudet U.,All states and outlying areas,District of Columbia,Gallaudet U.,3,8276,8131,0,0,3,142
10397,r189,"All states and outlying areas -> District of Columbia -> George Washington U., The",All states and outlying areas,District of Columbia,"George Washington U., The",3,117408,109926,0,0,7102,381
10397,r190,All states and outlying areas -> District of Columbia -> Georgetown U.,All states and outlying areas,District of Columbia,Georgetown U.,3,71991,65123,0,0,4396,2472
10397,r191,All states and outlying areas -> District of Columbia -> Graduate School USA,All states and outlying areas,District of Columbia,Graduate School USA,3,21,20,0,0,0,1
10397,r192,All states and outlying areas -> District of Columbia -> Howard U.,All states and outlying areas,District of Columbia,Howard U.,3,34287,29811,379,0,3081,1017
