table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10103,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,7579196,8213534,7741440,7604784,7238875,7103719,7699147,8179749,8572742,9261749,9337678,10006403,10949628
10103,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,12068659,13184595,12681515,12287305,11742489,11722981,12101184,12687813,13392912,14173029,14705799,16130097,17494324
10103,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation<sup>a</sup>,All R&D fields,Science,Life sciences,Natural resources and conservation<sup>a</sup>,4,na,na,na,na,na,na,316604,271470,320411,369968,410798,429949,480042
10103,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1096560,1222539,1192918,1224078,1204098,1240227,700679,631961,628002,640975,701715,779909,768746
10103,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,417775,458966,490534,464608,441383,424522,444385,437040,456773,466994,485550,475602,537322
10103,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,3384275,3527330,3474586,3311054,3155599,3111777,3288043,3384753,3472520,3691494,3790504,3847941,4212405
10103,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,405954,408963,535180,400294,380884,403025,417930,441522,454476,514408,543042,509691,581652
10103,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1200120,1243767,1213495,1135108,1080513,1095296,1097416,1098004,1130042,1182601,1167364,1235822,1322328
10103,r019,All R&D fields -> Science -> Physical sciences -> Materials science<sup>a</sup>,All R&D fields,Science,Physical sciences,Materials science<sup>a</sup>,4,na,na,na,na,na,na,111806,142472,162048,165880,157056,174339,195404
10103,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,1557421,1660377,1532612,1567937,1509916,1463084,1525610,1549412,1570667,1657808,1735971,1767295,1941833
10103,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,220780,214223,193299,207715,184286,150372,135281,153343,155287,170797,187071,160794,171188
10103,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,758520,835448,859500,776402,752501,763632,765239,764703,760293,790261,808930,812390,875330
10103,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,901009,947176,915874,897585,917670,921751,899551,932620,937714,938439,963498,949863,1075470
10103,r024,All R&D fields -> Science -> Social sciences -> Anthropology<sup>a</sup>,All R&D fields,Science,Social sciences,Anthropology<sup>a</sup>,4,na,na,na,na,na,na,39602,38712,43461,43001,38891,29484,40119
10103,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,127858,148737,144446,137236,138806,149567,112576,110739,102144,91716,120846,138029,194381
10103,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,152547,148643,141267,143356,145662,136482,103690,103869,98298,86702,78384,85375,95363
10103,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,226462,232834,247739,237479,251800,262243,268823,280557,285140,289741,247835,227075,272683
10103,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,394142,416962,382422,379514,381402,373459,374860,398743,408671,427279,477542,469900,472924
10103,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,438778,465233,439085,440907,422427,445829,465328,395190,348891,365246,361870,375591,463625
10103,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,5718852,6275548,6442986,6499575,6424206,6458636,6582994,6828629,7093381,7667876,8119848,8713515,9694378
10103,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,466991,504536,501722,513134,474601,516035,623637,659882,678118,820576,956641,1110337,1246002
10103,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,470432,515611,552555,556651,606940,606681,651534,725241,791872,879791,905895,960328,1100258
10103,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,421269,490918,504753,478542,471558,462813,467519,471749,461475,498223,521895,572307,646644
10103,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,460880,544992,570303,578390,577958,570405,591837,557671,590881,621055,605760,664406,784286
10103,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,1373311,1511458,1601917,1642771,1742317,1771541,1742704,1891348,1981178,2049393,2143808,2208461,2484203
10103,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering<sup>a</sup>,All R&D fields,Engineering,Industrial and manufacturing engineering<sup>a</sup>,,3,na,na,na,na,na,na,147192,186352,306763,366712,384571,384162,434246
10103,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,953244,1032641,1035551,1061270,946699,957328,861039,937849,993231,1055663,1160453,1274048,1409792
10103,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,429412,455722,462246,465657,494403,501180,442377,440746,464468,483774,504486,559478,589129
10103,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,1143313,1219670,1213939,1203160,1109730,1072653,1055155,957791,825395,892689,936339,979988,999818
10103,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,967151,1119656,1202227,1181558,1136854,1071197,1112454,1215871,1247787,1242864,1238035,1355932,1490752
10103,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,86440,99661,96659,95268,77292,69856,68283,69110,71781,73178,74127,97347,97962
10103,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,41339,53266,53337,51060,54334,42461,36763,61310,34258,35637,39806,39465,42707
10103,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,535744,632117,689060,666506,663543,644087,624465,653069,680399,668069,672165,699686,783518
10103,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,57510,61420,67692,76804,75113,59961,57170,59050,49999,49801,53655,56701,68956
10103,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,19338,27388,24575,22522,23731,24414,26081,33021,50924,31866,26695,28799,32391
10103,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,94422,105661,109359,111693,109172,101662,95299,110678,114293,133068,140774,165256,181943
10103,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,4843,6521,10435,7039,9049,8603,8585,8334,10796,9102,15118,11482,21188
10103,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,127515,133622,151110,150666,124620,120153,195808,221299,235337,242143,215695,257196,262087
