table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5418,r278,All institutions -> West Texas A&M U.,All institutions,West Texas A&M U.,2,277,"['6,220', '']","['1,542', '']","['2,440', '']","['1,327', '']","['805', '']","['67', '']","['39', '']"
5418,r279,All institutions -> Central State U.,All institutions,Central State U.,2,278,"['6,107', '']","['3,097', '']","['1,861', '']","['1,149', '']","['0', '']","['0', '']","['0', '']"
5418,r280,All institutions -> Naval War C.,All institutions,Naval War C.,2,279,"['5,944', '']","['5,944', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5418,r281,"All institutions -> California State U., Fullerton",All institutions,"California State U., Fullerton",2,280,"['5,929', '']","['4,121', '']","['262', '']","['1,163', '']","['49', '']","['334', '']","['0', '']"
5418,r282,"All institutions -> California State U., Monterey Bay",All institutions,"California State U., Monterey Bay",2,281,"['5,874', '']","['3,889', '']","['1,042', '']","['683', '']","['8', '']","['252', '']","['0', '']"
5418,r283,"All institutions -> Purdue U., Northwest",All institutions,"Purdue U., Northwest",2,282,"['5,839', '']","['1,996', '']","['786', '']","['1,549', '']","['759', '']","['147', '']","['602', '']"
5418,r284,All institutions -> U. Central Oklahoma,All institutions,U. Central Oklahoma,2,283,"['5,788', 'i']","['1,444', 'i']","['624', 'i']","['3,646', 'i']","['71', 'i']","['3', 'i']","['0', 'i']"
5418,r285,All institutions -> Winston-Salem State U.,All institutions,Winston-Salem State U.,2,284,"['5,781', '']","['4,498', '']","['57', '']","['NA', '']","['0', '']","['818', '']","['408', '']"
5418,r286,"All institutions -> Lincoln U., Jefferson City",All institutions,"Lincoln U., Jefferson City",2,285,"['5,777', '']","['3,636', '']","['2,141', '']","['NA', '']","['0', '']","['0', '']","['0', '']"
5418,r287,All institutions -> West Virginia State U.,All institutions,West Virginia State U.,2,286,"['5,775', '']","['3,993', '']","['1,592', '']","['159', '']","['31', '']","['0', '']","['0', '']"
5418,r288,All institutions -> C. Charleston,All institutions,C. Charleston,2,287,"['5,728', '']","['3,087', '']","['275', '']","['1,727', '']","['7', '']","['574', '']","['58', '']"
5418,r289,All institutions -> U. Southern Maine,All institutions,U. Southern Maine,2,288,"['5,635', '']","['2,231', '']","['3,013', '']","['245', '']","['0', '']","['130', '']","['16', '']"
5418,r290,All institutions -> U. Colorado Colorado Springs,All institutions,U. Colorado Colorado Springs,2,289,"['5,557', '']","['3,508', '']","['694', '']","['486', '']","['744', '']","['114', '']","['11', '']"
5418,r291,All institutions -> Southern Connecticut State U.,All institutions,Southern Connecticut State U.,2,290,"['5,413', '']","['1,026', '']","['305', '']","['3,649', '']","['53', '']","['188', '']","['192', '']"
5418,r292,"All institutions -> U. Massachusetts, central office",All institutions,"U. Massachusetts, central office",2,291,"['5,225', '']","['488', '']","['3,533', '']","['285', '']","['242', '']","['602', '']","['75', '']"
5418,r293,All institutions -> Fort Valley State U.,All institutions,Fort Valley State U.,2,292,"['4,921', '']","['4,806', '']","['0', '']","['115', '']","['0', '']","['0', '']","['0', '']"
5418,r294,All institutions -> Appalachian State U.,All institutions,Appalachian State U.,2,293,"['4,894', '']","['1,469', '']","['199', '']","['2,568', '']","['112', '']","['485', '']","['61', '']"
5418,r295,"All institutions -> U. North Carolina, Asheville",All institutions,"U. North Carolina, Asheville",2,294,"['4,789', '']","['2,405', '']","['349', '']","['435', '']","['2', '']","['1,598', '']","['0', '']"
5418,r296,"All institutions -> CUNY, Graduate Center",All institutions,"CUNY, Graduate Center",2,295,"['4,787', '']","['2,561', '']","['78', '']","['169', '']","['0', '']","['825', '']","['1,154', '']"
