table_id,row_id,occupation_sex_ethnicity_race_and_disability_status_full_path,occupation_sex_ethnicity_race_and_disability_status_level_1,occupation_sex_ethnicity_race_and_disability_status_level_2,occupation_sex_ethnicity_race_and_disability_status_level_3,occupation_sex_ethnicity_race_and_disability_status_level_4,occupation_sex_ethnicity_race_and_disability_status_level_5,occupation_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_total,field_business_or_industry_total,field_business_or_industry_for_profit_business_or_industry,field_business_or_industry_nonprofit_business_or_industry,field_business_or_industry_self_employed_not_incorporated,field_education_total,field_education_4_year_educational_institutiona,field_education_2_year_college_or_precollege_educational_institution,field_government_total,field_government_federal_government,field_government_state_or_local_government
5584,r017,All occupations -> S&E occupations -> Hispanic or Latino,All occupations,S&E occupations,Hispanic or Latino,,,3,564000,385000,343000,27000,15000,111000,91000,19000,69000,27000,41000
5584,r018,All occupations -> S&E occupations -> Not Hispanic or Latino,All occupations,S&E occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
5584,r019,All occupations -> S&E occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,S,6000,5000,,,1000,1000,,S,S,S
5584,r020,All occupations -> S&E occupations -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Not Hispanic or Latino,Asian,,4,1543000,1207000,1121000,65000,21000,239000,226000,14000,97000,42000,54000
5584,r021,All occupations -> S&E occupations -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Not Hispanic or Latino,Black or African American,,4,379000,244000,223000,16000,4000,62000,46000,15000,74000,40000,34000
5584,r022,All occupations -> S&E occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,17000,12000,9000,,,3000,2000,,3000,1000,S
5584,r023,All occupations -> S&E occupations -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Not Hispanic or Latino,White,,4,4784000,3474000,3066000,261000,147000,787000,631000,156000,523000,286000,237000
5584,r024,All occupations -> S&E occupations -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Not Hispanic or Latino,More than one race,,4,158000,116000,110000,5000,1000,23000,16000,6000,19000,11000,7000
5584,r025,All occupations -> S&E occupations -> Without disability,All occupations,S&E occupations,Without disability,,,3,6795000,4960000,4447000,348000,166000,1112000,925000,188000,722000,385000,338000
5584,r026,All occupations -> S&E occupations -> With disability,All occupations,S&E occupations,With disability,,,3,671000,484000,431000,30000,23000,112000,89000,24000,75000,36000,39000
5584,r027,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",,,3,698000,302000,233000,56000,14000,276000,253000,23000,120000,58000,62000
5584,r028,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Female",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Female,,4,337000,144000,113000,24000,7000,135000,121000,14000,58000,33000,26000
5584,r029,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Male",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Male,,4,361000,158000,120000,32000,7000,140000,132000,9000,62000,26000,36000
5584,r030,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Hispanic or Latino",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Hispanic or Latino,,4,64000,27000,20000,7000,,24000,23000,2000,12000,S,7000
5584,r031,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,,4,,,,,,,,,,,
5584,r032,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> American Indian or Alaska Native",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,American Indian or Alaska Native,5,1000,S,S,,,,,,,,
5584,r033,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Asian",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Asian,5,157000,72000,57000,12000,3000,72000,70000,S,13000,8000,6000
5584,r034,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Black or African American",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Black or African American,5,23000,9000,8000,,,9000,8000,,6000,2000,S
5584,r035,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,,,,,,,,,,,
5584,r036,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> White",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,White,5,439000,188000,142000,37000,10000,165000,147000,19000,85000,43000,43000
5584,r037,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> More than one race",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,More than one race,5,14000,6000,5000,S,,5000,5000,,3000,,S
5584,r038,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Without disability",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Without disability,,4,642000,279000,216000,50000,13000,252000,232000,21000,111000,54000,57000
5584,r039,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> With disability",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",With disability,,4,56000,23000,16000,6000,1000,23000,21000,S,9000,4000,S
5584,r040,All occupations -> S&E occupations -> Computer and mathematical scientists,All occupations,S&E occupations,Computer and mathematical scientists,,,3,3774000,3147000,2852000,223000,73000,358000,256000,102000,269000,137000,132000
5584,r041,All occupations -> S&E occupations -> Computer and mathematical scientists -> Female,All occupations,S&E occupations,Computer and mathematical scientists,Female,,4,975000,762000,637000,104000,21000,121000,77000,44000,92000,37000,55000
5584,r042,All occupations -> S&E occupations -> Computer and mathematical scientists -> Male,All occupations,S&E occupations,Computer and mathematical scientists,Male,,4,2799000,2385000,2214000,119000,52000,237000,179000,58000,177000,100000,77000
5584,r043,All occupations -> S&E occupations -> Computer and mathematical scientists -> Hispanic or Latino,All occupations,S&E occupations,Computer and mathematical scientists,Hispanic or Latino,,4,238000,192000,176000,13000,4000,28000,20000,8000,18000,6000,12000
5584,r044,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
5584,r045,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,S,S,S,,,,,,S,S,
5584,r046,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Asian,5,955000,844000,789000,43000,13000,69000,62000,7000,42000,15000,27000
5584,r047,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Black or African American,5,214000,163000,151000,11000,2000,17000,11000,6000,35000,20000,15000
5584,r048,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,6000,S,S,,,,,,,,
5584,r049,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,White,5,2259000,1867000,1660000,153000,54000,236000,159000,77000,156000,81000,75000
5584,r050,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,More than one race,5,88000,74000,70000,4000,,9000,4000,S,6000,4000,2000
5584,r051,All occupations -> S&E occupations -> Computer and mathematical scientists -> Without disability,All occupations,S&E occupations,Computer and mathematical scientists,Without disability,,4,3445000,2876000,2609000,204000,63000,329000,235000,95000,240000,123000,117000
5584,r052,All occupations -> S&E occupations -> Computer and mathematical scientists -> With disability,All occupations,S&E occupations,Computer and mathematical scientists,With disability,,4,329000,271000,243000,19000,10000,29000,22000,7000,29000,15000,14000
5584,r053,All occupations -> S&E occupations -> Physical and related scientists,All occupations,S&E occupations,Physical and related scientists,,,3,409000,189000,169000,8000,12000,136000,127000,9000,85000,43000,42000
5584,r054,All occupations -> S&E occupations -> Physical and related scientists -> Female,All occupations,S&E occupations,Physical and related scientists,Female,,4,142000,64000,60000,2000,S,49000,45000,3000,30000,12000,17000
5584,r055,All occupations -> S&E occupations -> Physical and related scientists -> Male,All occupations,S&E occupations,Physical and related scientists,Male,,4,267000,125000,109000,6000,10000,87000,81000,6000,55000,31000,24000
5584,r056,All occupations -> S&E occupations -> Physical and related scientists -> Hispanic or Latino,All occupations,S&E occupations,Physical and related scientists,Hispanic or Latino,,4,27000,13000,11000,S,,9000,8000,2000,5000,1000,4000
5584,r057,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
5584,r058,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,1000,,,,,,,,,,
5584,r059,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Asian,5,55000,16000,15000,0.05,,34000,33000,1000,5000,3000,2000
5584,r060,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Black or African American,5,18000,7000,5000,,,4000,3000,,7000,S,S
5584,r061,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,S,0.05,0.05,,,,,,,,
5584,r062,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,White,5,300000,148000,133000,5000,10000,86000,81000,5000,65000,33000,32000
5584,r063,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,More than one race,5,7000,4000,4000,,,S,0.05,,2000,1000,1000
5584,r064,All occupations -> S&E occupations -> Physical and related scientists -> Without disability,All occupations,S&E occupations,Physical and related scientists,Without disability,,4,364000,165000,147000,8000,10000,124000,117000,7000,74000,38000,36000
5584,r065,All occupations -> S&E occupations -> Physical and related scientists -> With disability,All occupations,S&E occupations,Physical and related scientists,With disability,,4,46000,23000,22000,,S,11000,9000,,11000,5000,6000
5584,r066,All occupations -> S&E occupations -> Social and related scientists,All occupations,S&E occupations,Social and related scientists,,,3,663000,230000,121000,56000,53000,337000,270000,67000,97000,54000,43000
5584,r067,All occupations -> S&E occupations -> Social and related scientists -> Female,All occupations,S&E occupations,Social and related scientists,Female,,4,428000,152000,80000,36000,36000,225000,178000,47000,51000,25000,26000
5584,r068,All occupations -> S&E occupations -> Social and related scientists -> Male,All occupations,S&E occupations,Social and related scientists,Male,,4,235000,78000,42000,19000,17000,112000,92000,19000,46000,29000,17000
5584,r069,All occupations -> S&E occupations -> Social and related scientists -> Hispanic or Latino,All occupations,S&E occupations,Social and related scientists,Hispanic or Latino,,4,77000,22000,12000,6000,5000,42000,34000,8000,12000,2000,10000
5584,r070,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
5584,r071,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,S,S,,,,,,,,,
5584,r072,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Asian,5,44000,13000,7000,4000,2000,27000,23000,4000,5000,3000,2000
5584,r073,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Black or African American,5,47000,9000,5000,2000,,27000,22000,5000,11000,6000,S
5584,r074,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,2000,,,,,S,,,,,
5584,r075,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,White,5,480000,182000,95000,43000,45000,233000,185000,48000,65000,42000,23000
5584,r076,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,More than one race,5,12000,4000,3000,0.05,,6000,5000,1000,2000,1000,S
5584,r077,All occupations -> S&E occupations -> Social and related scientists -> Without disability,All occupations,S&E occupations,Social and related scientists,Without disability,,4,599000,207000,106000,52000,49000,301000,241000,60000,91000,51000,40000
5584,r078,All occupations -> S&E occupations -> Social and related scientists -> With disability,All occupations,S&E occupations,Social and related scientists,With disability,,4,64000,22000,15000,4000,4000,36000,29000,7000,5000,3000,3000
5584,r079,All occupations -> S&E occupations -> Engineers,All occupations,S&E occupations,Engineers,,,3,1921000,1576000,1503000,35000,38000,119000,108000,11000,226000,128000,99000
5584,r080,All occupations -> S&E occupations -> Engineers -> Female,All occupations,S&E occupations,Engineers,Female,,4,310000,239000,229000,4000,6000,29000,29000,,42000,21000,21000
5584,r081,All occupations -> S&E occupations -> Engineers -> Male,All occupations,S&E occupations,Engineers,Male,,4,1612000,1337000,1275000,31000,32000,89000,79000,10000,185000,107000,78000
5584,r082,All occupations -> S&E occupations -> Engineers -> Hispanic or Latino,All occupations,S&E occupations,Engineers,Hispanic or Latino,,4,159000,131000,126000,1000,5000,7000,6000,,21000,12000,9000
5584,r083,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,,4,,,,,,,,,,,
5584,r084,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,American Indian or Alaska Native,5,5000,3000,3000,,,,,,,,
5584,r085,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Asian,5,331000,262000,253000,6000,3000,38000,38000,,31000,14000,17000
5584,r086,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Black or African American,5,77000,57000,54000,S,,S,2000,,14000,8000,7000
5584,r087,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,7000,S,3000,,,,,,S,,
5584,r088,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,White,5,1305000,1089000,1037000,24000,28000,65000,59000,6000,151000,88000,63000
5584,r089,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,More than one race,5,37000,29000,28000,,0.05,2000,2000,,6000,5000,1000
5584,r090,All occupations -> S&E occupations -> Engineers -> Without disability,All occupations,S&E occupations,Engineers,Without disability,,4,1745000,1432000,1368000,34000,31000,106000,101000,5000,206000,118000,88000
5584,r091,All occupations -> S&E occupations -> Engineers -> With disability,All occupations,S&E occupations,Engineers,With disability,,4,177000,144000,136000,2000,7000,13000,7000,S,20000,9000,11000
5584,r092,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,,2,8893000,6470000,4299000,1757000,414000,1791000,648000,1144000,632000,299000,332000
5584,r093,All occupations -> S&E-related occupations -> Female,All occupations,S&E-related occupations,Female,,,3,5109000,3634000,2110000,1267000,257000,1152000,433000,719000,323000,128000,195000
5584,r094,All occupations -> S&E-related occupations -> Male,All occupations,S&E-related occupations,Male,,,3,3785000,2837000,2189000,490000,157000,639000,215000,425000,309000,171000,137000
5584,r095,All occupations -> S&E-related occupations -> Hispanic or Latino,All occupations,S&E-related occupations,Hispanic or Latino,,,3,821000,564000,430000,112000,22000,174000,60000,113000,83000,34000,49000
5584,r096,All occupations -> S&E-related occupations -> Not Hispanic or Latino,All occupations,S&E-related occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
5584,r097,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E-related occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,29000,17000,S,3000,,S,,1000,3000,S,1000
5584,r098,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Asian,All occupations,S&E-related occupations,Not Hispanic or Latino,Asian,,4,1151000,891000,618000,230000,42000,176000,132000,44000,84000,44000,40000
5584,r099,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Black or African American,All occupations,S&E-related occupations,Not Hispanic or Latino,Black or African American,,4,613000,430000,269000,138000,22000,95000,32000,62000,88000,43000,45000
5584,r100,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E-related occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,30000,S,5000,S,,4000,S,1000,S,,S
5584,r101,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> White,All occupations,S&E-related occupations,Not Hispanic or Latino,White,,4,6053000,4391000,2877000,1208000,305000,1301000,402000,900000,361000,174000,188000
5584,r102,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> More than one race,All occupations,S&E-related occupations,Not Hispanic or Latino,More than one race,,4,198000,157000,85000,49000,23000,33000,10000,23000,8000,3000,5000
5584,r103,All occupations -> S&E-related occupations -> Without disability,All occupations,S&E-related occupations,Without disability,,,3,8148000,5938000,3930000,1638000,371000,1646000,625000,1021000,564000,265000,299000
5584,r104,All occupations -> S&E-related occupations -> With disability,All occupations,S&E-related occupations,With disability,,,3,745000,532000,369000,120000,44000,146000,23000,123000,67000,34000,33000
5584,r105,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,,2,34165000,23210000,17597000,2951000,2662000,7319000,1564000,5755000,3635000,1274000,2361000
5584,r106,All occupations -> Non-S&E occupations -> Female,All occupations,Non-S&E occupations,Female,,,3,19040000,11548000,8234000,1946000,1367000,5607000,997000,4610000,1885000,559000,1326000
5584,r107,All occupations -> Non-S&E occupations -> Male,All occupations,Non-S&E occupations,Male,,,3,15125000,11662000,9363000,1004000,1295000,1712000,567000,1145000,1750000,715000,1035000
5584,r108,All occupations -> Non-S&E occupations -> Hispanic or Latino,All occupations,Non-S&E occupations,Hispanic or Latino,,,3,3418000,2094000,1608000,278000,208000,835000,163000,671000,489000,180000,308000
5584,r109,All occupations -> Non-S&E occupations -> Not Hispanic or Latino,All occupations,Non-S&E occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
5584,r110,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,Non-S&E occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,132000,90000,81000,7000,3000,23000,3000,19000,19000,1000,19000
5584,r111,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Asian,All occupations,Non-S&E occupations,Not Hispanic or Latino,Asian,,4,2368000,1778000,1482000,128000,169000,384000,141000,242000,206000,71000,136000
5584,r112,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Black or African American,All occupations,Non-S&E occupations,Not Hispanic or Latino,Black or African American,,4,2903000,1585000,1109000,324000,152000,671000,132000,539000,647000,231000,416000
5584,r113,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,Non-S&E occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,82000,60000,53000,S,S,7000,S,4000,15000,S,13000
5584,r114,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> White,All occupations,Non-S&E occupations,Not Hispanic or Latino,White,,4,24432000,17025000,12832000,2125000,2068000,5242000,1102000,4141000,2165000,741000,1424000
5584,r115,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> More than one race,All occupations,Non-S&E occupations,Not Hispanic or Latino,More than one race,,4,829000,577000,432000,84000,61000,158000,20000,139000,93000,48000,46000
5584,r116,All occupations -> Non-S&E occupations -> Without disability,All occupations,Non-S&E occupations,Without disability,,,3,29774000,20348000,15431000,2644000,2273000,6383000,1384000,4999000,3043000,1033000,2010000
5584,r117,All occupations -> Non-S&E occupations -> With disability,All occupations,Non-S&E occupations,With disability,,,3,4391000,2862000,2167000,306000,389000,936000,180000,756000,592000,241000,351000
