table_id,row_id,_b_state_or_location_and_institution_b_full_path,_b_state_or_location_and_institution_b_level_1,_b_state_or_location_and_institution_b_level_2,_b_state_or_location_and_institution_b_level_3,_b_state_or_location_and_institution_b_hierarchy_depth,field_all_fields,field_science_life_sciences_total,field_science_life_sciences_agricultural_sciences_and_natural_resources,field_science_life_sciences_biological_and_biomedical_sciences,field_science_life_sciences_health_sciences,field_science_physical_sciences_and_earth_sciences_total,field_science_physical_sciences_and_earth_sciences_chemistry,field_science_physical_sciences_and_earth_sciences_geosciences_atmospheric_sciences_and_ocean_sciences,field_science_physical_sciences_and_earth_sciences_physics_and_astronomy,field_science_mathematics_and_computer_sciences_total,field_science_mathematics_and_computer_sciences_computer_and_information_sciences,field_science_mathematics_and_computer_sciences_mathematics_and_statistics_,field_science_psychology_and_social_sciences_total,field_science_psychology_and_social_sciences_psychology,field_science_psychology_and_social_sciences_anthropology,field_science_psychology_and_social_sciences_economics,field_science_psychology_and_social_sciences_political_science_and_government,field_science_psychology_and_social_sciences_sociology,field_science_psychology_and_social_sciences_other_social_sciences,field_engineering_total,field_engineering_aerospace_aeronautical_and_astronautical,field_engineering_bioengineering_and_biomedical,field_engineering_chemical,field_engineering_civil,field_engineering_electrical_electronics_and_communications,field_engineering_industrial_and_manufacturing,field_engineering_materials_science,field_engineering_mechanical,field_engineering_other_engineering
4644,r018,All institutions -> Arizona -> U. Arizona,All institutions,Arizona,U. Arizona,3,473,109,14,60,35,77,13,19,45,23,7,16,94,12,11,12,3,14,42,64,0,4,10,4,13,1,2,5,25
4644,r019,All institutions -> Arkansas,All institutions,Arkansas,,2,270,79,23,37,19,24,10,3,11,21,17,4,34,17,4,2,0,0,11,44,0,3,5,4,14,3,2,1,12
4644,r020,"All institutions -> Arkansas -> Arkansas State U., Jonesboro",All institutions,Arkansas,"Arkansas State U., Jonesboro",3,9,4,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4644,r021,All institutions -> Arkansas -> U. Arkansas for Medical Sciences,All institutions,Arkansas,U. Arkansas for Medical Sciences,3,25,25,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r022,"All institutions -> Arkansas -> U. Arkansas, Fayetteville",All institutions,Arkansas,"U. Arkansas, Fayetteville",3,193,47,21,20,6,15,5,3,7,9,6,3,25,11,4,2,0,0,8,36,0,3,5,4,14,3,2,1,4
4644,r023,"All institutions -> Arkansas -> U. Arkansas, Little Rock",All institutions,Arkansas,"U. Arkansas, Little Rock",3,32,1,0,1,0,9,5,0,4,12,11,1,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,8
4644,r024,All institutions -> Arkansas -> U. Central Arkansas,All institutions,Arkansas,U. Central Arkansas,3,11,2,0,0,2,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r025,All institutions -> California,All institutions,California,,2,5988,1189,83,953,153,855,357,182,316,563,318,245,1120,518,53,158,90,76,225,1235,37,170,96,62,291,4,140,195,240
4644,r026,"All institutions -> California -> Alliant International U., San Diego",All institutions,California,"Alliant International U., San Diego",3,82,0,0,0,0,0,0,0,0,0,0,0,77,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4644,r027,All institutions -> California -> Azusa Pacific U.,All institutions,California,Azusa Pacific U.,3,22,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r028,All institutions -> California -> Biola U.,All institutions,California,Biola U.,3,29,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4644,r029,All institutions -> California -> California Institute of Integral Studies,All institutions,California,California Institute of Integral Studies,3,40,0,0,0,0,1,0,0,1,0,0,0,17,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
4644,r030,All institutions -> California -> California Institute of Technology,All institutions,California,California Institute of Technology,3,146,21,2,19,0,60,21,4,35,13,5,8,4,1,0,2,0,0,1,48,8,11,5,2,7,0,5,6,4
4644,r031,All institutions -> California -> California Institute of the Arts,All institutions,California,California Institute of the Arts,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r032,All institutions -> California -> Chapman U.,All institutions,California,Chapman U.,3,24,2,0,0,2,0,0,0,0,9,1,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4644,r033,"All institutions -> California -> City of Hope, Irell and Manella Graduate School of Biological Sciences",All institutions,California,"City of Hope, Irell and Manella Graduate School of Biological Sciences",3,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r034,All institutions -> California -> Claremont Graduate U.,All institutions,California,Claremont Graduate U.,3,137,3,0,0,3,0,0,0,0,21,13,8,48,23,0,10,10,0,5,7,0,1,0,0,0,0,0,0,6
4644,r035,All institutions -> California -> Claremont School of Theology,All institutions,California,Claremont School of Theology,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r036,All institutions -> California -> Fielding Graduate U.,All institutions,California,Fielding Graduate U.,3,79,0,0,0,0,0,0,0,0,0,0,0,65,59,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
4644,r037,All institutions -> California -> Frederick S. Pardee RAND Graduate School,All institutions,California,Frederick S. Pardee RAND Graduate School,3,16,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
4644,r038,All institutions -> California -> Fuller Theological Seminary,All institutions,California,Fuller Theological Seminary,3,34,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4644,r039,All institutions -> California -> Graduate Theological Union,All institutions,California,Graduate Theological Union,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r040,All institutions -> California -> Keck Graduate Institute,All institutions,California,Keck Graduate Institute,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r041,All institutions -> California -> La Sierra U.,All institutions,California,La Sierra U.,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r042,All institutions -> California -> Loma Linda U.,All institutions,California,Loma Linda U.,3,35,12,0,6,6,1,0,1,0,0,0,0,19,17,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
4644,r043,All institutions -> California -> Naval Postgraduate School,All institutions,California,Naval Postgraduate School,3,20,0,0,0,0,5,0,3,2,1,1,0,3,0,0,0,0,0,3,11,1,0,0,0,3,0,0,2,5
4644,r044,All institutions -> California -> Pacifica Graduate Institute,All institutions,California,Pacifica Graduate Institute,3,42,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r045,All institutions -> California -> Palo Alto U.,All institutions,California,Palo Alto U.,3,68,0,0,0,0,0,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r046,"All institutions -> California -> San Diego State U., San Diego",All institutions,California,"San Diego State U., San Diego",3,44,13,0,8,5,8,5,3,0,7,3,4,9,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4644,r047,"All institutions -> California -> Sanford-Burnham Medical Research Institute, La Jolla",All institutions,California,"Sanford-Burnham Medical Research Institute, La Jolla",3,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r048,All institutions -> California -> Santa Clara U.,All institutions,California,Santa Clara U.,3,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1
4644,r049,All institutions -> California -> Saybrook U.,All institutions,California,Saybrook U.,3,31,10,0,0,10,0,0,0,0,0,0,0,17,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4644,r050,All institutions -> California -> Scripps Research Institute,All institutions,California,Scripps Research Institute,3,40,21,0,21,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r051,All institutions -> California -> Sofia U.,All institutions,California,Sofia U.,3,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r052,All institutions -> California -> Stanford U.,All institutions,California,Stanford U.,3,769,127,4,123,0,124,33,26,65,68,39,29,77,14,8,17,17,7,14,260,14,31,22,17,68,0,17,50,41
4644,r053,"All institutions -> California -> U. California, Berkeley",All institutions,California,"U. California, Berkeley",3,797,122,14,99,9,137,63,19,55,88,49,39,111,12,9,29,15,9,37,180,0,15,19,8,29,1,13,38,57
4644,r054,"All institutions -> California -> U. California, Davis",All institutions,California,"U. California, Davis",3,493,184,42,132,10,57,29,14,14,45,21,24,70,19,3,11,8,5,24,81,4,13,6,11,18,0,5,12,12
4644,r055,"All institutions -> California -> U. California, Irvine",All institutions,California,"U. California, Irvine",3,420,67,1,51,15,77,44,18,15,62,36,26,76,23,6,12,6,13,16,83,0,14,2,8,22,0,11,13,13
4644,r056,"All institutions -> California -> U. California, Los Angeles",All institutions,California,"U. California, Los Angeles",3,632,114,1,90,23,73,35,12,26,51,20,31,114,29,13,22,12,9,29,140,2,23,16,8,33,0,25,26,7
4644,r057,"All institutions -> California -> U. California, Merced",All institutions,California,"U. California, Merced",3,63,17,5,11,1,12,5,1,6,7,4,3,12,7,0,0,2,2,1,11,0,2,0,0,1,0,2,3,3
4644,r058,"All institutions -> California -> U. California, Riverside",All institutions,California,"U. California, Riverside",3,271,57,8,49,0,39,16,7,16,36,24,12,42,12,4,10,7,5,4,55,0,6,5,0,13,0,12,13,6
4644,r059,"All institutions -> California -> U. California, San Diego",All institutions,California,"U. California, San Diego",3,512,104,0,100,4,91,30,35,26,50,35,15,64,16,5,22,5,6,10,148,1,23,3,1,29,0,24,15,52
4644,r060,"All institutions -> California -> U. California, San Francisco",All institutions,California,"U. California, San Francisco",3,133,109,0,90,19,5,5,0,0,0,0,0,6,0,2,0,0,3,1,13,0,13,0,0,0,0,0,0,0
4644,r061,"All institutions -> California -> U. California, Santa Barbara",All institutions,California,"U. California, Santa Barbara",3,281,27,4,23,0,51,16,9,26,35,22,13,51,18,3,8,2,6,14,61,0,1,6,0,21,0,19,5,9
4644,r062,"All institutions -> California -> U. California, Santa Cruz",All institutions,California,"U. California, Santa Cruz",3,150,35,2,33,0,36,6,13,17,25,10,15,26,3,0,5,4,4,10,11,0,0,0,0,8,0,1,0,2
4644,r063,All institutions -> California -> U. of the Pacific,All institutions,California,U. of the Pacific,3,15,8,0,2,6,5,4,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r064,All institutions -> California -> U. of the West,All institutions,California,U. of the West,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r065,All institutions -> California -> U. San Diego,All institutions,California,U. San Diego,3,21,13,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4644,r066,All institutions -> California -> U. San Francisco,All institutions,California,U. San Francisco,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r067,All institutions -> California -> U. Southern California,All institutions,California,U. Southern California,3,437,102,0,78,24,54,26,16,12,43,33,10,50,15,0,9,2,5,19,123,7,17,12,7,38,3,5,12,22
4644,r068,All institutions -> Colorado,All institutions,Colorado,,2,1079,202,14,144,44,194,55,69,70,65,27,38,124,62,4,15,8,10,25,249,17,7,34,29,43,0,13,34,72
4644,r069,All institutions -> Colorado -> Colorado School of Mines,All institutions,Colorado,Colorado School of Mines,3,126,1,0,1,0,34,3,26,5,5,3,2,3,0,0,3,0,0,0,83,0,0,14,6,7,0,7,12,37
4644,r070,"All institutions -> Colorado -> Colorado State U., Fort Collins",All institutions,Colorado,"Colorado State U., Fort Collins",3,245,88,11,64,13,54,29,18,7,13,8,5,27,12,0,8,1,4,2,35,0,1,2,11,12,0,0,3,6
4644,r071,All institutions -> Colorado -> U. Colorado Boulder,All institutions,Colorado,U. Colorado Boulder,3,392,29,2,26,1,93,17,25,51,35,13,22,50,12,4,4,6,6,18,97,17,1,18,11,14,0,4,15,17
4644,r072,All institutions -> Colorado -> U. Colorado Colorado Springs,All institutions,Colorado,U. Colorado Colorado Springs,3,25,0,0,0,0,3,0,0,3,2,1,1,1,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,10
4644,r073,All institutions -> Colorado -> U. Colorado Denver,All institutions,Colorado,U. Colorado Denver,3,100,68,1,45,22,1,0,0,1,5,1,4,6,6,0,0,0,0,0,8,0,4,0,1,0,0,0,3,0
4644,r074,All institutions -> Colorado -> U. Denver,All institutions,Colorado,U. Denver,3,95,6,0,5,1,9,6,0,3,2,1,1,23,17,0,0,1,0,5,15,0,1,0,0,9,0,2,1,2
4644,r075,All institutions -> Colorado -> U. Northern Colorado,All institutions,Colorado,U. Northern Colorado,3,96,10,0,3,7,0,0,0,0,3,0,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r076,All institutions -> Connecticut,All institutions,Connecticut,,2,764,237,16,189,32,89,39,7,43,46,18,28,139,43,9,26,24,9,28,78,0,19,7,4,13,0,12,7,16
4644,r077,All institutions -> Connecticut -> U. Bridgeport,All institutions,Connecticut,U. Bridgeport,3,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r078,"All institutions -> Connecticut -> U. Connecticut, Storrs",All institutions,Connecticut,"U. Connecticut, Storrs",3,326,99,11,64,24,22,15,2,5,31,12,19,61,32,1,10,3,4,11,44,0,5,3,4,8,0,7,7,10
4644,r079,All institutions -> Connecticut -> U. Hartford,All institutions,Connecticut,U. Hartford,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r080,All institutions -> Connecticut -> U. New Haven,All institutions,Connecticut,U. New Haven,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4644,r081,All institutions -> Connecticut -> Wesleyan U.,All institutions,Connecticut,Wesleyan U.,3,10,4,0,4,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r082,All institutions -> Connecticut -> Yale U.,All institutions,Connecticut,Yale U.,3,423,134,5,121,8,65,22,5,38,11,4,7,76,11,8,16,21,5,15,34,0,14,4,0,5,0,5,0,6
4644,r083,All institutions -> Delaware,All institutions,Delaware,,2,218,43,11,22,10,37,15,12,10,20,9,11,39,8,0,10,2,4,15,57,1,1,14,6,10,0,8,7,10
4644,r084,All institutions -> Delaware -> Delaware State U.,All institutions,Delaware,Delaware State U.,3,7,1,0,1,0,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r085,All institutions -> Delaware -> U. Delaware,All institutions,Delaware,U. Delaware,3,211,42,11,21,10,33,13,12,8,18,9,9,39,8,0,10,2,4,15,57,1,1,14,6,10,0,8,7,10
4644,r086,All institutions -> District of Columbia,All institutions,District of Columbia,,2,579,111,1,89,21,29,13,1,15,37,24,13,167,48,5,38,22,4,50,52,2,6,0,3,10,0,2,6,23
4644,r087,All institutions -> District of Columbia -> American U.,All institutions,District of Columbia,American U.,3,47,3,0,3,0,0,0,0,0,0,0,0,30,8,1,11,2,0,8,0,0,0,0,0,0,0,0,0,0
4644,r088,All institutions -> District of Columbia -> Catholic U. of America,All institutions,District of Columbia,Catholic U. of America,3,104,21,0,8,13,5,0,0,5,3,3,0,8,5,0,0,2,0,1,8,0,3,0,1,0,0,0,1,3
4644,r089,All institutions -> District of Columbia -> Gallaudet U.,All institutions,District of Columbia,Gallaudet U.,3,16,5,0,1,4,0,0,0,0,0,0,0,7,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4644,r090,All institutions -> District of Columbia -> George Washington U.,All institutions,District of Columbia,George Washington U.,3,186,18,0,17,1,7,2,1,4,23,16,7,43,11,4,10,5,0,13,40,2,3,0,2,7,0,2,4,20
4644,r091,All institutions -> District of Columbia -> Georgetown U.,All institutions,District of Columbia,Georgetown U.,3,120,35,0,35,0,13,10,0,3,2,2,0,39,2,0,11,8,0,18,0,0,0,0,0,0,0,0,0,0
4644,r092,All institutions -> District of Columbia -> Howard U.,All institutions,District of Columbia,Howard U.,3,106,29,1,25,3,4,1,0,3,9,3,6,40,16,0,6,5,4,9,4,0,0,0,0,3,0,0,1,0
4644,r093,All institutions -> Florida,All institutions,Florida,,2,2386,503,77,275,151,277,120,57,100,210,129,81,390,193,27,19,21,22,108,455,25,30,23,56,89,23,23,69,117
4644,r094,All institutions -> Florida -> Barry U.,All institutions,Florida,Barry U.,3,17,4,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r095,"All institutions -> Florida -> Embry-Riddle Aeronautical U., Daytona Beach",All institutions,Florida,"Embry-Riddle Aeronautical U., Daytona Beach",3,23,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,21,12,0,0,0,1,0,0,4,4
4644,r096,All institutions -> Florida -> Florida A&M U.,All institutions,Florida,Florida A&M U.,3,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,3,1,1,0,0,1
4644,r097,All institutions -> Florida -> Florida Atlantic U.,All institutions,Florida,Florida Atlantic U.,3,99,21,0,13,8,7,3,1,3,13,7,6,10,9,0,0,0,0,1,17,0,1,0,0,4,0,0,6,6
4644,r098,All institutions -> Florida -> Florida Institute of Technology,All institutions,Florida,Florida Institute of Technology,3,79,2,0,2,0,8,4,0,4,19,9,10,12,12,0,0,0,0,0,32,5,2,1,2,7,0,0,3,12
4644,r099,All institutions -> Florida -> Florida International U.,All institutions,Florida,Florida International U.,3,186,33,2,25,6,20,12,5,3,8,8,0,41,15,6,3,2,0,15,43,0,4,0,6,16,0,4,5,8
4644,r100,All institutions -> Florida -> Florida State U.,All institutions,Florida,Florida State U.,3,381,45,1,34,10,63,26,15,22,36,11,25,77,37,0,7,7,7,19,35,0,1,3,5,10,5,4,4,3
4644,r101,All institutions -> Florida -> Nova Southeastern U.,All institutions,Florida,Nova Southeastern U.,3,134,25,0,0,25,1,0,1,0,28,28,0,66,34,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
4644,r102,All institutions -> Florida -> U. Central Florida,All institutions,Florida,U. Central Florida,3,261,17,0,13,4,43,11,0,32,44,32,12,22,9,0,0,0,6,7,95,2,0,0,17,21,7,3,19,26
4644,r103,All institutions -> Florida -> U. Florida,All institutions,Florida,U. Florida,3,650,238,71,109,58,66,37,6,23,27,12,15,75,29,13,4,7,3,19,129,6,11,14,13,12,2,12,16,43
4644,r104,All institutions -> Florida -> U. Miami,All institutions,Florida,U. Miami,3,204,62,2,44,16,19,4,14,1,5,3,2,35,26,0,3,1,2,3,25,0,7,0,3,1,5,0,6,3
4644,r105,"All institutions -> Florida -> U. South Florida, Tampa",All institutions,Florida,"U. South Florida, Tampa",3,327,55,1,34,20,50,23,15,12,30,19,11,48,19,8,2,4,4,11,51,0,4,4,7,16,3,0,6,11
4644,r106,All institutions -> Florida -> U. West Florida,All institutions,Florida,U. West Florida,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r107,All institutions -> Georgia,All institutions,Georgia,,2,1484,380,46,281,53,141,75,20,46,125,69,56,196,96,10,14,22,10,44,337,28,38,22,18,69,11,32,44,75
4644,r108,All institutions -> Georgia -> Clark Atlanta U.,All institutions,Georgia,Clark Atlanta U.,3,23,1,0,1,0,7,7,0,0,0,0,0,7,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0
4644,r109,All institutions -> Georgia -> Emory U.,All institutions,Georgia,Emory U.,3,233,106,0,95,11,24,20,0,4,12,6,6,38,14,8,0,5,5,6,0,0,0,0,0,0,0,0,0,0
4644,r110,All institutions -> Georgia -> Georgia Institute of Technology,All institutions,Georgia,Georgia Institute of Technology,3,512,24,1,21,2,52,14,13,25,71,51,20,22,9,0,2,0,0,11,322,28,35,22,18,68,11,32,43,65
4644,r111,All institutions -> Georgia -> Georgia Regents U.,All institutions,Georgia,Georgia Regents U.,3,30,30,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r112,All institutions -> Georgia -> Georgia State U.,All institutions,Georgia,Georgia State U.,3,193,49,0,38,11,19,9,0,10,13,6,7,49,24,0,11,3,4,7,0,0,0,0,0,0,0,0,0,0
4644,r113,All institutions -> Georgia -> Kennesaw State U.,All institutions,Georgia,Kennesaw State U.,3,27,0,0,0,0,0,0,0,0,7,0,7,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
4644,r114,All institutions -> Georgia -> Mercer U.,All institutions,Georgia,Mercer U.,3,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r115,All institutions -> Georgia -> Morehouse School of Medicine,All institutions,Georgia,Morehouse School of Medicine,3,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r116,All institutions -> Georgia -> U. Georgia,All institutions,Georgia,U. Georgia,3,449,158,45,91,22,39,25,7,7,22,6,16,70,44,2,1,9,1,13,15,0,3,0,0,1,0,0,1,10
4644,r117,All institutions -> Georgia -> U. West Georgia,All institutions,Georgia,U. West Georgia,3,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r118,All institutions -> Hawaii,All institutions,Hawaii,,2,195,44,4,31,9,31,3,19,9,11,8,3,46,5,6,3,5,4,23,10,0,2,0,5,2,0,0,1,0
4644,r119,"All institutions -> Hawaii -> U. Hawaii, Manoa",All institutions,Hawaii,"U. Hawaii, Manoa",3,195,44,4,31,9,31,3,19,9,11,8,3,46,5,6,3,5,4,23,10,0,2,0,5,2,0,0,1,0
4644,r120,All institutions -> Idaho,All institutions,Idaho,,2,114,25,10,11,4,23,1,15,7,7,5,2,10,7,0,0,0,0,3,27,1,1,2,4,8,0,5,2,4
