table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_computer_applications_median_salary,field_computer_applications_se,field_management_sales_or_administrationa_median_salary,field_management_sales_or_administrationa_se,field_professional_services_median_salary,field_professional_services_se,field_any_r_db_median_salary,field_any_r_db_se,field_teaching_median_salary,field_teaching_se,field_otherc_median_salary,field_otherc_se
9250,r011,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,150000,3000,162000,5500,185000,9000,152000,46000,158000,8000,96000,3500,108000,19000
9250,r012,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,114000,3500,148000,5500,164000,7500,142000,7000,133000,3500,80000,1500,129000,12500
9250,r013,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,120000,500,131000,5500,154000,3000,149000,14000,120000,2500,75000,1000,110000,7000
9250,r014,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,110000,6500,121000,14500,155000,11000,203000,40000,110000,9500,77000,6000,101000,10500
9250,r015,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,119000,2000,119000,6500,149000,2000,154000,17500,120000,1500,70000,1500,118000,9000
9250,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,105000,2000,115000,9500,139000,6000,109000,11000,110000,2500,80000,2000,100000,6500
9250,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,130000,1000,144000,5500,170000,4500,158000,22000,130000,2000,80000,1500,117000,11500
9250,r018,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,101000,1500,138000,11000,120000,2000,101000,1500,110000,3500,79000,2000,102000,5500
9250,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,101000,2000,115000,7500,135000,4000,130000,10000,120000,2000,81000,2000,99000,2500
9250,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,135000,4000,114000,19500,176000,9500,180000,14000,149000,3000,97000,2500,120000,25500
9250,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,103000,4000,125000,16000,138000,8000,116000,26000,110000,6000,82000,3000,98000,6500
9250,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,90000,2000,,,121000,6000,92000,10500,103000,8000,79000,2500,98000,3500
9250,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,90000,500,109000,7500,107000,4500,108000,10500,96000,2500,78000,1500,90000,4000
9250,r024,All fields -> Engineering,All fields,Engineering,,,2,137000,2000,149000,2500,160000,2500,149000,4000,135000,1000,95000,2500,137000,4500
9250,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,137000,4500,136000,9000,170000,17500,S,S,131000,6000,90000,11500,133000,40500
9250,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,139000,4000,125000,25000,154000,4500,137000,10000,135000,3500,85000,6500,134000,9000
9250,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,119000,4500,128000,7500,149000,4000,109000,17500,109000,2500,97000,4500,117000,16500
9250,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,150000,2000,160000,4000,190000,7500,184000,4000,150000,500,99000,3000,139000,7000
9250,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,130000,2000,130000,4500,158000,5500,152000,43000,130000,2500,93000,6500,155000,10500
9250,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,134000,3500,145000,16500,154000,6500,188000,30000,130000,3000,82000,8000,117000,3500
9250,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,130000,500,138000,5000,155000,7000,154000,10000,125000,3500,94000,4500,144000,5500
9250,r032,All fields -> Health,All fields,Health,,,2,110000,1500,119000,17000,139000,8000,122000,5000,118000,3000,86000,3000,110000,11500
