table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_hierarchy_depth,value
12656,r044,2013,Federal,Experimental development,2,2984115
12656,r045,2013,Nonfederal,All R&D expenditures,2,27531635
12656,r046,2013,Nonfederal,Basic research,2,17567217
12656,r047,2013,Nonfederal,Applied research,2,6852836
12656,r048,2013,Nonfederal,Experimental development,2,3111582
12656,r049,2014,Total,All R&D expenditures,2,67161428
12656,r050,2014,Total,Basic research,2,43594083
12656,r051,2014,Total,Applied research,2,17313106
12656,r052,2014,Total,Experimental development,2,6254239
12656,r053,2014,Federal,All R&D expenditures,2,37961118
12656,r054,2014,Federal,Basic research,2,25210261
12656,r055,2014,Federal,Applied research,2,9775786
12656,r056,2014,Federal,Experimental development,2,2975071
12656,r057,2014,Nonfederal,All R&D expenditures,2,29200310
12656,r058,2014,Nonfederal,Basic research,2,18383822
12656,r059,2014,Nonfederal,Applied research,2,7537320
12656,r060,2014,Nonfederal,Experimental development,2,3279168
12656,r061,2015,Total,All R&D expenditures,2,68519962
12656,r062,2015,Total,Basic research,2,44385516
12656,r063,2015,Total,Applied research,2,17538719
12656,r064,2015,Total,Experimental development,2,6595727
12656,r065,2015,Federal,All R&D expenditures,2,37846802
12656,r066,2015,Federal,Basic research,2,25241977
12656,r067,2015,Federal,Applied research,2,9694550
12656,r068,2015,Federal,Experimental development,2,2910275
12656,r069,2015,Nonfederal,All R&D expenditures,2,30673160
12656,r070,2015,Nonfederal,Basic research,2,19143539
12656,r071,2015,Nonfederal,Applied research,2,7844169
12656,r072,2015,Nonfederal,Experimental development,2,3685452
12656,r073,2016,Total,All R&D expenditures,2,71737194
12656,r074,2016,Total,Basic research,2,45696853
12656,r075,2016,Total,Applied research,2,19412137
12656,r076,2016,Total,Experimental development,2,6628204
12656,r077,2016,Federal,All R&D expenditures,2,38787982
12656,r078,2016,Federal,Basic research,2,25301803
12656,r079,2016,Federal,Applied research,2,10582217
12656,r080,2016,Federal,Experimental development,2,2903962
12656,r081,2016,Nonfederal,All R&D expenditures,2,32949212
12656,r082,2016,Nonfederal,Basic research,2,20395050
12656,r083,2016,Nonfederal,Applied research,2,8829920
12656,r084,2016,Nonfederal,Experimental development,2,3724242
12656,r085,2017,Total,All R&D expenditures,2,75149390
12656,r086,2017,Total,Basic research,2,47204066
12656,r087,2017,Total,Applied research,2,20816754
12656,r088,2017,Total,Experimental development,2,7128570
12656,r089,2017,Federal,All R&D expenditures,2,40248055
12656,r090,2017,Federal,Basic research,2,26022388
12656,r091,2017,Federal,Applied research,2,11223064
12656,r092,2017,Federal,Experimental development,2,3002603
12656,r093,2017,Nonfederal,All R&D expenditures,2,34901335
12656,r094,2017,Nonfederal,Basic research,2,21181678
12656,r095,2017,Nonfederal,Applied research,2,9593690
12656,r096,2017,Nonfederal,Experimental development,2,4125967
12656,r097,2018,Total,All R&D expenditures,2,79025976
12656,r098,2018,Total,Basic research,2,49888637
12656,r099,2018,Total,Applied research,2,21737440
12656,r100,2018,Total,Experimental development,2,7399899
12656,r101,2018,Federal,All R&D expenditures,2,41860383
12656,r102,2018,Federal,Basic research,2,27068411
12656,r103,2018,Federal,Applied research,2,11685645
12656,r104,2018,Federal,Experimental development,2,3106327
12656,r105,2018,Nonfederal,All R&D expenditures,2,37165593
12656,r106,2018,Nonfederal,Basic research,2,22820226
12656,r107,2018,Nonfederal,Applied research,2,10051795
12656,r108,2018,Nonfederal,Experimental development,2,4293572
12656,r109,2019,Total,All R&D expenditures,2,83490430
12656,r110,2019,Total,Basic research,2,52722175
12656,r111,2019,Total,Applied research,2,23049547
12656,r112,2019,Total,Experimental development,2,7718708
12656,r113,2019,Federal,All R&D expenditures,2,44460361
12656,r114,2019,Federal,Basic research,2,28796350
12656,r115,2019,Federal,Applied research,2,12358201
12656,r116,2019,Federal,Experimental development,2,3305810
12656,r117,2019,Nonfederal,All R&D expenditures,2,39030069
12656,r118,2019,Nonfederal,Basic research,2,23925825
12656,r119,2019,Nonfederal,Applied research,2,10691346
12656,r120,2019,Nonfederal,Experimental development,2,4412898
12656,r121,2020,Total,All R&D expenditures,2,86306106
12656,r122,2020,Total,Basic research,2,54376334
12656,r123,2020,Total,Applied research,2,23863994
12656,r124,2020,Total,Experimental development,2,8065778
12656,r125,2020,Federal,All R&D expenditures,2,46106870
12656,r126,2020,Federal,Basic research,2,29458997
12656,r127,2020,Federal,Applied research,2,12871293
12656,r128,2020,Federal,Experimental development,2,3776580
12656,r129,2020,Nonfederal,All R&D expenditures,2,40199236
12656,r130,2020,Nonfederal,Basic research,2,24917337
12656,r131,2020,Nonfederal,Applied research,2,10992701
12656,r132,2020,Nonfederal,Experimental development,2,4289198
12656,r133,2021,Total,All R&D expenditures,2,89700890
12656,r134,2021,Total,Basic research,2,56228532
12656,r135,2021,Total,Applied research,2,24780115
12656,r136,2021,Total,Experimental development,2,8692243
12656,r137,2021,Federal,All R&D expenditures,2,49117850
12656,r138,2021,Federal,Basic research,2,31303103
12656,r139,2021,Federal,Applied research,2,13711015
12656,r140,2021,Federal,Experimental development,2,4103732
12656,r141,2021,Nonfederal,All R&D expenditures,2,40583040
12656,r142,2021,Nonfederal,Basic research,2,24925429
12656,r143,2021,Nonfederal,Applied research,2,11069100
12656,r144,2021,Nonfederal,Experimental development,2,4588511
12656,r145,2022,Total,All R&D expenditures,2,97669577
12656,r146,2022,Total,Basic research,2,61735510
12656,r147,2022,Total,Applied research,2,26683325
12656,r148,2022,Total,Experimental development,2,9250742
12656,r149,2022,Federal,All R&D expenditures,2,53974897
12656,r150,2022,Federal,Basic research,2,34685946
12656,r151,2022,Federal,Applied research,2,14872219
12656,r152,2022,Federal,Experimental development,2,4416732
12656,r153,2022,Nonfederal,All R&D expenditures,2,43694680
12656,r154,2022,Nonfederal,Basic research,2,27049564
12656,r155,2022,Nonfederal,Applied research,2,11811106
12656,r156,2022,Nonfederal,Experimental development,2,4834010
12656,r157,2023,Total,All R&D expenditures,2,108681008
12656,r158,2023,Total,Basic research,2,68468210
12656,r159,2023,Total,Applied research,2,29595527
12656,r160,2023,Total,Experimental development,2,10617271
12656,r161,2023,Federal,All R&D expenditures,2,59603993
12656,r162,2023,Federal,Basic research,2,38129644
12656,r163,2023,Federal,Applied research,2,16372525
12656,r164,2023,Federal,Experimental development,2,5101824
12656,r165,2023,Nonfederal,All R&D expenditures,2,49077015
12656,r166,2023,Nonfederal,Basic research,2,30338566
12656,r167,2023,Nonfederal,Applied research,2,13223002
12656,r168,2023,Nonfederal,Experimental development,2,5515447
