table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_intramural_r_d_2020_,field_personnel_costs_2020_amount,field_personnel_costs_2020_of_total,field_total_intramural_r_d_2021_,field_personnel_costs_2021_amount,field_personnel_costs_2021_of_total
6429,r012,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,622090.9,401377.0,64.5,711024.9,426002.5,59.9
6429,r013,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,452145.1,189605.0,41.9,455584.0,221070.8,48.5
6429,r014,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7692.0,5080.0,66.0,11180.0,7250.0,64.8
6429,r015,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,111117.0,50172.0,45.2,120469.8,55800.9,46.3
6429,r016,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,22666621.0,3787944.2,16.7,23153286.0,3711694.1,16.0
6429,r017,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,317301.9,231336.0,72.9,312921.7,233964.0,74.8
6429,r018,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,1097611.0,31116.7,2.8,715879.1,31739.1,4.4
6429,r019,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,4675672.9,1438235.4,30.8,4668154.0,1212881.6,26.0
6429,r020,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,3447660.9,541428.0,15.7,3916765.7,600441.7,15.3
6429,r021,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,7339132.0,266399.1,3.6,7463847.9,214701.8,2.9
6429,r022,All agencies -> Departments -> Department of Defense -> U.S. Space Force,All agencies,Departments,Department of Defense,U.S. Space Force,,4,134756.4,36699.2,27.2,217870.0,42940.3,19.7
6429,r023,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,5654486.0,1242729.8,22.0,5857847.6,1375025.7,23.5
6429,r024,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,10516.9,7539.2,71.7,11299.1,8056.3,71.3
6429,r025,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,871779.6,281729.0,32.3,1784764.5,319779.6,17.9
6429,r026,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,3195.7,2396.7,75.0,3057.8,2293.3,75.0
6429,r027,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,411610.4,137203.5,33.3,514036.0,171345.3,33.3
6429,r028,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,234579.4,280.9,0.1,675327.4,103.9,**
6429,r029,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,172203.9,0.05,**,623118.7,0.05,**
6429,r030,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,50314.7,100.0,0.2,51948.7,100.0,0.2
6429,r031,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,12060.8,180.9,1.5,260.0,3.9,1.5
6429,r032,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,2251.8,2.0,0.1,328.0,2.0,0.6
6429,r033,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,14121.5,1484.2,10.5,5521.0,3790.0,68.6
6429,r034,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,206020.8,140361.7,68.1,586494.3,142245.0,24.3
6429,r035,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,19300321.2,2729789.7,14.1,30267944.7,2843180.5,9.4
6429,r036,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,575.0,3.1,0.5,35.0,3.1,8.9
6429,r037,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,76783.1,40440.9,52.7,48270.0,45.0,0.1
6429,r038,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,9929976.9,110000.0,1.1,21092118.4,140000.0,0.7
6429,r039,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,113045.7,63807.1,56.4,119748.7,64978.7,54.3
6429,r040,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,333666.7,1072.9,0.3,355996.2,1144.7,0.3
6429,r041,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,4918.9,3455.8,70.3,5462.1,3999.0,73.2
6429,r042,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,8838596.9,2511000.0,28.4,8643564.3,2633000.0,30.5
6429,r043,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,2758.0,10.0,0.4,2750.0,10.0,0.4
6429,r044,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,2758.0,10.0,0.4,2750.0,10.0,0.4
6429,r045,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,132858.2,26738.0,20.1,144761.5,28743.0,19.9
6429,r046,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,2741.3,1700.0,62.0,5692.5,2750.0,48.3
6429,r047,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,0.0,0.0,0.0,793.0,793.0,100.0
6429,r048,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,125189.7,25037.9,20.0,128000.0,25200.0,19.7
6429,r049,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,,4,4927.2,0.05,**,10276.0,0.05,**
6429,r050,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,719604.3,466574.7,64.8,751878.6,491268.5,65.3
6429,r051,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,11115.0,3350.0,30.1,7412.0,2230.0,30.1
6429,r052,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,53731.3,27139.0,50.5,65076.0,34467.8,53.0
6429,r053,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,17570.7,3989.3,22.7,16000.0,4100.0,25.6
6429,r054,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,3633.9,1166.9,32.1,4851.3,2223.9,45.8
6429,r055,All agencies -> Departments -> Department of the Interior -> Office of Surface Mining Reclamation and Enforcement,All agencies,Departments,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,,4,562.0,541.5,96.4,562.1,541.6,96.4
6429,r056,All agencies -> Departments -> Department of the Interior -> U.S. Fish and Wildlife Service,All agencies,Departments,Department of the Interior,U.S. Fish and Wildlife Service,,4,32650.0,13713.0,42.0,32650.0,13713.0,42.0
6429,r057,All agencies -> Departments -> Department of the Interior -> U.S. Geological Survey,All agencies,Departments,Department of the Interior,U.S. Geological Survey,,4,600341.4,416675.0,69.4,625327.2,433992.1,69.4
6429,r058,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,10901.7,2671.3,24.5,8588.9,2730.4,31.8
6429,r059,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,2660.0,2500.4,94.0,2713.0,2550.2,94.0
6429,r060,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,8241.7,170.9,2.1,5875.9,180.2,3.1
6429,r061,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,3791.3,3781.3,99.7,3807.2,3797.2,99.7
6429,r062,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,1788.7,1778.7,99.4,1766.5,1756.5,99.4
6429,r063,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,2002.7,2002.7,100.0,2040.7,2040.7,100.0
6429,r064,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,40000.0,40000.0,100.0,43000.0,43000.0,100.0
6429,r065,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,222010.7,96528.4,43.5,258280.3,116009.8,44.9
6429,r066,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,85678.0,46598.6,54.4,110754.2,60422.7,54.6
6429,r067,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,71850.6,22516.2,31.3,70679.9,22309.8,31.6
6429,r068,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,5893.8,2811.1,47.7,3257.0,2972.0,91.2
6429,r069,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,12034.2,3567.4,29.6,15104.6,4243.0,28.1
6429,r070,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,10089.3,10089.3,100.0,10049.6,10049.6,100.0
6429,r071,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,26215.0,9036.8,34.5,40956.0,14103.8,34.4
6429,r072,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,10249.8,1909.0,18.6,7479.0,1909.0,25.5
6429,r073,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,2522.2,1955.9,77.5,2018.2,2018.2,100.0
6429,r074,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,2400.0,1900.0,79.2,2000.0,2000.0,100.0
6429,r075,All agencies -> Departments -> Department of the Treasury -> U.S. Mint,All agencies,Departments,Department of the Treasury,U.S. Mint,,4,122.2,55.9,45.7,18.2,18.2,100.0
6429,r076,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,1494953.2,1057440.0,70.7,1621050.0,1112524.0,68.6
6429,r077,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,
6429,r078,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,19743.0,390.4,2.0,19743.0,390.4,2.0
6429,r079,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,385.0,89.3,23.2,390.6,83.9,21.5
6429,r080,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,244436.0,239938.0,98.2,262410.0,259760.0,99.0
6429,r081,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,,3,1800.0,1800.0,100.0,2625.0,2625.0,100.0
6429,r082,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,5974.3,3916.7,65.6,7496.6,4914.7,65.6
6429,r083,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,3,2821.2,1386.1,49.1,2685.8,1360.9,50.7
6429,r084,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,2551866.9,1409541.4,55.2,2413643.5,1273855.1,52.8
6429,r085,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,9357.9,0.05,**,9437.2,0.05,**
6429,r086,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,29671.8,19744.2,66.5,31606.4,22124.5,70.0
6429,r087,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,209760.0,101344.8,48.3,213560.0,112576.0,52.7
6429,r088,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,37215.6,37215.6,100.0,68680.8,68680.8,100.0
