table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3358,r018,R&D and R&D plant -> R&D -> Department of Energy,R&D and R&D plant,R&D,Department of Energy,,3,,,,,
3358,r019,R&D and R&D plant -> R&D -> Department of Energy -> Office of Science,R&D and R&D plant,R&D,Department of Energy,Office of Science,4,4965,5325,4734,7.3,-11.1
3358,r020,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup>,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,,3,5996,6129,5804,2.2,-5.3
3358,r021,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Arctic Research Commission,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Arctic Research Commission,4,1,NA,2,--,--
3358,r022,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Biological Sciences,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Biological Sciences,4,784,NA,705,--,--
3358,r023,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Computer and Information Science and Engineering,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Computer and Information Science and Engineering,4,985,NA,1062,--,--
3358,r024,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Education and Human Resources,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Education and Human Resources,4,935,940,931,0.6,-1.0
3358,r025,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Engineering,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Engineering,4,991,NA,910,--,--
3358,r026,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Geosciences,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Geosciences,4,970,NA,837,--,--
3358,r027,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Integrative Activities,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Integrative Activities,4,547,NA,539,--,--
3358,r028,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> International Science and Engineering,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,International Science and Engineering,4,49,NA,44,--,--
3358,r029,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Major Research Equipment and Facilities Construction,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Major Research Equipment and Facilities Construction,4,285,243,230,-14.7,-5.5
3358,r030,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Mathematical and Physical Sciences,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Mathematical and Physical Sciences,4,1491,NA,1448,--,--
3358,r031,"R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Social, Behavioral and Economic Sciences",R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,"Social, Behavioral and Economic Sciences",4,271,NA,247,--,--
3358,r032,R&D and R&D plant -> R&D -> National Science Foundation<sup>d</sup> -> Budget authority adjustment<sup>e</sup>,R&D and R&D plant,R&D,National Science Foundation<sup>d</sup>,Budget authority adjustment<sup>e</sup>,4,-1313,NA,-1150,na,na
