table_id,row_id,occupation_sex_ethnicity_race_and_disability_status_full_path,occupation_sex_ethnicity_race_and_disability_status_level_1,occupation_sex_ethnicity_race_and_disability_status_level_2,occupation_sex_ethnicity_race_and_disability_status_level_3,occupation_sex_ethnicity_race_and_disability_status_level_4,occupation_sex_ethnicity_race_and_disability_status_level_5,occupation_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_total,field_business_or_industry_total,field_business_or_industry_for_profit_business_or_industry,field_business_or_industry_nonprofit_business_or_industry,field_business_or_industry_self_employed_not_incorporated,field_education_total,field_education_4_year_educational_institutiona,field_education_2_year_college_or_precollege_educational_institution,field_government_total,field_government_federal_government,field_government_state_or_local_government
6844,r016,All occupations -> S&E occupations -> Male,All occupations,S&E occupations,Male,,,3,4803000,3671000,3334000,206000,131000,622000,516000,106000,510000,275000,235000
6844,r017,All occupations -> S&E occupations -> Hispanic or Latino,All occupations,S&E occupations,Hispanic or Latino,,,3,505000,354000,307000,29000,17000,72000,55000,17000,80000,33000,47000
6844,r018,All occupations -> S&E occupations -> Not Hispanic or Latino,All occupations,S&E occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
6844,r019,All occupations -> S&E occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,14000,8000,7000,,,S,S,S,2000,S,1000
6844,r020,All occupations -> S&E occupations -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Not Hispanic or Latino,Asian,,4,1338000,1025000,954000,49000,22000,217000,198000,19000,97000,45000,52000
6844,r021,All occupations -> S&E occupations -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Not Hispanic or Latino,Black or African American,,4,382000,240000,221000,15000,5000,56000,44000,12000,86000,45000,41000
6844,r022,All occupations -> S&E occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,23000,17000,16000,,,3000,S,,4000,2000,2000
6844,r023,All occupations -> S&E occupations -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Not Hispanic or Latino,White,,4,4397000,3168000,2745000,262000,160000,727000,565000,163000,501000,281000,220000
6844,r024,All occupations -> S&E occupations -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Not Hispanic or Latino,More than one race,,4,109000,77000,65000,4000,7000,16000,14000,2000,16000,8000,8000
6844,r025,All occupations -> S&E occupations -> Without disability,All occupations,S&E occupations,Without disability,,,3,6120000,4441000,3917000,337000,187000,986000,793000,194000,693000,361000,331000
6844,r026,All occupations -> S&E occupations -> With disability,All occupations,S&E occupations,With disability,,,3,649000,447000,400000,23000,24000,109000,87000,22000,93000,54000,39000
6844,r027,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",,,3,610000,266000,196000,62000,8000,240000,222000,19000,104000,60000,43000
6844,r028,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Female",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Female,,4,292000,124000,90000,30000,3000,121000,109000,12000,47000,27000,20000
6844,r029,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Male",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Male,,4,319000,143000,106000,32000,5000,120000,113000,7000,57000,34000,23000
6844,r030,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Hispanic or Latino",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Hispanic or Latino,,4,38000,17000,12000,4000,,16000,15000,2000,5000,3000,2000
6844,r031,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,,4,,,,,,,,,,,
6844,r032,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> American Indian or Alaska Native",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,American Indian or Alaska Native,5,S,,,,,,,,0.05,,
6844,r033,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Asian",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Asian,5,126000,50000,34000,14000,,59000,59000,S,17000,11000,5000
6844,r034,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Black or African American",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Black or African American,5,20000,8000,8000,S,,6000,6000,,5000,2000,S
6844,r035,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,1000,0.05,0.05,,,,,,,,
6844,r036,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> White",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,White,5,415000,187000,137000,43000,6000,154000,138000,16000,74000,43000,31000
6844,r037,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> More than one race",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,More than one race,5,9000,4000,4000,,,3000,3000,,S,1000,S
6844,r038,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Without disability",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Without disability,,4,570000,251000,184000,60000,7000,222000,206000,16000,96000,56000,40000
6844,r039,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> With disability",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",With disability,,4,41000,15000,12000,3000,1000,18000,16000,3000,7000,4000,3000
6844,r040,All occupations -> S&E occupations -> Computer and mathematical scientists,All occupations,S&E occupations,Computer and mathematical scientists,,,3,3419000,2827000,2516000,215000,97000,300000,211000,88000,292000,147000,146000
6844,r041,All occupations -> S&E occupations -> Computer and mathematical scientists -> Female,All occupations,S&E occupations,Computer and mathematical scientists,Female,,4,919000,706000,588000,89000,28000,109000,67000,42000,104000,56000,49000
6844,r042,All occupations -> S&E occupations -> Computer and mathematical scientists -> Male,All occupations,S&E occupations,Computer and mathematical scientists,Male,,4,2500000,2122000,1927000,126000,69000,191000,144000,47000,188000,91000,97000
6844,r043,All occupations -> S&E occupations -> Computer and mathematical scientists -> Hispanic or Latino,All occupations,S&E occupations,Computer and mathematical scientists,Hispanic or Latino,,4,200000,158000,134000,13000,10000,19000,15000,4000,23000,11000,12000
6844,r044,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
6844,r045,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,4000,2000,1000,,,,,,,,
6844,r046,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Asian,5,840000,728000,687000,27000,14000,66000,52000,14000,47000,19000,28000
6844,r047,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Black or African American,5,242000,175000,161000,11000,S,13000,9000,4000,54000,26000,28000
6844,r048,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,12000,10000,10000,,,,,,2000,,
6844,r049,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,White,5,2070000,1713000,1488000,160000,65000,196000,132000,63000,161000,86000,75000
6844,r050,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,More than one race,5,52000,43000,35000,3000,6000,4000,3000,1000,5000,3000,S
6844,r051,All occupations -> S&E occupations -> Computer and mathematical scientists -> Without disability,All occupations,S&E occupations,Computer and mathematical scientists,Without disability,,4,3112000,2594000,2308000,200000,86000,270000,193000,78000,248000,113000,135000
6844,r052,All occupations -> S&E occupations -> Computer and mathematical scientists -> With disability,All occupations,S&E occupations,Computer and mathematical scientists,With disability,,4,307000,233000,207000,15000,11000,30000,19000,11000,45000,33000,11000
6844,r053,All occupations -> S&E occupations -> Physical and related scientists,All occupations,S&E occupations,Physical and related scientists,,,3,366000,154000,141000,7000,7000,136000,109000,26000,76000,42000,35000
6844,r054,All occupations -> S&E occupations -> Physical and related scientists -> Female,All occupations,S&E occupations,Physical and related scientists,Female,,4,107000,49000,45000,3000,1000,31000,29000,2000,27000,11000,15000
6844,r055,All occupations -> S&E occupations -> Physical and related scientists -> Male,All occupations,S&E occupations,Physical and related scientists,Male,,4,259000,105000,95000,4000,5000,104000,81000,24000,50000,30000,19000
6844,r056,All occupations -> S&E occupations -> Physical and related scientists -> Hispanic or Latino,All occupations,S&E occupations,Physical and related scientists,Hispanic or Latino,,4,29000,10000,9000,,,5000,4000,1000,14000,8000,5000
6844,r057,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
6844,r058,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,S,,,,,,,,,,
6844,r059,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Asian,5,51000,17000,14000,1000,S,28000,27000,,7000,4000,3000
6844,r060,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Black or African American,5,11000,5000,4000,,,2000,2000,,4000,2000,2000
6844,r061,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,S,0.05,0.05,,,,,,,,
6844,r062,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,White,5,265000,119000,110000,5000,4000,98000,73000,24000,49000,26000,23000
6844,r063,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,More than one race,5,7000,2000,2000,,,S,S,,2000,S,1000
6844,r064,All occupations -> S&E occupations -> Physical and related scientists -> Without disability,All occupations,S&E occupations,Physical and related scientists,Without disability,,4,332000,139000,128000,6000,6000,125000,99000,26000,68000,39000,29000
6844,r065,All occupations -> S&E occupations -> Physical and related scientists -> With disability,All occupations,S&E occupations,Physical and related scientists,With disability,,4,34000,15000,13000,1000,,11000,11000,,8000,3000,5000
6844,r066,All occupations -> S&E occupations -> Social and related scientists,All occupations,S&E occupations,Social and related scientists,,,3,646000,253000,151000,44000,57000,297000,221000,76000,95000,52000,43000
6844,r067,All occupations -> S&E occupations -> Social and related scientists -> Female,All occupations,S&E occupations,Social and related scientists,Female,,4,379000,139000,69000,26000,43000,187000,134000,54000,54000,25000,29000
6844,r068,All occupations -> S&E occupations -> Social and related scientists -> Male,All occupations,S&E occupations,Social and related scientists,Male,,4,266000,114000,82000,18000,14000,110000,88000,23000,41000,27000,15000
6844,r069,All occupations -> S&E occupations -> Social and related scientists -> Hispanic or Latino,All occupations,S&E occupations,Social and related scientists,Hispanic or Latino,,4,95000,S,S,7000,3000,25000,15000,S,17000,1000,16000
6844,r070,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
6844,r071,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,S,S,,,,0.05,0.05,,0.05,,
6844,r072,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Asian,5,38000,13000,9000,3000,2000,23000,19000,3000,2000,1000,1000
6844,r073,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Black or African American,5,48000,6000,3000,2000,2000,31000,25000,6000,11000,S,2000
6844,r074,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,S,,,,,,,,,,
6844,r075,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,White,5,451000,176000,94000,33000,49000,212000,157000,55000,63000,41000,22000
6844,r076,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,More than one race,5,10000,3000,1000,0.05,S,5000,4000,1000,2000,0.05,S
6844,r077,All occupations -> S&E occupations -> Social and related scientists -> Without disability,All occupations,S&E occupations,Social and related scientists,Without disability,,4,559000,208000,113000,43000,52000,261000,193000,69000,89000,49000,40000
6844,r078,All occupations -> S&E occupations -> Social and related scientists -> With disability,All occupations,S&E occupations,Social and related scientists,With disability,,4,87000,S,S,1000,5000,36000,28000,8000,6000,3000,S
6844,r079,All occupations -> S&E occupations -> Engineers,All occupations,S&E occupations,Engineers,,,3,1728000,1387000,1314000,32000,42000,122000,116000,6000,218000,115000,103000
6844,r080,All occupations -> S&E occupations -> Engineers -> Female,All occupations,S&E occupations,Engineers,Female,,4,269000,200000,190000,6000,4000,26000,25000,,43000,22000,21000
6844,r081,All occupations -> S&E occupations -> Engineers -> Male,All occupations,S&E occupations,Engineers,Male,,4,1459000,1187000,1124000,26000,37000,97000,91000,6000,175000,93000,82000
6844,r082,All occupations -> S&E occupations -> Engineers -> Hispanic or Latino,All occupations,S&E occupations,Engineers,Hispanic or Latino,,4,143000,116000,108000,5000,2000,6000,6000,,22000,9000,13000
6844,r083,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,,4,,,,,,,,,,,
6844,r084,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,American Indian or Alaska Native,5,5000,4000,4000,,,,,,,,
6844,r085,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Asian,5,283000,217000,211000,3000,3000,41000,41000,1000,24000,10000,14000
6844,r086,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Black or African American,5,62000,46000,45000,S,,4000,3000,,11000,5000,6000
6844,r087,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,8000,6000,6000,,,,,,,,
6844,r088,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,White,5,1196000,975000,917000,22000,35000,67000,63000,4000,154000,86000,68000
6844,r089,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,More than one race,5,31000,23000,23000,,0.05,2000,2000,,6000,4000,2000
6844,r090,All occupations -> S&E occupations -> Engineers -> Without disability,All occupations,S&E occupations,Engineers,Without disability,,4,1548000,1248000,1184000,28000,36000,108000,103000,6000,191000,105000,87000
6844,r091,All occupations -> S&E occupations -> Engineers -> With disability,All occupations,S&E occupations,Engineers,With disability,,4,180000,139000,130000,4000,5000,14000,14000,,27000,10000,16000
6844,r092,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,,2,8271000,5869000,3842000,1656000,371000,1759000,595000,1165000,643000,314000,330000
6844,r093,All occupations -> S&E-related occupations -> Female,All occupations,S&E-related occupations,Female,,,3,4764000,3318000,1904000,1205000,209000,1101000,370000,731000,346000,141000,205000
6844,r094,All occupations -> S&E-related occupations -> Male,All occupations,S&E-related occupations,Male,,,3,3507000,2551000,1938000,451000,162000,658000,225000,434000,298000,173000,125000
6844,r095,All occupations -> S&E-related occupations -> Hispanic or Latino,All occupations,S&E-related occupations,Hispanic or Latino,,,3,702000,489000,339000,106000,44000,137000,45000,93000,75000,31000,45000
6844,r096,All occupations -> S&E-related occupations -> Not Hispanic or Latino,All occupations,S&E-related occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
6844,r097,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E-related occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,28000,13000,7000,S,,S,,1000,S,S,S
6844,r098,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Asian,All occupations,S&E-related occupations,Not Hispanic or Latino,Asian,,4,1042000,812000,587000,192000,33000,146000,106000,40000,84000,43000,41000
6844,r099,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Black or African American,All occupations,S&E-related occupations,Not Hispanic or Latino,Black or African American,,4,610000,422000,253000,155000,14000,107000,20000,87000,81000,46000,35000
6844,r100,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E-related occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,16000,9000,4000,5000,,S,S,1000,S,,S
6844,r101,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> White,All occupations,S&E-related occupations,Not Hispanic or Latino,White,,4,5726000,4026000,2599000,1154000,273000,1325000,406000,919000,375000,180000,195000
6844,r102,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> More than one race,All occupations,S&E-related occupations,Not Hispanic or Latino,More than one race,,4,147000,97000,53000,40000,5000,35000,11000,24000,15000,6000,8000
6844,r103,All occupations -> S&E-related occupations -> Without disability,All occupations,S&E-related occupations,Without disability,,,3,7532000,5358000,3489000,1550000,320000,1596000,557000,1039000,579000,275000,304000
6844,r104,All occupations -> S&E-related occupations -> With disability,All occupations,S&E-related occupations,With disability,,,3,739000,511000,353000,106000,51000,164000,38000,126000,65000,39000,26000
6844,r105,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,,2,33183000,22753000,17324000,2783000,2646000,7050000,1582000,5468000,3379000,1205000,2174000
6844,r106,All occupations -> Non-S&E occupations -> Female,All occupations,Non-S&E occupations,Female,,,3,18170000,11125000,7877000,1914000,1333000,5386000,1035000,4352000,1658000,521000,1138000
6844,r107,All occupations -> Non-S&E occupations -> Male,All occupations,Non-S&E occupations,Male,,,3,15013000,11628000,9447000,869000,1312000,1664000,547000,1117000,1721000,684000,1037000
6844,r108,All occupations -> Non-S&E occupations -> Hispanic or Latino,All occupations,Non-S&E occupations,Hispanic or Latino,,,3,3073000,1947000,1552000,232000,162000,767000,106000,661000,359000,128000,230000
6844,r109,All occupations -> Non-S&E occupations -> Not Hispanic or Latino,All occupations,Non-S&E occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
6844,r110,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,Non-S&E occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,80000,37000,29000,4000,4000,23000,S,17000,20000,S,15000
6844,r111,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Asian,All occupations,Non-S&E occupations,Not Hispanic or Latino,Asian,,4,2118000,1622000,1379000,118000,125000,274000,113000,161000,223000,71000,151000
6844,r112,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Black or African American,All occupations,Non-S&E occupations,Not Hispanic or Latino,Black or African American,,4,2813000,1533000,1142000,281000,110000,702000,174000,528000,577000,217000,360000
6844,r113,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,Non-S&E occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,97000,73000,43000,19000,S,11000,S,4000,14000,S,13000
6844,r114,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> White,All occupations,Non-S&E occupations,Not Hispanic or Latino,White,,4,24313000,17084000,12813000,2074000,2197000,5109000,1140000,3969000,2119000,743000,1376000
6844,r115,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> More than one race,All occupations,Non-S&E occupations,Not Hispanic or Latino,More than one race,,4,689000,458000,365000,56000,37000,163000,35000,128000,68000,40000,28000
6844,r116,All occupations -> Non-S&E occupations -> Without disability,All occupations,Non-S&E occupations,Without disability,,,3,28958000,19880000,15187000,2428000,2264000,6121000,1388000,4733000,2957000,1019000,1938000
6844,r117,All occupations -> Non-S&E occupations -> With disability,All occupations,Non-S&E occupations,With disability,,,3,4225000,2874000,2137000,355000,381000,929000,194000,736000,422000,186000,237000
