table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
2830,r012,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",,2,"['380', '1.4']","['408', '1.8']","['723', '2.2']","['65', '0.4']","['73', '2.7']","['D', 'D']","['37', '1.1']","['77', '3.3']","['503', '2.1']","['26', '2.3']","['D', 'D']","['1', '0.7']"
2830,r013,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",,2,"['335', '1.2']","['442', '1.9']","['719', '2.1']","['58', '0.3']","['74', '2.8']","['5', '4.8']","['34', '1.0']","['82', '3.5']","['484', '2.1']","['23', '2.1']","['11', '3.7']","['6', '4.2']"
2830,r014,"Cumulative debt -> $90,001&#8211;$100,000",Cumulative debt,"$90,001&#8211;$100,000",,2,"['459', '1.7']","['539', '2.3']","['913', '2.7']","['84', '0.5']","['86', '3.2']","['6', '5.8']","['56', '1.7']","['109', '4.6']","['604', '2.6']","['39', '3.5']","['9', '3.1']","['4', '2.8']"
2830,r015,"Cumulative debt -> $100,001&#8211;$120,000",Cumulative debt,"$100,001&#8211;$120,000",,2,"['478', '1.7']","['567', '2.4']","['960', '2.9']","['80', '0.5']","['118', '4.4']","['D', 'D']","['32', '1.0']","['178', '7.5']","['595', '2.5']","['24', '2.2']","['D', 'D']","['1', '0.7']"
2830,r016,"Cumulative debt -> $120,001&#8211;$140,000",Cumulative debt,"$120,001&#8211;$140,000",,2,"['343', '1.2']","['410', '1.8']","['695', '2.1']","['54', '0.3']","['78', '2.9']","['D', 'D']","['20', '0.6']","['129', '5.4']","['415', '1.8']","['35', '3.2']","['D', 'D']","['4', '2.8']"
2830,r017,"Cumulative debt -> $140,001&#8211;$160,000",Cumulative debt,"$140,001&#8211;$160,000",,2,"['241', '0.9']","['343', '1.5']","['528', '1.6']","['53', '0.3']","['45', '1.7']","['D', 'D']","['17', '0.5']","['97', '4.1']","['335', '1.4']","['30', '2.7']","['D', 'D']","['1', '0.7']"
2830,r018,"Cumulative debt -> $160,001 or more",Cumulative debt,"$160,001 or more",,2,"['874', '3.2']","['1,250', '5.4']","['1,867', '5.6']","['248', '1.4']","['188', '7.0']","['8', '7.7']","['68', '2.1']","['490', '20.7']","['1,022', '4.4']","['70', '6.3']","['11', '3.7']","['10', '7.0']"
2830,r019,Cumulative debt -> Total,Cumulative debt,Total,,2,"['27,642', '100.0']","['23,228', '100.0']","['33,461', '100.0']","['17,221', '100.0']","['2,685', '100.0']","['104', '100.0']","['3,301', '100.0']","['2,369', '100.0']","['23,456', '100.0']","['1,109', '100.0']","['295', '100.0']","['142', '100.0']"
2830,r020,Cumulative debt -> Graduate debt,Cumulative debt,Graduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
2830,r021,Cumulative debt -> Graduate debt -> Mean,Cumulative debt,Graduate debt,Mean,3,"['$14,242', '']","['$21,754', '']","['$23,359', '']","['$6,613', '']","['$29,834', '']","['$36,311', '']","['$10,190', '']","['$61,436', '']","['$20,405', '']","['$26,777', '']","['$21,866', '']","['$28,063', '']"
2830,r022,Cumulative debt -> Graduate debt -> ,Cumulative debt,Graduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
2830,r023,Cumulative debt -> Graduate debt -> No debt,Cumulative debt,Graduate debt,No debt,3,"['19,754', '71.6']","['14,992', '64.7']","['20,590', '61.6']","['14,031', '81.6']","['1,371', '51.1']","['38', '36.9']","['2,617', '79.4']","['674', '28.5']","['14,976', '63.9']","['661', '59.8']","['179', '61.3']","['74', '52.1']"
2830,r024,"Cumulative debt -> Graduate debt -> $10,000 or less",Cumulative debt,Graduate debt,"$10,000 or less",3,"['1,965', '7.1']","['1,516', '6.5']","['2,233', '6.7']","['1,231', '7.2']","['206', '7.7']","['7', '6.8']","['170', '5.2']","['133', '5.6']","['1,623', '6.9']","['60', '5.4']","['21', '7.2']","['13', '9.2']"
2830,r025,"Cumulative debt -> Graduate debt -> $10,001&#8211;$20,000",Cumulative debt,Graduate debt,"$10,001&#8211;$20,000",3,"['1,216', '4.4']","['1,006', '4.3']","['1,626', '4.9']","['589', '3.4']","['165', '6.1']","['11', '10.7']","['103', '3.1']","['115', '4.9']","['1,153', '4.9']","['59', '5.3']","['15', '5.1']","['5', '3.5']"
2830,r026,"Cumulative debt -> Graduate debt -> $20,001&#8211;$30,000",Cumulative debt,Graduate debt,"$20,001&#8211;$30,000",3,"['793', '2.9']","['780', '3.4']","['1,265', '3.8']","['300', '1.7']","['136', '5.1']","['6', '5.8']","['75', '2.3']","['118', '5.0']","['872', '3.7']","['42', '3.8']","['10', '3.4']","['6', '4.2']"
2830,r027,"Cumulative debt -> Graduate debt -> $30,001&#8211;$40,000",Cumulative debt,Graduate debt,"$30,001&#8211;$40,000",3,"['554', '2.0']","['574', '2.5']","['936', '2.8']","['189', '1.1']","['98', '3.7']","['9', '8.7']","['42', '1.3']","['100', '4.2']","['637', '2.7']","['36', '3.3']","['7', '2.4']","['7', '4.9']"
2830,r028,"Cumulative debt -> Graduate debt -> $40,001&#8211;$50,000",Cumulative debt,Graduate debt,"$40,001&#8211;$50,000",3,"['448', '1.6']","['473', '2.0']","['773', '2.3']","['145', '0.8']","['78', '2.9']","['D', 'D']","['36', '1.1']","['103', '4.4']","['514', '2.2']","['23', '2.1']","['D', 'D']","['9', '6.3']"
2830,r029,"Cumulative debt -> Graduate debt -> $50,001&#8211;$60,000",Cumulative debt,Graduate debt,"$50,001&#8211;$60,000",3,"['401', '1.5']","['462', '2.0']","['738', '2.2']","['122', '0.7']","['92', '3.4']","['6', '5.8']","['37', '1.1']","['98', '4.2']","['467', '2.0']","['28', '2.5']","['6', '2.1']","['4', '2.8']"
2830,r030,"Cumulative debt -> Graduate debt -> $60,001&#8211;$70,000",Cumulative debt,Graduate debt,"$60,001&#8211;$70,000",3,"['334', '1.2']","['431', '1.9']","['692', '2.1']","['70', '0.4']","['73', '2.7']","['D', 'D']","['32', '1.0']","['101', '4.3']","['449', '1.9']","['25', '2.3']","['D', 'D']","['3', '2.1']"
2830,r031,"Cumulative debt -> Graduate debt -> $70,001&#8211;$80,000",Cumulative debt,Graduate debt,"$70,001&#8211;$80,000",3,"['276', '1.0']","['342', '1.5']","['562', '1.7']","['56', '0.3']","['60', '2.2']","['6', '5.8']","['25', '0.8']","['82', '3.5']","['364', '1.6']","['18', '1.6']","['5', '1.7']","['2', '1.4']"
2830,r032,"Cumulative debt -> Graduate debt -> $80,001&#8211;$90,000",Cumulative debt,Graduate debt,"$80,001&#8211;$90,000",3,"['238', '0.9']","['303', '1.3']","['505', '1.5']","['36', '0.2']","['58', '2.2']","['D', 'D']","['24', '0.7']","['74', '3.1']","['323', '1.4']","['12', '1.1']","['D', 'D']","['5', '3.5']"
2830,r033,"Cumulative debt -> Graduate debt -> $90,001&#8211;$100,000",Cumulative debt,Graduate debt,"$90,001&#8211;$100,000",3,"['310', '1.1']","['410', '1.8']","['640', '1.9']","['79', '0.5']","['57', '2.1']","['D', 'D']","['33', '1.0']","['118', '5.0']","['403', '1.7']","['18', '1.6']","['D', 'D']","['3', '2.1']"
2830,r034,"Cumulative debt -> Graduate debt -> $100,001&#8211;$120,000",Cumulative debt,Graduate debt,"$100,001&#8211;$120,000",3,"['313', '1.1']","['469', '2.0']","['726', '2.2']","['53', '0.3']","['80', '3.0']","['6', '5.8']","['29', '0.9']","['129', '5.5']","['449', '1.9']","['27', '2.4']","['5', '1.7']","['1', '0.7']"
2830,r035,"Cumulative debt -> Graduate debt -> $120,001&#8211;$140,000",Cumulative debt,Graduate debt,"$120,001&#8211;$140,000",3,"['215', '0.8']","['301', '1.3']","['472', '1.4']","['42', '0.2']","['50', '1.9']","['D', 'D']","['13', '0.4']","['109', '4.6']","['259', '1.1']","['33', '3.0']","['D', 'D']","['0', '0.0']"
2830,r036,"Cumulative debt -> Graduate debt -> $140,001&#8211;$160,000",Cumulative debt,Graduate debt,"$140,001&#8211;$160,000",3,"['177', '0.6']","['262', '1.1']","['398', '1.2']","['38', '0.2']","['39', '1.5']","['D', 'D']","['9', '0.3']","['79', '3.3']","['252', '1.1']","['15', '1.4']","['D', 'D']","['2', '1.4']"
2830,r037,"Cumulative debt -> Graduate debt -> $160,001 or more",Cumulative debt,Graduate debt,"$160,001 or more",3,"['603', '2.2']","['865', '3.7']","['1,255', '3.8']","['206', '1.2']","['120', '4.5']","['D', 'D']","['52', '1.6']","['328', '13.9']","['686', '2.9']","['49', '4.4']","['D', 'D']","['8', '5.6']"
2830,r038,Cumulative debt -> Graduate debt -> Total,Cumulative debt,Graduate debt,Total,3,"['27,597', '100.0']","['23,186', '100.0']","['33,411', '100.0']","['17,187', '100.0']","['2,683', '100.0']","['103', '100.0']","['3,297', '100.0']","['2,361', '100.0']","['23,427', '100.0']","['1,106', '100.0']","['292', '100.0']","['142', '100.0']"
2830,r039,Cumulative debt -> Undergraduate debt,Cumulative debt,Undergraduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
2830,r040,Cumulative debt -> Undergraduate debt -> Mean,Cumulative debt,Undergraduate debt,Mean,3,"['$7,806', '']","['$9,338', '']","['$11,870', '']","['$1,993', '']","['$14,568', '']","['$16,731', '']","['$5,732', '']","['$22,899', '']","['$11,288', '']","['$12,753', '']","['$9,386', '']","['$10,647', '']"
2830,r041,Cumulative debt -> Undergraduate debt -> ,Cumulative debt,Undergraduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
2830,r042,Cumulative debt -> Undergraduate debt -> No debt,Cumulative debt,Undergraduate debt,No debt,3,"['20,439', '74.0']","['16,332', '70.4']","['21,009', '62.9']","['15,612', '90.7']","['1,448', '54.0']","['54', '51.9']","['2,559', '77.6']","['1,016', '43.0']","['14,964', '63.9']","['678', '61.2']","['203', '69.3']","['87', '62.6']"
2830,r043,"Cumulative debt -> Undergraduate debt -> $10,000 or less",Cumulative debt,Undergraduate debt,"$10,000 or less",3,"['1,727', '6.3']","['1,541', '6.6']","['2,536', '7.6']","['727', '4.2']","['302', '11.3']","['9', '8.7']","['221', '6.7']","['207', '8.8']","['1,675', '7.1']","['83', '7.5']","['23', '7.8']","['16', '11.5']"
2830,r044,"Cumulative debt -> Undergraduate debt -> $10,001&#8211;$20,000",Cumulative debt,Undergraduate debt,"$10,001&#8211;$20,000",3,"['1,475', '5.3']","['1,403', '6.0']","['2,575', '7.7']","['296', '1.7']","['238', '8.9']","['10', '9.6']","['200', '6.1']","['193', '8.2']","['1,811', '7.7']","['96', '8.7']","['17', '5.8']","['10', '7.2']"
2830,r045,"Cumulative debt -> Undergraduate debt -> $20,001&#8211;$30,000",Cumulative debt,Undergraduate debt,"$20,001&#8211;$30,000",3,"['1,213', '4.4']","['1,125', '4.9']","['2,137', '6.4']","['193', '1.1']","['176', '6.6']","['9', '8.7']","['106', '3.2']","['209', '8.9']","['1,539', '6.6']","['72', '6.5']","['18', '6.1']","['8', '5.8']"
2830,r046,"Cumulative debt -> Undergraduate debt -> $30,001&#8211;$40,000",Cumulative debt,Undergraduate debt,"$30,001&#8211;$40,000",3,"['883', '3.2']","['832', '3.6']","['1,587', '4.7']","['124', '0.7']","['157', '5.9']","['D', 'D']","['D', 'D']","['169', '7.2']","['1,133', '4.8']","['48', '4.3']","['9', '3.1']","['6', '4.3']"
2830,r047,"Cumulative debt -> Undergraduate debt -> $40,001&#8211;$50,000",Cumulative debt,Undergraduate debt,"$40,001&#8211;$50,000",3,"['529', '1.9']","['522', '2.3']","['977', '2.9']","['72', '0.4']","['95', '3.5']","['D', 'D']","['D', 'D']","['128', '5.4']","['652', '2.8']","['44', '4.0']","['5', '1.7']","['5', '3.6']"
2830,r048,"Cumulative debt -> Undergraduate debt -> $50,001&#8211;$60,000",Cumulative debt,Undergraduate debt,"$50,001&#8211;$60,000",3,"['403', '1.5']","['412', '1.8']","['758', '2.3']","['55', '0.3']","['87', '3.2']","['D', 'D']","['D', 'D']","['123', '5.2']","['494', '2.1']","['16', '1.4']","['6', '2.0']","['0', '0.0']"
2830,r049,"Cumulative debt -> Undergraduate debt -> $60,001&#8211;$70,000",Cumulative debt,Undergraduate debt,"$60,001&#8211;$70,000",3,"['249', '0.9']","['253', '1.1']","['479', '1.4']","['22', '0.1']","['38', '1.4']","['7', '6.7']","['16', '0.5']","['69', '2.9']","['335', '1.4']","['12', '1.1']","['1', '0.3']","['1', '0.7']"
2830,r050,"Cumulative debt -> Undergraduate debt -> $70,001&#8211;$80,000",Cumulative debt,Undergraduate debt,"$70,001&#8211;$80,000",3,"['161', '0.6']","['203', '0.9']","['348', '1.0']","['14', '0.1']","['34', '1.3']","['0', '0.0']","['14', '0.4']","['52', '2.2']","['229', '1.0']","['18', '1.6']","['1', '0.3']","['0', '0.0']"
2830,r051,"Cumulative debt -> Undergraduate debt -> $80,001&#8211;$90,000",Cumulative debt,Undergraduate debt,"$80,001&#8211;$90,000",3,"['124', '0.4']","['148', '0.6']","['255', '0.8']","['16', '0.1']","['23', '0.9']","['0', '0.0']","['12', '0.4']","['44', '1.9']","['162', '0.7']","['9', '0.8']","['3', '1.0']","['2', '1.4']"
2830,r052,"Cumulative debt -> Undergraduate debt -> $90,001 or more",Cumulative debt,Undergraduate debt,"$90,001 or more",3,"['408', '1.5']","['423', '1.8']","['756', '2.3']","['73', '0.4']","['85', '3.2']","['D', 'D']","['D', 'D']","['151', '6.4']","['438', '1.9']","['32', '2.9']","['7', '2.4']","['4', '2.9']"
2830,r053,Cumulative debt -> Undergraduate debt -> Total,Cumulative debt,Undergraduate debt,Total,3,"['27,611', '100.0']","['23,194', '100.0']","['33,417', '100.0']","['17,204', '100.0']","['2,683', '100.0']","['104', '100.0']","['3,297', '100.0']","['2,361', '100.0']","['23,432', '100.0']","['1,108', '100.0']","['293', '100.0']","['139', '100.0']"
