table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expendituresa,field_intramural_performersb,field_extramural_performersc_total,field_extramural_performersc_academic_institutions,field_extramural_performersc_companies_and_individualsd,field_extramural_performersc_othere,field_r_d_plant
5219,r037,United States<sup>f</sup> -> Ohio,United States<sup>f</sup>,Ohio,2,76169661,2005523,74164138,13019832,59204085,1940221,0
5219,r038,United States<sup>f</sup> -> Oklahoma,United States<sup>f</sup>,Oklahoma,2,30050338,2015986,28034352,23164214,4725430,144708,243500
5219,r039,United States<sup>f</sup> -> Oregon,United States<sup>f</sup>,Oregon,2,30486113,15852036,14634077,8242868,5432004,959205,700000
5219,r040,United States<sup>f</sup> -> Pennsylvania,United States<sup>f</sup>,Pennsylvania,2,103098941,7874722,95224219,49572795,10787775,34863649,0
5219,r041,United States<sup>f</sup> -> Rhode Island,United States<sup>f</sup>,Rhode Island,2,4594040,3098833,1495207,453781,765104,276322,46478
5219,r042,United States<sup>f</sup> -> South Carolina,United States<sup>f</sup>,South Carolina,2,46800816,27894342,18906474,3882230,415414,14608830,450
5219,r043,United States<sup>f</sup> -> South Dakota,United States<sup>f</sup>,South Dakota,2,2913274,327346,2585928,1701100,599828,285000,0
5219,r044,United States<sup>f</sup> -> Tennessee,United States<sup>f</sup>,Tennessee,2,7039923,1607509,5432414,4574469,203125,654820,0
5219,r045,United States<sup>f</sup> -> Texas,United States<sup>f</sup>,Texas,2,205206977,3165023,202041954,142333450,29339059,30369445,0
5219,r046,United States<sup>f</sup> -> Utah,United States<sup>f</sup>,Utah,2,9205399,6070743,3134656,2334907,799749,0,4900
5219,r047,United States<sup>f</sup> -> Vermont,United States<sup>f</sup>,Vermont,2,1669900,633399,1036501,658425,286478,91598,0
5219,r048,United States<sup>f</sup> -> Virginia,United States<sup>f</sup>,Virginia,2,35552565,12627565,22925000,16656350,3646989,2621661,1190001
5219,r049,United States<sup>f</sup> -> Washington,United States<sup>f</sup>,Washington,2,57239095,23415061,33824034,18119799,3934366,11769869,596898
5219,r050,United States<sup>f</sup> -> West Virginia,United States<sup>f</sup>,West Virginia,2,10862315,3317637,7544678,7465577,77744,1357,0
5219,r051,United States<sup>f</sup> -> Wisconsin,United States<sup>f</sup>,Wisconsin,2,14340014,4674607,9665407,2868505,4440854,2356048,0
5219,r052,United States<sup>f</sup> -> Wyoming,United States<sup>f</sup>,Wyoming,2,6391060,2875496,3515564,903812,2462822,148930,0
