table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5540,r011,R&D and R&D plant ->    Department of Energy ->    Advanced Research Projects Agency-Climate (ARPA-C),R&D and R&D plant,   Department of Energy,   Advanced Research Projects Agency-Climate (ARPA-C),,,3,na,na,180,-,-
5540,r012,R&D and R&D plant ->    Department of Energy ->    Clean Energy Demonstration,R&D and R&D plant,   Department of Energy,   Clean Energy Demonstration,,,3,na,na,387,-,-
5540,r013,R&D and R&D plant ->    Department of Energy ->    Bonneville Power Administration Fund,R&D and R&D plant,   Department of Energy,   Bonneville Power Administration Fund,,,3,2,2,2,0.0,0.0
5540,r014,R&D and R&D plant ->    Tennessee Valley Authority,R&D and R&D plant,   Tennessee Valley Authority,,,,2,8,11,11,37.5,0.0
5540,r015,"R&D and R&D plant -> Energy information, policy, and regulation (276)",R&D and R&D plant,"Energy information, policy, and regulation (276)",,,,2,69,66,75,-4.3,13.6
5540,r016,R&D and R&D plant ->    Nuclear Regulatory Commission,R&D and R&D plant,   Nuclear Regulatory Commission,,,,2,69,66,75,-4.3,13.6
5540,r017,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,4391,4433,6257,0.9,41.1
5540,r018,R&D and R&D plant ->    Energy supply (271),R&D and R&D plant,   Energy supply (271),,,,2,4322,4367,6182,1.0,41.6
5540,r019,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy,R&D and R&D plant,   Energy supply (271),   Department of Energy,,,3,4314,4356,6171,1.0,41.7
5540,r020,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Energy programs,R&D and R&D plant,   Energy supply (271),   Department of Energy,   Energy programs,,4,3922,3962,5139,1.0,29.7
5540,r021,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Energy programs ->    Energy efficiency and renewable energy,R&D and R&D plant,   Energy supply (271),   Department of Energy,   Energy programs,   Energy efficiency and renewable energy,5,1957,2004,2898,2.4,44.6
5540,r022,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Energy programs ->    Fossil energy,R&D and R&D plant,   Energy supply (271),   Department of Energy,   Energy programs,   Fossil energy,5,680,692,822,1.6,18.9
5540,r023,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Energy programs ->    Nuclear energy,R&D and R&D plant,   Energy supply (271),   Department of Energy,   Energy programs,   Nuclear energy,5,1096,1057,1163,-3.5,10.0
5540,r024,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Energy programs ->    Electricity delivery,R&D and R&D plant,   Energy supply (271),   Department of Energy,   Energy programs,   Electricity delivery,5,154,146,186,-5.0,27.5
5540,r025,"R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Energy programs ->    Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,   Energy supply (271),   Department of Energy,   Energy programs,"   Cybersecurity, Energy Security, and Emergency Response",5,36,63,70,76.1,11.5
5540,r026,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Advanced Research Projects Agency-Energy (ARPA-E),R&D and R&D plant,   Energy supply (271),   Department of Energy,   Advanced Research Projects Agency-Energy (ARPA-E),,4,390,392,463,0.5,18.1
5540,r027,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Advanced Research Projects Agency-Climate (ARPA-C),R&D and R&D plant,   Energy supply (271),   Department of Energy,   Advanced Research Projects Agency-Climate (ARPA-C),,4,na,na,180,-,-
5540,r028,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Clean Energy Demonstration,R&D and R&D plant,   Energy supply (271),   Department of Energy,   Clean Energy Demonstration,,4,na,na,387,-,-
5540,r029,R&D and R&D plant ->    Energy supply (271) ->    Department of Energy ->    Bonneville Power Administration Fund,R&D and R&D plant,   Energy supply (271),   Department of Energy,   Bonneville Power Administration Fund,,4,2,2,2,0.0,0.0
5540,r030,R&D and R&D plant ->    Energy supply (271) ->    Tennessee Valley Authority,R&D and R&D plant,   Energy supply (271),   Tennessee Valley Authority,,,3,8,11,11,37.5,0.0
5540,r031,"R&D and R&D plant ->    Energy supply (271) -> Energy information, policy, and regulation (271)",R&D and R&D plant,   Energy supply (271),"Energy information, policy, and regulation (271)",,,3,69,66,75,-4.3,13.6
5540,r032,R&D and R&D plant ->    Energy supply (271) ->    Nuclear Regulatory Commission (276),R&D and R&D plant,   Energy supply (271),   Nuclear Regulatory Commission (276),,,3,69,66,75,-4.3,13.6
