table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_structures,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
1422,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['45,894', '  ']","['1,444', '  ']","['103', '  ']","['884', '  ']","['181', '  ']","['275', ' ']"
1422,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['17,904', '  ']","['890', '  ']","['494', '  ']","['277', '  ']","['63', '  ']","['55', ' ']"
1422,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,"['17,141', '  ']","['887', '  ']","['494', '  ']","['275', '  ']","['63', '  ']","['54', ' ']"
1422,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419","['764', '  ']","['4', 'i ']","['*', 'i ']","['2', 'i ']","['0', '  ']","['2', 'i']"
1422,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components ",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components ",,4,336992,"['4', '  ']","['*', '  ']","['*', 'i ']","['*', '  ']","['*', 'i ']","['*', 'i']"
1422,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,786', '  ']","['179', 'i ']","['3', '  ']","['73', 'i ']","['6', 'i ']","['97', 'i']"
1422,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['1,184', '  ']","['48', 'i ']","['*', '  ']","['38', 'i ']","['7', 'i ']","['4', 'i']"
1422,r043,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['9,989', '  ']","['776', '  ']","['14', '  ']","['418', '  ']","['213', '  ']","['131', ' ']"
1422,r044,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['7,544', '  ']","['647', '  ']","['13', '  ']","['358', '  ']","['210', '  ']","['66', ' ']"
1422,r045,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['2,445', 'i ']","['129', 'i ']","['1', 'i ']","['60', 'i ']","['3', 'i ']","['66', 'i']"
1422,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['324,977', '  ']","['10,299', '  ']","['602', '  ']","['3,463', 'i ']","['4,943', '  ']","['1,292', ' ']"
1422,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['24,583', '  ']","['339', '  ']","['139', '  ']","['90', '  ']","['81', '  ']","['29', ' ']"
1422,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['86,048', '  ']","['86', '  ']","['6', '  ']","['37', '  ']","['*', '  ']","['42', ' ']"
1422,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['31,670', 'i ']","['9', 'i ']","['*', 'i ']","['9', 'i ']","['*', 'i ']","['*', ' ']"
1422,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['10,838', 'i ']","['238', 'i ']","['12', 'i ']","['184', 'i ']","['36', 'i ']","['6', 'i']"
1422,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['20,649', '  ']","['52', '  ']","['0', '  ']","['2', '  ']","['49', '  ']","['1', ' ']"
1422,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['95,151', '  ']","['4,807', '  ']","['288', '  ']","['1,843', '  ']","['2,027', '  ']","['649', ' ']"
1422,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['13,762', '  ']","['1,656', '  ']","['177', '  ']","['915', '  ']","['187', '  ']","['377', ' ']"
1422,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['221', 'i ']","['14', 'i ']","['1', 'i ']","['7', 'i ']","['2', 'i ']","['3', 'i']"
1422,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['13,541', '  ']","['1,642', '  ']","['176', '  ']","['907', '  ']","['185', '  ']","['374', ' ']"
1422,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['58,713', '  ']","['1,559', '  ']","['1', '  ']","['450', 'i ']","['1,073', '  ']","['36', 'i']"
1422,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['7,577', '  ']","['961', '  ']","['38', 'i ']","['215', '  ']","['594', '  ']","['115', ' ']"
1422,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['15,100', '  ']","['631', 'i ']","['72', 'i ']","['263', 'i ']","['174', 'i ']","['121', 'i']"
1422,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['14,385', 'i ']","['2,187', '  ']","['36', '  ']","['189', '  ']","['1,696', '  ']","['265', ' ']"
1422,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['799', 'i ']","['50', 'i ']","['*', 'i ']","['1', 'i ']","['49', 'i ']","['*', 'i']"
1422,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['12', 'i ']","['1', 'i ']","['*', '  ']","['*', 'i ']","['1', 'i ']","['*', ' ']"
1422,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['787', 'i ']","['50', 'i ']","['*', 'i ']","['1', 'i ']","['48', 'i ']","['*', 'i']"
1422,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['19,514', '  ']","['2,152', 'i ']","['114', 'i ']","['934', 'i ']","['809', 'i ']","['296', 'i']"
1422,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,521', '  ']","['39', '  ']","['2', '  ']","['15', '  ']","['19', '  ']","['4', ' ']"
1422,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['7,215', 'i ']","['1,464', 'i ']","['66', 'i ']","['670', 'i ']","['586', 'i ']","['143', 'i']"
1422,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,552', '  ']","['348', '  ']","['39', '  ']","['186', '  ']","['16', '  ']","['107', ' ']"
1422,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['577', '  ']","['D', '  ']","['12', '  ']","['61', '  ']","['D', '  ']","['11', ' ']"
1422,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['959', '  ']","['255', '  ']","['27', '  ']","['121', '  ']","['11', '  ']","['96', ' ']"
1422,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['16', '  ']","['D', '  ']","['1', '  ']","['3', '  ']","['D', '  ']","['1', ' ']"
1422,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['9,226', '  ']","['301', 'i ']","['7', 'i ']","['63', 'i ']","['188', '  ']","['42', 'i']"
