table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
8797,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['91', '  ']"
8797,r074,All business activities -> Software publishers (except Internet),All business activities,Software publishers (except Internet),2,51120,"['30,457', '  ']"
8797,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['86', '  ']"
8797,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['0 - 18,774', 'i ']"
8797,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['504', '  ']"
8797,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['2,414', '  ']"
8797,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['386', '  ']"
8797,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['501', '  ']"
8797,r081,"All business activities -> Data processing, hosting, and related services",All business activities,"Data processing, hosting, and related services",2,51800,"['12,535', '  ']"
8797,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['47,668', '  ']"
8797,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals",2,51910,"['60,959', '  ']"
8797,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['9,028', '  ']"
8797,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['2,061', '  ']"
8797,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['2,968', '  ']"
8797,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['372', '  ']"
8797,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['2,925', '  ']"
8797,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['75', '  ']"
8797,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['2,597', '  ']"
8797,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['2,604', '  ']"
8797,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['196', '  ']"
8797,r093,All business activities -> Computer systems design and related services,All business activities,Computer systems design and related services,2,54150,"['17,430', '  ']"
8797,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['2,001', '  ']"
8797,r095,All business activities -> Research and development services in the social sciences and humanities,All business activities,Research and development services in the social sciences and humanities,2,54172,"['37 - 3,996', '  ']"
8797,r096,All business activities -> Research and development services in biotechnology,All business activities,Research and development services in biotechnology,2,54173,"['1,619', '  ']"
8797,r097,"All business activities -> Research and development services in the physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in the physical, engineering, and life sciences (except biotechnology)",2,54174,"['5,835', '  ']"
8797,r098,All business activities -> Research and development services in nanotechnology,All business activities,Research and development services in nanotechnology,2,54175,"['122', 'i ']"
8797,r099,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['1,277 - 5,236', 'i ']"
8797,r100,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['1,570', '  ']"
8797,r101,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['51', '  ']"
