table_id,row_id,field_of_research_full_path,field_of_research_level_1,field_of_research_level_2,field_of_research_level_3,field_of_research_level_4,field_of_research_hierarchy_depth,field_total_number,field_total_percent,field_citizenship_status_u_s_citizens_and_permanent_residents_number,field_citizenship_status_u_s_citizens_and_permanent_residents_percent,field_citizenship_status_temporary_visa_holders_number,field_citizenship_status_temporary_visa_holders_percent,field_federal_sponsor_department_of_energy_number,field_federal_sponsor_department_of_energy_percent,field_federal_sponsor_all_other_federal_sponsors_number,field_federal_sponsor_all_other_federal_sponsors_percent
7505,r012,All postdoctoral researchers -> Science and engineering -> Science -> Physics and astronomy,All postdoctoral researchers,Science and engineering,Science,Physics and astronomy,4,870,23.9,399,22.4,471,25.3,795,23.7,75,26.8
7505,r013,All postdoctoral researchers -> Science and engineering -> Science -> Psychology,All postdoctoral researchers,Science and engineering,Science,Psychology,4,2,0.1,2,0.1,0,0.0,1,0.0,1,0.4
7505,r014,All postdoctoral researchers -> Science and engineering -> Science -> Social sciences,All postdoctoral researchers,Science and engineering,Science,Social sciences,4,5,0.1,3,0.2,2,0.1,5,0.1,0,0.0
7505,r015,All postdoctoral researchers -> Science and engineering -> Science -> Other sciences,All postdoctoral researchers,Science and engineering,Science,Other sciences,4,53,1.5,27,1.5,26,1.4,53,1.6,0,0.0
7505,r016,All postdoctoral researchers -> Science and engineering -> Engineering,All postdoctoral researchers,Science and engineering,Engineering,,3,942,25.9,462,26.0,480,25.8,893,26.6,49,17.5
7505,r017,"All postdoctoral researchers -> Science and engineering -> Engineering -> Aerospace, aeronautical and astronautical engineering",All postdoctoral researchers,Science and engineering,Engineering,"Aerospace, aeronautical and astronautical engineering",4,21,0.6,7,0.4,14,0.8,19,0.6,2,0.7
7505,r018,"All postdoctoral researchers -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",All postdoctoral researchers,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,46,1.3,27,1.5,19,1.0,46,1.4,0,0.0
7505,r019,"All postdoctoral researchers -> Science and engineering -> Engineering -> Chemical, petroleum, and related engineering fields",All postdoctoral researchers,Science and engineering,Engineering,"Chemical, petroleum, and related engineering fields",4,169,4.6,75,4.2,94,5.1,169,5.0,0,0.0
7505,r020,"All postdoctoral researchers -> Science and engineering -> Engineering -> Civil, environmental, transportation, and related engineering fields",All postdoctoral researchers,Science and engineering,Engineering,"Civil, environmental, transportation, and related engineering fields",4,83,2.3,41,2.3,42,2.3,76,2.3,7,2.5
7505,r021,"All postdoctoral researchers -> Science and engineering -> Engineering -> Electrical, electronics, communications, and computer engineering",All postdoctoral researchers,Science and engineering,Engineering,"Electrical, electronics, communications, and computer engineering",4,147,4.0,64,3.6,83,4.5,124,3.7,23,8.2
7505,r022,"All postdoctoral researchers -> Science and engineering -> Engineering -> Engineering science, mechanics, and physics",All postdoctoral researchers,Science and engineering,Engineering,"Engineering science, mechanics, and physics",4,124,3.4,86,4.8,38,2.0,124,3.7,0,0.0
7505,r023,"All postdoctoral researchers -> Science and engineering -> Engineering -> Industrial, manufacturing, systems engineering, and operations research",All postdoctoral researchers,Science and engineering,Engineering,"Industrial, manufacturing, systems engineering, and operations research",4,15,0.4,3,0.2,12,0.6,15,0.4,0,0.0
7505,r024,All postdoctoral researchers -> Science and engineering -> Engineering -> Mechanical engineering,All postdoctoral researchers,Science and engineering,Engineering,Mechanical engineering,4,173,4.8,59,3.3,114,6.1,159,4.7,14,5.0
7505,r025,"All postdoctoral researchers -> Science and engineering -> Engineering -> Metallurgical, mining, materials, and related engineering fields",All postdoctoral researchers,Science and engineering,Engineering,"Metallurgical, mining, materials, and related engineering fields",4,41,1.1,26,1.5,15,0.8,38,1.1,3,1.1
7505,r026,All postdoctoral researchers -> Science and engineering -> Engineering -> Nuclear engineering,All postdoctoral researchers,Science and engineering,Engineering,Nuclear engineering,4,87,2.4,53,3.0,34,1.8,87,2.6,0,0.0
7505,r027,All postdoctoral researchers -> Science and engineering -> Engineering -> Other engineering fields,All postdoctoral researchers,Science and engineering,Engineering,Other engineering fields,4,36,1.0,21,1.2,15,0.8,36,1.1,0,0.0
7505,r028,All postdoctoral researchers -> Health ,All postdoctoral researchers,Health ,,,2,3,0.1,3,0.2,0,0.0,3,0.1,0,0.0
7505,r029,All postdoctoral researchers -> Multidisciplinary ,All postdoctoral researchers,Multidisciplinary ,,,2,92,2.5,58,3.3,34,1.8,76,2.3,16,5.7
7505,r030,All postdoctoral researchers -> Non-science or engineering ,All postdoctoral researchers,Non-science or engineering ,,,2,10,0.3,6,0.3,4,0.2,9,0.3,1,0.4
7505,r031,All postdoctoral researchers -> Field of research not known/ reported,All postdoctoral researchers,Field of research not known/ reported,,,2,19,0.5,12,0.7,7,0.4,17,0.5,2,0.7
