table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_capital_expenditures_total,field_worldwide_capital_expenditures_property_plant_and_equipment,field_worldwide_capital_expenditures_identifiable_intangible_assets,field_foreign_capital_expenditures_total,field_foreign_capital_expenditures_property_plant_and_equipment,field_foreign_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_total,field_domestic_capital_expenditures_property_plant_and_equipment,field_domestic_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_total,field_domestic_capital_expenditures_for_r_d_property_plant_and_equipment,field_domestic_capital_expenditures_for_r_d_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_type_of_property_land_acquisition,field_domestic_capital_expenditures_for_r_d_type_of_property_buildings_and_land_improvement,field_domestic_capital_expenditures_for_r_d_type_of_property_machinery_and_equipment,field_domestic_capital_expenditures_for_r_d_type_of_property_capitalized_software,field_domestic_capital_expenditures_for_r_d_type_of_property_other_intellectual_property,field_domestic_capital_expenditures_for_r_d_type_of_property_all_other
12316,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['25,088', '  ']","['22,971', '  ']","['2,117', '  ']","['7,543', '  ']","['5,995', '  ']","['1,548', '  ']","['17,545', '  ']","['16,976', '  ']","['569', '  ']","['392', '  ']","['390', '  ']","['2', '  ']","['10', '  ']","['159', '  ']","['216', '  ']","['1', '  ']","['3', '  ']","['4', '  ']"
12316,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['6,029', '  ']","['5,964', '  ']","['65', '  ']","['1,349', '  ']","['1,348', '  ']","['1', '  ']","['4,680', '  ']","['4,617', '  ']","['63', '  ']","['171', '  ']","['168', '  ']","['3', 'i ']","['*', 'i ']","['11', '  ']","['137', '  ']","['17', '  ']","['*', 'i ']","['6', '  ']"
12316,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['2,620', '  ']","['2,398', '  ']","['223', '  ']","['217', '  ']","['D', '  ']","['D', '  ']","['2,403', '  ']","['D', '  ']","['D', '  ']","['55', '  ']","['54', '  ']","['1', 'i ']","['1', '  ']","['7', '  ']","['44', '  ']","['*', '  ']","['2', '  ']","['1', '  ']"
12316,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['39,960', '  ']","['35,786', '  ']","['4,173', '  ']","['11,481', '  ']","['10,712', '  ']","['769', '  ']","['28,479', '  ']","['25,074', '  ']","['3,404', '  ']","['5,234', '  ']","['4,303', '  ']","['931', '  ']","['41', '  ']","['1,332', '  ']","['2,453', '  ']","['290', '  ']","['877', '  ']","['241', '  ']"
12316,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['10,073', '  ']","['9,235', '  ']","['838', '  ']","['3,140', '  ']","['3,140', '  ']","['0', '  ']","['6,933', '  ']","['6,095', '  ']","['838', '  ']","['195', '  ']","['194', '  ']","['1', 'i ']","['0', '  ']","['92', '  ']","['84', '  ']","['13', '  ']","['0', '  ']","['7', '  ']"
12316,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['4,027', '  ']","['3,096', '  ']","['931', '  ']","['1,136', '  ']","['D', '  ']","['D', '  ']","['2,891', '  ']","['D', '  ']","['D', '  ']","['73', 'i ']","['70', 'i ']","['3', 'i ']","['0', '  ']","['10', 'i ']","['54', 'i ']","['3', 'i ']","['3', 'i ']","['4', 'i ']"
12316,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['15,663', '  ']","['15,198', '  ']","['465', '  ']","['2,886', '  ']","['2,850', '  ']","['36', '  ']","['12,777', '  ']","['12,348', '  ']","['429', '  ']","['320', 'i ']","['312', 'i ']","['8', 'i ']","['13', 'i ']","['48', '  ']","['225', 'i ']","['11', 'i ']","['5', 'i ']","['17', 'i ']"
12316,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['6,968', '  ']","['6,912', '  ']","['56', '  ']","['2,037', 'i ']","['2,036', 'i ']","['1', '  ']","['4,931', '  ']","['4,876', '  ']","['56', '  ']","['70', '  ']","['68', 'i ']","['1', '  ']","['0', '  ']","['31', '  ']","['37', 'i ']","['*', '  ']","['1', '  ']","['1', 'i ']"
12316,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['10,608', '  ']","['9,028', '  ']","['1,580', '  ']","['505', 'i ']","['504', 'i ']","['1', '  ']","['10,103', '  ']","['8,524', '  ']","['1,579', '  ']","['225', '  ']","['225', '  ']","['*', 'i ']","['7', '  ']","['75', '  ']","['142', '  ']","['1', '  ']","['0', '  ']","['0', '  ']"
12316,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['8,412', '  ']","['7,975', '  ']","['437', '  ']","['892', '  ']","['873', '  ']","['19', '  ']","['7,520', '  ']","['7,102', '  ']","['418', '  ']","['300', '  ']","['274', '  ']","['27', '  ']","['2', '  ']","['10', '  ']","['251', '  ']","['5', '  ']","['17', '  ']","['16', 'i ']"
12316,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['24,218', '  ']","['22,366', '  ']","['1,852', '  ']","['7,894', '  ']","['7,568', '  ']","['326', '  ']","['16,324', '  ']","['14,798', '  ']","['1,526', '  ']","['1,788', '  ']","['1,409', '  ']","['379', '  ']","['1', 'i ']","['255', '  ']","['978', '  ']","['167', '  ']","['39', '  ']","['349', '  ']"
12316,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['2,915', '  ']","['2,532', '  ']","['383', '  ']","['890', '  ']","['889', '  ']","['1', '  ']","['2,026', '  ']","['1,643', '  ']","['383', '  ']","['141', 'i ']","['121', 'i ']","['20', 'i ']","['0', '  ']","['12', 'i ']","['106', 'i ']","['15', 'i ']","['7', 'i ']","['1', 'i ']"
12316,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3,340', '  ']","['3,188', '  ']","['152', 'r ']","['1,869', '  ']","['1,867', '  ']","['1', '  ']","['1,471', '  ']","['1,321', '  ']","['151', 'r ']","['581', '  ']","['573', '  ']","['8', '  ']","['0', '  ']","['108', '  ']","['346', '  ']","['49', '  ']","['1', '  ']","['77', '  ']"
12316,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['4,170', '  ']","['3,947', '  ']","['223', '  ']","['1,372', '  ']","['1,364', '  ']","['8', '  ']","['2,798', '  ']","['2,583', '  ']","['215', '  ']","['144', 'i ']","['142', 'i ']","['2', 'i ']","['0', '  ']","['7', '  ']","['127', 'i ']","['2', 'i ']","['2', 'i ']","['6', 'i ']"
12316,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['13,793', '  ']","['12,700', '  ']","['1,094', '  ']","['3,764', '  ']","['3,448', '  ']","['317', '  ']","['10,029', '  ']","['9,252', '  ']","['777', '  ']","['922', '  ']","['572', '  ']","['350', '  ']","['1', 'i ']","['128', '  ']","['399', '  ']","['101', '  ']","['30', '  ']","['264', '  ']"
12316,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['90,642', '  ']","['86,611', '  ']","['4,031', '  ']","['43,084', 'i ']","['42,671', 'i ']","['413', '  ']","['47,559', '  ']","['43,940', '  ']","['3,619', '  ']","['8,444', 'i ']","['7,749', 'i ']","['695', '  ']","['2', '  ']","['721', '  ']","['6,106', 'i ']","['514', '  ']","['788', 'i ']","['312', 'i ']"
12316,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['4,728', '  ']","['3,053', '  ']","['1,675', '  ']","['873', '  ']","['749', '  ']","['123', '  ']","['3,855', '  ']","['2,304', 'i ']","['1,551', '  ']","['482', '  ']","['384', '  ']","['99', '  ']","['1', '  ']","['D', '&nbsp;']","['307', '  ']","['71', 'i ']","['D', '  ']","['D', '  ']"
12316,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['58,413', '  ']","['57,302', '  ']","['1,111', 'i ']","['31,979', 'i ']","['31,928', 'i ']","['51', '  ']","['26,434', 'i ']","['25,374', 'i ']","['1,060', 'i ']","['4,981', 'i ']","['4,666', 'i ']","['315', 'i ']","['1', 'i ']","['185', 'i ']","['3,846', 'i ']","['239', 'i ']","['491', 'i ']","['220', 'i ']"
12316,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['6,291', '  ']","['5,798', '  ']","['493', '  ']","['1,567', '  ']","['1,330', '  ']","['237', 'i ']","['4,724', '  ']","['4,468', '  ']","['256', 'i ']","['479', 'i ']","['453', 'i ']","['26', 'i ']","['0', '  ']","['41', 'i ']","['370', 'i ']","['29', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
12316,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['1,513', '  ']","['1,301', '  ']","['212', '  ']","['294', 'i ']","['218', 'i ']","['76', 'i ']","['1,219', '  ']","['1,083', '  ']","['136', 'i ']","['149', 'i ']","['141', 'i ']","['8', 'i ']","['0', '  ']","['7', 'i ']","['118', 'i ']","['19', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
12316,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['985', '  ']","['975', '  ']","['9', '  ']","['70', '  ']","['70', '  ']","['0', '  ']","['914', '  ']","['905', '  ']","['9', '  ']","['134', 'i ']","['131', 'i ']","['4', '  ']","['0', '  ']","['22', 'i ']","['96', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
12316,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['3,793', '  ']","['3,521', '  ']","['272', '  ']","['1,202', '  ']","['1,042', '  ']","['161', '  ']","['2,591', '  ']","['2,480', '  ']","['111', '  ']","['195', '  ']","['181', '  ']","['14', 'r ']","['0', '  ']","['12', '  ']","['156', '  ']","['D', '  ']","['D', '&nbsp;']","['D', '  ']"
12316,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['21,210', '  ']","['20,458', '  ']","['753', '  ']","['8,665', '  ']","['8,663', '  ']","['2', '  ']","['12,545', '  ']","['11,794', '  ']","['751', '  ']","['2,503', '  ']","['2,247', '  ']","['256', '  ']","['0', '  ']","['D', '  ']","['1,583', '  ']","['175', '  ']","['D', '  ']","['D', '  ']"
12316,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['9,159', '  ']","['8,023', '  ']","['1,136', '  ']","['2,483', 'i ']","['2,225', 'i ']","['258', 'i ']","['6,676', 'i ']","['5,798', 'i ']","['878', '  ']","['675', '  ']","['645', '  ']","['30', 'i ']","['*', '  ']","['44', 'i ']","['495', '  ']","['28', '  ']","['14', 'i ']","['94', '  ']"
12316,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['71,114', '  ']","['64,079', '  ']","['7,034', 'i ']","['14,737', '  ']","['14,402', '  ']","['335', '  ']","['56,376', '  ']","['49,677', '  ']","['6,699', '  ']","['3,128', '  ']","['2,693', '  ']","['435', '  ']","['12', 'i ']","['542', '  ']","['1,892', '  ']","['245', '  ']","['253', 'i ']","['183', '  ']"
12316,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['54,675', '  ']","['48,240', '  ']","['6,435', 'i ']","['11,949', '  ']","['11,892', '  ']","['57', '  ']","['42,726', '  ']","['36,348', '  ']","['6,378', '  ']","['2,159', '  ']","['1,761', '  ']","['398', '  ']","['8', 'i ']","['339', '  ']","['1,218', '  ']","['193', '  ']","['250', 'i ']","['152', '  ']"
12316,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['13,237', '  ']","['12,683', '  ']","['554', '  ']","['2,455', '  ']","['2,177', '  ']","['278', '  ']","['10,782', '  ']","['10,506', '  ']","['276', '  ']","['819', '  ']","['794', '  ']","['25', '  ']","['4', '  ']","['168', '  ']","['574', '  ']","['49', '  ']","['2', '  ']","['22', '  ']"
12316,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['7,958', '  ']","['7,830', '  ']","['128', '  ']","['785', '  ']","['773', '  ']","['11', '  ']","['7,173', '  ']","['7,056', '  ']","['117', '  ']","['408', '  ']","['391', '  ']","['17', '  ']","['4', '  ']","['50', '  ']","['313', '  ']","['26', '  ']","['2', '  ']","['13', '  ']"
12316,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['5,279', '  ']","['4,853', '  ']","['426', '  ']","['1,671', '  ']","['1,404', '  ']","['267', '  ']","['3,609', '  ']","['3,449', '  ']","['160', '  ']","['411', '  ']","['403', '  ']","['9', '  ']","['0', '  ']","['118', '  ']","['261', '  ']","['23', '  ']","['0', '  ']","['10', '  ']"
12316,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['45', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['45', '  ']","['D', '  ']","['D', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12316,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['3,157', '  ']","['D', '  ']","['D', '  ']","['334', '  ']","['334', '  ']","['0', '  ']","['2,824', '  ']","['D', '  ']","['D', '  ']","['150', '  ']","['138', '  ']","['12', 'r ']","['1', '  ']","['35', '  ']","['100', '  ']","['3', '  ']","['1', 'i ']","['9', '  ']"
12316,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['964', '  ']","['937', '  ']","['28', '  ']","['76', '  ']","['76', '  ']","['0', '  ']","['889', '  ']","['861', '  ']","['28', '  ']","['19', '  ']","['19', '  ']","['*', '  ']","['*', '  ']","['6', '  ']","['9', '  ']","['1', '  ']","['*', 'r ']","['4', '  ']"
12316,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['22,971', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['1,503', '  ']","['1,299', '  ']","['204', '  ']","['7', 'i ']","['264', '  ']","['689', '  ']","['161', '  ']","['139', '  ']","['243', '  ']"
12316,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['17,410', '  ']","['16,223', '  ']","['1,187', '  ']","['5,993', '  ']","['5,787', '  ']","['206', '  ']","['11,416', '  ']","['10,436', '  ']","['980', '  ']","['1,259', '  ']","['1,075', '  ']","['183', '  ']","['7', 'i ']","['246', '  ']","['525', '  ']","['111', '  ']","['134', '  ']","['236', '  ']"
12316,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['5,561', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['244', '  ']","['224', '  ']","['20', 'i ']","['0', '  ']","['18', '  ']","['164', '  ']","['49', 'i ']","['5', 'i ']","['8', 'i ']"
12316,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['641,595', '  ']","['577,810', '  ']","['63,785', '  ']","['82,168', '  ']","['72,974', '  ']","['9,194', '  ']","['559,428', '  ']","['504,837', '  ']","['54,591', '  ']","['12,353', '  ']","['10,667', '  ']","['1,686', '  ']","['55', 'i ']","['1,345', 'i ']","['7,515', '  ']","['1,277', 'i ']","['1,582', 'i ']","['578', '  ']"
12316,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['41,127', '  ']","['40,873', 'i ']","['254', 'i ']","['9,429', 'i ']","['9,348', 'i ']","['81', 'i ']","['31,698', '  ']","['31,525', 'i ']","['173', 'i ']","['D', '&nbsp;']","['231', 'i ']","['D', '&nbsp;']","['0', '  ']","['D', '&nbsp;']","['186', 'i ']","['86', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
12316,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['129,020', '  ']","['127,887', '  ']","['1,133', '  ']","['1,473', '  ']","['1,473', '  ']","['0', '  ']","['127,547', '  ']","['126,414', '  ']","['1,133', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['20', 'i ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']","['31', 'i ']","['0', '  ']","['D', '&nbsp;']"
12316,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['7,813', 'i ']","['7,691', 'i ']","['122', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['2', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['121', 'i ']","['49', '  ']","['44', 'i ']","['5', '  ']","['*', 'r ']","['4', '  ']","['22', 'i ']","['17', 'i ']","['D', '  ']","['D', '  ']"
12316,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['D', '  ']","['D', '  ']","['1,577', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']","['24', 'i ']","['D', '  ']","['0', '  ']"
12316,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['30,013', '  ']","['27,010', '  ']","['3,003', 'i ']","['2,899', 'i ']","['521', '  ']","['2,378', 'i ']","['27,114', '  ']","['26,490', '  ']","['625', 'i ']","['303', '  ']","['302', '  ']","['1', 'i ']","['0', '  ']","['79', '  ']","['132', '  ']","['13', '  ']","['*', '  ']","['79', '  ']"
12316,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['256,553', '  ']","['216,635', '  ']","['39,918', '  ']","['38,299', '  ']","['32,489', '  ']","['5,810', '  ']","['218,255', '  ']","['184,146', '  ']","['34,108', '  ']","['7,889', '  ']","['7,088', '  ']","['802', 'i ']","['13', 'i ']","['765', 'i ']","['5,062', '  ']","['878', 'i ']","['886', 'i ']","['285', '  ']"
12316,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['52,966', '  ']","['38,328', '  ']","['14,638', '  ']","['20,806', '  ']","['16,972', '  ']","['3,834', '  ']","['32,160', '  ']","['21,356', '  ']","['10,804', '  ']","['2,916', '  ']","['2,814', '  ']","['103', 'i ']","['9', 'i ']","['67', 'i ']","['2,477', '  ']","['214', '  ']","['D', '  ']","['D', '  ']"
