table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
1135,r051,All S&E graduate students -> Science -> Social sciences -> Political science and government,All S&E graduate students,Science,Social sciences,Political science and government,,4,45213,4657,234,2247,5660,144,21700,1021,2501,7049
1135,r052,All S&E graduate students -> Science -> Social sciences -> Sociology,All S&E graduate students,Science,Social sciences,Sociology,,4,8023,947,45,367,911,13,3970,221,341,1208
1135,r053,All S&E graduate students -> Science -> Social sciences -> Sociology and anthropology,All S&E graduate students,Science,Social sciences,Sociology and anthropology,,4,208,24,1,4,42,1,88,1,33,14
1135,r054,All S&E graduate students -> Science -> Social sciences -> Social sciences nec,All S&E graduate students,Science,Social sciences,Social sciences nec,,4,15360,2005,136,595,2548,56,6952,477,721,1870
1135,r055,All S&E graduate students -> Engineering,All S&E graduate students,Engineering,,,,2,168443,6962,245,9902,3710,115,45622,1824,4659,95404
1135,r056,All S&E graduate students -> Engineering -> Aerospace engineering,All S&E graduate students,Engineering,Aerospace engineering,,,3,5416,296,12,390,91,4,2396,79,149,1999
1135,r057,All S&E graduate students -> Engineering -> Agricultural engineering,All S&E graduate students,Engineering,Agricultural engineering,,,3,1626,51,5,68,36,1,549,22,24,870
1135,r058,All S&E graduate students -> Engineering -> Architecture,All S&E graduate students,Engineering,Architecture,,,3,1671,125,8,66,92,0,578,22,48,732
1135,r059,All S&E graduate students -> Engineering -> Biomedical engineering,All S&E graduate students,Engineering,Biomedical engineering,,,3,10208,576,18,1369,294,7,3995,209,448,3292
1135,r060,All S&E graduate students -> Engineering -> Chemical engineering,All S&E graduate students,Engineering,Chemical engineering,,,3,10187,341,15,731,227,3,3017,115,246,5492
1135,r061,All S&E graduate students -> Engineering -> Civil engineering,All S&E graduate students,Engineering,Civil engineering,,,3,20569,1189,40,986,441,23,6305,255,662,10668
1135,r062,All S&E graduate students -> Engineering -> Electrical engineering,All S&E graduate students,Engineering,Electrical engineering,,,3,50062,1357,35,2699,806,19,8013,326,936,35871
1135,r063,"All S&E graduate students -> Engineering -> Engineering science, mechanics, and physics",All S&E graduate students,Engineering,"Engineering science, mechanics, and physics",,,3,1756,37,11,94,43,8,501,20,54,988
1135,r064,All S&E graduate students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Engineering,Industrial and manufacturing engineering,,,3,16200,756,26,713,529,15,4009,132,579,9441
1135,r065,All S&E graduate students -> Engineering -> Mechanical engineering,All S&E graduate students,Engineering,Mechanical engineering,,,3,27898,1273,36,1430,446,13,8369,334,938,15059
1135,r066,All S&E graduate students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Engineering,Metallurgical and materials engineering,,,3,8106,324,10,501,154,7,2581,112,153,4264
1135,r067,All S&E graduate students -> Engineering -> Mining engineering,All S&E graduate students,Engineering,Mining engineering,,,3,378,15,2,4,7,0,159,6,5,180
1135,r068,All S&E graduate students -> Engineering -> Nuclear engineering,All S&E graduate students,Engineering,Nuclear engineering,,,3,1466,90,2,58,22,0,844,24,51,375
1135,r069,All S&E graduate students -> Engineering -> Petroleum engineering,All S&E graduate students,Engineering,Petroleum engineering,,,3,1862,51,3,84,34,0,312,10,50,1318
1135,r070,All S&E graduate students -> Engineering -> Engineering nec,All S&E graduate students,Engineering,Engineering nec,,,3,11038,481,22,709,488,15,3994,158,316,4855
1135,r071,All S&E graduate students -> Female,All S&E graduate students,Female,,,,2,261575,20457,1005,15856,17630,450,107640,5451,10426,82660
1135,r072,All S&E graduate students -> Female -> Science,All S&E graduate students,Female,Science,,,3,220220,18677,934,13044,16561,426,97326,4929,9398,58925
1135,r073,All S&E graduate students -> Female -> Science -> Agricultural sciences,All S&E graduate students,Female,Science,Agricultural sciences,,4,9560,651,62,284,326,15,5775,197,396,1854
1135,r074,All S&E graduate students -> Female -> Science -> Biological sciences,All S&E graduate students,Female,Science,Biological sciences,,4,45218,3447,168,3968,2850,117,22243,1090,1729,9606
1135,r075,All S&E graduate students -> Female -> Science -> Biological sciences -> Anatomy,All S&E graduate students,Female,Science,Biological sciences,Anatomy,5,246,28,1,16,13,0,143,3,2,40
1135,r076,All S&E graduate students -> Female -> Science -> Biological sciences -> Biochemistry,All S&E graduate students,Female,Science,Biological sciences,Biochemistry,5,2184,170,9,205,84,2,945,33,62,674
1135,r077,All S&E graduate students -> Female -> Science -> Biological sciences -> Biology,All S&E graduate students,Female,Science,Biological sciences,Biology,5,9330,809,38,541,551,15,5032,227,346,1771
1135,r078,All S&E graduate students -> Female -> Science -> Biological sciences -> Biometry and epidemiology,All S&E graduate students,Female,Science,Biological sciences,Biometry and epidemiology,5,5345,327,11,615,381,17,2081,113,191,1609
1135,r079,All S&E graduate students -> Female -> Science -> Biological sciences -> Biophysics,All S&E graduate students,Female,Science,Biological sciences,Biophysics,5,323,19,0,33,10,0,151,10,13,87
1135,r080,All S&E graduate students -> Female -> Science -> Biological sciences -> Botany and plant biology,All S&E graduate students,Female,Science,Biological sciences,Botany and plant biology,5,906,53,2,45,19,3,416,27,31,310
1135,r081,All S&E graduate students -> Female -> Science -> Biological sciences -> Cell and molecular biology,All S&E graduate students,Female,Science,Biological sciences,Cell and molecular biology,5,3577,269,19,356,170,7,1564,86,115,991
1135,r082,All S&E graduate students -> Female -> Science -> Biological sciences -> Ecology,All S&E graduate students,Female,Science,Biological sciences,Ecology,5,782,27,6,30,15,1,520,12,75,96
1135,r083,All S&E graduate students -> Female -> Science -> Biological sciences -> Entomology and parasitology,All S&E graduate students,Female,Science,Biological sciences,Entomology and parasitology,5,581,29,3,22,19,1,347,13,17,130
1135,r084,All S&E graduate students -> Female -> Science -> Biological sciences -> Genetics,All S&E graduate students,Female,Science,Biological sciences,Genetics,5,1418,97,5,105,44,3,804,30,40,290
1135,r085,"All S&E graduate students -> Female -> Science -> Biological sciences -> Microbiology, immunology, and virology",All S&E graduate students,Female,Science,Biological sciences,"Microbiology, immunology, and virology",5,2644,226,14,233,156,5,1363,81,93,473
1135,r086,All S&E graduate students -> Female -> Science -> Biological sciences -> Nutrition,All S&E graduate students,Female,Science,Biological sciences,Nutrition,5,4387,241,14,296,194,8,2720,90,149,675
1135,r087,All S&E graduate students -> Female -> Science -> Biological sciences -> Pathology,All S&E graduate students,Female,Science,Biological sciences,Pathology,5,586,36,0,50,34,1,288,14,42,121
1135,r088,All S&E graduate students -> Female -> Science -> Biological sciences -> Pharmacology and toxicology,All S&E graduate students,Female,Science,Biological sciences,Pharmacology and toxicology,5,1595,109,4,182,145,4,697,33,30,391
1135,r089,All S&E graduate students -> Female -> Science -> Biological sciences -> Physiology,All S&E graduate students,Female,Science,Biological sciences,Physiology,5,2055,134,9,234,148,3,1015,51,65,396
1135,r090,All S&E graduate students -> Female -> Science -> Biological sciences -> Zoology,All S&E graduate students,Female,Science,Biological sciences,Zoology,5,466,27,2,12,7,0,328,18,21,51
1135,r091,All S&E graduate students -> Female -> Science -> Biological sciences -> Biosciences nec,All S&E graduate students,Female,Science,Biological sciences,Biosciences nec,5,8793,846,31,993,860,47,3829,249,437,1501
