table_id,row_id,time_period,_b_manufacturing_b_level_1,_b_manufacturing_b_level_2,_b_manufacturing_b_hierarchy_depth,value
6251,r010_2,,Manufacturing,Name,2,"Railroad, military vehicles, and transport nec (ISIC 302, 304, and 309)"
6251,r010_3,,Manufacturing,R&D intensity (%),2,5.72
6251,r011_1,Medium R&D intensity,Manufacturing,"ISIC, Rev.4, industry code",2,22
6251,r011_2,Medium R&D intensity,Manufacturing,Name,2,Rubber and plastic products
6251,r011_3,Medium R&D intensity,Manufacturing,R&D intensity (%),2,3.58
6251,r012_1,,Manufacturing,"ISIC, Rev.4, industry code",2,301
6251,r012_2,,Manufacturing,Name,2,Building of ships and boats
6251,r012_3,,Manufacturing,R&D intensity (%),2,2.99
6251,r013_1,,Manufacturing,"ISIC, Rev.4, industry code",2,32X
6251,r013_2,,Manufacturing,Name,2,Other manufacturing except medical and dental instruments
6251,r013_3,,Manufacturing,R&D intensity (%),2,2.85
6251,r014_1,,Manufacturing,"ISIC, Rev.4, industry code",2,23
6251,r014_2,,Manufacturing,Name,2,Other non-metallic mineral products
6251,r014_3,,Manufacturing,R&D intensity (%),2,2.24
6251,r015_1,,Manufacturing,"ISIC, Rev.4, industry code",2,24
6251,r015_2,,Manufacturing,Name,2,Basic metals
6251,r015_3,,Manufacturing,R&D intensity (%),2,2.07
6251,r016_1,,Manufacturing,"ISIC, Rev.4, industry code",2,33
6251,r016_2,,Manufacturing,Name,2,Repair and installation of machinery and equipment
6251,r016_3,,Manufacturing,R&D intensity (%),2,1.93
6251,r017_1,Medium-low R&D intensity,Manufacturing,"ISIC, Rev.4, industry code",2,13
6251,r017_2,Medium-low R&D intensity,Manufacturing,Name,2,Textiles
6251,r017_3,Medium-low R&D intensity,Manufacturing,R&D intensity (%),2,1.73
6251,r017_4,Medium-low R&D intensity,Nonmanufacturing,"ISIC, Rev.4, industry code",2,69 - 75X
6251,r017_5,Medium-low R&D intensity,Nonmanufacturing,Name,2,"Professional, scientific and technical activities except scientific R&D services (ISIC 69 - 75 less 72)"
6251,r017_6,Medium-low R&D intensity,Nonmanufacturing,R&D intensity (%),2,1.76
6251,r018_1,,Manufacturing,"ISIC, Rev.4, industry code",2,15
6251,r018_2,,Manufacturing,Name,2,Leather and related products
6251,r018_3,,Manufacturing,R&D intensity (%),2,1.65
6251,r018_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,61
6251,r018_5,,Nonmanufacturing,Name,2,Telecommunications
6251,r018_6,,Nonmanufacturing,R&D intensity (%),2,1.45
6251,r019_1,,Manufacturing,"ISIC, Rev.4, industry code",2,17
6251,r019_2,,Manufacturing,Name,2,Paper and paper products
6251,r019_3,,Manufacturing,R&D intensity (%),2,1.58
6251,r019_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,05 - 09
6251,r019_5,,Nonmanufacturing,Name,2,Mining and quarrying
6251,r019_6,,Nonmanufacturing,R&D intensity (%),2,0.8
6251,r020_1,,Manufacturing,"ISIC, Rev.4, industry code",2,10 - 12
6251,r020_2,,Manufacturing,Name,2,"Food products, beverages and tobacco"
6251,r020_3,,Manufacturing,R&D intensity (%),2,1.44
6251,r020_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,581
6251,r020_5,,Nonmanufacturing,Name,2,Publishing of books and periodicals
6251,r020_6,,Nonmanufacturing,R&D intensity (%),2,0.57
6251,r021_1,,Manufacturing,"ISIC, Rev.4, industry code",2,14
6251,r021_2,,Manufacturing,Name,2,Wearing apparel
6251,r021_3,,Manufacturing,R&D intensity (%),2,1.4
6251,r022_1,,Manufacturing,"ISIC, Rev.4, industry code",2,25X
6251,r022_2,,Manufacturing,Name,2,Fabricated metal products except weapons and ammunition (ISIC 25 less 252)
6251,r022_3,,Manufacturing,R&D intensity (%),2,1.19
6251,r023_1,,Manufacturing,"ISIC, Rev.4, industry code",2,19
6251,r023_2,,Manufacturing,Name,2,Coke and refined petroleum products
6251,r023_3,,Manufacturing,R&D intensity (%),2,1.17
6251,r024_1,,Manufacturing,"ISIC, Rev.4, industry code",2,31
6251,r024_2,,Manufacturing,Name,2,Furniture
6251,r024_3,,Manufacturing,R&D intensity (%),2,1.17
6251,r025_1,,Manufacturing,"ISIC, Rev.4, industry code",2,16
6251,r025_2,,Manufacturing,Name,2,Wood and products of wood and cork
6251,r025_3,,Manufacturing,R&D intensity (%),2,0.7
6251,r026_1,,Manufacturing,"ISIC, Rev.4, industry code",2,18
6251,r026_2,,Manufacturing,Name,2,Printing and reproductions of recorded media
6251,r026_3,,Manufacturing,R&D intensity (%),2,0.67
6251,r027_4,Low R&D intensity,Nonmanufacturing,"ISIC, Rev.4, industry code",2,64 - 66
6251,r027_5,Low R&D intensity,Nonmanufacturing,Name,2,Financial and insurance activities
6251,r027_6,Low R&D intensity,Nonmanufacturing,R&D intensity (%),2,0.38
6251,r028_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,35 - 39
6251,r028_5,,Nonmanufacturing,Name,2,"Electricity, gas, and water supply; waste management; and remediation"
6251,r028_6,,Nonmanufacturing,R&D intensity (%),2,0.35
6251,r029_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,59 - 60
6251,r029_5,,Nonmanufacturing,Name,2,Audiovisual and broadcasting activities
6251,r029_6,,Nonmanufacturing,R&D intensity (%),2,0.32
6251,r030_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,45 - 47
6251,r030_5,,Nonmanufacturing,Name,2,Wholesale and retail trade
6251,r030_6,,Nonmanufacturing,R&D intensity (%),2,0.28
6251,r031_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,01 - 03
6251,r031_5,,Nonmanufacturing,Name,2,"Agriculture, forestry, and fishing"
6251,r031_6,,Nonmanufacturing,R&D intensity (%),2,0.27
6251,r032_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,41 - 43
6251,r032_5,,Nonmanufacturing,Name,2,Construction
6251,r032_6,,Nonmanufacturing,R&D intensity (%),2,0.21
6251,r033_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,77 - 82
6251,r033_5,,Nonmanufacturing,Name,2,Administrative and support services
6251,r033_6,,Nonmanufacturing,R&D intensity (%),2,0.18
6251,r034_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,90 - 99
6251,r034_5,,Nonmanufacturing,Name,2,"Arts, entertainment, repair of household goods, and other services"
6251,r034_6,,Nonmanufacturing,R&D intensity (%),2,0.11
6251,r035_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,49 - 53
6251,r035_5,,Nonmanufacturing,Name,2,Transportation and storage
6251,r035_6,,Nonmanufacturing,R&D intensity (%),2,0.08
6251,r036_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,55 - 56
6251,r036_5,,Nonmanufacturing,Name,2,Accommodation and food service activities
6251,r036_6,,Nonmanufacturing,R&D intensity (%),2,0.02
6251,r037_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,68
6251,r037_5,,Nonmanufacturing,Name,2,Real estate activities
6251,r037_6,,Nonmanufacturing,R&D intensity (%),2,0.01
