table_id,row_id,field_of_highest_degree_and_place_of_birth_full_path,field_of_highest_degree_and_place_of_birth_level_1,field_of_highest_degree_and_place_of_birth_level_2,field_of_highest_degree_and_place_of_birth_level_3,field_of_highest_degree_and_place_of_birth_hierarchy_depth,field_total,field_s_e_occupations,field_s_e_related_occupations,field_non_s_e_occupations
6857,r038,"All foreign-born college graduates, all degree fields -> S&E fields -> Iran","All foreign-born college graduates, all degree fields",S&E fields,Iran,3,86000,31000,18000,37000
6857,r039,"All foreign-born college graduates, all degree fields -> S&E fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",S&E fields,"United Kingdom, not specified",3,74000,28000,12000,34000
6857,r040,"All foreign-born college graduates, all degree fields -> S&E fields -> Russia","All foreign-born college graduates, all degree fields",S&E fields,Russia,3,56000,32000,4000,20000
6857,r041,"All foreign-born college graduates, all degree fields -> S&E fields -> Japan","All foreign-born college graduates, all degree fields",S&E fields,Japan,3,55000,23000,6000,26000
6857,r042,"All foreign-born college graduates, all degree fields -> S&E fields -> Pakistan","All foreign-born college graduates, all degree fields",S&E fields,Pakistan,3,46000,18000,6000,23000
6857,r043,"All foreign-born college graduates, all degree fields -> S&E fields -> Nigeria","All foreign-born college graduates, all degree fields",S&E fields,Nigeria,3,46000,14000,16000,15000
6857,r044,"All foreign-born college graduates, all degree fields -> S&E fields -> Ukraine","All foreign-born college graduates, all degree fields",S&E fields,Ukraine,3,42000,19000,8000,15000
6857,r045,"All foreign-born college graduates, all degree fields -> S&E fields -> Cuba","All foreign-born college graduates, all degree fields",S&E fields,Cuba,3,41000,11000,S,26000
6857,r046,"All foreign-born college graduates, all degree fields -> S&E fields -> Italy","All foreign-born college graduates, all degree fields",S&E fields,Italy,3,41000,17000,6000,18000
6857,r047,"All foreign-born college graduates, all degree fields -> S&E fields -> France","All foreign-born college graduates, all degree fields",S&E fields,France,3,41000,20000,2000,S
6857,r048,"All foreign-born college graduates, all degree fields -> S&E fields -> Hong Kong","All foreign-born college graduates, all degree fields",S&E fields,Hong Kong,3,40000,21000,7000,12000
6857,r049,"All foreign-born college graduates, all degree fields -> S&E fields -> Colombia","All foreign-born college graduates, all degree fields",S&E fields,Colombia,3,38000,13000,6000,18000
6857,r050,"All foreign-born college graduates, all degree fields -> S&E fields -> Lebanon","All foreign-born college graduates, all degree fields",S&E fields,Lebanon,3,35000,23000,S,S
6857,r051,"All foreign-born college graduates, all degree fields -> S&E fields -> Bangladesh","All foreign-born college graduates, all degree fields",S&E fields,Bangladesh,3,34000,17000,2000,15000
6857,r052,"All foreign-born college graduates, all degree fields -> S&E fields -> Brazil","All foreign-born college graduates, all degree fields",S&E fields,Brazil,3,33000,16000,S,15000
6857,r053,"All foreign-born college graduates, all degree fields -> S&E fields -> Jamaica","All foreign-born college graduates, all degree fields",S&E fields,Jamaica,3,30000,7000,S,16000
6857,r054,"All foreign-born college graduates, all degree fields -> S&E fields -> All other countries","All foreign-born college graduates, all degree fields",S&E fields,All other countries,3,835000,333000,118000,384000
6857,r055,"All foreign-born college graduates, all degree fields -> S&E-related fields","All foreign-born college graduates, all degree fields",S&E-related fields,,2,1365000,126000,897000,342000
6857,r056,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Philippines","All foreign-born college graduates, all degree fields",S&E-related fields,Philippines,3,223000,3000,196000,24000
6857,r057,"All foreign-born college graduates, all degree fields -> S&E-related fields -> India","All foreign-born college graduates, all degree fields",S&E-related fields,India,3,189000,34000,112000,43000
6857,r058,"All foreign-born college graduates, all degree fields -> S&E-related fields -> China","All foreign-born college graduates, all degree fields",S&E-related fields,China,3,65000,19000,41000,5000
6857,r059,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Canada","All foreign-born college graduates, all degree fields",S&E-related fields,Canada,3,41000,3000,26000,12000
6857,r060,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Mexico","All foreign-born college graduates, all degree fields",S&E-related fields,Mexico,3,36000,2000,15000,19000
6857,r061,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Vietnam","All foreign-born college graduates, all degree fields",S&E-related fields,Vietnam,3,33000,6000,21000,6000
6857,r062,"All foreign-born college graduates, all degree fields -> S&E-related fields -> South Korea","All foreign-born college graduates, all degree fields",S&E-related fields,South Korea,3,33000,S,25000,7000
6857,r063,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Germany, not specified","All foreign-born college graduates, all degree fields",S&E-related fields,"Germany, not specified",3,31000,3000,20000,9000
6857,r064,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Taiwan","All foreign-born college graduates, all degree fields",S&E-related fields,Taiwan,3,31000,S,19000,10000
6857,r065,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Haiti","All foreign-born college graduates, all degree fields",S&E-related fields,Haiti,3,30000,S,25000,
6857,r066,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Jamaica","All foreign-born college graduates, all degree fields",S&E-related fields,Jamaica,3,27000,,22000,4000
6857,r067,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Ukraine","All foreign-born college graduates, all degree fields",S&E-related fields,Ukraine,3,26000,,9000,16000
6857,r068,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Cuba","All foreign-born college graduates, all degree fields",S&E-related fields,Cuba,3,26000,,21000,S
6857,r069,"All foreign-born college graduates, all degree fields -> S&E-related fields -> El Salvador","All foreign-born college graduates, all degree fields",S&E-related fields,El Salvador,3,25000,,S,S
6857,r070,"All foreign-born college graduates, all degree fields -> S&E-related fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",S&E-related fields,"United Kingdom, not specified",3,23000,S,12000,8000
6857,r071,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Iran","All foreign-born college graduates, all degree fields",S&E-related fields,Iran,3,23000,S,14000,S
6857,r072,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Japan","All foreign-born college graduates, all degree fields",S&E-related fields,Japan,3,23000,,14000,6000
6857,r073,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Hong Kong","All foreign-born college graduates, all degree fields",S&E-related fields,Hong Kong,3,22000,S,19000,
6857,r074,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Russia","All foreign-born college graduates, all degree fields",S&E-related fields,Russia,3,20000,S,8000,S
6857,r075,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Peru","All foreign-born college graduates, all degree fields",S&E-related fields,Peru,3,18000,,8000,10000
6857,r076,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Pakistan","All foreign-born college graduates, all degree fields",S&E-related fields,Pakistan,3,18000,,12000,6000
6857,r077,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Nigeria","All foreign-born college graduates, all degree fields",S&E-related fields,Nigeria,3,18000,1000,11000,6000
6857,r078,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Iraq","All foreign-born college graduates, all degree fields",S&E-related fields,Iraq,3,18000,,S,
6857,r079,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Lebanon","All foreign-born college graduates, all degree fields",S&E-related fields,Lebanon,3,15000,,S,
6857,r080,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Syria","All foreign-born college graduates, all degree fields",S&E-related fields,Syria,3,15000,,15000,
6857,r081,"All foreign-born college graduates, all degree fields -> S&E-related fields -> All other countries","All foreign-born college graduates, all degree fields",S&E-related fields,All other countries,3,337000,34000,207000,96000
6857,r082,"All foreign-born college graduates, all degree fields -> Non-S&E fields","All foreign-born college graduates, all degree fields",Non-S&E fields,,2,3184000,194000,158000,2833000
6857,r083,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Mexico","All foreign-born college graduates, all degree fields",Non-S&E fields,Mexico,3,287000,11000,12000,264000
6857,r084,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> India","All foreign-born college graduates, all degree fields",Non-S&E fields,India,3,264000,47000,19000,197000
6857,r085,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Philippines","All foreign-born college graduates, all degree fields",Non-S&E fields,Philippines,3,225000,8000,12000,205000
6857,r086,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Canada","All foreign-born college graduates, all degree fields",Non-S&E fields,Canada,3,178000,4000,15000,159000
6857,r087,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Germany, not specified","All foreign-born college graduates, all degree fields",Non-S&E fields,"Germany, not specified",3,151000,9000,10000,131000
6857,r088,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> China","All foreign-born college graduates, all degree fields",Non-S&E fields,China,3,122000,10000,3000,108000
6857,r089,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> South Korea","All foreign-born college graduates, all degree fields",Non-S&E fields,South Korea,3,94000,9000,3000,81000
6857,r090,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Vietnam","All foreign-born college graduates, all degree fields",Non-S&E fields,Vietnam,3,82000,1000,7000,74000
6857,r091,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Colombia","All foreign-born college graduates, all degree fields",Non-S&E fields,Colombia,3,82000,S,S,73000
6857,r092,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Jamaica","All foreign-born college graduates, all degree fields",Non-S&E fields,Jamaica,3,80000,S,,75000
6857,r093,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",Non-S&E fields,"United Kingdom, not specified",3,77000,2000,S,72000
6857,r094,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Japan","All foreign-born college graduates, all degree fields",Non-S&E fields,Japan,3,66000,3000,,61000
6857,r095,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Dominican Republic","All foreign-born college graduates, all degree fields",Non-S&E fields,Dominican Republic,3,57000,,,55000
6857,r096,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> England","All foreign-born college graduates, all degree fields",Non-S&E fields,England,3,56000,,,56000
6857,r097,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Cuba","All foreign-born college graduates, all degree fields",Non-S&E fields,Cuba,3,53000,,,48000
6857,r098,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> France","All foreign-born college graduates, all degree fields",Non-S&E fields,France,3,52000,2000,S,48000
6857,r099,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Nigeria","All foreign-born college graduates, all degree fields",Non-S&E fields,Nigeria,3,51000,,9000,40000
6857,r100,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Venezuela","All foreign-born college graduates, all degree fields",Non-S&E fields,Venezuela,3,50000,S,,47000
6857,r101,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Thailand","All foreign-born college graduates, all degree fields",Non-S&E fields,Thailand,3,46000,2000,,44000
6857,r102,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Peru","All foreign-born college graduates, all degree fields",Non-S&E fields,Peru,3,44000,1000,0.05,42000
6857,r103,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Brazil","All foreign-born college graduates, all degree fields",Non-S&E fields,Brazil,3,44000,S,1000,42000
6857,r104,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Taiwan","All foreign-born college graduates, all degree fields",Non-S&E fields,Taiwan,3,40000,3000,S,36000
6857,r105,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Guyana","All foreign-born college graduates, all degree fields",Non-S&E fields,Guyana,3,39000,,,34000
6857,r106,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Hong Kong","All foreign-born college graduates, all degree fields",Non-S&E fields,Hong Kong,3,38000,5000,S,30000
6857,r107,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Italy","All foreign-born college graduates, all degree fields",Non-S&E fields,Italy,3,38000,,,36000
6857,r108,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> All other countries","All foreign-born college graduates, all degree fields",Non-S&E fields,All other countries,3,869000,60000,38000,771000
