table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11232,r950,All institutions -> Westmont C.,All institutions,Westmont C.,2,949,200,200,0,0,0,0
11232,r951,All institutions -> Bloomfield C.,All institutions,Bloomfield C.,2,950,200,184,0,0,16,0
11232,r952,All institutions -> Shaw U.,All institutions,Shaw U.,2,951,200,40,0,0,160,0
11232,r953,All institutions -> Menlo C.,All institutions,Menlo C.,2,952,200,184,0,0,16,0
11232,r954,All institutions -> Bakersfield C.,All institutions,Bakersfield C.,2,953,200,184,0,0,16,0
11232,r955,All institutions -> Thomas Edison State U.,All institutions,Thomas Edison State U.,2,954,200,200,0,0,0,0
11232,r956,All institutions -> Lake Superior State U.,All institutions,Lake Superior State U.,2,955,198,0,198,0,0,0
11232,r957,"All institutions -> Savannah C. Art and Design, Savannah",All institutions,"Savannah C. Art and Design, Savannah",2,956,198,198,0,0,0,0
11232,r958,All institutions -> Alamo Colleges District,All institutions,Alamo Colleges District,2,957,197,167,0,0,15,15
11232,r959,All institutions -> Worcester State U.,All institutions,Worcester State U.,2,958,191,191,0,0,0,0
11232,r960,All institutions -> Citrus C.,All institutions,Citrus C.,2,959,187,187,0,0,0,0
11232,r961,"All institutions -> Columbia C., Chicago",All institutions,"Columbia C., Chicago",2,960,187,187,0,0,0,0
11232,r962,All institutions -> Palo Alto U.,All institutions,Palo Alto U.,2,961,185,185,0,0,0,0
11232,r963,"All institutions -> San Diego Community C., district office",All institutions,"San Diego Community C., district office",2,962,183,183,0,0,0,0
11232,r964,All institutions -> U. Puget Sound,All institutions,U. Puget Sound,2,963,180,139,0,0,40,0
11232,r965,All institutions -> Erikson Institute,All institutions,Erikson Institute,2,964,179,179,0,0,0,0
11232,r966,All institutions -> St. Lawrence U.,All institutions,St. Lawrence U.,2,965,179,171,0,0,8,0
11232,r967,All institutions -> U. Wisconsin-Whitewater,All institutions,U. Wisconsin-Whitewater,2,966,175,175,0,0,0,0
11232,r968,All institutions -> Barry U.,All institutions,Barry U.,2,967,173,173,0,0,0,0
11232,r969,All institutions -> Slippery Rock U. Pennsylvania,All institutions,Slippery Rock U. Pennsylvania,2,968,172,172,0,0,0,0
11232,r970,All institutions -> Lewis-Clark State C.,All institutions,Lewis-Clark State C.,2,969,169,169,0,0,0,0
11232,r971,All institutions -> Youngstown State U.,All institutions,Youngstown State U.,2,970,168,150,0,0,18,0
11232,r972,All institutions -> Winthrop U.,All institutions,Winthrop U.,2,971,166,166,0,0,0,0
11232,r973,All institutions -> C. Marshall Islands ,All institutions,C. Marshall Islands ,2,972,165,0,0,0,165,0
11232,r974,All institutions -> Kean U.,All institutions,Kean U.,2,973,164,0,0,0,0,164
11232,r975,All institutions -> Troy U.,All institutions,Troy U.,2,974,162,162,0,0,0,0
11232,r976,"All institutions -> Evergreen State C., The",All institutions,"Evergreen State C., The",2,975,161,149,0,0,13,0
11232,r977,All institutions -> BridgeValley Community and Technical C.,All institutions,BridgeValley Community and Technical C.,2,976,158,32,0,0,126,0
11232,r978,All institutions -> Claremont Graduate U.,All institutions,Claremont Graduate U.,2,977,157,157,0,0,0,0
11232,r979,All institutions -> Saginaw Chippewa Tribal C.,All institutions,Saginaw Chippewa Tribal C.,2,978,157,0,0,0,157,0
11232,r980,All institutions -> Southwestern Indian Polytechnic Institute,All institutions,Southwestern Indian Polytechnic Institute,2,978,157,16,0,0,126,16
11232,r981,All institutions -> Stockton U.,All institutions,Stockton U.,2,980,155,155,0,0,0,0
11232,r982,"All institutions -> U. Hawaii Community Colleges, Maui C.",All institutions,"U. Hawaii Community Colleges, Maui C.",2,981,151,151,0,0,0,0
11232,r983,All institutions -> Minot State U.,All institutions,Minot State U.,2,982,150,0,0,0,150,0
11232,r984,All institutions -> New Jersey City U.,All institutions,New Jersey City U.,2,982,150,138,0,0,12,0
11232,r985,All institutions -> Ouachita Baptist U.,All institutions,Ouachita Baptist U.,2,984,150,150,0,0,0,0
11232,r986,All institutions -> Mitchell Hamline School of Law,All institutions,Mitchell Hamline School of Law,2,985,149,149,0,0,0,0
11232,r987,All institutions -> Bard C.,All institutions,Bard C.,2,986,146,146,0,0,0,0
