table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_all_full_time_employed_10_median_salary,field_all_full_time_employed_10_se,field_full_professor_median_salary,field_full_professor_se,field_full_professor_10_median_salary,field_full_professor_10_se,field_associate_professor_median_salary,field_associate_professor_se,field_associate_professor_10_median_salary,field_associate_professor_10_se,field_assistant_professor_median_salary,field_assistant_professor_se,field_assistant_professor_10_median_salary,field_assistant_professor_10_se,field_instructor_or_lecturer_median_salary,field_instructor_or_lecturer_se,field_instructor_or_lecturer_10_median_salary,field_instructor_or_lecturer_10_se,field_all_other_faculty_median_salary,field_all_other_faculty_se,field_all_other_faculty_10_median_salary,field_all_other_faculty_10_se,field_rank_not_applicable_median_salary,field_rank_not_applicable_se,field_rank_not_applicable_10_median_salary,field_rank_not_applicable_10_se
8151,r011,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,4,95000,4000,135000,6000,,,150000,9000,89000,5000,109000,3500,99000,2500,98000,9500,,,85000,9500,,,,,83000,6500,121000,11500
8151,r012,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,4,90000,4000,110000,6000,,,116000,9000,90000,11000,109000,12500,95000,4000,S,S,,,,,,,,,87000,7500,149000,51000
8151,r013,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,75000,2500,100000,1000,,,114000,5500,82000,10500,86000,4000,80000,4500,74000,3000,55000,2000,68000,5500,,,,,74000,5500,98000,19500
8151,r014,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,4,75000,3500,102000,2500,,,119000,4500,90000,13000,85000,4000,79000,4500,73000,3500,54000,3500,63000,7500,,,,,68000,6000,111000,52000
8151,r015,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,4,75000,4500,91000,4000,,,99000,2500,72000,9500,89000,3500,80000,8000,74000,16000,65000,9500,70000,2500,,,,,78000,7000,94000,15000
8151,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,67000,1500,105000,1500,,,125000,3000,72000,5500,90000,2500,77000,1500,89000,5500,60000,500,66000,5500,,,,,60000,2000,99000,5500
8151,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,4,68000,1500,109000,3000,,,125000,5000,74000,10000,92000,3000,78000,2000,94000,6000,60000,6000,69000,7500,,,,,60000,2000,100000,6000
8151,r018,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,4,65000,2500,95000,4000,,,120000,7500,65000,6000,89000,5000,74000,2000,78000,3500,60000,500,62000,3000,,,,,60000,3000,90000,7000
8151,r019,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,77000,3000,103000,3000,62000,24500,119000,2500,80000,2500,93000,3500,81000,2500,88000,3000,64000,2500,68000,5000,,,,,69000,3000,98000,3000
8151,r020,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,4,72000,2000,108000,3500,,,122000,6000,83000,5000,98000,3500,73000,3000,88000,3500,56000,7000,96000,7000,,,,,65000,5000,91000,7000
8151,r021,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,4,80000,3000,100000,1000,,,118000,5000,78000,5000,90000,2500,83000,2000,88000,5000,65000,4000,64000,3500,,,,,70000,3500,100000,4000
8151,r022,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,80000,1000,109000,2000,87000,23500,130000,3500,86000,4000,93000,2500,81000,2000,75000,3500,63000,5000,72000,4500,,,S,S,70000,2500,102000,10000
8151,r023,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,4,83000,2000,114000,4000,S,S,133000,5500,89000,8000,94000,2500,86000,3500,76000,5000,56000,2500,87000,20500,,,S,S,77000,7000,109000,6500
8151,r024,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,4,76000,2000,100000,1500,S,S,121000,4000,85000,6000,92000,3000,78000,2500,73000,4000,68000,2500,71000,4000,,,,,65000,4000,89000,7000
8151,r025,All fields -> Engineering,All fields,Engineering,,,2,88000,2500,128000,4000,68000,10000,152000,5500,99000,2000,108000,2500,95000,1000,103000,5500,74000,5000,76000,7500,,,,,62000,2500,109000,7000
8151,r026,All fields -> Engineering -> Male,All fields,Engineering,Male,,3,89000,2500,129000,3000,S,S,150000,4500,99000,1000,108000,2500,95000,1500,99000,4500,71000,7500,79000,13000,,,,,60000,2500,116000,15500
8151,r027,All fields -> Engineering -> Female,All fields,Engineering,Female,,3,85000,3500,120000,8500,,,165000,8000,94000,15500,109000,4000,94000,2500,110000,8000,78000,5000,74000,5500,,,,,63000,2500,90000,12000
8151,r028,All fields -> Health,All fields,Health,,,2,82000,1500,117000,2500,107000,16500,141000,9000,91000,5500,109000,2500,84000,2500,91000,5500,55000,6500,73000,14000,,,,,59000,3500,104000,14500
8151,r029,All fields -> Health -> Male,All fields,Health,Male,,3,72000,3000,119000,7500,S,S,149000,7500,90000,15000,108000,2500,77000,5000,86000,5000,52000,5500,S,S,,,,,56000,3500,109000,28500
8151,r030,All fields -> Health -> Female,All fields,Health,Female,,3,84000,1000,115000,3500,103000,24500,130000,8500,93000,6000,110000,4500,85000,1000,96000,5000,66000,8500,,,,,,,61000,6000,99000,15000
