table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d,field_r_d_rank,field_performer_source_of_funds_,field_federal,field_ffrdcs_total,field_ffrdcs_federal,field_ffrdcs_nonfederald,field_business_total,field_business_own,field_business_paid_by_others_nonfederale,field_business_paid_by_others_federal,field_higher_educationa_total,field_higher_educationa_federal,field_higher_educationa_other_government,field_higher_educationa_business,field_higher_educationa_higher_education,field_higher_educationa_npo,field_higher_educationa_other,field_npos_federalf,field_state_internalb_total,field_gdp,field_gdp_rank,field_r_d_intensityc_percent,field_r_d_intensityc_rank
3627,r011,States total<sup>g</sup> -> District of Columbia,States total<sup>g</sup>,District of Columbia,2,5632,25,,4218,8,8,0,400,278,17,105,630,323,5,22,185,69,27,374,2,138774,34,4.06,7
3627,r012,States total<sup>g</sup> -> Florida,States total<sup>g</sup>,Florida,2,10516,14,,1083,0,0,0,6489,4498,709,1282,2726,1242,276,119,881,153,54,166,52,1050298,4,1.0,38
3627,r013,States total<sup>g</sup> -> Georgia,States total<sup>g</sup>,Georgia,2,7817,20,,229,0,0,0,5067,4094,868,105,2474,1384,139,141,641,154,14,45,2,602024,9,1.3,34
3627,r014,States total<sup>g</sup> -> Hawaii,States total<sup>g</sup>,Hawaii,2,633,43,,171,0,0,0,146,89,37,20,298,187,20,1,73,15,2,18,0.05,93101,39,0.68,46
3627,r015,States total<sup>g</sup> -> Idaho,States total<sup>g</sup>,Idaho,2,3172,31,,40,395,376,19,2556,2376,177,4,171,86,38,3,35,2,7,4,6,79091,41,4.01,8
3627,r016,States total<sup>g</sup> -> Illinois,States total<sup>g</sup>,Illinois,2,17119,10,,186,1106,1075,31,13182,12239,859,84,2570,1494,45,172,676,145,38,74,1,863040,5,1.98,28
3627,r017,States total<sup>g</sup> -> Indiana,States total<sup>g</sup>,Indiana,2,8595,18,,110,0,0,0,6976,6004,861,110,1505,628,45,88,602,109,33,3,0.05,368425,18,2.33,18
3627,r018,States total<sup>g</sup> -> Iowa,States total<sup>g</sup>,Iowa,2,4324,28,,71,37,36,1,3315,2556,94 - 325,434 - 665,886,399,51,47,352,33,4,13,3,190147,30,2.27,19
3627,r019,States total<sup>g</sup> -> Kansas,States total<sup>g</sup>,Kansas,2,3261,30,,18,0,0,0,2593,1645,940,8,641,254,80,71,201,32,3,7,2,171719,32,1.9,29
3627,r020,States total<sup>g</sup> -> Kentucky,States total<sup>g</sup>,Kentucky,2,2044,35,,10,0,0,0,1435,1178,58,199,597,266,53,23,187,25,43,1,2,207849,28,0.98,39
3627,r021,States total<sup>g</sup> -> Louisiana,States total<sup>g</sup>,Louisiana,2,1237,39,,61,0,0,0,415,359,37,20,744,290,91,69,224,46,24,3,13,253236,24,0.49,50
3627,r022,States total<sup>g</sup> -> Maine,States total<sup>g</sup>,Maine,2,527,46,,9,0,0,0,285,266,14,6,129,58,25,6,33,4,3,102,3,64557,44,0.82,43
3627,r023,States total<sup>g</sup> -> Maryland,States total<sup>g</sup>,Maryland,2,23112,7,,11473,981,981,0,6016,4227,463,1326,4167,3211,80,129,519,215,14,472,3,411619,15,5.61,4
3627,r024,States total<sup>g</sup> -> Massachusetts,States total<sup>g</sup>,Massachusetts,2,35335,8,,398,1768,1756,12,27282,22581,4037,665,4060,2252,35,293,947,387,146,1819,8,570464,11,6.19,2
3627,r025,States total<sup>g</sup> -> Michigan,States total<sup>g</sup>,Michigan,2,25438,6,,161,0,0,0,22412,20323,1829,260,2781,1375,63,125,1055,120,44,83,0,521803,14,4.87,6
3627,r026,States total<sup>g</sup> -> Minnesota,States total<sup>g</sup>,Minnesota,2,8744,17,,42,0,0,0,7405,7021,246,138,1000,475,87,45,325,42,26,297,1,371930,17,2.35,17
3627,r027,States total<sup>g</sup> -> Mississippi,States total<sup>g</sup>,Mississippi,2,1171,40,,414,0,0,0,276,250,15,11,479,212,96,14,141,12,4,0.05,2,113579,37,1.03,37
3627,r028,States total<sup>g</sup> -> Missouri,States total<sup>g</sup>,Missouri,2,8491,19,,40,0,0,0,7171,3976,195,3000,1222,692,8,99,313,97,12,51,8,317949,22,2.67,15
3627,r029,States total<sup>g</sup> -> Montana,States total<sup>g</sup>,Montana,2,462,47,,44,0,0,0,180,157,13,10,230,137,12,4,65,7,6,5,3,50692,49,0.91,41
3627,r030,States total<sup>g</sup> -> Nebraska,States total<sup>g</sup>,Nebraska,2,1148,41,,33,0,0,0,570,513,40,17,536,226,71,30,164,21,24,9,0.05,124705,36,0.92,40
3627,r031,States total<sup>g</sup> -> Nevada,States total<sup>g</sup>,Nevada,2,1241,38,,16,0,0,0,960,638,296,25,260,114,16,4,115,5,6,4,0.05,169180,33,0.73,45
3627,r032,States total<sup>g</sup> -> New Hampshire,States total<sup>g</sup>,New Hampshire,2,3089,32,,31,0,0,0,2566,992,292,1281,471,237,3,14,185,25,7,20,0.05,84584,40,3.65,11
3627,r033,States total<sup>g</sup> -> New Jersey,States total<sup>g</sup>,New Jersey,2,22873,8,,1152,82,82,0,20251,16843,3222,186,1359,691,85,54,400,87,42,27,2,612979,8,3.73,10
3627,r034,States total<sup>g</sup> -> New Mexico,States total<sup>g</sup>,New Mexico,2,7026,24,,763,5169,5103,66,699,374,31,294,368,244,23,5,70,18,7,26,1,100080,38,7.02,1
3627,r035,States total<sup>g</sup> -> New York,States total<sup>g</sup>,New York,2,25822,5,,300,553,525,27,17515,15370,1285,860,6634,3445,342,430,1657,522,238,581,241,1705010,3,1.51,31
3627,r036,States total<sup>g</sup> -> North Carolina,States total<sup>g</sup>,North Carolina,2,15437,11,,330,0,0,0,11716,7790,3760,167,3205,1828,151,360,627,195,45,166,19,567452,12,2.72,14
3627,r037,States total<sup>g</sup> -> North Dakota,States total<sup>g</sup>,North Dakota,2,600,45,,30,0,0,0,312,284,26,2,256,86,55,11,92,2,9,1,2,56287,46,1.07,36
3627,r038,States total<sup>g</sup> -> Ohio,States total<sup>g</sup>,Ohio,2,14273,12,,1989,0,0,0,9646,6820,2081,744,2370,1426,103,194,462,154,31,259,8,675030,7,2.11,25
3627,r039,States total<sup>g</sup> -> Oklahoma,States total<sup>g</sup>,Oklahoma,2,1664,36,,248,0,0,0,868,822,34,13,517,210,66,34,188,12,7,30,1,198596,29,0.84,42
3627,r040,States total<sup>g</sup> -> Oregon,States total<sup>g</sup>,Oregon,2,9688,15,,81,0,0,0,8751,8446,225,79,821,545,60,41,100,59,16,19,16,241978,25,4.0,9
3627,r041,States total<sup>g</sup> -> Pennsylvania,States total<sup>g</sup>,Pennsylvania,2,17481,9,,444,143,143,0.05,12104,10633,1330,141,4406,2441,97,277,1175,280,137,377,7,778375,6,2.25,21
3627,r042,States total<sup>g</sup> -> Rhode Island,States total<sup>g</sup>,Rhode Island,2,1412,37,,261,0,0,0,703,663,10,29,368,238,16,8,79,22,5,78,2,59925,45,2.36,16
3627,r043,States total<sup>g</sup> -> South Carolina,States total<sup>g</sup>,South Carolina,2,2750,33,,103,154,153,1,1670,1462,140,68,761,339,28,46,305,27,16,32,28,235287,26,1.17,35
3627,r044,States total<sup>g</sup> -> South Dakota,States total<sup>g</sup>,South Dakota,2,344,49,,12,0,0,0,201,179,21,1,116,56,21,3,22,6,8,15,0.05,53239,48,0.65,48
3627,r045,States total<sup>g</sup> -> Tennessee,States total<sup>g</sup>,Tennessee,2,4816,27,,264,1399,1378,21,1440,1184,203,52,1294,726,35,61,405,49,18,417,2,362737,19,1.33,33
3627,r046,States total<sup>g</sup> -> Texas,States total<sup>g</sup>,Texas,2,27214,4,,464,5,5,0.05,20929,18267,2063,599,5643,2242,848,396,1448,441,268,169,3,1795635,2,1.52,30
3627,r047,States total<sup>g</sup> -> Utah,States total<sup>g</sup>,Utah,2,4026,29,,168,0,0,0,3025,2642,189,194,812,491,34,44,200,33,10,2,18,181623,31,2.22,22
3627,r048,States total<sup>g</sup> -> Vermont,States total<sup>g</sup>,Vermont,2,438,48,,4,0,0,0,300,233,49,19,133,90,0,3,30,8,2,0,1,32981,51,1.33,32
3627,r049,States total<sup>g</sup> -> Virginia,States total<sup>g</sup>,Virginia,2,11084,13,,2112,1372,1345,27,5725,4092,325,1307,1684,780,106,86,550,100,63,178,13,533510,13,2.08,26
3627,r050,States total<sup>g</sup> -> Washington,States total<sup>g</sup>,Washington,2,33816,3,,174,956,943,13,30305,29498,634,173,1809,1156,70,73,287,187,35,556,15,575417,10,5.88,3
3627,r051,States total<sup>g</sup> -> West Virginia,States total<sup>g</sup>,West Virginia,2,605,44,,142,0,0,0,238,209,10,20,212,90,12,11,75,6,18,11,3,77633,42,0.78,44
3627,r052,States total<sup>g</sup> -> Wisconsin,States total<sup>g</sup>,Wisconsin,2,7597,23,,49,0,0,0,5966,5334,539,92,1542,728,83,50,499,128,53,35,5,337553,21,2.25,20
3627,r053,States total<sup>g</sup> -> Wyoming,States total<sup>g</sup>,Wyoming,2,157,51,,1,0,0,0,39,34,3,2,113,43,15,6,41,3,6,2,2,39703,50,0.4,51
3627,r054,U.S. undistributed<sup>h</sup>,U.S. undistributed<sup>h</sup>,,1,4050,na,,1466,0,0,0,2584,2399,0 - 186,0 - 186,0,0,0,0,0,0,0,0,0,0,na,na,na
3627,r055,Puerto Rico,Puerto Rico,,1,604,na,,6,0,0,0,493,476,NA,NA,104,70,3,6,24,1,1,0.05,na,107975,na,NA,na
3627,r056,Other<sup>i</sup><sup> </sup>,Other<sup>i</sup><sup> </sup>,,1,427,na,,401,0,0,0,0,0,0,0,23,19,2,0.05,0.05,0.05,0,3,na,na,na,na,na
