table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
7955,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,429905,94289,44570,19981,9384,48017,109621,104043
7955,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,783293,18527,6949,682650,1344,23369,18403,32051
7955,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,475827,152714,9301,68098,2895,205576,4813,32430
7955,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,3852415,652400,794714,642915,588836,1070906,6267,96377
7955,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,509733,19188,11758,538,361877,110762,55,5555
7955,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1239825,135906,158928,554214,17072,346826,3520,23359
7955,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,174331,75358,29578,8713,2637,48568,531,8946
7955,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,1767740,388232,565051,62605,183582,516595,1345,50330
7955,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,160786,33716,29399,16845,23668,48155,816,8187
7955,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,812660,53146,1173,584427,18586,80771,4848,69709
7955,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,955852,69670,10741,407047,17391,154079,57977,238947
7955,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,29533,3793,1083,3396,65,12858,911,7427
7955,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,137555,3678,5636,27872,30,25971,38716,35652
7955,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,86443,11484,1405,17289,1234,20147,2997,31887
7955,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,232318,11952,7,131453,357,34809,5190,48550
7955,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,470003,38763,2610,227037,15705,60294,10163,115431
7955,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,374088,83086,27183,104218,6139,96865,5285,51312
7955,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,8714829,3703852,959702,1028791,560071,1391029,75250,996134
7955,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1110088,689207,22505,6859,215099,39014,625,136779
7955,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,960152,158176,14020,624742,9237,96008,18886,39083
7955,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,572307,101384,167568,91275,10121,146621,7229,48109
7955,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,664620,82386,93917,27599,14779,147225,10677,288037
7955,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,2209153,1287744,177223,89522,124523,389034,4398,136709
7955,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,384142,211252,24617,11003,23441,41947,1617,70265
7955,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1274012,613129,166393,81829,97199,211624,5026,98812
7955,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,559447,231399,126426,23998,14353,115032,1596,46643
7955,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,980908,329175,167033,71964,51319,204524,25196,131697
7955,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,1364942,62394,7335,322525,8874,315232,37435,611147
7955,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,97277,11651,1195,7418,257,18374,4822,53560
7955,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,39337,5114,868,13281,467,12849,367,6391
7955,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,701430,13884,903,90066,5261,218677,4391,368248
7955,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,56658,4673,448,13244,10,11763,356,26164
7955,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,28777,683,135,7479,0,1686,490,18304
7955,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,165278,1899,26,148065,604,1731,1399,11554
7955,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,11476,251,116,1804,2,2207,380,6716
7955,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,264709,24239,3644,41168,2273,47945,25230,120210
