table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_sponsor,field_location,field_total_all_r_d_expenditures,field_total_basic_research,field_total_applied_research,field_total_experimental_development,field_federally_financed_all_r_d_expenditures,field_federally_financed_basic_research,field_federally_financed_applied_research,field_federally_financed_experimental_development
4580,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"DOD, Army","Santa Monica, CA","['35,248', '']","['0', '']","['35,248', '']","['0', '']","['35,248', '']","['0', '']","['35,248', '']","['0', '']"
4580,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,DOE,"Upton, NY","['595,466', '']","['451,180', '']","['88,238', '']","['56,048', '']","['569,925', '']","['449,041', '']","['77,089', '']","['43,795', '']"
4580,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"DOT, FAA","McLean, VA","['180,634', '']","['0', '']","['8,189', '']","['172,445', '']","['163,497', '']","['0', '']","['7,412', '']","['156,085', '']"
4580,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"DOD, NSA/CSS","Alexandria, VA","['67,072', '']","['16,768', '']","['33,536', '']","['16,768', '']","['67,072', '']","['16,768', '']","['33,536', '']","['16,768', '']"
4580,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"Treasury/IRS, VA, SSA","McLean, VA","['190,408', '']","['0', '']","['10,091', '']","['180,317', '']","['190,408', '']","['0', '']","['10,091', '']","['180,317', '']"
4580,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"DOD, Navy","Arlington, VA","['95,874', '']","['0', '']","['95,874', '']","['0', '']","['95,874', '']","['0', '']","['95,874', '']","['0', '']"
4580,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,NRC,"San Antonio, TX","['6,762', '']","['0', '']","['6,762', '']","['0', '']","['6,359', '']","['0', '']","['6,359', '']","['0', '']"
4580,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"HHS, CMS","Baltimore, MD","['228,162', '']","['0', '']","['5,375', '']","['222,787', '']","['228,162', '']","['0', '']","['5,375', '']","['222,787', '']"
4580,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"DHS, S&T","Pentagon City, VA","['44,736', '']","['0', '']","['44,736', '']","['0', '']","['44,736', '']","['0', '']","['44,736', '']","['0', '']"
4580,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"DHS, S&T","McLean, VA","['136,874', '']","['0', '']","['3,560', '']","['133,314', '']","['135,713', '']","['0', '']","['3,530', '']","['132,183', '']"
4580,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center,3,U.S. Courts,"McLean, VA","['6,765', '']","['0', '']","['354', '']","['6,411', '']","['6,708', '']","['0', '']","['351', '']","['6,357', '']"
4580,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"DHS, S&T","Frederick, MD","['42,330', '']","['0', '']","['42,330', '']","['0', '']","['42,330', '']","['0', '']","['42,330', '']","['0', '']"
4580,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,NIST,"Rockville, MD","['23,557', '']","['0', '']","['614', '']","['22,943', '']","['23,557', '']","['0', '']","['614', '']","['22,943', '']"
4580,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"DOD, OSD","Santa Monica, CA","['64,134', '']","['0', '']","['64,134', '']","['0', '']","['64,134', '']","['0', '']","['64,134', '']","['0', '']"
4580,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,DOE,"Golden, CO","['511,585', '']","['45,634', '']","['284,134', '']","['181,817', '']","['456,336', '']","['45,634', '']","['250,985', '']","['159,717', '']"
4580,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"DOD,OSD","Bedford, MA/ McLean, VA","['1,143,701', '']","['0', '']","['62,072', '']","['1,081,629', '']","['1,142,013', '']","['0', '']","['61,980', '']","['1,080,033', '']"
4580,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,DOE,"Oak Ridge, TN","['1,632,684', '']","['949,293', '']","['683,391', '']","['0', '']","['1,616,580', '']","['949,293', '']","['667,287', '']","['0', '']"
4580,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,DOE,"Richland, WA","['1,071,249', '']","['206,537', '']","['262,566', '']","['602,146', '']","['1,053,982', '']","['203,208', '']","['258,334', '']","['592,440', '']"
4580,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"DOD, Air Force","Santa Monica, CA","['46,936', '']","['0', '']","['46,936', '']","['0', '']","['46,936', '']","['0', '']","['46,936', '']","['0', '']"
4580,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,NSF,"Washington, DC","['9,256', '']","['0', '']","['9,256', '']","['0', '']","['9,256', '']","['0', '']","['9,256', '']","['0', '']"
4580,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"DOD, OSD","Alexandria, VA","['171,335', '']","['0', '']","['171,335', '']","['0', '']","['170,949', '']","['0', '']","['170,949', '']","['0', '']"
4580,r040,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2, -, -,"['9,091,600', ' ']","['683,771', ' ']","['5,516,577', ' ']","['2,891,252', ' ']","['8,986,694', ' ']","['676,412', ' ']","['5,451,564', ' ']","['2,858,718', ' ']"
4580,r041,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"HHS, NIH","Frederick, MD","['745,726', '']","['143,010', '']","['602,716', '']","['0', '']","['745,726', '']","['143,010', '']","['602,716', '']","['0', '']"
4580,r042,All FFRDCs -> Industry-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Industry-administered FFRDCs,Idaho National Laboratory,3,DOE,"Idaho Falls, ID","['494,094', '']","['29,647', '']","['261,869', '']","['202,578', '']","['481,146', '']","['28,869', '']","['255,007', '']","['197,270', '']"
4580,r043,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,DOE,"Livermore, CA","['1,558,071', '']","['123,313', '']","['1,125,217', '']","['309,541', '']","['1,526,467', '']","['118,541', '']","['1,098,385', '']","['309,541', '']"
4580,r044,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,DOE,"Los Alamos, NM","['2,722,375', '']","['217,790', '']","['2,477,361', '']","['27,224', '']","['2,701,388', '']","['216,111', '']","['2,458,263', '']","['27,014', '']"
4580,r045,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,DOE,"Albuquerque, NM","['3,395,241', '']","['161,207', '']","['961,368', '']","['2,272,666', '']","['3,358,481', '']","['161,207', '']","['950,450', '']","['2,246,824', '']"
4580,r046,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory,3,DOE,"Aiken, SC","['176,093', '']","['8,804', '']","['88,046', '']","['79,243', '']","['173,486', '']","['8,674', '']","['86,743', '']","['78,069', '']"
