table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_u_s_citizen_and_permanent_resident_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
11700,r017,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",4,460,305,292,162,53,43,34,13,0
11700,r018,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Computer and information sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Computer and information sciences,,3,820,579,559,93,121,277,68,19,1
11700,r019,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Computer and information sciences -> Computer science,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Computer and information sciences,Computer science,4,554,393,,62,82,197,,,0
11700,r020,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Computer and information sciences,"Computer and information sciences, other",4,266,186,,31,39,80,,,1
11700,r021,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,,3,4542,3076,3008,775,267,1563,403,67,1
11700,r022,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Aerospace, aeronautical, astronautical, and space engineering",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,"Aerospace, aeronautical, astronautical, and space engineering",4,322,241,,38,,98,71,,0
11700,r023,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,860,515,503,207,32,239,25,12,0
11700,r024,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Chemical and petroleum engineering,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,Chemical and petroleum engineering,4,600,396,386,98,14,261,13,10,0
11700,r025,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",4,444,301,296,76,33,134,53,5,0
11700,r026,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Electrical and computer engineering,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,Electrical and computer engineering,4,586,422,417,65,32,253,67,5,0
11700,r027,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Engineering technologies,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,Engineering technologies,4,123,78,,,9,43,9,,0
11700,r028,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Industrial engineering and operations research,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,Industrial engineering and operations research,4,233,175,,,29,81,38,,0
11700,r029,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Materials and mining engineering,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,Materials and mining engineering,4,417,294,281,,,146,32,13,0
11700,r030,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Mechanical engineering,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,Mechanical engineering,4,634,428,417,104,48,209,56,11,0
11700,r031,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Engineering, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,"Engineering, other",4,323,226,,60,,99,39,,1
11700,r032,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,773,586,572,343,64,85,80,14,0
11700,r033,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,4,412,311,305,165,,,42,6,0
11700,r034,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",4,361,275,267,178,,,38,8,0
11700,r035,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Health sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Health sciences,,3,1953,1343,1329,345,480,251,253,14,0
11700,r036,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Health sciences -> Nursing and nursing science,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Health sciences,Nursing and nursing science,4,517,364,,50,,,82,,0
11700,r037,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,4,204,125,125,54,,,2,0,0
11700,r038,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Health sciences -> Public health,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Health sciences,Public health,4,578,411,404,136,108,54,106,7,0
11700,r039,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Health sciences -> Health sciences, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Health sciences,"Health sciences, other",4,654,443,,105,180,,63,,0
11700,r040,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Mathematics and statistics,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Mathematics and statistics,,3,929,671,629,254,149,174,52,42,0
11700,r041,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Mathematics and statistics -> Applied mathematics,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Mathematics and statistics,Applied mathematics,4,240,172,165,73,22,53,17,7,0
11700,r042,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Mathematics and statistics -> Mathematics,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Mathematics and statistics,Mathematics,4,495,344,314,146,93,58,17,30,0
11700,r043,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Mathematics and statistics -> Statistics,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Mathematics and statistics,Statistics,4,194,155,150,35,34,63,18,5,0
11700,r044,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,3,826,562,549,158,122,198,71,13,0
11700,r045,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,4,230,175,,36,35,86,,,0
11700,r046,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",4,596,387,,122,87,112,,,0
11700,r047,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Physical sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Physical sciences,,3,3142,2135,2038,875,163,848,152,97,0
11700,r048,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Physical sciences,Astronomy and astrophysics,4,215,172,,112,,17,10,,0
11700,r049,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Physical sciences -> Chemistry,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Physical sciences,Chemistry,4,1711,1156,1132,419,86,549,78,24,0
11700,r050,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Physical sciences -> Materials sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Physical sciences,Materials sciences,4,192,121,,33,,65,13,,0
11700,r051,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Physical sciences -> Physics,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Physical sciences,Physics,4,1024,686,632,311,53,217,51,54,0
11700,r052,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Psychology,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Psychology,,3,3178,2384,2363,1418,348,285,312,21,0
11700,r053,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Psychology -> Clinical psychology,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Psychology,Clinical psychology,4,1078,893,,760,42,,,,0
11700,r054,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Psychology -> Counseling and applied psychology,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Psychology,Counseling and applied psychology,4,1099,835,828,409,,,152,7,0
11700,r055,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Psychology -> Research and experimental psychology,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Psychology,Research and experimental psychology,4,655,447,,173,117,,,,0
11700,r056,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Psychology -> Psychology, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Psychology,"Psychology, other",4,346,209,,76,,41,38,,0
11700,r057,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Social sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Social sciences,,3,3065,2221,2124,559,803,295,467,97,0
11700,r058,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Social sciences -> Anthropology,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Social sciences,Anthropology,4,296,181,165,69,58,17,21,16,0
11700,r059,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,316,212,201,,102,,28,11,0
11700,r060,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Social sciences -> Economics,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Social sciences,Economics,4,489,408,390,,112,,122,18,0
11700,r061,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Social sciences -> Political science and government,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Social sciences,Political science and government,4,438,322,310,97,121,40,52,12,0
11700,r062,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Social sciences -> Public policy analysis,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Social sciences,Public policy analysis,4,315,232,227,,63,,95,5,0
11700,r063,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Social sciences,"Sociology, demography, and population studies",4,494,385,369,111,169,34,55,16,0
11700,r064,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Social sciences -> Social sciences, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Social sciences,"Social sciences, other",4,717,481,462,115,178,75,94,19,0
11700,r065,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,,,2,8556,5820,5678,711,2871,542,1554,138,4
11700,r066,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Business,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Business,,3,663,504,486,39,309,79,59,18,0
11700,r067,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Business -> Business administration and management,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Business,Business administration and management,4,223,150,,,83,29,27,,0
11700,r068,"U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Business -> Business, other",U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Business,"Business, other",4,440,354,,,226,50,32,,0
11700,r069,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Education,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Education,,3,3291,2375,2360,161,1095,198,906,14,1
11700,r070,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Education -> Education leadership and administration,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Education,Education leadership and administration,4,1051,822,817,,390,,352,5,0
11700,r071,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Education -> Education research,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Education,Education research,4,985,673,,43,,,231,,0
11700,r072,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Education -> Teacher education and teaching fields,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Education,Teacher education and teaching fields,4,885,627,,58,295,,231,,0
11700,r073,"U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Education -> Education, other",U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Education,"Education, other",4,370,253,252,,,16,92,0,1
11700,r074,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Humanities,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Humanities,,3,2536,1588,1521,317,785,104,315,65,2
11700,r075,"U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Humanities -> English language and literature, letters",U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Humanities,"English language and literature, letters",4,870,534,521,,320,,71,12,1
11700,r076,"U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Humanities -> Foreign languages, literatures, and linguistics",U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Humanities,"Foreign languages, literatures, and linguistics",4,322,196,187,,109,,35,8,1
11700,r077,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Humanities -> History,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Humanities,History,4,578,371,355,,151,,87,16,0
11700,r078,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Humanities -> Philosophy and religious studies,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Humanities,Philosophy and religious studies,4,482,313,289,,132,,52,24,0
11700,r079,"U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Humanities -> Humanities, other",U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Humanities,"Humanities, other",4,284,174,169,,73,,70,5,0
11700,r080,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Visual and performing arts,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Visual and performing arts,,3,575,350,333,52,194,34,53,17,0
11700,r081,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Visual and performing arts -> Performing arts,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Visual and performing arts,Performing arts,4,340,207,196,,124,,32,11,0
11700,r082,"U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Visual and performing arts -> Visual arts, media studies, and design",U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Visual and performing arts,"Visual arts, media studies, and design",4,235,143,137,,70,,21,6,0
11700,r083,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Other non-science and engineering,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Other non-science and engineering,,3,1491,1003,978,142,488,127,221,24,1
11700,r084,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Other non-science and engineering -> Communications and journalism,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Other non-science and engineering,Communications and journalism,4,440,292,284,,183,,37,8,0
11700,r085,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Other non-science and engineering -> Multidisciplinary/ interdisciplinary studies,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Other non-science and engineering,Multidisciplinary/ interdisciplinary studies,4,281,188,179,,88,,42,9,0
11700,r086,U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services,U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Other non-science and engineering,Public administration and social services,4,383,271,,42,105,,85,,1
11700,r087,"U.S. citizens and permanent residents reporting postgraduation plans -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other",U.S. citizens and permanent residents reporting postgraduation plans,Non-science and engineering,Other non-science and engineering,"Non-science and engineering, other",4,387,252,,,112,37,57,,0
