table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_and_local_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_organizations_in_the_united_states,field_all_other_organizations_outside_the_united_states
6588,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['35', '']","['29', '']","['*', 'i']","['2', '']","['0', '']","['0', '']","['3', '']","['1', '']","['*', 'i']"
6588,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['415', '']","['353', '']","['0 - 14', '']","['46', '']","['0', '']","['0', '']","['4', '']","['0 - 14', '']","['*', 'i']"
6588,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['199', '']","['195', '']","['0', '']","['3', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']"
6588,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['5', '']","['4', '']","['0', '']","['1', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']"
6588,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['18', '']","['17', '']","['*', '']","['1', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']"
6588,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['194', '']","['137', '']","['0 - 14', '']","['41', '']","['0', '']","['0', '']","['4', '']","['0 - 14', '']","['*', 'i']"
6588,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,021', '']","['1,115', '']","['651 - 733', '']","['133', '']","['1', 'i']","['7', '']","['18', '']","['8 - 58', '']","['1 - 36', '']"
6588,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['936', '']","['174 - 288', '']","['632 - 732', '']","['0 - 67', '']","['*', 'i']","['*', 'i']","['0 - 6', 'i']","['*', 'i']","['*', 'i']"
6588,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['363', '']","['295', '']","['0 - 16', 'i']","['52', '']","['1', 'i']","['0', '']","['0 - 6', 'i']","['0 - 16', 'i']","['1', '']"
6588,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['380', '']","['302', '']","['1', '']","['15 - 48', '']","['*', '']","['6', '']","['13', '']","['8 - 41', '']","['1', '']"
6588,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['118', '']","['97', '']","['1', '']","['7', 'i']","['*', '']","['0', '']","['3', '']","['9', 'i']","['*', 'i']"
6588,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['158', '']","['131', '']","['0', '']","['9', '']","['0', '']","['6', '']","['10', '']","['0', '']","['*', '']"
6588,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['104', '']","['74', '']","['0', '']","['0 - 31', '']","['0', '']","['0', '']","['0', '']","['0 - 31', '']","['*', '']"
6588,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['342', '']","['231 - 342', '']","['1', '']","['0 - 67', '']","['0', '']","['0', '']","['0 - 6', '']","['*', '']","['0 - 35', '']"
6588,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['124', '']","['108', '']","['*', 'i']","['10', '']","['1', '']","['0', '']","['4', '']","['1', '']","['0', '']"
6588,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['4,055', '']","['3,325', '']","['496', 'i']","['94', '']","['56', 'i']","['6', 'i']","['40', '']","['32', '']","['6', 'i']"
6588,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['3,371', '']","['2,712', '']","['493', 'i']","['86', '']","['3', '']","['3', '']","['39', '']","['30', '']","['4', 'i']"
6588,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['632', '']","['568', '']","['0', '']","['4', '']","['53', 'i']","['3', 'i']","['1', '']","['1', '']","['2', '']"
6588,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['514', '']","['450', '']","['0', '']","['4', '']","['53', 'i']","['3', 'i']","['1', '']","['1', '']","['2', '']"
6588,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['118', '']","['118', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']"
6588,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6588,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['51', '']","['45', '']","['3', '']","['3', '']","['0', '']","['0', '']","['*', 'i']","['*', 'i']","['0', '']"
6588,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['23', '']","['17', '']","['*', 'i']","['6', '']","['0', '']","['0', '']","['*', 'i']","['*', 'i']","['*', 'i']"
6588,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['708 - 800', '']","['564 - 657', '']","['0 - 56', '']","['14 - 32', '']","['*', 'i']","['*', '']","['74 - 111', '']","['0 - 56', '']","['0 - 35', '']"
6588,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['708', '']","['565', '']","['0 - 55', '']","['15', '']","['*', 'i']","['*', '']","['75', '']","['0 - 55', '']","['0 - 35', '']"
6588,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['0 - 92', '']","['0 - 92', '']","['*', 'i']","['0 - 17', 'i']","['0', '']","['0', '']","['0 - 36', '']","['*', '']","['*', 'i']"
6588,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['3,651', '']","['3,067', '']","['45', '']","['385', '']","['*', '']","['11', '']","['35', '']","['62', '']","['45', '']"
6588,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['123', '']","['100', '']","['0', '']","['10', '']","['0', '']","['0', '']","['0 - 10', '']","['2 - 14', '']","['0', '']"
6588,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['171', '']","['125', '']","['0', '']","['*', '']","['*', '']","['11', '']","['2', '']","['32', '']","['*', '']"
6588,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['47', '']","['37', 'i']","['*', 'i']","['5', 'i']","['0', '']","['0', '']","['1', 'i']","['5', 'i']","['0', '']"
6588,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['125', 'i']","['125', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6588,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['43', '']","['43', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']"
6588,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['2,061', '']","['1,848', '']","['6', '']","['159', '']","['0', '']","['0', '']","['0 - 6', '']","['0 - 7', '']","['43', '']"
6588,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,001', '']","['818', '']","['5', '']","['141', '']","['0', '']","['0', '']","['*', '']","['1', '']","['36', '']"
6588,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['4', '']","['4', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6588,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['998', '']","['815', '']","['5', '']","['141', '']","['0', '']","['0', '']","['*', '']","['1', '']","['36', '']"
6588,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['416', '']","['414', '']","['*', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6588,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['249', '']","['221', '']","['*', 'i']","['17', '']","['0', '']","['0', '']","['0 - 5', '']","['0 - 5', '']","['8', '']"
6588,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['395', '']","['394', '']","['0', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']"
6588,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['319', '']","['193', '']","['0', '']","['124', '']","['0', '']","['0', '']","['2', '']","['*', '']","['0', '']"
6588,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['7', '']","['7', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6588,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['*', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6588,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['7', '']","['7', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6588,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['603', '']","['467', '']","['39', '']","['70', '']","['*', 'i']","['0', '']","['12', '']","['13', '']","['1', 'i']"
6588,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['95', '']","['65', '']","['24', '']","['6', '']","['*', 'i']","['0', '']","['*', 'i']","['*', 'i']","['*', 'i']"
6588,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['128', '']","['98', 'i']","['15', 'i']","['12', 'i']","['*', 'i']","['0', '']","['3', 'i']","['1', 'i']","['1', 'i']"
6588,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['316', '']","['250', '']","['1', '']","['44', '']","['*', '']","['0', '']","['9', '']","['12', '']","['1', '']"
6588,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['118', '']","['107', '']","['1', '']","['5', '']","['*', 'i']","['0', '']","['3', '']","['1', '']","['1', '']"
6588,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['198', '']","['143', '']","['0', '']","['39', '']","['*', '']","['0', '']","['6', '']","['10', '']","['*', '']"
6588,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['*', '']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['0', '']","['*', 'i']","['*', 'i']","['*', 'i']"
6588,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['64', '']","['54', '']","['*', 'i']","['9', '']","['0', '']","['0', '']","['*', '']","['1', '']","['0', '']"
6588,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['66', '']","['39', '']","['0', '']","['16', '']","['0', '']","['0', '']","['10', '']","['*', 'i']","['0', '']"
6588,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['86', '']","['84', '']","['0', '']","['0', '']","['*', '']","['*', '']","['2', 'i']","['0', '']","['0', '']"
6588,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['37,537', '']","['31,827', '']","['1,347', '']","['3,251', '']","['64', 'i']","['24', '']","['439', '']","['465', '']","['120', '']"
6588,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6588,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['514', '']","['432', '']","['4', 'i']","['37', '']","['*', 'i']","['0', '']","['20', '']","['9', 'i']","['13', '']"
6588,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['1,214', '']","['1,027', '']","['0 - 42', 'i']","['100', '']","['1', '']","['*', 'i']","['39', '']","['0 - 42', '']","['8', '']"
6588,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6588,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['2,176', '']","['1,795', '']","['17', '']","['242', '']","['*', '']","['*', '']","['55', '']","['61', 'i']","['7', '']"
6588,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,912', '']","['1,538', '']","['25', '']","['285', '']","['*', 'i']","['*', '']","['17', '']","['46', '']","['*', 'i']"
6588,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6588,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,719', '']","['1,479', '']","['0 - 35', '']","['141', '']","['*', 'i']","['*', 'i']","['54', '']","['0 - 35', '']","['12', '']"
6588,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['2,118', '']","['1,857', '']","['37', '']","['109', 'i']","['*', '']","['*', '']","['16', '']","['54', '']","['43', '']"
6588,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['4,512', '']","['3,872', '']","['19', '']","['554', '']","['*', 'i']","['1', '']","['39', '']","['22', '']","['4', '']"
6588,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['5,634', '']","['4,763', '']","['648 - 731', '']","['70', '']","['*', 'i']","['*', 'i']","['65', '']","['0 - 81', '']","['4', '']"
6588,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['8,850', '']","['7,549', '']","['43', '']","['1,090', '']","['1', 'i']","['10', '']","['28', 'i']","['121', '']","['8', '']"
6588,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['8,888', '']","['7,514', '']","['475', 'i']","['622', '']","['61', 'i']","['12', '']","['106', '']","['75', '']","['21', '']"
