table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_under_35_median_salary,field_under_35_se,field_35_39_median_salary,field_35_39_se,field_40_44_median_salary,field_40_44_se,field_45_49_median_salary,field_45_49_se,field_50_54_median_salary,field_50_54_se,field_55_59_median_salary,field_55_59_se,field_60_64_median_salary,field_60_64_se,field_65_75_median_salary,field_65_75_se
9246,r014,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,110000,6500,84000,6500,90000,9000,101000,9000,115000,8500,128000,15500,151000,14000,156000,11000,152000,13000
9246,r015,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,119000,2000,89000,3500,102000,4500,110000,4000,127000,6000,130000,1500,140000,3000,135000,8000,136000,4500
9246,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,105000,2000,79000,5000,84000,3500,99000,2000,112000,6000,120000,5000,115000,6500,130000,7500,119000,6000
9246,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,130000,1000,100000,5500,118000,3500,136000,7500,132000,5500,142000,8500,150000,5500,153000,9000,138000,13000
9246,r018,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,101000,1500,84000,2500,91000,2500,100000,500,103000,3000,109000,3000,114000,4500,110000,2000,119000,3500
9246,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,101000,2000,94000,2500,88000,2500,88000,2500,100000,2500,110000,4000,115000,6000,110000,4500,114000,5500
9246,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,135000,4000,129000,6500,132000,6500,119000,7500,130000,17000,169000,8500,149000,11500,139000,12500,133000,8000
9246,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,103000,4000,89000,7500,83000,7500,79000,4500,107000,3000,107000,6000,116000,10000,118000,11000,110000,9000
9246,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,90000,2000,71000,3500,80000,2500,81000,3000,93000,4500,89000,5500,99000,8000,104000,16500,119000,11500
9246,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,90000,500,74000,2500,75000,2000,80000,1500,88000,5000,100000,2000,99000,2500,100000,2500,100000,4000
9246,r024,All fields -> Engineering,All fields,Engineering,,,2,137000,2000,110000,1000,125000,1000,135000,3000,150000,2500,159000,2000,150000,2000,159000,4000,149000,3000
9246,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,137000,4500,110000,2500,122000,6000,124000,4000,150000,11000,152000,8000,165000,9500,200000,25500,154000,3000
9246,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,139000,4000,109000,4000,127000,6500,131000,8500,158000,6000,161000,9500,150000,12000,173000,21000,149000,11500
9246,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,119000,4500,88000,1500,96000,2500,107000,5500,110000,9000,141000,8000,139000,12500,161000,13500,164000,21500
9246,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,150000,2000,134000,4500,140000,2500,159000,7000,167000,9000,166000,5000,166000,6500,160000,6500,140000,9500
9246,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,130000,2000,100000,2500,118000,5500,134000,9500,138000,5000,156000,6000,130000,4000,130000,9500,129000,8500
9246,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,134000,3500,108000,5000,130000,2000,124000,3000,150000,6000,159000,9000,138000,15000,161000,6500,167000,23500
9246,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,130000,500,100000,2000,115000,3500,129000,2000,139000,4500,150000,7500,159000,5500,153000,7000,145000,10000
9246,r032,All fields -> Health,All fields,Health,,,2,110000,2000,84000,4500,96000,3500,109000,4000,120000,3000,114000,5500,125000,6000,118000,8000,132000,4500
