table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10286,r017,All locations -> Iowa,All locations,Iowa,,2,686259,86138,30517,215567,336602,1441,15995
10286,r018,All locations -> Kansas,All locations,Kansas,,2,413888,110996,0,27976,269284,2751,2881
10286,r019,All locations -> Kentucky,All locations,Kentucky,,2,542299,167701,0,41637,313709,7430,11822
10286,r020,All locations -> Louisiana,All locations,Louisiana,,2,456813,65636,0,91297,266781,7721,25378
10286,r021,All locations -> Maine,All locations,Maine,,2,248866,16710,2040,55631,58224,108068,8193
10286,r022,All locations -> Maryland,All locations,Maryland,,2,17564594,10740753,681970,3108944,2598098,395409,39419
10286,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,9496432,550803,1872104,2950187,2002466,2110156,10716
10286,r024,All locations -> Michigan,All locations,Michigan,,2,2070494,323683,0.05,445953,1211927,82665,6264
10286,r025,All locations -> Minnesota,All locations,Minnesota,,2,1144953,85358,0,215833,497754,317338,28671
10286,r026,All locations -> Mississippi,All locations,Mississippi,,2,454921,234025,0,37985,175437,4825,2650
10286,r027,All locations -> Missouri,All locations,Missouri,,2,2058775,160622,0,953196,884718,46466,13773
10286,r028,All locations -> Montana,All locations,Montana,,2,287208,77990,0,29151,167255,2786,10026
10286,r029,All locations -> Nebraska,All locations,Nebraska,,2,302638,46772,0,20523,213769,18757,2816
10286,r030,All locations -> Nevada,All locations,Nevada,,2,551831,50478,0,391891,97367,4874,7220
10286,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,522631,19404,0,279670,212380,9988,1189
10286,r032,All locations -> New Jersey,All locations,New Jersey,,2,3398171,1057007,126515,1591296,554091,47339,21924
10286,r033,All locations -> New Mexico,All locations,New Mexico,,2,3881144,1024942,1979499,641103,199407,32440,3752
10286,r034,All locations -> New York,All locations,New York,,2,6830934,222856,517967,1699512,3735477,506968,148154
10286,r035,All locations -> North Carolina,All locations,North Carolina,,2,3620371,383630,0,940096,1824120,447051,25473
10286,r036,All locations -> North Dakota,All locations,North Dakota,,2,168097,41749,0,21237,94334,3349,7428
10286,r037,All locations -> Ohio,All locations,Ohio,,2,3856489,1107733,26812,1344147,1028125,328821,20850
10286,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,1505105,1139039,0,120656,198277,41334,5799
10286,r039,All locations -> Oregon,All locations,Oregon,,2,1069952,286944,1782,95666,654140,23369,8051
10286,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,4544785,441516,64174,1355538,2323389,341498,18671
10286,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,866046,272948,3253,189776,304079,85630,10360
10286,r042,All locations -> South Carolina,All locations,South Carolina,,2,1434459,147877,58903,627813,347098,235479,17289
10286,r043,All locations -> South Dakota,All locations,South Dakota,,2,132148,23548,0,24564,37755,14181,32100
10286,r044,All locations -> Tennessee,All locations,Tennessee,,2,3461773,1124264,1160050,337386,360163,468898,11010
10286,r045,All locations -> Texas,All locations,Texas,,2,6131234,900062,65396,2563779,2364744,174043,63210
10286,r046,All locations -> Utah,All locations,Utah,,2,2439690,208741,206351,1484197,523742,11761,4897
10286,r047,All locations -> Vermont,All locations,Vermont,,2,244489,14305,0,58473,162040,127,9543
10286,r048,All locations -> Virginia,All locations,Virginia,,2,9740743,2066103,580235,6385232,490072,208268,10833
10286,r049,All locations -> Washington,All locations,Washington,,2,3735831,365155,470081,1105503,912140,828150,54801
10286,r050,All locations -> West Virginia,All locations,West Virginia,,2,199238,43454,0,43846,85262,14850,11826
10286,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,989462,63909,0,122281,744515,46037,12720
10286,r052,All locations -> Wyoming,All locations,Wyoming,,2,196837,49421,5170,71013,65688,2155,3390
10286,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,228980,39463,0,48315,109160,24042,7999
10286,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,120136,29058,0,3528,84957,0.05,2586
10286,r055,All locations -> Outlying areas -> Other areas<sup>c</sup>,All locations,Outlying areas,Other areas<sup>c</sup>,3,108844,10405,0,44788,24203,24035,5413
10286,r056,All locations -> Offices abroad<sup>d</sup>,All locations,Offices abroad<sup>d</sup>,,2,179044,106203,0,66029,5294,1358,159
10286,r057,All locations -> Undistributed<sup>e</sup>,All locations,Undistributed<sup>e</sup>,,2,5176678,4912358,4544,251431,0,8344,0
