table_id,row_id,core_based_statistical_area_full_path,core_based_statistical_area_level_1,core_based_statistical_area_level_2,core_based_statistical_area_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
2708,r026,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",,1,12580,"['2,674', '&nbsp;']","['1,929', '&nbsp;']","['745', '&nbsp;']"
2708,r027,"Kansas City, MO-KS","Kansas City, MO-KS",,1,28140,"['2,530', '&nbsp;']","['1,578', '&nbsp;']","['953', '&nbsp;']"
2708,r028,"Sacramento-Roseville-Folsom, CA","Sacramento-Roseville-Folsom, CA",,1,40900,"['2,444', 'i']","['1,733', 'i']","['711', '&nbsp;']"
2708,r029,"Boise City, ID","Boise City, ID",,1,14260,"['2,393', '&nbsp;']","['2,234', '&nbsp;']","['159', '&nbsp;']"
2708,r030,"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO",,1,19740,"['2,213', '&nbsp;']","['2,045', '&nbsp;']","['168', '&nbsp;']"
2708,r031,"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",,1,37100,"['2,195', '&nbsp;']","['1,838', '&nbsp;']","['357', '&nbsp;']"
2708,r032,"Milwaukee-Waukesha, WI","Milwaukee-Waukesha, WI",,1,33340,"['2,170', '&nbsp;']","['2,113', '&nbsp;']","['57', '&nbsp;']"
2708,r033,"Trenton-Princeton, NJ","Trenton-Princeton, NJ",,1,45940,"['2,045', '&nbsp;']","['1,068', '&nbsp;']","['977', '&nbsp;']"
2708,r034,"Manchester-Nashua, NH","Manchester-Nashua, NH",,1,31700,"['1,957', '&nbsp;']","['555', '&nbsp;']","['1,401', '&nbsp;']"
2708,r035,"Columbus, OH","Columbus, OH",,1,18140,"['1,813', '&nbsp;']","['830', 'i']","['983', '&nbsp;']"
2708,r036,"Madison, WI","Madison, WI",,1,31540,"['1,742', '&nbsp;']","['1,317', '&nbsp;']","['425', 'i']"
2708,r037,"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL",,1,33100,"['1,642', '&nbsp;']","['1,427', '&nbsp;']","['215', 'i']"
2708,r038,"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",,1,14860,"['1,632', '&nbsp;']","['1,409', '&nbsp;']","['223', '&nbsp;']"
2708,r039,"Cleveland-Elyria, OH","Cleveland-Elyria, OH",,1,17460,"['1,625', '&nbsp;']","['1,485', '&nbsp;']","['140', '&nbsp;']"
2708,r040,"Pittsburgh, PA","Pittsburgh, PA",,1,38300,"['1,523', '&nbsp;']","['1,420', '&nbsp;']","['103', '&nbsp;']"
2708,r041,"Salt Lake City, UT","Salt Lake City, UT",,1,41620,"['1,516', 'i']","['1,319', '&nbsp;']","['197', 'i']"
2708,r042,"Boulder, CO","Boulder, CO",,1,14500,"['1,507', '&nbsp;']","['1,398', '&nbsp;']","['109', '&nbsp;']"
2708,r043,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",,1,45300,"['1,506', '&nbsp;']","['988', '&nbsp;']","['518', 'i']"
2708,r044,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",,1,39300,"['1,505', '&nbsp;']","['1,451', '&nbsp;']","['54', '&nbsp;']"
2708,r045,"Huntsville, AL","Huntsville, AL",,1,26620,"['1,457', '&nbsp;']","['575', 'i']","['882', '&nbsp;']"
2708,r046,"Tucson, AZ","Tucson, AZ",,1,46060,"['1,425', 'i']","['750', 'i']","['675', 'i']"
2708,r047,"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC",,1,16740,"['1,361', 'i']","['1,307', 'i']","['54', 'i']"
2708,r048,"Worcester, MA-CT","Worcester, MA-CT",,1,49340,"['1,172', '&nbsp;']","['1,019', '&nbsp;']","['153', 'i']"
2708,r049,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",,1,10580,"['1,169', '&nbsp;']","['920', '&nbsp;']","['249', 'i']"
2708,r050,"Cedar Rapids, IA","Cedar Rapids, IA",,1,16300,"['1,080', '&nbsp;']","[' 0 - 1,081', '&nbsp;']","[' 0 - 1,081', '&nbsp;']"
2708,r051,"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",,1,37340,"['1,065', 'i']","['230', 'i']","['834', 'i']"
2708,r052,"New Haven-Milford, CT","New Haven-Milford, CT",,1,35300,"['1,021', '&nbsp;']","['967', '&nbsp;']","['54', '&nbsp;']"
2708,r053,"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",,1,36740,"['978', 'i']","['708', '&nbsp;']","['270', 'i']"
2708,r054,"Rochester, NY","Rochester, NY",,1,40380,"['956', '&nbsp;']","['905', '&nbsp;']","['51', '&nbsp;']"
2708,r055,"Kalamazoo-Portage, MI","Kalamazoo-Portage, MI",,1,28020,"['947', '&nbsp;']","['589', '&nbsp;']","['359', '&nbsp;']"
2708,r056,"Corning, NY","Corning, NY",,1,18500,"['827', 'i']","['826', 'i']","['*', 'e']"
2708,r057,"Peoria, IL","Peoria, IL",,1,37900,"['819', 'i']","[' 0 - 820', 'i']","[' 0 - 820', 'i']"
2708,r058,"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",,1,19780,"['806', 'i']","[' 0 - 807', 'i']","[' 0 - 807', 'i']"
2708,r059,"Hartford-East Hartford-Middletown, CT","Hartford-East Hartford-Middletown, CT",,1,25540,"['802', '&nbsp;']","['751', '&nbsp;']","['51', '&nbsp;']"
2708,r060,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA",,1,42200,"['789', '&nbsp;']","['572', '&nbsp;']","['217', 'i']"
2708,r061,"Greensboro-High Point, NC","Greensboro-High Point, NC",,1,24660,"['786', 'i']","['712', 'i']","['73', 'i']"
2708,r062,"Provo-Orem, UT","Provo-Orem, UT",,1,39340,"['766', '&nbsp;']","['699', '&nbsp;']","['67', '&nbsp;']"
2708,r063,"Ann Arbor, MI","Ann Arbor, MI",,1,11460,"['759', '&nbsp;']","['557', '&nbsp;']","['202', '&nbsp;']"
2708,r064,"Grand Rapids-Kentwood, MI","Grand Rapids-Kentwood, MI",,1,24340,"['740', '&nbsp;']","['564', '&nbsp;']","['176', '&nbsp;']"
2708,r065,"Richmond, VA","Richmond, VA",,1,40060,"['728', '&nbsp;']","['700', '&nbsp;']","['28', 'i']"
2708,r066,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",,1,40140,"['710', '&nbsp;']","['650', '&nbsp;']","['60', 'i']"
2708,r067,"Akron, OH","Akron, OH",,1,10420,"['700', '&nbsp;']","['490', '&nbsp;']","['210', 'i']"
2708,r068,"Syracuse, NY","Syracuse, NY",,1,45060,"['675', 'i']","['482', '&nbsp;']","['193', 'i']"
2708,r069,"Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga, NY",,1,15380,"['674', '&nbsp;']","['501', '&nbsp;']","['173', 'i']"
2708,r070,"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",,1,29820,"['647', '&nbsp;']","['514', '&nbsp;']","['132', 'i']"
2708,r071,"Jacksonville, FL","Jacksonville, FL",,1,27260,"['634', '&nbsp;']","['597', '&nbsp;']","['37', 'i']"
2708,r072,"Dayton-Kettering, OH","Dayton-Kettering, OH",,1,19430,"['624', '&nbsp;']","['295', '&nbsp;']","['329', '&nbsp;']"
2708,r073,"Albuquerque, NM","Albuquerque, NM",,1,10740,"['618', '&nbsp;']","['314', '&nbsp;']","['304', 'i']"
2708,r074,"Ogden-Clearfield, UT","Ogden-Clearfield, UT",,1,36260,"['598', 'i']","['493', 'i']","['105', 'i']"
2708,r075,"Columbus, IN","Columbus, IN",,1,18020,"['580', 'i']","['502', 'i']","['79', '&nbsp;']"
2708,r076,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",,1,41700,"['579', '&nbsp;']","['505', '&nbsp;']","['73', 'i']"
2708,r077,"Bloomington, IL","Bloomington, IL",,1,14010,"['577', '&nbsp;']","['561', '&nbsp;']","['16', 'i']"
2708,r078,"Wichita, KS","Wichita, KS",,1,48620,"['555', '&nbsp;']","['547', '&nbsp;']","['7', '&nbsp;']"
2708,r079,"Charleston-North Charleston, SC","Charleston-North Charleston, SC",,1,16700,"['541', '&nbsp;']","['407', '&nbsp;']","['135', 'i']"
2708,r080,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",,1,10900,"['536', '&nbsp;']","['510', '&nbsp;']","['26', '&nbsp;']"
2708,r081,"Greenville-Anderson, SC","Greenville-Anderson, SC",,1,24860,"['491', '&nbsp;']","['460', '&nbsp;']","['31', 'i']"
2708,r082,"Santa Rosa-Petaluma, CA","Santa Rosa-Petaluma, CA",,1,42220,"['485', 'i']","['469', 'i']","['16', 'i']"
2708,r083,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",,1,47260,"['471', '&nbsp;']","['294', '&nbsp;']","['177', '&nbsp;']"
2708,r084,"Elizabethtown-Fort Knox, KY","Elizabethtown-Fort Knox, KY",,1,21060,"['443', '&nbsp;']","['443', '&nbsp;']","['*', 'e']"
2708,r085,"Colorado Springs, CO","Colorado Springs, CO",,1,17820,"['428', 'i']","['349', 'i']","['79', '&nbsp;']"
2708,r086,"Oshkosh-Neenah, WI","Oshkosh-Neenah, WI",,1,36780,"['427', '&nbsp;']","['425', '&nbsp;']","['2', '&nbsp;']"
2708,r087,"Winston-Salem, NC","Winston-Salem, NC",,1,49180,"['413', '&nbsp;']","['356', '&nbsp;']","['57', '&nbsp;']"
2708,r088,"Fort Collins, CO","Fort Collins, CO",,1,22660,"['411', '&nbsp;']","['359', '&nbsp;']","['52', '&nbsp;']"
2708,r089,"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",,1,36540,"['387', '&nbsp;']","['342', '&nbsp;']","['45', '&nbsp;']"
2708,r090,"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL",,1,19340,"['385', '&nbsp;']","['383', '&nbsp;']","['1', 'e']"
2708,r091,"Niles, MI","Niles, MI",,1,35660,"['375', '&nbsp;']","['375', '&nbsp;']","['*', 'e']"
2708,r092,"Memphis, TN-MS-AR","Memphis, TN-MS-AR",,1,32820,"['359', '&nbsp;']","['341', '&nbsp;']","['18', '&nbsp;']"
2708,r093,"Burlington, NC","Burlington, NC",,1,15500,"['358', 'i']","['34', 'i']","['324', 'i']"
2708,r094,"Binghamton, NY","Binghamton, NY",,1,13780,"['353', 'i']","['115', 'i']","['238', 'i']"
2708,r095,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA",,1,47940,"['348', '&nbsp;']","['347', '&nbsp;']","['*', 'e']"
2708,r096,"Pueblo, CO","Pueblo, CO",,1,39380,"['346', '&nbsp;']","['22', 'i']","['324', '&nbsp;']"
2708,r097,"Oklahoma City, OK","Oklahoma City, OK",,1,36420,"['324', '&nbsp;']","['294', '&nbsp;']","['30', '&nbsp;']"
2708,r098,"Bakersfield, CA","Bakersfield, CA",,1,12540,"['301', 'i']","['186', 'i']","['116', 'i']"
2708,r099,"Midland, MI","Midland, MI",,1,33220,"[' 0 - 384', '&nbsp;']","[' 0 - 383', '&nbsp;']","['1', 'i']"
2708,r100,"Savannah, GA","Savannah, GA",,1,42340,"['303 - 687', '&nbsp;']","['304', '&nbsp;']","[' 0 - 383', 'i']"
2708,r101,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",,1,44060,"[' 302 - 686', 'i']","['303', 'i']","[' 0 - 383', 'i']"
2708,r102,"Spokane-Spokane Valley, WA -> All other CBSAs","Spokane-Spokane Valley, WA",All other CBSAs,2,,"['23,542', '&nbsp;']","['20,206', '&nbsp;']","['3,336', '&nbsp;']"
2708,r103,"Spokane-Spokane Valley, WA -> Locations outside a CBSA","Spokane-Spokane Valley, WA",Locations outside a CBSA,2,,"['2,235', '&nbsp;']","['1,984', '&nbsp;']","['251', 'i']"
2708,r104,"Spokane-Spokane Valley, WA -> Undistributed<sup>a</sup>","Spokane-Spokane Valley, WA",Undistributed<sup>a</sup>,2,,"['2,584', '&nbsp;']","['2,399', '&nbsp;']","['186', '&nbsp;']"
