table_id,row_id,design_class_full_path,design_class_level_1,design_class_level_2,design_class_hierarchy_depth,field_1998,field_1999,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1946,r021,All classes -> Sales and Advertising Equipment ,All classes,Sales and Advertising Equipment ,2,117,92,128,91,73,136,100,89,88,87,70,82,119,130,144,152,101,65,96,84,87
1946,r022,"All classes -> Games, Toys, and Sports Goods",All classes,"Games, Toys, and Sports Goods",2,742,643,735,605,491,582,516,430,706,727,783,638,503,641,574,625,668,647,630,800,796
1946,r023,"All classes -> Arms, Pyrotechnics, Hunting and Fishing Equipment ",All classes,"Arms, Pyrotechnics, Hunting and Fishing Equipment ",2,122,148,140,129,124,155,121,103,138,148,141,174,203,228,227,265,307,318,388,405,352
1946,r024,"All classes -> Environmental Heating and Cooling, Fluid Handling and Sanitary Equipment ",All classes,"Environmental Heating and Cooling, Fluid Handling and Sanitary Equipment ",2,495,540,611,541,554,560,437,517,1001,748,802,629,701,594,559,639,619,620,630,712,709
1946,r025,All classes -> Medical and Laboratory Equipment ,All classes,Medical and Laboratory Equipment ,2,406,423,489,526,443,465,348,218,304,481,551,546,738,653,643,771,732,922,987,973,958
1946,r026,All classes -> Building Units and Construction Elements ,All classes,Building Units and Construction Elements ,2,232,269,272,304,315,280,265,258,228,314,322,266,319,229,307,307,269,338,317,374,289
1946,r027,All classes -> Lighting ,All classes,Lighting ,2,322,336,512,527,421,397,344,274,446,651,656,491,495,449,473,568,524,566,669,808,703
1946,r028,All classes -> Tobacco and Smokers' Supplies ,All classes,Tobacco and Smokers' Supplies ,2,57,63,32,42,47,31,45,36,74,85,41,31,49,26,31,47,20,76,121,74,96
1946,r029,All classes -> Cosmetic Products and Toilet Articles ,All classes,Cosmetic Products and Toilet Articles ,2,120,119,247,195,143,128,157,112,140,143,160,127,188,176,189,137,159,167,191,201,249
1946,r030,"All classes -> Equipment for Safety, Protection, and Rescue ",All classes,"Equipment for Safety, Protection, and Rescue ",2,52,62,57,46,67,41,49,43,75,83,96,112,68,104,124,108,92,160,147,146,129
1946,r031,All classes -> Animal Husbandry ,All classes,Animal Husbandry ,2,90,88,152,83,91,99,88,106,125,159,174,142,214,196,218,195,199,158,155,180,262
1946,r032,"All classes -> Washing, Cleaning, or Drying Machines ",All classes,"Washing, Cleaning, or Drying Machines ",2,143,122,218,168,146,178,149,86,193,278,216,197,222,185,212,215,149,200,201,239,242
1946,r033,All classes -> Material or Article Handling Equipment ,All classes,Material or Article Handling Equipment ,2,159,142,132,115,120,135,104,65,128,216,157,175,145,167,164,96,110,133,141,185,150
1946,r034,All classes -> Miscellaneous ,All classes,Miscellaneous ,2,55,46,54,88,42,84,95,46,49,29,38,23,56,52,47,45,47,50,46,46,44
1946,r035,All classes -> Unclassified,All classes,Unclassified,2,2,2,2,2,0,0,0,2,2,0,0,1,2,5,4,6,4,10,9,6,13
