table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_s_e_fields_total,field_s_e_fields_biological_agricultural_and_environmental_life_sciences,field_s_e_fields_computer_and_mathematical_sciences,field_s_e_fields_physical_and_related_sciences,field_s_e_fields_social_and_related_sciences,field_s_e_fields_engineering,field_s_e_related_fields,field_non_s_e_fields
6843,r011,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All college graduates,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,4,114000,88000,3000,71000,3000,3000,9000,14000,13000
6843,r012,All college graduates -> S&E occupations -> Physical and related scientists,All college graduates,S&E occupations,Physical and related scientists,,3,366000,330000,81000,2000,217000,8000,22000,12000,24000
6843,r013,"All college graduates -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All college graduates,S&E occupations,Physical and related scientists,"Chemists, except biochemists",4,109000,102000,26000,0.05,71000,,4000,3000,4000
6843,r014,"All college graduates -> S&E occupations -> Physical and related scientists -> Earth scientists, geologists and oceanographers",All college graduates,S&E occupations,Physical and related scientists,"Earth scientists, geologists and oceanographers",4,69000,67000,4000,S,57000,1000,3000,,2000
6843,r015,All college graduates -> S&E occupations -> Physical and related scientists -> Physicists and astronomers,All college graduates,S&E occupations,Physical and related scientists,Physicists and astronomers,4,42000,41000,,,33000,,6000,1000,
6843,r016,All college graduates -> S&E occupations -> Physical and related scientists -> Other physical and related scientists,All college graduates,S&E occupations,Physical and related scientists,Other physical and related scientists,4,65000,42000,23000,,8000,3000,8000,6000,17000
6843,r017,All college graduates -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All college graduates,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,4,81000,79000,27000,,48000,S,2000,S,S
6843,r018,All college graduates -> S&E occupations -> Social and related scientists,All college graduates,S&E occupations,Social and related scientists,,3,646000,416000,11000,8000,2000,391000,4000,27000,203000
6843,r019,All college graduates -> S&E occupations -> Social and related scientists -> Economists,All college graduates,S&E occupations,Social and related scientists,Economists,4,47000,42000,S,1000,,39000,,1000,5000
6843,r020,All college graduates -> S&E occupations -> Social and related scientists -> Political scientists,All college graduates,S&E occupations,Social and related scientists,Political scientists,4,33000,15000,,,,14000,,,17000
6843,r021,All college graduates -> S&E occupations -> Social and related scientists -> Psychologists,All college graduates,S&E occupations,Social and related scientists,Psychologists,4,199000,170000,3000,,,166000,,8000,21000
6843,r022,All college graduates -> S&E occupations -> Social and related scientists -> Sociologists and anthropologists,All college graduates,S&E occupations,Social and related scientists,Sociologists and anthropologists,4,24000,21000,,,,21000,,,2000
6843,r023,All college graduates -> S&E occupations -> Social and related scientists -> Other social and related scientists,All college graduates,S&E occupations,Social and related scientists,Other social and related scientists,4,159000,42000,3000,5000,S,29000,3000,16000,101000
6843,r024,All college graduates -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All college graduates,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,4,183000,125000,,1000,,123000,,2000,56000
6843,r025,All college graduates -> S&E occupations -> Engineers,All college graduates,S&E occupations,Engineers,,3,1728000,1468000,30000,51000,47000,28000,1312000,92000,168000
6843,r026,"All college graduates -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All college graduates,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",4,132000,108000,,5000,6000,,94000,5000,18000
6843,r027,All college graduates -> S&E occupations -> Engineers -> Chemical engineers,All college graduates,S&E occupations,Engineers,Chemical engineers,4,93000,86000,1000,,5000,,80000,S,5000
6843,r028,"All college graduates -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All college graduates,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",4,264000,238000,5000,3000,S,1000,227000,9000,17000
6843,r029,All college graduates -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All college graduates,S&E occupations,Engineers,Electrical and computer hardware engineers,4,374000,330000,,21000,7000,S,297000,19000,26000
6843,r030,All college graduates -> S&E occupations -> Engineers -> Industrial engineers,All college graduates,S&E occupations,Engineers,Industrial engineers,4,88000,60000,S,1000,3000,,51000,10000,18000
6843,r031,All college graduates -> S&E occupations -> Engineers -> Mechanical engineers,All college graduates,S&E occupations,Engineers,Mechanical engineers,4,313000,274000,,4000,2000,1000,265000,15000,24000
6843,r032,All college graduates -> S&E occupations -> Engineers -> Other engineers,All college graduates,S&E occupations,Engineers,Other engineers,4,406000,322000,20000,15000,21000,14000,252000,31000,53000
6843,r033,All college graduates -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All college graduates,S&E occupations,Engineers,Postsecondary teachers - engineering,4,59000,50000,S,,2000,,46000,S,6000
6843,r034,All college graduates -> S&E-related occupations,All college graduates,S&E-related occupations,,,2,8271000,1997000,635000,307000,159000,366000,531000,4796000,1479000
6843,r035,All college graduates -> S&E-related occupations -> Health-related occupations,All college graduates,S&E-related occupations,Health-related occupations,,3,5181000,643000,377000,18000,38000,192000,17000,4017000,522000
6843,r036,All college graduates -> S&E-related occupations -> S&E managers,All college graduates,S&E-related occupations,S&E managers,,3,1048000,523000,65000,104000,39000,51000,264000,315000,210000
6843,r037,All college graduates -> S&E-related occupations -> S&E precollege teachers,All college graduates,S&E-related occupations,S&E precollege teachers,,3,961000,247000,76000,56000,34000,68000,13000,187000,527000
6843,r038,All college graduates -> S&E-related occupations -> S&E technicians and technologists,All college graduates,S&E-related occupations,S&E technicians and technologists,,3,837000,539000,113000,111000,47000,42000,226000,99000,200000
6843,r039,All college graduates -> S&E-related occupations -> Other S&E-related occupations,All college graduates,S&E-related occupations,Other S&E-related occupations,,3,244000,45000,,18000,,12000,11000,178000,20000
6843,r040,All college graduates -> Non-S&E occupations,All college graduates,Non-S&E occupations,,,2,33183000,7418000,1022000,823000,289000,4291000,993000,1693000,24072000
6843,r041,All college graduates -> Non-S&E occupations -> Non-S&E managers,All college graduates,Non-S&E occupations,Non-S&E managers,,3,4510000,1221000,167000,164000,69000,525000,297000,271000,3018000
6843,r042,All college graduates -> Non-S&E occupations -> Management-related occupations,All college graduates,Non-S&E occupations,Management-related occupations,,3,6428000,1456000,180000,221000,42000,800000,213000,288000,4684000
6843,r043,All college graduates -> Non-S&E occupations -> Non-S&E precollege teachers,All college graduates,Non-S&E occupations,Non-S&E precollege teachers,,3,4093000,418000,33000,41000,19000,316000,9000,152000,3522000
6843,r044,All college graduates -> Non-S&E occupations -> Non-S&E postsecondary teachers,All college graduates,Non-S&E occupations,Non-S&E postsecondary teachers,,3,634000,82000,4000,8000,S,61000,5000,61000,491000
6843,r045,All college graduates -> Non-S&E occupations -> Social services and related occupations,All college graduates,Non-S&E occupations,Social services and related occupations,,3,1908000,524000,23000,10000,S,483000,6000,137000,1247000
6843,r046,All college graduates -> Non-S&E occupations -> Sales and marketing occupations,All college graduates,Non-S&E occupations,Sales and marketing occupations,,3,4353000,1025000,155000,105000,38000,603000,124000,209000,3119000
6843,r047,"All college graduates -> Non-S&E occupations -> Art, humanities, and related occupations",All college graduates,Non-S&E occupations,"Art, humanities, and related occupations",,3,1439000,252000,22000,16000,11000,179000,23000,30000,1158000
6843,r048,All college graduates -> Non-S&E occupations -> Other non-S&E occupations,All college graduates,Non-S&E occupations,Other non-S&E occupations,,3,9818000,2441000,438000,258000,104000,1325000,316000,544000,6833000
