table_id,row_id,citizenship_sex_and_field_full_path,citizenship_sex_and_field_level_1,citizenship_sex_and_field_level_2,citizenship_sex_and_field_level_3,citizenship_sex_and_field_level_4,citizenship_sex_and_field_level_5,citizenship_sex_and_field_level_6,citizenship_sex_and_field_level_7,citizenship_sex_and_field_level_8,citizenship_sex_and_field_level_9,citizenship_sex_and_field_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1566,r177,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,,,,,5,10712,10457,10024,10097,10487,10925,11496,12285,12595,12787,11980,12545,12925,13460,13972,14320,14524,14645
1566,r178,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,,,,6,2160,2079,1810,1807,1854,1941,2108,2317,2376,2518,2601,2793,2925,3104,3349,3456,3475,3409
1566,r179,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering -> Aerospace,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,Aerospace,,,7,108,85,67,63,64,81,69,92,90,119,102,115,139,142,172,164,177,188
1566,r180,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering -> Chemical,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,Chemical,,,7,275,271,267,225,245,277,306,279,287,311,329,299,307,302,380,402,402,405
1566,r181,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering -> Civil,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,Civil,,,7,248,224,206,204,178,200,211,268,219,240,234,238,244,271,300,353,310,287
1566,r182,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering -> Electrical,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,Electrical,,,7,557,524,449,418,457,477,497,555,595,597,638,685,689,708,704,743,698,620
1566,r183,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering -> Industrial,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,Industrial,,,7,81,77,76,66,90,79,73,88,79,74,81,87,75,90,93,77,94,95
1566,r184,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering -> Materials,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,Materials,,,7,186,170,128,155,169,141,176,212,217,194,224,217,275,247,256,276,323,329
1566,r185,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering -> Mechanical,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,Mechanical,,,7,330,372,298,297,258,296,329,319,339,391,363,421,463,505,548,562,564,553
1566,r186,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Engineering -> Other,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Engineering,Other,,,7,375,356,319,379,393,390,447,504,550,592,630,731,733,839,896,879,907,932
1566,r187,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Science,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Science,,,,6,8552,8378,8214,8290,8633,8984,9388,9968,10219,10269,9379,9752,10000,10356,10623,10864,11049,11236
1566,r188,U.S. citizen or permanent resident -> Both sexes -> Male -> All fields -> S&E -> Science -> Natural sciences,U.S. citizen or permanent resident,Both sexes,Male,All fields,S&E,Science,Natural sciences,,,7,5693,5554,5508,5683,5912,6466,6879,7485,7661,7813,6895,7184,7364,7557,7803,7946,8133,8346
