table_id,row_id,highest_degree_and_occupation_full_path,highest_degree_and_occupation_level_1,highest_degree_and_occupation_level_2,highest_degree_and_occupation_level_3,highest_degree_and_occupation_level_4,highest_degree_and_occupation_level_5,highest_degree_and_occupation_level_6,highest_degree_and_occupation_hierarchy_depth,field_all_ethnicities_and_races,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
3313,r011,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Computer and information scientist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Computer and information scientist,Postsecondary teacher,,5,30000,4000,,8000,1000,,17000,1000
3313,r012,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Mathematical scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Mathematical scientist,,,4,365000,24000,,70000,S,,242000,4000
3313,r013,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Mathematical scientist -> Mathematical scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Mathematical scientist,Mathematical scientist,,5,284000,20000,,55000,S,,183000,3000
3313,r014,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Mathematical scientist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Mathematical scientist,Postsecondary teacher,,5,81000,3000,,15000,2000,,59000,1000
3313,r015,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,,,4,409000,27000,1000,55000,18000,S,300000,7000
3313,r016,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Chemist, except biochemist",All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,"Chemist, except biochemist",,5,132000,9000,,19000,7000,0.05,95000,S
3313,r017,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Earth, atmospheric, and ocean scientist",All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,"Earth, atmospheric, and ocean scientist",,5,85000,3000,,5000,0.05,,74000,1000
3313,r018,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Physicist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,Physicist,,5,45000,2000,,11000,,,29000,S
3313,r019,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Other physical and related scientist, including astronomer",All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,"Other physical and related scientist, including astronomer",,5,67000,7000,,5000,6000,,47000,S
3313,r020,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,Postsecondary teacher,,5,80000,6000,,16000,3000,,54000,
3313,r021,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Psychologist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Psychologist,,,4,276000,24000,0.05,10000,14000,,222000,5000
3313,r022,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Psychologist -> Psychologist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Psychologist,Psychologist,,5,228000,21000,0.05,7000,13000,,183000,3000
3313,r023,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Psychologist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Psychologist,Postsecondary teacher,,5,48000,3000,,3000,1000,,39000,2000
3313,r024,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,,,4,387000,52000,S,34000,33000,S,259000,7000
3313,r025,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Economist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Economist,,5,56000,5000,,8000,2000,,40000,0.05
3313,r026,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Political scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Political scientist,,5,22000,1000,,S,S,,18000,
3313,r027,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Anthropologist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Anthropologist,,5,16000,1000,,,,,12000,S
3313,r028,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Other social scientist, including sociologist",All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,"Other social scientist, including sociologist",,5,142000,33000,,11000,12000,,81000,4000
3313,r029,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Postsecondary teacher,,5,151000,12000,,14000,16000,,106000,2000
3313,r030,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,,,,3,1921000,159000,5000,331000,77000,7000,1305000,37000
3313,r031,"All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Aerospace, aeronautical, or astronautical engineer",All degrees<sup>b</sup>,S&E occupations,Engineering occupations,"Aerospace, aeronautical, or astronautical engineer",,,4,126000,13000,,17000,3000,,88000,2000
3313,r032,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Chemical engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Chemical engineer,,,4,84000,4000,,14000,5000,,60000,S
3313,r033,"All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Civil, architectural, or sanitary engineer",All degrees<sup>b</sup>,S&E occupations,Engineering occupations,"Civil, architectural, or sanitary engineer",,,4,294000,30000,,40000,12000,,208000,3000
3313,r034,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Electrical or computer hardware engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Electrical or computer hardware engineer,,,4,412000,30000,,110000,22000,S,237000,7000
3313,r035,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Industrial engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Industrial engineer,,,4,95000,13000,,11000,5000,,64000,1000
3313,r036,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Mechanical engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Mechanical engineer,,,4,377000,28000,,60000,8000,,273000,6000
3313,r037,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Other engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Other engineer,,,4,472000,37000,S,60000,17000,,340000,15000
3313,r038,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Postsecondary teacher,,,4,61000,3000,,18000,S,,34000,1000
3313,r039,All degrees<sup>b</sup> -> S&E-related occupations,All degrees<sup>b</sup>,S&E-related occupations,,,,,2,8893000,821000,29000,1151000,613000,30000,6053000,198000
3313,r040,All degrees<sup>b</sup> -> S&E-related occupations -> Health-related occupation,All degrees<sup>b</sup>,S&E-related occupations,Health-related occupation,,,,3,5728000,491000,23000,754000,399000,25000,3895000,139000
3313,r041,"All degrees<sup>b</sup> -> S&E-related occupations -> S&E manager, including health",All degrees<sup>b</sup>,S&E-related occupations,"S&E manager, including health",,,,3,999000,99000,S,135000,70000,,679000,14000
3313,r042,All degrees<sup>b</sup> -> S&E-related occupations -> S&E pre-college teacher,All degrees<sup>b</sup>,S&E-related occupations,S&E pre-college teacher,,,,3,925000,95000,1000,34000,54000,1000,719000,21000
3313,r043,All degrees<sup>b</sup> -> S&E-related occupations -> S&E technician/ technologist,All degrees<sup>b</sup>,S&E-related occupations,S&E technician/ technologist,,,,3,973000,115000,3000,189000,84000,S,560000,20000
3313,r044,All degrees<sup>b</sup> -> S&E-related occupations -> Other S&E-related occupation,All degrees<sup>b</sup>,S&E-related occupations,Other S&E-related occupation,,,,3,270000,21000,,38000,5000,,200000,4000
3313,r045,All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup>,All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,,,,,2,12267000,1261000,39000,1176000,1074000,35000,8388000,295000
3313,r046,"All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup> -> Arts, humanities, and related occupation",All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,"Arts, humanities, and related occupation",,,,3,305000,21000,,24000,11000,,236000,11000
3313,r047,All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup> -> Management-related occupation,All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,Management-related occupation,,,,3,2534000,234000,S,299000,234000,14000,1696000,49000
3313,r048,All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup> -> Non-S&E manager,All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,Non-S&E manager,,,,3,2003000,146000,7000,219000,98000,1000,1488000,43000
3313,r049,All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup> -> Non-S&E postsecondary teacher,All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,Non-S&E postsecondary teacher,,,,3,191000,18000,,17000,14000,,139000,2000
3313,r050,All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup> -> Non-S&E precollege teacher,All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,Non-S&E precollege teacher,,,,3,924000,109000,S,72000,88000,S,638000,11000
3313,r051,All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup> -> Sales and marketing occupation,All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,Sales and marketing occupation,,,,3,1444000,146000,2000,144000,81000,S,1032000,32000
3313,r052,All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup> -> Social service and related occupation,All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,Social service and related occupation,,,,3,1057000,134000,8000,54000,159000,,666000,35000
3313,r053,All degrees<sup>b</sup> -> Non-S&E occupations<sup>c</sup> -> Other non-S&E occupation,All degrees<sup>b</sup>,Non-S&E occupations<sup>c</sup>,Other non-S&E occupation,,,,3,3810000,453000,9000,347000,389000,8000,2493000,110000
3313,r054,All degrees<sup>b</sup> -> Bachelor's,All degrees<sup>b</sup>,Bachelor's,,,,,2,16042000,1668000,53000,1829000,1153000,64000,10888000,388000
3313,r055,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations,All degrees<sup>b</sup>,Bachelor's,S&E occupations,,,,3,4176000,372000,S,636000,219000,11000,2810000,109000
3313,r056,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,,,4,3017000,262000,S,502000,170000,6000,1979000,83000
3313,r057,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Biological/ life scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Biological/ life scientist,,5,277000,36000,1000,34000,10000,,187000,8000
3313,r058,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Biological/ life scientist -> Agricultural/ food science,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Biological/ life scientist,Agricultural/ food science,6,29000,S,,S,,,20000,
3313,r059,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Biological/ life scientist -> Biological/ scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Biological/ life scientist,Biological/ scientist,6,206000,21000,S,30000,9000,,137000,7000
3313,r060,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Biological/ life scientist -> Forestry and conservation scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Biological/ life scientist,Forestry and conservation scientist,6,28000,,,,,,19000,
3313,r061,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Biological/ life scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Biological/ life scientist,Postsecondary teacher,6,15000,,,S,,,11000,
3313,r062,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Computer and information scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Computer and information scientist,,5,2277000,170000,S,427000,139000,S,1454000,68000
3313,r063,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Computer and information scientist -> Computer/ information scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Computer and information scientist,Computer/ information scientist,6,2271000,168000,S,426000,139000,S,1451000,67000
3313,r064,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Computer and information scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Computer and information scientist,Postsecondary teacher,6,6000,,,S,,,3000,
3313,r065,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Mathematical scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Mathematical scientist,,5,126000,12000,,15000,5000,,93000,2000
3313,r066,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Mathematical scientist -> Mathematical scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Mathematical scientist,Mathematical scientist,6,115000,10000,,13000,S,,86000,S
3313,r067,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Mathematical scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Mathematical scientist,Postsecondary teacher,6,11000,1000,,S,,,7000,
3313,r068,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Physical scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Physical scientist,,5,189000,15000,0.05,19000,10000,0.05,141000,4000
3313,r069,"All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Physical scientist -> Chemist, except biochemist",All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Physical scientist,"Chemist, except biochemist",6,71000,6000,,8000,5000,0.05,50000,S
3313,r070,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Physical scientist -> Earth scientist/ geologist/ oceanographer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Physical scientist,Earth scientist/ geologist/ oceanographer,6,45000,1000,,1000,,,43000,0.05
3313,r071,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Physical scientist -> Physicist/ astronomer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Physical scientist,Physicist/ astronomer,6,10000,S,,3000,,,7000,
3313,r072,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Physical scientist -> Other physical scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Physical scientist,Other physical scientist,6,41000,S,,2000,S,,28000,S
3313,r073,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Physical scientist -> Postsecondary teachers,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Physical scientist,Postsecondary teachers,6,21000,1000,,5000,,,S,
3313,r074,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Psychologist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Psychologist,,5,50000,2000,,2000,,,45000,
3313,r075,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Psychologist -> Psychologist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Psychologist,Psychologist,6,39000,1000,,2000,,,36000,
3313,r076,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Psychologist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Psychologist,Postsecondary teacher,6,S,,,,,,S,
3313,r077,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Social scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Social scientist,,5,97000,27000,,5000,5000,,58000,2000
3313,r078,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Social scientist -> Economist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Social scientist,Economist,6,22000,S,,S,S,,19000,
3313,r079,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Social scientist -> Political scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Social scientist,Political scientist,6,3000,,,,,,2000,
3313,r080,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Social scientist -> Sociologist/ anthropologist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Social scientist,Sociologist/ anthropologist,6,3000,,,,,,2000,
3313,r081,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Social scientist -> Other social scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Social scientist,Other social scientist,6,59000,S,,3000,2000,,29000,S
3313,r082,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupation -> Social scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupation,Social scientist,Postsecondary teacher,6,10000,,,1000,,,6000,
3313,r083,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,,,4,1158000,110000,4000,134000,49000,S,830000,25000
3313,r084,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Aerospace engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Aerospace engineer,,5,68000,8000,,9000,S,,45000,S
3313,r085,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Chemical engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Chemical engineer,,5,50000,3000,,4000,S,,41000,S
3313,r086,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Civil engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Civil engineer,,5,191000,20000,,17000,8000,,143000,2000
3313,r087,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Electrical engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Electrical engineer,,5,226000,21000,,37000,15000,,144000,5000
3313,r088,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Industrial engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Industrial engineer,,5,62000,9000,,5000,4000,,43000,S
3313,r089,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Mechanical engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Mechanical engineer,,5,247000,20000,,26000,7000,,191000,2000
3313,r090,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Other engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Other engineer,,5,308000,28000,,33000,11000,,222000,13000
3313,r091,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Postsecondary teacher,,5,7000,,,S,,,2000,
3313,r092,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,,,,3,4794000,485000,11000,534000,336000,25000,3298000,105000
3313,r093,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> Health occupations,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,Health occupations,,,4,2978000,282000,7000,346000,207000,S,2047000,69000
3313,r094,"All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> S&E managers, including health",All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,"S&E managers, including health",,,4,501000,47000,0.05,53000,31000,,361000,9000
3313,r095,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> S&E pre-college teacher,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,S&E pre-college teacher,,,4,395000,46000,1000,14000,27000,0.05,295000,S
3313,r096,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> S&E technician/ technologist,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,S&E technician/ technologist,,,4,738000,96000,3000,103000,68000,S,450000,15000
3313,r097,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> Other S&E-related occupation,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,Other S&E-related occupation,,,4,182000,13000,,17000,S,,145000,S
3313,r098,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup>,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,,,,3,7072000,811000,23000,658000,597000,28000,4780000,174000
3313,r099,"All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup> -> Arts, humanities, and related occupation",All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,"Arts, humanities, and related occupation",,,4,157000,8000,,13000,10000,,123000,4000
3313,r100,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup> -> Management-related occupation,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,Management-related occupation,,,4,1531000,137000,S,149000,116000,14000,1075000,34000
3313,r101,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup> -> Non-S&E manager,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,Non-S&E manager,,,4,1026000,78000,3000,108000,43000,S,771000,23000
3313,r102,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup> -> Non-S&E postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,Non-S&E postsecondary teacher,,,4,23000,3000,,S,S,,15000,
3313,r103,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup> -> Non-S&E precollege teacher,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,Non-S&E precollege teacher,,,4,371000,54000,S,41000,36000,,232000,6000
3313,r104,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup> -> Sales and marketing occupation,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,Sales and marketing occupation,,,4,1082000,115000,1000,98000,58000,S,778000,23000
3313,r105,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup> -> Social service and related occupation,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,Social service and related occupation,,,4,418000,73000,S,20000,57000,,251000,14000
3313,r106,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations<sup>c</sup> -> Other non-S&E occupation,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations<sup>c</sup>,Other non-S&E occupation,,,4,2464000,344000,S,228000,275000,4000,1535000,71000
3313,r107,All degrees<sup>b</sup> -> Master's,All degrees<sup>b</sup>,Master's,,,,,2,8624000,661000,24000,1325000,691000,14000,5724000,186000
3313,r108,All degrees<sup>b</sup> -> Master's -> S&E occupations,All degrees<sup>b</sup>,Master's,S&E occupations,,,,3,2286000,136000,3000,650000,115000,5000,1340000,37000
3313,r109,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,,,4,1667000,94000,2000,502000,91000,3000,948000,28000
3313,r110,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Biological/ life scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Biological/ life scientist,,5,152000,14000,,31000,7000,,97000,3000
3313,r111,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Biological/ life scientist -> Agricultural/ food science,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Biological/ life scientist,Agricultural/ food science,6,15000,S,,3000,S,,9000,
3313,r112,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Biological/ life scientist -> Biological/ scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Biological/ life scientist,Biological/ scientist,6,111000,10000,,24000,6000,,69000,2000
