table_id,row_id,u_s_states_full_path,u_s_states_level_1,u_s_states_level_2,u_s_states_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10579,r024,Total -> Massachusetts,Total,Massachusetts,2,233,296,292,303,386,394,345,419,449,503,584,573,651,571,702,736,768,802,1043,949
10579,r025,Total -> Michigan,Total,Michigan,2,19,15,29,21,30,34,37,54,60,65,125,107,116,81,94,121,116,156,182,164
10579,r026,Total -> Minnesota,Total,Minnesota,2,28,40,33,44,57,46,55,58,75,85,85,98,104,89,101,133,114,113,174,162
10579,r027,Total -> Mississippi,Total,Mississippi,2,1,0,3,2,3,2,3,6,4,7,1,8,9,6,3,9,9,4,4,10
10579,r028,Total -> Missouri,Total,Missouri,2,13,9,12,18,24,24,18,18,45,50,73,76,78,66,68,74,76,89,101,86
10579,r029,Total -> Montana,Total,Montana,2,0,1,1,0,1,3,5,3,5,8,9,14,14,14,15,17,18,27,22,23
10579,r030,Total -> Nebraska,Total,Nebraska,2,2,1,3,4,4,5,2,12,14,14,28,27,29,28,23,28,32,26,49,42
10579,r031,Total -> Nevada,Total,Nevada,2,5,3,9,5,13,7,16,17,20,34,38,56,53,54,53,57,58,64,102,108
10579,r032,Total -> New Hampshire,Total,New Hampshire,2,15,9,12,10,22,27,21,16,20,33,31,25,36,22,22,27,33,29,37,43
10579,r033,Total -> New Jersey,Total,New Jersey,2,69,61,62,64,90,92,85,93,88,87,106,112,113,120,146,155,173,152,224,246
10579,r034,Total -> New Mexico,Total,New Mexico,2,3,6,7,5,13,9,3,8,13,11,20,20,21,11,16,18,26,24,27,26
10579,r035,Total -> New York,Total,New York,2,89,99,116,168,243,313,278,404,545,689,876,1011,1090,1050,1157,1288,1506,1445,2229,2152
10579,r036,Total -> North Carolina,Total,North Carolina,2,53,50,51,52,70,67,65,73,82,99,115,134,157,141,159,164,170,193,285,274
10579,r037,Total -> North Dakota,Total,North Dakota,2,1,1,2,1,2,4,1,4,2,3,6,5,7,4,4,8,4,7,5,7
10579,r038,Total -> Ohio,Total,Ohio,2,21,26,41,39,56,52,67,78,93,132,150,136,139,147,144,154,149,145,180,183
10579,r039,Total -> Oklahoma,Total,Oklahoma,2,7,3,6,10,14,9,18,9,14,19,20,20,35,20,22,20,25,24,25,28
10579,r040,Total -> Oregon,Total,Oregon,2,20,25,29,22,31,41,31,43,63,62,92,97,102,103,98,96,118,120,140,148
10579,r041,Total -> Pennsylvania,Total,Pennsylvania,2,68,79,82,105,126,130,149,158,168,187,230,233,230,243,254,242,260,295,329,355
10579,r042,Total -> Puerto Rico,Total,Puerto Rico,2,0,0,0,2,1,1,1,2,2,1,2,2,4,3,5,5,12,15,11,29
10579,r043,Total -> Rhode Island,Total,Rhode Island,2,11,7,10,8,10,13,12,15,11,22,18,12,15,22,21,14,13,19,28,35
10579,r044,Total -> South Carolina,Total,South Carolina,2,4,6,5,4,17,14,17,17,20,23,25,37,41,31,36,47,45,51,53,42
10579,r045,Total -> South Dakota,Total,South Dakota,2,2,1,0,0,1,2,4,1,2,1,4,6,4,6,4,4,7,6,3,3
10579,r046,Total -> Tennessee,Total,Tennessee,2,15,15,19,10,27,37,32,48,71,107,122,132,118,106,100,100,107,110,145,144
10579,r047,Total -> Texas,Total,Texas,2,123,139,159,170,212,207,229,254,286,320,469,445,489,464,515,573,629,602,864,855
10579,r048,Total -> Utah,Total,Utah,2,16,23,31,33,52,57,53,61,64,72,84,113,118,109,117,128,182,152,214,194
10579,r049,Total -> Vermont,Total,Vermont,2,0,3,1,4,8,8,7,9,15,10,18,14,11,18,14,18,27,24,27,34
10579,r050,Total -> Virgin Islands,Total,Virgin Islands,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,4,5
10579,r051,Total -> Virginia,Total,Virginia,2,45,46,66,65,91,92,57,72,108,104,131,151,156,143,171,182,191,174,261,227
10579,r052,Total -> Washington,Total,Washington,2,63,92,107,112,146,162,143,165,192,222,269,255,294,270,301,320,377,342,492,486
10579,r053,Total -> West Virginia,Total,West Virginia,2,4,1,2,1,5,2,3,3,5,4,6,1,3,6,1,2,3,0,8,7
10579,r054,Total -> Wisconsin,Total,Wisconsin,2,5,8,14,21,19,26,20,26,49,50,49,67,75,64,60,66,73,81,91,90
10579,r055,Total -> Wyoming,Total,Wyoming,2,0,0,1,2,2,4,2,1,6,4,9,8,12,6,7,5,13,16,32,38
10579,r056,Total -> Other U.S. territories,Total,Other U.S. territories,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
